packageName	rate	level
com.outfit7.mytalkingtomfree	-3.8	D
com.creativemobile.DragRacing	-3.6500000000000004	D
com.outfit7.talkingtom	-3.3979532163742694	D
com.zynga.words	-3.2447368421052634	D
vStudio.Android.Camera360	-3.0589955280357755	D
com.halfbrick.fruitninjafree	-3.026315789473684	D
com.outfit7.talkingtom2free	-2.3999999999999995	D
com.nordcurrent.Games101	-2.3499999999999996	D
com.omgpop.dstfree	-2.161184210526316	D
com.bestcoolfungames.antsmasher	-2.1500000000000004	D
com.kiloo.subwaysurf	-2.1500000000000004	D
com.rovio.angrybirds	-2.128947368421053	D
com.gameloft.android.ANMP.GloftIAHM	-1.7657894736842106	C
com.imangi.templerun2	-1.7000000000000002	C
logos.quiz.companies.game	-1.65	C
com.igg.castleclash	-1.65	C
com.halfbrick.jetpackjoyride	-1.6	C
com.rovio.angrybirdsrio	-1.6	C
com.easy.battery.saver	-1.6	C
com.sirma.mobile.bible.android	-1.5882352941176472	C
com.surpax.ledflashlight.panel	-1.526315789473684	C
com.rovio.angrybirdsseasons	-1.4684210526315788	C
com.rovio.angrybirdsspace.ads	-1.4500000000000002	C
com.forshared	-1.4411764705882353	C
com.gameloft.android.ANMP.GloftDMHM	-1.4	C
com.shazam.android	-1.2155594405594405	C
com.magmamobile.game.BubbleBlast2	-1.2	C
com.seventeenbullets.android.island	-1.2	C
com.badoo.mobile	-1.15	C
goldenshorestechnologies.brightestflashlight.free	-0.9473684210526315	C
com.kfactormedia.mycalendarmobile	-0.8742690058479532	C
com.kakao.talk	-0.8500000000000001	C
com.google.android.maps.mytracks	-0.85	C
com.fingersoft.hillclimb	-0.8	C
com.antivirus	-0.8	C
net.zedge.android	-0.75	C
com.magmamobile.game.mousetrap	-0.7222222222222222	C
com.NextFloor.DragonFlightKakao	-0.65	C
com.sgiggle.production	-0.618421052631579	C
com.dragonplay.liveholdempro	-0.6	C
com.netflix.mediaclient	-0.5743589743589743	B
com.UCMobile.intl	-0.55	B
com.wooga.diamonddash	-0.55	B
com.supercell.hayday	-0.5	B
com.vkontakte.android	-0.47368421052631576	B
com.dianxinos.dxbs	-0.4	B
com.cleanmaster.mguard	-0.4	B
com.google.android.youtube	-0.3	B
com.pandora.android	-0.2857142857142857	B
com.supercell.clashofclans	-0.25	B
com.opera.browser	-0.25	B
com.avast.android.mobilesecurity	-0.25	B
com.kii.safe	-0.2222222222222222	B
com.google.android.gms	-0.21052631578947367	B
jp.naver.line.android	-0.2	B
com.android.chrome	-0.2	B
com.evernote	-0.2	B
com.yahoo.mobile.client.android.mail	-0.1	B
com.tencent.mm	-0.1	B
com.skype.raider	-0.058823529411764705	B
com.facebook.orca	-0.05263157894736842	B
com.jb.gosms	-0.05	B
com.bbm	0.0	A
com.google.android.apps.translate	0.0	A
com.ebay.mobile	0.0	A
com.waze	0.0	A
com.google.android.music	0.0	A
com.google.android.apps.docs	0.0	A
com.google.android.gm	0.0	A
com.whatsapp	0.0	A
me.pou.app	0.0	A
com.popularapp.periodcalendar	0.0	A
com.google.android.videos	0.0	A
com.google.android.talk	0.0	A
com.google.android.apps.books	0.0	A
com.facebook.katana	0.0	A
com.google.earth	0.0	A
com.twitter.android	0.0	A
com.google.android.googlequicksearchbox	0.0	A
com.google.android.apps.plus	0.0	A
com.instagram.android	0.0	A
org.mozilla.firefox	0.0	A
com.devuni.flashlight	0.0	A
com.google.android.apps.googlevoice	0.0	A
com.gau.go.launcherex	0.0	A
com.google.android.apps.unveil	0.0	A
com.google.android.apps.maps	0.0	A
com.picsart.studio	0.0	A
com.roidapp.photogrid	0.0	A
com.viber.voip	0.0	A
com.qihoo.security	0.0	A
