"hitid"	"hittypeid"	"title"	"description"	"keywords"	"reward"	"creationtime"	"assignments"	"numavailable"	"numpending"	"numcomplete"	"hitstatus"	"reviewstatus"	"annotation"	"assignmentduration"	"autoapprovaldelay"	"hitlifetime"	"viewhit"	"assignmentid"	"workerid"	"assignmentstatus"	"autoapprovaltime"	"assignmentaccepttime"	"assignmentsubmittime"	"assignmentapprovaltime"	"assignmentrejecttime"	"deadline"	"feedback"	"reject"	"Answer.packageName"	"Answer.permissionType"	"Answer.purposeType"	"Answer.permissionText"	"Answer.purposeText"	"Answer.Q1categoryQuestion"	"Answer.Q1realCategry"	"Answer.Q2comfortQuestion"	"Answer.Q2comment"
"3XUSYT70IT110JOSJWNT3BXEFI40DA"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Sun Apr 06 12:53:46 EDT 2014"	"20"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"151"	"900"	"604800"	"Sun Apr 20 12:53:46 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3XUSYT70IT110JOSJWNT3BXEFI40DA"	"3DQQ64TANGL6KQQX7ECAZKIQHE4PW6"	"A166A2M31CW2C7"	"Submitted"	"Sun Apr 13 13:02:12 EDT 2014"	"Sun Apr 06 13:01:02 EDT 2014"	"Sun Apr 06 13:02:12 EDT 2014"	""	""	""	""	""	"com.easy.battery.saver"	"READ_PHONE_STATE"	"INTERNAL"	"reads phone current state information like signal, carrier, device ID and phone number"	"to log system information when app is running for analytics or development purpose"	"APPLICATION"	"APPLICATION"	"1"	""
"3XUSYT70IT110JOSJWNT3BXEFI40DA"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Sun Apr 06 12:53:46 EDT 2014"	"20"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"151"	"900"	"604800"	"Sun Apr 20 12:53:46 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3XUSYT70IT110JOSJWNT3BXEFI40DA"	"3Z3ZLGNNSIUUT4POX7GXUSX3OHW3Q5"	"A2BLIB4GCCK3J5"	"Submitted"	"Sun Apr 13 13:05:38 EDT 2014"	"Sun Apr 06 13:05:20 EDT 2014"	"Sun Apr 06 13:05:38 EDT 2014"	""	""	""	""	""	"com.easy.battery.saver"	"READ_PHONE_STATE"	"INTERNAL"	"reads phone current state information like signal, carrier, device ID and phone number"	"to log system information when app is running for analytics or development purpose"	"APPLICATION"	"APPLICATION"	"1"	""
"3XUSYT70IT110JOSJWNT3BXEFI40DA"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Sun Apr 06 12:53:46 EDT 2014"	"20"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"151"	"900"	"604800"	"Sun Apr 20 12:53:46 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3XUSYT70IT110JOSJWNT3BXEFI40DA"	"33NF62TLXJ2J3FTINNONED2JL8QJK5"	"A3G00Q5JV2BE5G"	"Submitted"	"Sun Apr 13 13:07:34 EDT 2014"	"Sun Apr 06 13:05:43 EDT 2014"	"Sun Apr 06 13:07:34 EDT 2014"	""	""	""	""	""	"com.easy.battery.saver"	"READ_PHONE_STATE"	"INTERNAL"	"reads phone current state information like signal, carrier, device ID and phone number"	"to log system information when app is running for analytics or development purpose"	"APPLICATION"	"APPLICATION"	"1"	""
"3XUSYT70IT110JOSJWNT3BXEFI40DA"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Sun Apr 06 12:53:46 EDT 2014"	"20"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"151"	"900"	"604800"	"Sun Apr 20 12:53:46 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3XUSYT70IT110JOSJWNT3BXEFI40DA"	"308XBLVESI4Z8081PFK3H15K8VDRBN"	"A340DZFTU1OSQQ"	"Submitted"	"Sun Apr 13 13:18:42 EDT 2014"	"Sun Apr 06 13:15:30 EDT 2014"	"Sun Apr 06 13:18:42 EDT 2014"	""	""	""	""	""	"com.easy.battery.saver"	"READ_PHONE_STATE"	"INTERNAL"	"reads phone current state information like signal, carrier, device ID and phone number"	"to log system information when app is running for analytics or development purpose"	"APPLICATION"	"APPLICATION"	"-1"	""
"3XUSYT70IT110JOSJWNT3BXEFI40DA"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Sun Apr 06 12:53:46 EDT 2014"	"20"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"151"	"900"	"604800"	"Sun Apr 20 12:53:46 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3XUSYT70IT110JOSJWNT3BXEFI40DA"	"3EFE17QCRC5L0SB04WU4TMDEPA2SHT"	"A2RRDATXKQ8HHC"	"Submitted"	"Sun Apr 13 13:24:39 EDT 2014"	"Sun Apr 06 13:23:19 EDT 2014"	"Sun Apr 06 13:24:39 EDT 2014"	""	""	""	""	""	"com.easy.battery.saver"	"READ_PHONE_STATE"	"INTERNAL"	"reads phone current state information like signal, carrier, device ID and phone number"	"to log system information when app is running for analytics or development purpose"	"APPLICATION"	"APPLICATION"	"-1"	""
"3XUSYT70IT110JOSJWNT3BXEFI40DA"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Sun Apr 06 12:53:46 EDT 2014"	"20"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"151"	"900"	"604800"	"Sun Apr 20 12:53:46 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3XUSYT70IT110JOSJWNT3BXEFI40DA"	"3WLEIWSYHOHSVTU2AHFY240ARG52H2"	"A1IA4CST74I1Q8"	"Submitted"	"Sun Apr 13 13:26:35 EDT 2014"	"Sun Apr 06 13:26:15 EDT 2014"	"Sun Apr 06 13:26:35 EDT 2014"	""	""	""	""	""	"com.easy.battery.saver"	"READ_PHONE_STATE"	"INTERNAL"	"reads phone current state information like signal, carrier, device ID and phone number"	"to log system information when app is running for analytics or development purpose"	"APPLICATION"	"APPLICATION"	"-1"	""
"3XUSYT70IT110JOSJWNT3BXEFI40DA"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Sun Apr 06 12:53:46 EDT 2014"	"20"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"151"	"900"	"604800"	"Sun Apr 20 12:53:46 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3XUSYT70IT110JOSJWNT3BXEFI40DA"	"3LRKMWOKB5HEMEUWG3L52B4FN6M2ZS"	"A1LJKHC0NH9TIX"	"Submitted"	"Sun Apr 13 13:28:40 EDT 2014"	"Sun Apr 06 13:28:06 EDT 2014"	"Sun Apr 06 13:28:40 EDT 2014"	""	""	""	""	""	"com.easy.battery.saver"	"READ_PHONE_STATE"	"INTERNAL"	"reads phone current state information like signal, carrier, device ID and phone number"	"to log system information when app is running for analytics or development purpose"	"APPLICATION"	"APPLICATION"	"-1"	"doesn't need that info to keep the battery running longer"
"3XUSYT70IT110JOSJWNT3BXEFI40DA"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Sun Apr 06 12:53:46 EDT 2014"	"20"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"151"	"900"	"604800"	"Sun Apr 20 12:53:46 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3XUSYT70IT110JOSJWNT3BXEFI40DA"	"3D3VGR7TA0FU554OAM5XZI78K33R3Z"	"A2ZHN45QR1Y8E4"	"Submitted"	"Sun Apr 13 13:33:03 EDT 2014"	"Sun Apr 06 13:31:54 EDT 2014"	"Sun Apr 06 13:33:03 EDT 2014"	""	""	""	""	""	"com.easy.battery.saver"	"READ_PHONE_STATE"	"INTERNAL"	"reads phone current state information like signal, carrier, device ID and phone number"	"to log system information when app is running for analytics or development purpose"	"APPLICATION"	"APPLICATION"	"-1"	"WHy does it need this info?  I'm not sure I trust the battery apps."
"3XUSYT70IT110JOSJWNT3BXEFI40DA"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Sun Apr 06 12:53:46 EDT 2014"	"20"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"151"	"900"	"604800"	"Sun Apr 20 12:53:46 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3XUSYT70IT110JOSJWNT3BXEFI40DA"	"3HWRJOOET529GIKYEVMY8JG1XUDES2"	"A4SC8G0149GEG"	"Submitted"	"Sun Apr 13 13:41:42 EDT 2014"	"Sun Apr 06 13:40:34 EDT 2014"	"Sun Apr 06 13:41:42 EDT 2014"	""	""	""	""	""	"com.easy.battery.saver"	"READ_PHONE_STATE"	"INTERNAL"	"reads phone current state information like signal, carrier, device ID and phone number"	"to log system information when app is running for analytics or development purpose"	"APPLICATION"	"APPLICATION"	"2"	""
"3XUSYT70IT110JOSJWNT3BXEFI40DA"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Sun Apr 06 12:53:46 EDT 2014"	"20"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"151"	"900"	"604800"	"Sun Apr 20 12:53:46 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3XUSYT70IT110JOSJWNT3BXEFI40DA"	"3B2X28YI3WF6MHAHXRH566EOC836B8"	"A167HNWLG22UFD"	"Submitted"	"Sun Apr 13 13:43:57 EDT 2014"	"Sun Apr 06 13:37:49 EDT 2014"	"Sun Apr 06 13:43:57 EDT 2014"	""	""	""	""	""	"com.easy.battery.saver"	"READ_PHONE_STATE"	"INTERNAL"	"reads phone current state information like signal, carrier, device ID and phone number"	"to log system information when app is running for analytics or development purpose"	"APPLICATION"	"APPLICATION"	"-1"	""
