"hitid"	"hittypeid"	"title"	"description"	"keywords"	"reward"	"creationtime"	"assignments"	"numavailable"	"numpending"	"numcomplete"	"hitstatus"	"reviewstatus"	"annotation"	"assignmentduration"	"autoapprovaldelay"	"hitlifetime"	"viewhit"	"assignmentid"	"workerid"	"assignmentstatus"	"autoapprovaltime"	"assignmentaccepttime"	"assignmentsubmittime"	"assignmentapprovaltime"	"assignmentrejecttime"	"deadline"	"feedback"	"reject"	"Answer.packageName"	"Answer.permissionType"	"Answer.purposeType"	"Answer.permissionText"	"Answer.purposeText"	"Answer.Q1categoryQuestion"	"Answer.Q1realCategory"	"Answer.Q2comfortQuestion"	"Answer.Q2comment"
"3B6F54KMR2C79XSSC5MICF2OP28S15"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Wed Aug 13 19:09:17 EDT 2014"	"20"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"121"	"900"	"604800"	"Wed Aug 27 19:09:17 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3B6F54KMR2C79XSSC5MICF2OP28S15"	"35K3O9HUABD0CDFC8BMZ1KXNS89FE4"	"A2QD7QFGCUNF5N"	"Submitted"	"Wed Aug 20 19:13:39 EDT 2014"	"Wed Aug 13 19:10:13 EDT 2014"	"Wed Aug 13 19:13:39 EDT 2014"	""	""	""	""	""	"com.netqin.ps"	"SEND_SMS"	"PAYMENT"	"can send out SMS messages"	"for in-app purchase"	"APPLICATION"	"APPLICATION"	"-2"	""
"3B6F54KMR2C79XSSC5MICF2OP28S15"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Wed Aug 13 19:09:17 EDT 2014"	"20"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"121"	"900"	"604800"	"Wed Aug 27 19:09:17 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3B6F54KMR2C79XSSC5MICF2OP28S15"	"33PPUNGG385VQYBHVT063JCOJ2UZRQ"	"A3G00Q5JV2BE5G"	"Submitted"	"Wed Aug 20 19:15:40 EDT 2014"	"Wed Aug 13 19:13:47 EDT 2014"	"Wed Aug 13 19:15:40 EDT 2014"	""	""	""	""	""	"com.netqin.ps"	"SEND_SMS"	"PAYMENT"	"can send out SMS messages"	"for in-app purchase"	"APPLICATION"	"APPLICATION"	"2"	""
"3B6F54KMR2C79XSSC5MICF2OP28S15"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Wed Aug 13 19:09:17 EDT 2014"	"20"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"121"	"900"	"604800"	"Wed Aug 27 19:09:17 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3B6F54KMR2C79XSSC5MICF2OP28S15"	"33TIN5LC04APH85Q5QY1YR3S7MJ9YL"	"A29VL3MZE7YPBZ"	"Submitted"	"Wed Aug 20 19:16:03 EDT 2014"	"Wed Aug 13 19:10:01 EDT 2014"	"Wed Aug 13 19:16:03 EDT 2014"	""	""	""	""	""	"com.netqin.ps"	"SEND_SMS"	"PAYMENT"	"can send out SMS messages"	"for in-app purchase"	"GAME"	"APPLICATION"	"-2"	""
"3B6F54KMR2C79XSSC5MICF2OP28S15"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Wed Aug 13 19:09:17 EDT 2014"	"20"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"121"	"900"	"604800"	"Wed Aug 27 19:09:17 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3B6F54KMR2C79XSSC5MICF2OP28S15"	"3IKZ72A5B4G46JSP1APIR7RW60AFNT"	"A167HNWLG22UFD"	"Submitted"	"Wed Aug 20 19:16:10 EDT 2014"	"Wed Aug 13 19:11:33 EDT 2014"	"Wed Aug 13 19:16:10 EDT 2014"	""	""	""	""	""	"com.netqin.ps"	"SEND_SMS"	"PAYMENT"	"can send out SMS messages"	"for in-app purchase"	"APPLICATION"	"APPLICATION"	"1"	""
"3B6F54KMR2C79XSSC5MICF2OP28S15"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Wed Aug 13 19:09:17 EDT 2014"	"20"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"121"	"900"	"604800"	"Wed Aug 27 19:09:17 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3B6F54KMR2C79XSSC5MICF2OP28S15"	"3S96KQ6I9M453CJD70G4C6U3J5HDTI"	"A340DZFTU1OSQQ"	"Submitted"	"Wed Aug 20 19:17:05 EDT 2014"	"Wed Aug 13 19:12:12 EDT 2014"	"Wed Aug 13 19:17:05 EDT 2014"	""	""	""	""	""	"com.netqin.ps"	"SEND_SMS"	"PAYMENT"	"can send out SMS messages"	"for in-app purchase"	"APPLICATION"	"APPLICATION"	"1"	""
"3B6F54KMR2C79XSSC5MICF2OP28S15"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Wed Aug 13 19:09:17 EDT 2014"	"20"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"121"	"900"	"604800"	"Wed Aug 27 19:09:17 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3B6F54KMR2C79XSSC5MICF2OP28S15"	"3K4J6M3CXET300UV3QQVNM7888DGAB"	"A3O81LHBBI8NPK"	"Submitted"	"Wed Aug 20 19:17:55 EDT 2014"	"Wed Aug 13 19:16:53 EDT 2014"	"Wed Aug 13 19:17:55 EDT 2014"	""	""	""	""	""	"com.netqin.ps"	"SEND_SMS"	"PAYMENT"	"can send out SMS messages"	"for in-app purchase"	"APPLICATION"	"APPLICATION"	"1"	""
"3B6F54KMR2C79XSSC5MICF2OP28S15"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Wed Aug 13 19:09:17 EDT 2014"	"20"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"121"	"900"	"604800"	"Wed Aug 27 19:09:17 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3B6F54KMR2C79XSSC5MICF2OP28S15"	"3JNQLM5FT4MUHPDS12UWUWTIS16L2E"	"A2LT6KC1X51FVW"	"Submitted"	"Wed Aug 20 19:19:48 EDT 2014"	"Wed Aug 13 19:18:29 EDT 2014"	"Wed Aug 13 19:19:48 EDT 2014"	""	""	""	""	""	"com.netqin.ps"	"SEND_SMS"	"PAYMENT"	"can send out SMS messages"	"for in-app purchase"	"APPLICATION"	"APPLICATION"	"-2"	"App does not need the ability to send out SMS messages for any in-app purchase, such as its Premium feature set."
"3B6F54KMR2C79XSSC5MICF2OP28S15"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Wed Aug 13 19:09:17 EDT 2014"	"20"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"121"	"900"	"604800"	"Wed Aug 27 19:09:17 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3B6F54KMR2C79XSSC5MICF2OP28S15"	"3VZLGYJEYLAFNUXT4S6YS1YCKJIXZN"	"AIQB7XXL5K2FR"	"Submitted"	"Wed Aug 20 19:41:34 EDT 2014"	"Wed Aug 13 19:39:01 EDT 2014"	"Wed Aug 13 19:41:34 EDT 2014"	""	""	""	""	""	"com.netqin.ps"	"SEND_SMS"	"PAYMENT"	"can send out SMS messages"	"for in-app purchase"	"APPLICATION"	"APPLICATION"	"1"	""
"3B6F54KMR2C79XSSC5MICF2OP28S15"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Wed Aug 13 19:09:17 EDT 2014"	"20"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"121"	"900"	"604800"	"Wed Aug 27 19:09:17 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3B6F54KMR2C79XSSC5MICF2OP28S15"	"3OS4RQUCR9F25A3SYKK90CR2PB1FB9"	"A2WGW5Y3ZFBDEC"	"Submitted"	"Wed Aug 20 19:46:18 EDT 2014"	"Wed Aug 13 19:45:57 EDT 2014"	"Wed Aug 13 19:46:18 EDT 2014"	""	""	""	""	""	"com.netqin.ps"	"SEND_SMS"	"PAYMENT"	"can send out SMS messages"	"for in-app purchase"	"APPLICATION"	"APPLICATION"	"1"	""
"3B6F54KMR2C79XSSC5MICF2OP28S15"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Wed Aug 13 19:09:17 EDT 2014"	"20"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"121"	"900"	"604800"	"Wed Aug 27 19:09:17 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3B6F54KMR2C79XSSC5MICF2OP28S15"	"3OB0CAO74HPIWEN932MTB81GQZWYH5"	"A1I0W3CT6R2DMV"	"Submitted"	"Wed Aug 20 19:52:24 EDT 2014"	"Wed Aug 13 19:47:57 EDT 2014"	"Wed Aug 13 19:52:24 EDT 2014"	""	""	""	""	""	"com.netqin.ps"	"SEND_SMS"	"PAYMENT"	"can send out SMS messages"	"for in-app purchase"	"APPLICATION"	"APPLICATION"	"1"	""
