permission	purpose	count
ACCESS_FINE_LOCATION	INTERNAL	127513
READ_PHONE_STATE	INTERNAL	92991
READ_PHONE_STATE	TARGETED_ADS	73262
GET_ACCOUNTS	INTERNAL	56258
CAMERA	INTERNAL	49949
ACCESS_FINE_LOCATION	TARGETED_ADS	48636
RECORD_AUDIO	INTERNAL	34101
READ_PHONE_STATE	MOBILE_ANALYTICS	32384
ACCESS_FINE_LOCATION	DEVELOPMENT_AID	31644
READ_CONTACTS	INTERNAL	30612
READ_PHONE_STATE	UTILITY	30295
CAMERA	DEVELOPMENT_AID	28658
RECORD_AUDIO	DEVELOPMENT_AID	26227
ACCESS_FINE_LOCATION	UTILITY	25355
READ_PHONE_STATE	DEVELOPMENT_AID	22787
ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	22240
READ_PHONE_STATE	PAYMENT	18978
SEND_SMS	INTERNAL	12424
ACCESS_COARSE_LOCATION	TARGETED_ADS	11531
BLUETOOTH	INTERNAL	7640
ACCESS_COARSE_LOCATION	INTERNAL	7545
ACCESS_FINE_LOCATION	PAYMENT	7401
READ_PHONE_STATE	GAME_ENGINE	6288
READ_PHONE_STATE	SNS	5552
READ_PHONE_STATE	SOCIAL_GAMING	4547
GET_ACCOUNTS	TARGETED_ADS	4150
READ_CONTACTS	UTILITY	4027
CAMERA	UTILITY	3880
RECORD_AUDIO	UTILITY	3654
ACCESS_FINE_LOCATION	SNS	3537
READ_PHONE_STATE	SEARCH_ENGINE	3372
ACCESS_FINE_LOCATION	SEARCH_ENGINE	2986
ACCESS_COARSE_LOCATION	SEARCH_ENGINE	2718
RECORD_AUDIO	TARGETED_ADS	2355
ACCESS_COARSE_LOCATION	SNS	2301
READ_CONTACTS	DEVELOPMENT_AID	1904
CAMERA	GAME_ENGINE	1899
AUTHENTICATE_ACCOUNTS	INTERNAL	1604
ACCESS_FINE_LOCATION	SOCIAL_GAMING	1594
ACCESS_FINE_LOCATION	GAME_ENGINE	1468
CAMERA	TARGETED_ADS	1345
GET_ACCOUNTS	UTILITY	1087
READ_PHONE_STATE	CONTENT_PROVIDER	1043
MANAGE_ACCOUNTS	INTERNAL	974
READ_PHONE_STATE	SECONDARY_MARKET	809
GET_ACCOUNTS	SECONDARY_MARKET	688
ACCESS_FINE_LOCATION	CONTENT_PROVIDER	410
READ_CONTACTS	SOCIAL_GAMING	393
GET_ACCOUNTS	SOCIAL_GAMING	312
ACCESS_FINE_LOCATION	UI_COMPONENT	287
ACCESS_COARSE_LOCATION	PAYMENT	223
GET_ACCOUNTS	DEVELOPMENT_AID	212
READ_CONTACTS	SNS	211
READ_CONTACTS	TARGETED_ADS	196
ACCESS_COARSE_LOCATION	SOCIAL_GAMING	185
SEND_SMS	UTILITY	172
ACCESS_COARSE_LOCATION	UTILITY	168
BLUETOOTH	UTILITY	126
SEND_SMS	PAYMENT	110
WRITE_CONTACTS	INTERNAL	100
RECORD_AUDIO	GAME_ENGINE	77
ACCESS_COARSE_LOCATION	CONTENT_PROVIDER	69
ACCESS_COARSE_LOCATION	MOBILE_ANALYTICS	57
RECORD_AUDIO	SEARCH_ENGINE	56
BLUETOOTH_ADMIN	INTERNAL	45
READ_SMS	INTERNAL	42
GET_ACCOUNTS	GAME_ENGINE	40
RECORD_AUDIO	SOCIAL_GAMING	23
GET_ACCOUNTS	SNS	22
ACCESS_FINE_LOCATION	SECONDARY_MARKET	22
BLUETOOTH	MOBILE_ANALYTICS	18
READ_CONTACTS	PAYMENT	17
WRITE_SMS	INTERNAL	16
CAMERA	SOCIAL_GAMING	15
AUTHENTICATE_ACCOUNTS	UTILITY	13
MANAGE_ACCOUNTS	SNS	10
SEND_SMS	SNS	10
SEND_SMS	TARGETED_ADS	8
BLUETOOTH	TARGETED_ADS	6
RECORD_AUDIO	SNS	6
SEND_SMS	SECONDARY_MARKET	5
GET_ACCOUNTS	PAYMENT	5
ACCESS_COARSE_LOCATION	DEVELOPMENT_AID	5
GET_ACCOUNTS	SEARCH_ENGINE	5
BLUETOOTH	DEVELOPMENT_AID	5
CAMERA	SNS	4
SEND_SMS	DEVELOPMENT_AID	4
SEND_SMS	SOCIAL_GAMING	4
SEND_SMS	GAME_ENGINE	4
RECEIVE_SMS	INTERNAL	3
BLUETOOTH	GAME_ENGINE	3
CAMERA	PAYMENT	3
MANAGE_ACCOUNTS	UTILITY	3
BLUETOOTH	SOCIAL_GAMING	2
READ_CONTACTS	SECONDARY_MARKET	2
RECORD_AUDIO	PAYMENT	2
AUTHENTICATE_ACCOUNTS	SNS	2
AUTHENTICATE_ACCOUNTS	PAYMENT	1
MANAGE_ACCOUNTS	PAYMENT	1
CAMERA	UI_COMPONENT	1
MANAGE_ACCOUNTS	SEARCH_ENGINE	1
READ_CONTACTS	MOBILE_ANALYTICS	1
BLUETOOTH_ADMIN	UTILITY	1
CAMERA	SEARCH_ENGINE	1
BLUETOOTH	PAYMENT	1
READ_CONTACTS	SEARCH_ENGINE	1
READ_CALENDAR	INTERNAL	1
READ_CONTACTS	GAME_ENGINE	1
