packageName	rate	level
com.outfit7.talkingtom	-3.397953216	D
com.zynga.words	-3.244736842	D
com.creativemobile.DragRacing	-3.2	D
com.halfbrick.fruitninjafree	-3.026315789	D
com.outfit7.mytalkingtomfree	-2.65	D
vStudio.Android.Camera360	-2.532679739	D
com.outfit7.talkingtom2free	-2.4	D
com.nordcurrent.Games101	-2.35	D
com.omgpop.dstfree	-2.161184211	D
logos.quiz.companies.game	-1.65	D
com.igg.castleclash	-1.65	D
com.halfbrick.jetpackjoyride	-1.6	D
com.easy.battery.saver	-1.6	D
com.sirma.mobile.bible.android	-1.588235294	D
com.surpax.ledflashlight.panel	-1.526315789	C
com.seventeenbullets.android.island	-1.500123515	C
com.gameloft.android.ANMP.GloftDMHM	-1.493980836	C
com.forshared	-1.441176471	C
com.kiloo.subwaysurf	-1.400123515	C
com.bestcoolfungames.antsmasher	-1.35	C
com.rovio.angrybirds	-1.328947368	C
com.shazam.android	-1.215559441	C
com.antivirus	-1.079115426	C
com.rovio.angrybirdsrio	-1.05	C
com.gameloft.android.ANMP.GloftIAHM	-1.015789474	C
goldenshorestechnologies.brightestflashlight.free	-0.947368421	C
com.kakao.talk	-0.9046875	C
com.imangi.templerun2	-0.9	C
com.rovio.angrybirdsseasons	-0.868421053	C
com.google.android.maps.mytracks	-0.85	B
com.fingersoft.hillclimb	-0.8	B
com.rovio.angrybirdsspace.ads	-0.8	B
net.zedge.android	-0.75	B
com.magmamobile.game.mousetrap	-0.722222222	B
com.dianxinos.dxbs	-0.700123515	B
com.NextFloor.DragonFlightKakao	-0.65	B
com.sgiggle.production	-0.618421053	B
com.kfactormedia.mycalendarmobile	-0.611111111	B
com.magmamobile.game.BubbleBlast2	-0.6	B
com.dragonplay.liveholdempro	-0.6	B
com.netflix.mediaclient	-0.574358974	B
com.UCMobile.intl	-0.55	B
com.supercell.hayday	-0.5	B
com.badoo.mobile	-0.5	B
com.cleanmaster.mguard	-0.4	A
com.vkontakte.android	-0.315789474	A
com.google.android.youtube	-0.3	A
com.pandora.android	-0.285714286	A
com.opera.browser	-0.25	A
com.avast.android.mobilesecurity	-0.25	A
com.kii.safe	-0.222222222	A
com.google.android.gms	-0.210526316	A
jp.naver.line.android	-0.2	A
com.android.chrome	-0.2	A
com.evernote	-0.2	A
com.tencent.mm	-0.1	A
com.yahoo.mobile.client.android.mail	-0.1	A
com.skype.raider	-0.058823529	A
com.qihoo.security	-0.0546875	A
com.facebook.orca	-0.052631579	A
com.google.android.videos	0	A
com.google.android.apps.translate	0	A
com.ebay.mobile	0	A
com.waze	0	A
com.google.android.music	0	A
com.google.android.apps.docs	0	A
com.whatsapp	0	A
com.wooga.diamonddash	0	A
me.pou.app	0	A
com.google.android.gm	0	A
com.jb.gosms	0	A
com.google.earth	0	A
com.google.android.apps.books	0	A
com.facebook.katana	0	A
com.google.android.talk	0	A
com.twitter.android	0	A
com.google.android.googlequicksearchbox	0	A
com.google.android.apps.plus	0	A
com.instagram.android	0	A
org.mozilla.firefox	0	A
com.devuni.flashlight	0	A
com.google.android.apps.googlevoice	0	A
com.gau.go.launcherex	0	A
com.google.android.apps.unveil	0	A
com.google.android.apps.maps	0	A
com.picsart.studio	0	A
com.popularapp.periodcalendar	0	A
com.viber.voip	0	A
com.bbm	0	A
