packageName	rate	level
com.zynga.words	-3.2447368421052634	D
com.outfit7.mytalkingtomfree	-2.6500000000000004	D
vStudio.Android.Camera360	-2.5326797385620914	D
com.nordcurrent.Games101	-2.3499999999999996	D
com.igg.castleclash	-1.65	D
logos.quiz.companies.game	-1.65	D
com.easy.battery.saver	-1.6	D
com.sirma.mobile.bible.android	-1.588235294117647	D
com.outfit7.talkingtom	-1.5368421052631578	D
com.seventeenbullets.android.island	-1.528525063109	D
com.omgpop.dstfree	-1.4769736842105263	D
com.jb.gosms	-1.451929924512	D
com.forshared	-1.441176470588235	D
com.kiloo.subwaysurf	-1.428525063109	C
com.bestcoolfungames.antsmasher	-1.3336538461540002	C
com.rovio.angrybirds	-1.3289473684210527	C
com.antivirus	-1.253536754508	C
com.shazam.android	-1.2155594405594408	C
com.rovio.angrybirdsrio	-1.05	C
com.outfit7.talkingtom2free	-1.0	C
goldenshorestechnologies.brightestflashlight.free	-0.9473684210526316	C
com.imangi.templerun2	-0.9	C
com.rovio.angrybirdsseasons	-0.868421052631579	C
com.google.android.maps.mytracks	-0.85	C
com.kakao.talk	-0.85	C
com.fingersoft.hillclimb	-0.8	B
com.rovio.angrybirdsspace.ads	-0.7999999999999999	B
net.zedge.android	-0.75	B
com.dianxinos.dxbs	-0.728525063109	B
com.magmamobile.game.mousetrap	-0.7222222222222222	B
com.sgiggle.production	-0.618421052631579	B
com.yahoo.mobile.client.android.mail	-0.6067712328406	B
com.netflix.mediaclient	-0.5743589743589743	B
com.picsart.studio	-0.5509393519106001	B
com.UCMobile.intl	-0.55	B
com.cleanmaster.mguard	-0.4	B
com.gau.go.launcherex	-0.38983050847499995	B
com.vkontakte.android	-0.3157894736842105	B
com.google.android.youtube	-0.3	B
com.pandora.android	-0.2857142857142857	A
com.avast.android.mobilesecurity	-0.25	A
com.kii.safe	-0.2222222222222222	A
com.google.android.gms	-0.21052631578947367	A
com.evernote	-0.2	A
jp.naver.line.android	-0.2	A
com.android.chrome	-0.2	A
com.badoo.mobile	-0.15000000000000002	A
com.tencent.mm	-0.1	A
com.creativemobile.DragRacing	-0.09740259740260002	A
com.skype.raider	-0.05882352941176471	A
com.facebook.orca	-0.05263157894736842	A
com.gameloft.android.ANMP.GloftIAHM	-0.05	A
com.ebay.mobile	0.0	A
com.waze	0.0	A
com.google.android.music	0.0	A
com.google.android.apps.docs	0.0	A
com.halfbrick.jetpackjoyride	0.0	A
com.surpax.ledflashlight.panel	0.0	A
me.pou.app	0.0	A
com.wooga.diamonddash	0.0	A
com.qihoo.security	0.0	A
com.bbm	0.0	A
com.google.android.gm	0.0	A
com.opera.browser	0.0	A
com.google.android.apps.books	0.0	A
com.google.earth	0.0	A
com.google.android.videos	0.0	A
org.mozilla.firefox	0.0	A
com.viber.voip	0.0	A
com.google.android.talk	0.0	A
com.twitter.android	0.0	A
com.google.android.googlequicksearchbox	0.0	A
com.google.android.apps.plus	0.0	A
com.instagram.android	0.0	A
com.devuni.flashlight	0.0	A
com.google.android.apps.googlevoice	0.0	A
com.google.android.apps.unveil	0.0	A
com.facebook.katana	0.0	A
com.google.android.apps.maps	0.0	A
com.halfbrick.fruitninjafree	0.0	A
com.popularapp.periodcalendar	0.0	A
com.roidapp.photogrid	0.0	A
com.google.android.apps.translate	0.0	A
com.whatsapp	0.0	A
