permission , count
SUM , 28058
android.permission.INTERNET , 25770
android.permission.ACCESS_NETWORK_STATE , 21459
android.permission.WRITE_EXTERNAL_STORAGE , 13360
android.permission.READ_EXTERNAL_STORAGE , 13353
android.permission.READ_PHONE_STATE , 12962
android.permission.WAKE_LOCK , 9307
android.permission.VIBRATE , 8048
android.permission.ACCESS_WIFI_STATE , 7992
com.android.vending.BILLING , 5508
android.permission.ACCESS_COARSE_LOCATION , 4362
android.permission.GET_ACCOUNTS , 3385
android.permission.ACCESS_FINE_LOCATION , 2720
com.android.vending.CHECK_LICENSE , 2184
android.permission.GET_TASKS , 2139
com.google.android.c2dm.permission.RECEIVE , 1830
android.permission.RECEIVE_BOOT_COMPLETED , 1420
com.android.launcher.permission.INSTALL_SHORTCUT , 968
android.permission.CAMERA , 830
android.permission.SYSTEM_ALERT_WINDOW , 763
android.permission.READ_CONTACTS , 733
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 680
android.permission.BLUETOOTH , 656
android.permission.RECORD_AUDIO , 612
android.permission.MODIFY_AUDIO_SETTINGS , 595
android.permission.CHANGE_WIFI_STATE , 581
android.permission.DISABLE_KEYGUARD , 556
android.permission.BROADCAST_STICKY , 536
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 486
android.permission.READ_CALL_LOG , 456
android.permission.RECEIVE_SMS , 451
android.permission.BLUETOOTH_ADMIN , 351
android.permission.CHANGE_NETWORK_STATE , 325
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 310
android.permission.WRITE_SETTINGS , 296
android.permission.SEND_SMS , 293
android.permission.READ_LOGS , 285
com.android.launcher.permission.UNINSTALL_SHORTCUT , 263
android.permission.RESTART_PACKAGES , 244
android.permission.SET_ORIENTATION , 234
android.permission.USE_CREDENTIALS , 233
android.permission.CALL_PHONE , 219
com.android.launcher.permission.READ_SETTINGS , 214
android.permission.SET_WALLPAPER , 196
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 195
android.webkit.permission.PLUGIN , 167
com.fede.launcher.permission.READ_SETTINGS , 156
com.htc.launcher.permission.READ_SETTINGS , 156
com.motorola.launcher.permission.READ_SETTINGS , 156
com.motorola.dlauncher.permission.READ_SETTINGS , 156
com.lge.launcher.permission.READ_SETTINGS , 156
org.adw.launcher.permission.READ_SETTINGS , 156
com.lge.launcher.permission.INSTALL_SHORTCUT , 155
com.motorola.launcher.permission.INSTALL_SHORTCUT , 155
com.motorola.dlauncher.permission.INSTALL_SHORTCUT , 155
android.permission.KILL_BACKGROUND_PROCESSES , 141
android.permission.DEVICE_POWER , 138
android.permission.BATTERY_STATS , 136
android.permission.FLASHLIGHT , 123
android.permission.WRITE_CONTACTS , 117
android.permission.CHANGE_WIFI_MULTICAST_STATE , 109
com.android.launcher.permission.WRITE_SETTINGS , 101
android.permission.ACCESS_MOCK_LOCATION , 99
android.permission.READ_SMS , 97
android.permission.WRITE_CALL_LOG , 91
android.permission.PROCESS_OUTGOING_CALLS , 91
com.htc.launcher.permission.WRITE_SETTINGS , 82
com.fede.launcher.permission.WRITE_SETTINGS , 82
com.lge.launcher.permission.WRITE_SETTINGS , 82
