permission , count
SUM , 12995
android.permission.INTERNET , 12731
android.permission.ACCESS_NETWORK_STATE , 10221
android.permission.READ_EXTERNAL_STORAGE , 7807
android.permission.WRITE_EXTERNAL_STORAGE , 7792
android.permission.ACCESS_FINE_LOCATION , 5506
android.permission.READ_PHONE_STATE , 4854
com.google.android.c2dm.permission.RECEIVE , 4447
android.permission.ACCESS_COARSE_LOCATION , 4390
android.permission.VIBRATE , 3867
android.permission.WAKE_LOCK , 3840
android.permission.GET_ACCOUNTS , 3385
android.permission.CAMERA , 3339
android.permission.ACCESS_WIFI_STATE , 2854
android.permission.CALL_PHONE , 2290
android.permission.RECEIVE_BOOT_COMPLETED , 1301
com.google.android.providers.gsf.permission.READ_GSERVICES , 1182
android.permission.FLASHLIGHT , 1129
android.permission.READ_CONTACTS , 989
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 870
android.permission.GET_TASKS , 758
android.permission.RECORD_AUDIO , 721
android.permission.SEND_SMS , 719
android.permission.USE_CREDENTIALS , 694
android.permission.READ_CALL_LOG , 677
android.webkit.permission.PLUGIN , 673
android.permission.CHANGE_WIFI_STATE , 622
android.permission.WRITE_CONTACTS , 562
android.permission.ACCESS_MOCK_LOCATION , 514
com.android.launcher.permission.INSTALL_SHORTCUT , 511
android.permission.RECEIVE_SMS , 425
android.permission.WRITE_CALL_LOG , 421
android.permission.BROADCAST_STICKY , 405
android.permission.READ_LOGS , 367
android.permission.WRITE_SETTINGS , 318
android.permission.MODIFY_AUDIO_SETTINGS , 299
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 278
android.permission.RESTART_PACKAGES , 271
android.permission.CHANGE_NETWORK_STATE , 247
com.android.vending.BILLING , 208
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 203
android.permission.ACCESS_GPS , 198
android.permission.SYSTEM_ALERT_WINDOW , 180
android.permission.ACCESS_LOCATION , 154
android.permission.DISABLE_KEYGUARD , 149
android.permission.RECORD_VIDEO , 149
com.amazon.device.messaging.permission.RECEIVE , 132
android.permission.READ_SMS , 128
android.permission.READ_CALENDAR , 127
android.permission.NFC , 114
android.permission.WRITE_CALENDAR , 110
com.android.vending.CHECK_LICENSE , 105
com.android.launcher.permission.UNINSTALL_SHORTCUT , 104
android.permission.SET_WALLPAPER , 101
android.permission.MANAGE_ACCOUNTS , 98
android.permission.ACCESS_ASSISTED_GPS , 94
android.permission.KILL_BACKGROUND_PROCESSES , 88
android.permission.INSTALL_PACKAGES , 84
com.android.launcher.permission.READ_SETTINGS , 82
android.permission.AUTHENTICATE_ACCOUNTS , 79
com.example.gcm.permission.C2D_MESSAGE , 67
android.permission.BLUETOOTH , 65
android.permission.CHANGE_CONFIGURATION , 61
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 60
android.permission.WRITE_APN_SETTINGS , 54
android.permission.SET_DEBUG_APP , 49
android.permission.WRITE_SMS , 46
android.permission.WRITE_INTERNAL_STORAGE , 44
android.permission.ACCESS_DOWNLOAD_MANAGER , 44
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION , 43
com.example.mapdemo.permission.MAPS_RECEIVE , 41
android.permission.BLUETOOTH_ADMIN , 41
android.permission.INTERNAL_SYSTEM_WINDOW , 40
android.permission.FORCE_STOP_PACKAGES , 38
android.permission.RECEIVE_USER_PRESENT , 36
android.permission.CLEAR_APP_CACHE , 36
android.permission.WRITE_OWNER_DATA , 35
android.permission.WRITE_SYNC_SETTINGS , 34
android.permission.BAIDU_LOCATION_SERVICE , 33
android.permission.READ_SYNC_SETTINGS , 32
android.permission.DELETE_PACKAGES , 30
android.hardware.sensor.accelerometer , 29
android.permission.REORDER_TASKS , 28
android.permission.CONTROL_LOCATION_UPDATES , 26
android.permission.READ_OWNER_DATA , 24
android.permission.ACCES_MOCK_LOCATION , 23
android.permission.PROCESS_OUTGOING_CALLS , 22
android.permissions.RECEIVE_BOOT_COMPLETED , 22
android.permission.ACCESS_COARSE_UPDATES , 21
android.permission.READ_SYNC_STATS , 20
