permission , count
SUM , 4510
android.permission.INTERNET , 4182
android.permission.ACCESS_NETWORK_STATE , 3597
android.permission.WRITE_EXTERNAL_STORAGE , 2253
android.permission.READ_EXTERNAL_STORAGE , 2251
android.permission.READ_PHONE_STATE , 2185
android.permission.WAKE_LOCK , 1374
android.permission.VIBRATE , 1324
android.permission.ACCESS_WIFI_STATE , 1289
android.permission.ACCESS_COARSE_LOCATION , 921
com.android.vending.BILLING , 798
android.permission.ACCESS_FINE_LOCATION , 648
android.permission.GET_ACCOUNTS , 566
android.permission.GET_TASKS , 396
com.google.android.c2dm.permission.RECEIVE , 379
android.permission.RECEIVE_BOOT_COMPLETED , 307
android.permission.SET_WALLPAPER , 276
com.android.vending.CHECK_LICENSE , 255
com.android.launcher.permission.INSTALL_SHORTCUT , 209
android.permission.CAMERA , 204
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 174
android.permission.SYSTEM_ALERT_WINDOW , 167
android.permission.READ_CONTACTS , 141
android.permission.SET_WALLPAPER_HINTS , 135
android.permission.RECORD_AUDIO , 128
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 123
android.permission.READ_CALL_LOG , 114
com.android.launcher.permission.UNINSTALL_SHORTCUT , 103
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 101
android.permission.MODIFY_AUDIO_SETTINGS , 96
android.permission.BROADCAST_STICKY , 95
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 91
android.permission.DISABLE_KEYGUARD , 87
com.fede.launcher.permission.READ_SETTINGS , 82
com.motorola.dlauncher.permission.READ_SETTINGS , 82
android.permission.CHANGE_WIFI_STATE , 82
org.adw.launcher.permission.READ_SETTINGS , 82
com.htc.launcher.permission.READ_SETTINGS , 82
com.motorola.launcher.permission.READ_SETTINGS , 82
com.lge.launcher.permission.READ_SETTINGS , 82
com.motorola.dlauncher.permission.INSTALL_SHORTCUT , 81
com.lge.launcher.permission.INSTALL_SHORTCUT , 81
com.motorola.launcher.permission.INSTALL_SHORTCUT , 81
android.permission.WRITE_SETTINGS , 74
android.permission.CALL_PHONE , 73
android.permission.FLASHLIGHT , 69
com.android.launcher.permission.READ_SETTINGS , 69
android.permission.RECEIVE_SMS , 62
android.permission.CHANGE_NETWORK_STATE , 59
android.permission.USE_CREDENTIALS , 58
android.permission.BLUETOOTH , 53
android.permission.WRITE_CONTACTS , 48
android.permission.SEND_SMS , 47
android.permission.PROCESS_OUTGOING_CALLS , 44
com.lge.launcher.permission.WRITE_SETTINGS , 43
com.htc.launcher.permission.WRITE_SETTINGS , 43
com.android.launcher.permission.WRITE_SETTINGS , 43
com.fede.launcher.permission.WRITE_SETTINGS , 43
org.adw.launcher.permission.WRITE_SETTINGS , 43
com.motorola.launcher.permission.WRITE_SETTINGS , 43
com.motorola.dlauncher.permission.WRITE_SETTINGS , 43
android.permission.BLUETOOTH_ADMIN , 42
android.permission.ACCESS_MOCK_LOCATION , 42
com.teslacoilsw.launcher.permission.READ_SETTINGS , 41
com.anddoes.launcher.permission.READ_SETTINGS , 41
com.anddoes.launcher.permission.WRITE_SETTINGS , 41
com.teslacoilsw.launcher.permission.WRITE_SETTINGS , 41
android.permission.READ_LOGS , 40
android.permission.WRITE_CALL_LOG , 39
android.permission.RESTART_PACKAGES , 33
android.permission.SET_ORIENTATION , 29
android.permission.WRITE , 28
android.permission.BATTERY_STATS , 27
android.permission.DEVICE_POWER , 25
android.permission.KILL_BACKGROUND_PROCESSES , 24
android.permission.UPDATE_DEVICE_STATS , 21
android.permission.RECORD_VIDEO , 18
android.permission.WRITE_INTERNAL_STORAGE , 17
android.permission.READ_CALENDAR , 16
android.permission.INSTALL_PACKAGES , 16
android.permission.MANAGE_ACCOUNTS , 15
com.google.android.providers.gsf.permission.READ_GSERVICES , 14
android.permission.CHANGE_WIFI_MULTICAST_STATE , 13
android.permission.WRITE_CALENDAR , 12
android.permission.READ_SMS , 11
android.permission.READ_INTERNAL_STORAGE , 10
android.permission.WRITE_OWNER_DATA , 8
android.permission.ACCESS_COURSE_LOCATION , 8
android.webkit.permission.PLUGIN , 7
android.permission.CHANGE_CONFIGURATION , 7
android.permission.WRITE_SMS , 7
android.permission.android.hardware.sensor.accelerometer , 6
android.permission.READ_OWNER_DATA , 6
android.permission.RECEIVE_MMS , 5
android.permission.ACCOUNT_MANAGER , 5
android.permission.SET_WALLPAPER_HINT , 5
android.permission.DELETE_PACKAGES , 5
android.permission.WRITE_SYNC_SETTINGS , 5
com.tmoney.vending.INBILLING , 5
android.permission.REBOOT , 4
android.permissions.RECEIVE_BOOT_COMPLETED , 4
android.permission.REORDER_TASKS , 4
android.permission.READ_NETWORK_STATE , 4
com.google.android.gms.permission.ACTIVITY_RECOGNITION , 4
android.permission.NETWORK_PROVIDER , 3
android.permission.ACCESS_GPS , 3
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION , 3
android.permission.APPWIDGET_LIST , 3
android.permission.ADD_SYSTEM_SERVICE , 3
com.preplaysports.android.permission , 3
android.permission.READ_SYNC_SETTINGS , 3
android.permission.START_BACKGROUND_SERVICE , 3
android.permission.CLEAR_APP_CACHE , 3
android.permission.WRITE_SECURE_SETTINGS , 3
glshare.permission.ACCESS_SHARED_DATA , 3
android.permission.NFC , 3
android.permission.ACCESS_ASSISTED_GPS , 3
android.permission.SET_DEBUG_APP , 3
android.permission.ACCESS_DOWNLOAD_MANAGER , 3
android.permission.AUTHENTICATE_ACCOUNTS , 3
android.permission.READ_SYNC_STATS , 2
android.permission.MODIFY_PHONE_STATE , 2
net.mobilecraft.football.permission.C2D_MESSAGE , 2
com.unity3d.player.permission.C2D_MESSAGE , 2
jp.applilink.sdk.reward.udid.permission.B04872E0D2604B3993CB7A65CA2ACAFA91A03CE1198A4CD4BE6B9844223E35E9 , 2
android.permission.WRITE_MEDIA_STORAGE , 2
android.permission.FORCE_BACK , 2
com.jjcgames.android.airhockey.scoresharing , 2
FULLSCREEN.FULL , 2
android.permission.ACCESS_CHECKIN_PROPERTIES , 2
com.skunkstudios.gutterball.permission.C2D_MESSAGE , 2
jp.applilink.sdk.campaign.udid.permission.E3028BB4FACA41F7A9EF85972F240F0CF7B1E007E87A4798A6EF5382AF8E0E62 , 2
android.permission.LOCATION , 2
com.inanegames.GatsbyGolf.permission.C2D_MESSAGE , 2
com.sec.android.app.browser.permission.HOMEPAGE , 2
com.your.domain.PAYMENT_BROADCAST_PERMISSION , 2
android.permission.voicesearch.SHORTCUTS_ACCESS , 2
android.permission.DELETE_CACHE_FILES , 2
archos.permission.FULLSCREEN.FULL , 2
android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS , 2
android.permission.PREVENT_POWER_KEY , 2
READ_PHONE_STATE , 2
com.yahoo.mobile.client.android.permissions.YAHOO_INTER_APP , 2
android.permission.ACCESS_LOCATION , 2
net.daum.android.login.AUTHENTICATE , 1
id.co.sahabatnestle.milo.cycling.permission.C2D_MESSAGE , 1
porpra.watchespanyol.permission.C2D_MESSAGE , 1
com.gamebasics.osm.PAYMENT_BROADCAST_PERMISSION , 1
com.moaibot.headerstonehenge.permission.C2D_MESSAGE , 1
com.nextstudio.sbmpb.permission.C2D_MESSAGE , 1
com.aggieproject.pickedoffplus.permission.VALIDATION_REQUEST , 1
com.tonuzaba.bowling.permission.C2D_MESSAGE , 1
com.geotapgames.futbolgeowars.permission.C2D_MESSAGE , 1
com.pcbgame.XFPaintball2.permission.C2D_MESSAGE , 1
com.gameloft.android.ANMP.GloftR2HM.permission.C2D_MESSAGE , 1
com.c8apps.footballcoach.permission.C2D_MESSAGE , 1
android.permission. , 1
com.maxnick.android.curling3dfree.permission.C2D_MESSAGE , 1
jp.co.ibrains.joshingame.permission.C2D_MESSAGE , 1
com.Toyota.Funvii.permission.C2D_MESSAGE , 1
com.fromthebenchgames.fmapo2014.permission.C2D_MESSAGE , 1
com.inc.artifice.aridaappli.permission.C2D_MESSAGE , 1
android.permission.WRITE_EXTERNALS_STORAGE , 1
com.mobirix.bill.permission.C2D_MESSAGE , 1
com.pagenetsoft.fishing_b.permission.C2D_MESSAGE , 1
com.gravybaby.santabasketball.permission.C2D_MESSAGE , 1
com.appbuilder.u47526p163833.permission.C2D_MESSAGE , 1
android.permission.WRITE_PROFILE , 1
pnjmobile.fishing4.google_free.permission.C2D_MESSAGE , 1
com.sticksports.nativeExtensions.pushNotification.permission.C2D_MESSAGE , 1
com.paramount.dictator.permission.C2D_MESSAGE , 1
com.lexorn.gamblewithpals.permission.C2D_MESSAGE , 1
com.gameloft.android.ANMP.GloftR3HM.permission.C2D_MESSAGE , 1
app12234.vinebre.permission.C2D_MESSAGE , 1
com.kt.fb.permission.C2D_MESSAGE , 1
com.ninetyfour.seconds.sport.app.permission.C2D_MESSAGE , 1
.FlexionActivity$GooglePlayBillingService , 1
info.epltips.eplfantasypicks2.permission.C2D_MESSAGE , 1
com.games.bn.d2.bill.permission.C2D_MESSAGE , 1
com.ea.game.maddenmobile2014_row.permission.C2D_MESSAGE , 1
android.permission.BROADCAST_PACKAGE_REMOVED , 1
app14098.vinebre.permission.C2D_MESSAGE , 1
com.greentube.sc14.gametwist.permission.C2D_MESSAGE , 1
com.mobilemediacom.jo2012.permission.C2D_MESSAGE , 1
com.greentube.sc14.ch.permission.C2D_MESSAGE , 1
com.luandungames.skeetgame.permission.C2D_MESSAGE , 1
com.komastudios.penaltykicknew.permission.C2D_MESSAGE , 1
com.oneapps.basketballgamesap.permission.C2D_MESSAGE , 1
com.oneapps.footballgames.permission.C2D_MESSAGE , 1
air.com.iconplatforms.ios.games.osfpfreekicks.permission.C2D_MESSAGE , 1
com.ggee.vividruntime.gg_1573.permission.C2D_MESSAGE , 1
com.moaibot.baseball.cb.C2D_MESSAGE , 1
jp.naver.SJLGGOLF.permission.C2D_MESSAGE , 1
com.playcative.permission.C2D_MESSAGE , 1
android.permission.SHAKE , 1
com.concretesoftware.PAYMENT_BROADCAST_PERMISSION , 1
com.maxnick.android.curling3d.permission.C2D_MESSAGE , 1
com.admofi.admofiliban.permission.C2D_MESSAGE , 1
com.scn.mobile.activity.permission.C2D_MESSAGE , 1
com.luandungames.DiceGame.permission.C2D_MESSAGE , 1
com.appMobi.sbbingo.app.permission.C2D_MESSAGE , 1
com.fromthebenchgames.fmgal2014.permission.C2D_MESSAGE , 1
com.fromthebenchgames.fmfcz2014.permission.C2D_MESSAGE , 1
.FlexionActivity$GooglePlayBillingReceiver , 1
com.indiagames.hitoutheroes.permission.C2D_MESSAGE , 1
com.tkm.canal.permission.C2D_MESSAGE , 1
com.touchten.zkick.permission.C2D_MESSAGE , 1
com.touchlabs.alex.jamjam.permission.C2D_MESSAGE , 1
com.a90747336051ae43d049a8f4a.a29387768a.permission.C2D_MESSAGE , 1
com.mobile.mini.game.permission.C2D_MESSAGE , 1
com.a1096381752503647877cf013a.a12186113a.permission.C2D_MESSAGE , 1
com.yoc.dreamteam.permission.C2D_MESSAGE , 1
com.spacesports.goalymoley.permission.C2D_MESSAGE , 1
com.aggieproject.pickedoffplus.permission.SERVER_START , 1
com.mcentric.mcclient.MyMadrid.permission.C2D_MESSAGE , 1
com.bmsils.sportsturtle.permission.MAPS_RECEIVE , 1
android.permission.CLEAR_APP_USER_DATA , 1
com.sega.sakatsukushoot.permission.C2D_MESSAGE , 1
com.pes2014.pes2014tricks.permission.C2D_MESSAGE , 1
com.popcorninteractive.thefinalduel.permission.C2D_MESSAGE , 1
com.sticksports.stickcricket.partnerships.permission.C2D_MESSAGE , 1
com.a185884755750246579034494a.a37574876a.permission.C2D_MESSAGE , 1
com.cjenm.ma92013tw.permission.C2D_MESSAGE , 1
hrjg.aefw.footballday.permission.C2D_MESSAGE , 1
com.ratrodstudio.hockeyfightlite.permission.C2D_MESSAGE , 1
com.fromthebenchgames.fmspl2014.permission.C2D_MESSAGE , 1
com.gamevil.fishing.global.permission.C2D_MESSAGE , 1
appinventor.ai_Broak.PaintballWiz.permission.C2D_MESSAGE , 1
com.ftbsports.BeALegendFootball.Juventus.permission.C2D_MESSAGE , 1
jp.vfja.android.climber.permission.C2D_MESSAGE , 1
com.mobcast.mlbBrowser.permission.C2D_MESSAGE , 1
com.fromthebenchgames.fmars2014.permission.C2D_MESSAGE , 1
com.icyou.liverpoolfcpowershotchallenge.permission.C2D_MESSAGE , 1
com.soccermanagerltd.permission.C2D_MESSAGE , 1
com.frecre.pistonrhythm.permission.C2D_MESSAGE , 1
com.ggee.vividruntime.gg_893.permission.C2D_MESSAGE , 1
com.wJogosGratis.permission.C2D_MESSAGE , 1
com.xtpl2012.beerpong.permission.C2D_MESSAGE , 1
com.fromthebenchgames.fmspfc2014.permission.C2D_MESSAGE , 1
com.weme.fishing.permission.C2D_MESSAGE , 1
com.appbuilder.u5608p45444.permission.C2D_MESSAGE , 1
me.livebuzz.winpon1.permission.C2D_MESSAGE , 1
com.fromthebenchgames.fmacm2014.permission.C2D_MESSAGE , 1
com.gamevil.bb2012.global.permission.C2D_MESSAGE , 1
com.fromthebenchgames.fmbfr2014.permission.C2D_MESSAGE , 1
android.permission.STORAGE , 1
com.sportdos.app.permission.C2D_MESSAGE , 1
com.sec.android.iap.permission.BILLING , 1
com.exe.newgolf.permission.C2D_MESSAGE , 1
com.bugsmobile.smashpangpangse.permission.C2D_MESSAGE , 1
com.georun.georun.permission.MAPS_RECEIVE , 1
com.fluik.PlumberCrack.permission.C2D_MESSAGE , 1
com.ggee.vividruntime.gg_1593.permission.C2D_MESSAGE , 1
android.permission.ACCESS_POSITION , 1
com.dumadugames.pocketbowling.permission.C2D_MESSAGE , 1
com.fumgroup.fumtippspiel.permission.C2D_MESSAGE , 1
com.zed.android.sports.permission.C2D_MESSAGE , 1
com.ratrodstudio.mikevskatepartylite.permission.C2D_MESSAGE , 1
android.permission.READ_PHONE_DATA , 1
net.mobilecraft.realbasketball.permission.C2D_MESSAGE , 1
com.gameloft.android.ANMP.GloftS3HM.permission.C2D_MESSAGE , 1
com.pnj.fishing5adm.permission.C2D_MESSAGE , 1
jp.naver.SJFISHING.permission.C2D_MESSAGE , 1
com.ratrodstudio.mikevskateparty.permission.C2D_MESSAGE , 1
android.permission.CONTROL_LOCATION_UPDATES , 1
com.espn.streakforcash.permission.C2D_MESSAGE , 1
com.jp.subwaytrainromesurfer.permission.C2D_MESSAGE , 1
com.boyaa.billiardstl.permission.C2D_MESSAGE , 1
com.fatspanner.legendsofdarts.lite.permission.C2D_MESSAGE , 1
com.pnjmobile.realfishingEnfree.permission.C2D_MESSAGE , 1
com.cjenm.ma92013.google.permission.C2D_MESSAGE , 1
com.Koplay.BaseBall.permission.C2D_MESSAGE , 1
