permission , count
SUM , 41407
android.permission.INTERNET , 39778
android.permission.ACCESS_NETWORK_STATE , 32889
android.permission.ACCESS_FINE_LOCATION , 30401
android.permission.WRITE_EXTERNAL_STORAGE , 28656
android.permission.READ_EXTERNAL_STORAGE , 28618
android.permission.ACCESS_COARSE_LOCATION , 22901
android.permission.READ_PHONE_STATE , 13971
android.permission.WAKE_LOCK , 12434
android.permission.ACCESS_WIFI_STATE , 10869
android.permission.CAMERA , 8403
android.permission.VIBRATE , 8298
com.google.android.c2dm.permission.RECEIVE , 7610
android.permission.CALL_PHONE , 7236
android.permission.GET_ACCOUNTS , 6620
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 5697
com.google.android.providers.gsf.permission.READ_GSERVICES , 4963
com.android.vending.CHECK_LICENSE , 4112
android.permission.RECORD_AUDIO , 3649
android.permission.ACCESS_MOCK_LOCATION , 2843
android.permission.READ_CONTACTS , 2704
android.permission.RECEIVE_BOOT_COMPLETED , 2538
com.android.vending.BILLING , 2339
android.permission.SEND_SMS , 2001
android.permission.READ_CALL_LOG , 2001
android.permission.GET_TASKS , 1906
android.permission.CHANGE_WIFI_STATE , 1651
android.permission.WRITE_CONTACTS , 1589
android.permission.BROADCAST_STICKY , 1412
android.permission.MODIFY_AUDIO_SETTINGS , 1259
android.permission.WRITE_CALL_LOG , 1146
android.permission.READ_LOGS , 1112
android.permission.RECEIVE_SMS , 1086
android.permission.ACCESS_GPS , 954
com.android.launcher.permission.INSTALL_SHORTCUT , 897
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 791
android.permission.WRITE_SETTINGS , 743
android.permission.FLASHLIGHT , 719
android.webkit.permission.PLUGIN , 700
android.permission.STORAGE , 689
android.permission.WRITE_CALENDAR , 658
android.permission.ACCESS_LOCATION , 655
android.permission.READ_CALENDAR , 619
android.permission.MANAGE_ACCOUNTS , 579
android.permission.RECORD_VIDEO , 518
android.permission.NFC , 497
android.permission.CHANGE_NETWORK_STATE , 489
android.permission.DISABLE_KEYGUARD , 467
android.permission.SET_WALLPAPER , 462
android.permission.RESTART_PACKAGES , 460
android.permission.ACCOUNT_MANAGER , 435
android.permission.USE_CREDENTIALS , 434
android.permission.ACCESS_ASSISTED_GPS , 422
android.permission.SYSTEM_ALERT_WINDOW , 383
android.permission.BLUETOOTH , 374
android.permission.CONTROL_LOCATION_UPDATES , 310
android.permission.LOCATION , 304
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 294
com.tripwolf.permission.C2D_MESSAGE , 266
android.permission.CHANGE_CONFIGURATION , 257
android.permission.BLUETOOTH_ADMIN , 242
android.permission.KILL_BACKGROUND_PROCESSES , 237
android.permission.CLEAR_APP_USER_DATA , 229
android.permission.READ_SMS , 220
android.permission.CALL_PRIVILEGED , 192
android.permission.WRITE_OWNER_DATA , 189
com.android.launcher.permission.UNINSTALL_SHORTCUT , 187
android.permission.WRITE_SMS , 167
com.example.mapdemo.permission.MAPS_RECEIVE , 155
android.permission.WRITE_INTERNAL_STORAGE , 131
com.android.launcher.permission.READ_SETTINGS , 130
android.permission.ACCESS_CORSE_LOCATION , 126
com.amazon.device.messaging.permission.RECEIVE , 124
android.permission.PROCESS_OUTGOING_CALLS , 121
android.permission.BATTERY_STATS , 117
android.permission.INSTALL_PACKAGES , 115
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION , 108
android.permission.BAIDU_LOCATION_SERVICE , 107
android.permission.CLEAR_APP_CACHE , 102
android.permission.PERSISTENT_ACTIVITY , 91
android.permission.SET_DEBUG_APP , 87
android.permission.AUTHENTICATE_ACCOUNTS , 86
android.permission.READ_OWNER_DATA , 82
android.permission.UPDATE_DEVICE_STATS , 75
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 75
com.example.permission.MAPS_RECEIVE , 73
android.permission.DEVICE_POWER , 72
android.permission.SET_ORIENTATION , 72
fr.mobitour.apps.idTestApp.permission.C2D_MESSAGE , 71
android.permission.WRITE_APN_SETTINGS , 69
android.permission.WRITE_SECURE_SETTINGS , 65
android.permission.INSTALL_LOCATION_PROVIDER , 59
com.lge.launcher.permission.INSTALL_SHORTCUT , 57
android.permission.WRITE_SYNC_SETTINGS , 57
com.motorola.launcher.permission.INSTALL_SHORTCUT , 56
com.motorola.dlauncher.permission.INSTALL_SHORTCUT , 56
com.google.android.gallery3d.permission.GALLERY_PROVIDER , 55
android.permission.READ_SYNC_SETTINGS , 54
android.permission.MANAGE_DOCUMENTS , 53
com.example.googlelocatorv2.permission.MAPS_RECEIVE , 52
android.permission.REORDER_TASKS , 50
android.permission.DELETE_PACKAGES , 49
android.permission.WIFI_SERVICE , 48
android.permissions.RECEIVE_BOOT_COMPLETED , 47
android.permission.ACCESS_COARSE_UPDATES , 46
android.permission.READ_PROFILE , 46
android.permission.RAISED_THREAD_PRIORITY , 43
com.htc.launcher.permission.READ_SETTINGS , 40
android.permission.MODIFY_PHONE_STATE , 40
android.intent.action.PHONE_STATE , 39
android.permission.CHANGE_WIFI_MULTICAST_STATE , 39
com.motorola.launcher.permission.READ_SETTINGS , 38
www.conduit.app.permission.C2D_MESSAGE , 38
org.adw.launcher.permission.READ_SETTINGS , 38
com.fede.launcher.permission.READ_SETTINGS , 38
com.motorola.dlauncher.permission.READ_SETTINGS , 38
com.lge.launcher.permission.READ_SETTINGS , 38
android.permission.RECEIVE_USER_PRESENT , 33
com.google.android.googleapps.permission.GOOGLE_AUTH , 33
android.permission.ACCESS_COURSE_LOCATION , 32
android.permission.ACCESS_CELL_ID , 32
com.vzw.location.ACCESS_GPS_PERMISSION , 32
android.permission.ACCESS_AGPS_LOCATION , 32
com.verizon.permissions.appdirectedsms , 30
com.gofindit.permission.MAPS_RECEIVE , 29
com.android.launcher.permission.WRITE_SETTINGS , 29
com.autocab.taxibooker.autocab.permission.MAPS_RECEIVE , 29
android.permission.READ_SYNC_STATS , 28
android.permission.SET_WALLPAPER_HINTS , 28
com.nativoo.permission.MAPS_RECEIVE , 26
com.wi.guiddoo.permission.MAPS_RECEIVE , 24
.permission.MAPS_RECEIVE , 24
android.permission.ACCESS_SURFACE_FLINGER , 24
android.permission.ACCES_MOCK_LOCATION , 23
com.htc.launcher.permission.WRITE_SETTINGS , 22
com.dsi.ant.permission.ANT , 22
android.permission.DELETE_CACHE_FILES , 22
com.google.android.apps.mytracks.READ_TRACK_DATA , 22
android.permission.ACCESS_CHECKIN_PROPERTIES , 22
com.teneues.tnguide.permission.C2D_MESSAGE , 22
com.lge.launcher.permission.WRITE_SETTINGS , 21
android.permission.vending.CHECK_LICENSE , 21
com.anddoes.launcher.permission.READ_SETTINGS , 21
com.teslacoilsw.launcher.permission.WRITE_SETTINGS , 21
com.motorola.launcher.permission.WRITE_SETTINGS , 21
com.anddoes.launcher.permission.WRITE_SETTINGS , 21
com.dsi.ant.permission.ANT_ADMIN , 21
com.fede.launcher.permission.WRITE_SETTINGS , 21
org.adw.launcher.permission.WRITE_SETTINGS , 21
com.google.android.apps.mytracks.WRITE_TRACK_DATA , 21
com.motorola.dlauncher.permission.WRITE_SETTINGS , 21
com.teslacoilsw.launcher.permission.READ_SETTINGS , 21
com.google.android.googleapps.permission.GOOGLE_AUTH.local , 19
android.permission.ACCESS_DOWNLOAD_MANAGER , 19
com.google.android.googleapps.permission.GOOGLE_AUTH.writely , 18
com.google.android.googleapps.permission.GOOGLE_AUTH.wise , 18
com.sonyericsson.extras.liveware.aef.EXTENSION_PERMISSION , 17
com.vogella.android.locationapi.maps.permission.MAPS_RECEIVE , 17
com.google.android.googleapps.permission.GOOGLE_AUTH.fusiontables , 17
com.android.alarm.permission.SET_ALARM , 17
com.example.gcm.permission.C2D_MESSAGE , 17
android.permission.READ_SETTINGS , 17
android.permisson.ACCESS_WIFI_STATE , 17
com.govoutreach.gorequest.permission.MAPS_RECEIVE , 16
com.crystalconsulting.permission.MAPS_RECEIVE , 16
com.google.android.c2dm.permission.SEND , 15
android.permission.UPDATE_DEVICE_STATE , 15
READ_PHONE_STATE , 15
com.amazon.permission.SET_FLAG_NOSOFTKEYS , 15
com.touringclub.android.permission.MAPS_RECEIVE , 14
android.permission.HARDWARE_TEST , 14
com.google.android.apps.googlevoice.permission.RECEIVE_SMS , 13
com.google.android.apps.mytracks.MYTRACKS_NOTIFICATIONS , 13
android.permission.USE_SIP , 13
android.permission.NETWORK_WIFI_STATE , 13
my_app_package.permission.C2D_MESSAGE , 13
com.google.android.apps.googlevoice.permission.SEND_SMS , 13
android.permission.WRITE , 12
android.permission.STATUS_BAR , 12
nanonet.aeccore.permission.C2D_MESSAGE , 12
android.permission.CONFIGURE_SIP , 12
android.permisson.ACCESS_GPS , 12
nanonet.aeccore.permission.MAPS_RECEIVE , 12
android.permission.NETWORK , 12
.permission.C2D_MESSAGE , 12
android.permission.SET_TIME_ZONE , 11
android.permission.MANAGE_APP_TOKENS , 11
com.google.android.gms.permission.ACTIVITY_RECOGNITION , 11
android.permission.ACCESS_COARSE , 10
android.permission.TYPE_ACCELEROMETER , 10
android.permission.READ_FRAME_BUFFER , 10
android.permission.SDCARD_WRITE , 10
android.permission.EXPAND_STATUS_BAR , 10
in.wptrafficanalyzer.locationingooglemapv2.permission.MAPS_RECEIVE , 10
android.permission.TYPE_MAGNETIC_FIELD , 10
com.qyer.android.cityguide.hongkong.permission.MAPS_RECEIVE , 10
android.permission.GET_RECEIVE_COMPLETED , 10
com.euphor.paperpad.permission.MAPS_RECEIVE , 9
android.permission.DIAL , 9
android.permission.SYSTEM_OVERLAY_WINDOW , 9
com.oniontech.sgs.permission.C2D_MESSAGE , 9
com.Guides1000.packread , 9
com.euphor.paperpad.permission.C2D_MESSAGE , 9
android.permission.READ_INTERNAL_STORAGE , 9
android.permission.READ_ATTACHMENT , 9
com.gcdtech.gandroid.permission.REST_PERMISSION , 9
pl.mg6.android.maps.extensions.demo.permission.MAPS_RECEIVE , 9
android.permission.INTERNAL_SYSTEM_WINDOW , 9
com.noser.compat.ACCESS_ALL_DOWNLOADS , 8
android.permission.ACCESS_FIND_LOCATION , 8
com.noser.compat.SEND_DOWNLOAD_COMPLETED_INTENTS , 8
android.permission.MAPS_RECEIVE , 8
com.itourmobile.app.permission.MAPS_RECEIVE , 8
com.guidewall.arrivalguides.permission.MAPS_RECEIVE , 8
digital.dispatch.mobilebooker.base.permission.MAPS_RECEIVE , 8
com.setup2app.zajmissoboj.permission.C2D_MESSAGE , 8
android.permission.FORCE_STOP_PACKAGES , 8
net.emome.hamiapps.am_dev.permission.ACCESS_HAMI_APPS , 8
android.permission.ACCESS_INTERNET , 8
com.koreaimg.odaesan_wellness.permission.MAPS_RECEIVE , 8
de.wall.bluespot.permission.C2D_MESSAGE , 8
android.permission.DUMP , 8
android.intent.action.VIEW , 8
com.toast.unit.permission.MAPS_RECEIVE , 8
