permission , count
SUM , 420
android.permission.INTERNET , 391
android.permission.ACCESS_NETWORK_STATE , 345
android.permission.READ_PHONE_STATE , 200
android.permission.WRITE_EXTERNAL_STORAGE , 183
android.permission.READ_EXTERNAL_STORAGE , 183
android.permission.ACCESS_COARSE_LOCATION , 94
android.permission.VIBRATE , 82
android.permission.GET_ACCOUNTS , 77
android.permission.GET_TASKS , 64
android.permission.ACCESS_WIFI_STATE , 62
android.permission.WAKE_LOCK , 53
android.permission.ACCESS_FINE_LOCATION , 45
com.android.vending.BILLING , 40
com.android.vending.CHECK_LICENSE , 40
android.permission.BLUETOOTH , 31
com.google.android.c2dm.permission.RECEIVE , 27
com.android.launcher.permission.INSTALL_SHORTCUT , 22
android.permission.RECEIVE_BOOT_COMPLETED , 21
android.permission.CAMERA , 20
android.permission.RECORD_AUDIO , 20
android.permission.SYSTEM_ALERT_WINDOW , 16
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 15
android.permission.SET_WALLPAPER , 8
android.webkit.permission.PLUGIN , 7
android.permission.READ_CONTACTS , 7
android.permission.MODIFY_AUDIO_SETTINGS , 7
android.permission.READ_LOGS , 6
android.permission.BROADCAST_STICKY , 6
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 5
android.permission.RECEIVE_SMS , 5
com.motorola.dlauncher.permission.INSTALL_SHORTCUT , 4
com.android.launcher.permission.UNINSTALL_SHORTCUT , 4
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 4
com.motorola.launcher.permission.INSTALL_SHORTCUT , 4
android.permission.DISABLE_KEYGUARD , 4
org.adw.launcher.permission.READ_SETTINGS , 4
com.motorola.dlauncher.permission.READ_SETTINGS , 4
android.permission.READ_CALL_LOG , 4
com.htc.launcher.permission.READ_SETTINGS , 4
com.lge.launcher.permission.INSTALL_SHORTCUT , 4
com.android.launcher.permission.READ_SETTINGS , 4
com.motorola.launcher.permission.READ_SETTINGS , 4
com.fede.launcher.permission.READ_SETTINGS , 4
com.lge.launcher.permission.READ_SETTINGS , 4
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 4
android.permission.PROCESS_OUTGOING_CALLS , 2
android.permission.READ_OWNER_DATA , 2
android.permission.RESTART_PACKAGES , 2
android.permission.ACCOUNT_MANAGER , 2
com.sec.android.app.browser.permission.HOMEPAGE , 2
android.permission.REBOOT , 2
android.permission.WRITE_CONTACTS , 2
com.bnotions.saywhat.permission.C2D_MESSAGE , 1
android.permission.MODE_WORLD_READABLE , 1
com.pet.rescue.dog.permission.C2D_MESSAGE , 1
com.anddoes.launcher.permission.WRITE_SETTINGS , 1
com.wAddictivepuzzleShiftIt4x4game.permission.C2D_MESSAGE , 1
android.permission.MODE_WORLD_WRITEABLE , 1
org.adw.launcher.permission.WRITE_SETTINGS , 1
com.parkingtruck3d.car.bus.parkingmadness.permission.C2D_MESSAGE , 1
android.permission.SEND_SMS , 1
com.constructioncity.virtual.island.city.permission.C2D_MESSAGE , 1
android.permission.WRITE_CALL_LOG , 1
com.wTheMinecraftQuiz.permission.C2D_MESSAGE , 1
com.htc.launcher.permission.WRITE_SETTINGS , 1
com.android.browser.permission.INSTALL_SHORTCUT , 1
com.art.nail.salon.girlgame.permission.C2D_MESSAGE , 1
com.constructioncity.virtual.urban.islandcity.permission.C2D_MESSAGE , 1
com.bubble.surfers.worlds.permission.C2D_MESSAGE , 1
com.anddoes.launcher.permission.READ_SETTINGS , 1
com.wtheScratchQuiz1.permission.C2D_MESSAGE , 1
com.bus.truckparking3d.parkingmadness.permission.C2D_MESSAGE , 1
android.permission.MODE_APPEND , 1
com.love.wallpapers.frames.permission.C2D_MESSAGE , 1
android.permission.ACCESS_ASSISTED_GPS , 1
android.permission.AUTHENTICATE_ACCOUNTS , 1
android.permission.android.hardware.sensor.accelerometer , 1
com.bridge.constructioncity.paradiseisland.dream.city.permission.C2D_MESSAGE , 1
com.hillclimb.drag.moto.gtracing.permission.C2D_MESSAGE , 1
android.permission.KILL_BACKGROUND_PROCESSES , 1
com.subwaysurfers.united.states.permission.C2D_MESSAGE , 1
com.tower.blocks.slab.permission.C2D_MESSAGE , 1
com.wMQFree.permission.C2D_MESSAGE , 1
com.pereira.wcc2013.permission.C2D_MESSAGE , 1
com.motorola.launcher.permission.WRITE_SETTINGS , 1
com.fede.launcher.permission.WRITE_SETTINGS , 1
android.permission.MOUNT_FORMAT_FILESYSTEMS , 1
com.star.chef.master.permission.C2D_MESSAGE , 1
android.permission.ACCESS_LOCATION , 1
com.lge.launcher.permission.WRITE_SETTINGS , 1
com.coin.talking.machine.permission.C2D_MESSAGE , 1
com.wOnlineChessHere.permission.C2D_MESSAGE , 1
android.permission.PERMISSION_NAME , 1
com.green.farm.farming.tractor.driver.permission.C2D_MESSAGE , 1
android.permission.WRITE_SETTINGS , 1
com.wTBGChainReaction.permission.C2D_MESSAGE , 1
com.teslacoilsw.launcher.permission.WRITE_SETTINGS , 1
clash.of.lords.game.permission.C2D_MESSAGE , 1
com.motorola.dlauncher.permission.WRITE_SETTINGS , 1
com.google.android.gms.permission.ACTIVITY_RECOGNITION , 1
com.wMathgametotrainyourbrain.permission.C2D_MESSAGE , 1
com.android.launcher.permission.WRITE_SETTINGS , 1
com.majesticgamessc.darkcube.permission.C2D_MESSAGE , 1
com.teslacoilsw.launcher.permission.READ_SETTINGS , 1
android.permission.RECORD_VIDEO , 1
com.majesticgamessc.electron.permission.C2D_MESSAGE , 1
