permission , count
SUM , 38
android.permission.INTERNET , 35
android.permission.ACCESS_NETWORK_STATE , 30
android.permission.WRITE_EXTERNAL_STORAGE , 21
android.permission.READ_EXTERNAL_STORAGE , 21
android.permission.READ_PHONE_STATE , 19
android.permission.WAKE_LOCK , 13
android.permission.ACCESS_WIFI_STATE , 11
android.permission.GET_TASKS , 6
android.permission.VIBRATE , 6
com.android.vending.BILLING , 5
android.permission.ACCESS_COARSE_LOCATION , 4
com.google.android.c2dm.permission.RECEIVE , 4
com.android.vending.CHECK_LICENSE , 3
android.permission.RECEIVE_BOOT_COMPLETED , 3
android.permission.SYSTEM_ALERT_WINDOW , 3
android.permission.MODIFY_AUDIO_SETTINGS , 3
android.permission.GET_ACCOUNTS , 3
android.permission.BLUETOOTH , 2
android.permission.ACCESS_FINE_LOCATION , 2
com.android.launcher.permission.INSTALL_SHORTCUT , 2
android.webkit.permission.PLUGIN , 2
android.permission.WRITE_SETTINGS , 2
android.permission.DISABLE_KEYGUARD , 1
com.android.launcher.permission.UNINSTALL_SHORTCUT , 1
android.permission.READ_LOGS , 1
com.wBlackJackSkillSharpener.permission.C2D_MESSAGE , 1
android.permission.SEND_SMS , 1
android.permission.INSTALL_PACKAGES , 1
com.panez.sutta.permission.C2D_MESSAGE , 1
com.wCougarGames.permission.C2D_MESSAGE , 1
android.permission.CALL_PHONE , 1
android.permission.READ_SMS , 1
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 1
android.permission.CHANGE_WIFI_STATE , 1
android.permission.RECEIVE_SMS , 1
