permission , count
SUM , 71371
android.permission.INTERNET , 66917
android.permission.ACCESS_NETWORK_STATE , 53856
android.permission.READ_EXTERNAL_STORAGE , 40229
android.permission.WRITE_EXTERNAL_STORAGE , 40196
android.permission.READ_PHONE_STATE , 22632
android.permission.WAKE_LOCK , 19279
android.permission.ACCESS_WIFI_STATE , 18071
android.permission.VIBRATE , 14144
android.permission.ACCESS_FINE_LOCATION , 13559
android.permission.ACCESS_COARSE_LOCATION , 12190
android.permission.GET_ACCOUNTS , 11815
com.google.android.c2dm.permission.RECEIVE , 11800
android.permission.CAMERA , 7483
android.permission.RECORD_AUDIO , 6554
com.android.vending.BILLING , 5970
android.permission.CALL_PHONE , 4650
com.android.vending.CHECK_LICENSE , 4587
android.permission.GET_TASKS , 4223
android.permission.RECEIVE_BOOT_COMPLETED , 4159
android.permission.READ_CONTACTS , 2689
com.google.android.providers.gsf.permission.READ_GSERVICES , 2602
android.permission.MODIFY_AUDIO_SETTINGS , 2521
android.permission.SEND_SMS , 2209
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 2172
android.permission.WRITE_CONTACTS , 2118
android.permission.BROADCAST_STICKY , 1913
android.permission.READ_CALL_LOG , 1824
com.android.launcher.permission.INSTALL_SHORTCUT , 1766
android.permission.DISABLE_KEYGUARD , 1565
android.permission.READ_CALENDAR , 1533
android.permission.WRITE_CALENDAR , 1529
android.permission.WRITE_CALL_LOG , 1498
android.permission.CHANGE_WIFI_STATE , 1420
android.permission.RECEIVE_SMS , 1373
android.permission.SYSTEM_ALERT_WINDOW , 1348
android.permission.RESTART_PACKAGES , 1334
android.permission.WRITE_SETTINGS , 1306
android.permission.USE_CREDENTIALS , 1283
android.permission.READ_LOGS , 1135
android.permission.FLASHLIGHT , 981
android.webkit.permission.PLUGIN , 943
android.permission.RECORD_VIDEO , 898
android.permission.ACCESS_MOCK_LOCATION , 860
android.permission.SET_WALLPAPER , 836
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 812
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 806
android.permission.CHANGE_NETWORK_STATE , 701
android.permission.ACCESS_GPS , 645
android.permission.CHANGE_CONFIGURATION , 643
android.permission.KILL_BACKGROUND_PROCESSES , 615
android.permission.BLUETOOTH , 558
android.permission.ACCESS_LOCATION , 551
android.permission.ACCESS_ASSISTED_GPS , 530
android.permission.MANAGE_ACCOUNTS , 524
com.android.launcher.permission.UNINSTALL_SHORTCUT , 486
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 468
com.amazon.device.messaging.permission.RECEIVE , 453
android.permission.WRITE_INTERNAL_STORAGE , 432
android.permission.BLUETOOTH_ADMIN , 395
android.permission.AUTHENTICATE_ACCOUNTS , 295
android.permission.NFC , 284
android.permission.CALL_PRIVILEGED , 276
READ_PHONE_STATE , 269
android.permission.WRITE_OWNER_DATA , 234
android.permission.READ_SMS , 222
android.permission.READ_OWNER_DATA , 203
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION , 170
android.permission.STORAGE , 160
android.permission.DEVICE_POWER , 158
com.android.launcher.permission.READ_SETTINGS , 138
com.sec.android.iap.permission.BILLING , 138
android.permission.CLEAR_APP_CACHE , 136
com.google.android.c2dm.permission.SEND , 126
android.permission.WRITE_SYNC_SETTINGS , 120
com.bh.superflashcard.android.phonegap.permission.C2D_MESSAGE , 120
com.android.alarm.permission.SET_ALARM , 118
android.permission. , 113
android.permission.MODIFY_PHONE_STATE , 106
android.permission.INSTALL_PACKAGES , 100
android.permission.PROCESS_OUTGOING_CALLS , 99
android.permission.WRITE_SMS , 98
android.permission.PERSISTENT_ACTIVITY , 97
android.permission.READ_SYNC_SETTINGS , 93
android.permission.SET_DEBUG_APP , 89
android.permission.ACCESS_CORSE_LOCATION , 88
android.permission.BATTERY_STATS , 87
com.google.android.gms.permission.ACTIVITY_RECOGNITION , 87
android.permission.CHANGE_WIFI_MULTICAST_STATE , 86
android.permission.ACCESS_DOWNLOAD_MANAGER , 80
android.permission.SET_ORIENTATION , 75
android.permission.HARDWARE_TEST , 75
com.android.email.permission.ACCESS_PROVIDER , 71
com.example.gcm.permission.C2D_MESSAGE , 71
com.lge.launcher.permission.INSTALL_SHORTCUT , 70
com.motorola.launcher.permission.INSTALL_SHORTCUT , 70
android.permission.INTERACT_ACROSS_USERS_FULL , 70
com.motorola.dlauncher.permission.INSTALL_SHORTCUT , 70
com.android.email.permission.READ_ATTACHMENT , 69
android.permission.DELETE_PACKAGES , 67
android.permissions.RECEIVE_BOOT_COMPLETED , 66
com.htc.launcher.permission.READ_SETTINGS , 66
com.motorola.launcher.permission.READ_SETTINGS , 63
org.adw.launcher.permission.READ_SETTINGS , 63
com.lge.launcher.permission.READ_SETTINGS , 63
com.fede.launcher.permission.READ_SETTINGS , 63
com.motorola.dlauncher.permission.READ_SETTINGS , 63
android.permission.WRITE_SECURE_SETTINGS , 61
android.permission.DIAL_PHONE , 60
android.permission.REORDER_TASKS , 59
android.permission.READ_INTERNAL_STORAGE , 57
android.permission.SET_WALLPAPER_HINTS , 57
android.permission.UPDATE_DEVICE_STATS , 56
com.ellucian.elluciango.permission.MAPS_RECEIVE , 56
android.permission.ACCOUNT_MANAGER , 53
android.permission.READ_SYNC_STATS , 52
android.permission.C2D_MESSAGE , 51
android.permission.RECEIVE_USER_PRESENT , 43
android.permission.REBOOT , 41
android.permission.ACCESS_ALL_DOWNLOADS , 40
org.onepf.openiab.permission.BILLING , 40
com.android.launcher.permission.WRITE_SETTINGS , 38
android.permission.BIND_NOTIFICATION_LISTENER_SERVICE , 37
com.tmoney.vending.INBILLING , 37
android.permission.READ_PROFILE , 36
com.rvinyard.gazette.acw.ARTICLES , 35
