permission , count
SUM , 68883
android.permission.INTERNET , 64242
android.permission.ACCESS_NETWORK_STATE , 55891
android.permission.READ_EXTERNAL_STORAGE , 40210
android.permission.WRITE_EXTERNAL_STORAGE , 40043
android.permission.READ_PHONE_STATE , 25854
android.permission.ACCESS_WIFI_STATE , 17677
android.permission.WAKE_LOCK , 17238
android.permission.ACCESS_FINE_LOCATION , 14551
android.permission.VIBRATE , 14152
android.permission.ACCESS_COARSE_LOCATION , 13624
com.google.android.c2dm.permission.RECEIVE , 10606
android.permission.GET_ACCOUNTS , 10377
android.permission.CAMERA , 9353
android.permission.RECEIVE_BOOT_COMPLETED , 6319
android.permission.RECORD_AUDIO , 5414
android.permission.SET_WALLPAPER , 4416
android.permission.GET_TASKS , 4386
android.permission.CALL_PHONE , 4056
android.permission.WRITE_SETTINGS , 3385
android.permission.READ_CONTACTS , 2717
android.permission.SYSTEM_ALERT_WINDOW , 2713
com.android.vending.BILLING , 2677
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 2404
android.permission.SEND_SMS , 2388
android.permission.MODIFY_AUDIO_SETTINGS , 2145
com.android.launcher.permission.INSTALL_SHORTCUT , 2143
com.google.android.providers.gsf.permission.READ_GSERVICES , 2107
android.permission.READ_CALL_LOG , 1795
android.permission.WRITE_CONTACTS , 1626
android.permission.FLASHLIGHT , 1521
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 1375
android.permission.CHANGE_WIFI_STATE , 1358
com.android.vending.CHECK_LICENSE , 1350
android.permission.DISABLE_KEYGUARD , 1260
android.permission.BROADCAST_STICKY , 1242
android.permission.SET_WALLPAPER_HINTS , 1201
android.permission.WRITE_CALL_LOG , 1150
android.permission.READ_CALENDAR , 1055
android.permission.USE_CREDENTIALS , 1006
android.permission.RECEIVE_SMS , 990
android.permission.READ_LOGS , 945
android.permission.WRITE_CALENDAR , 924
android.permission.ACCESS_MOCK_LOCATION , 859
android.permission.BLUETOOTH , 853
android.permission.CHANGE_CONFIGURATION , 724
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 684
com.android.launcher.permission.UNINSTALL_SHORTCUT , 638
com.amazon.device.messaging.permission.RECEIVE , 626
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 625
android.webkit.permission.PLUGIN , 550
android.permission.CHANGE_NETWORK_STATE , 534
com.skt.sptagentgl.ThemeProvider.THEME , 470
android.permission.BLUETOOTH_ADMIN , 458
android.permission.RECORD_VIDEO , 456
android.permission.RESTART_PACKAGES , 449
android.permission.READ_SMS , 382
android.permission.CHANGE_WIFI_MULTICAST_STATE , 360
android.permission.WRITE_INTERNAL_STORAGE , 338
android.permission.KILL_BACKGROUND_PROCESSES , 337
com.android.alarm.permission.SET_ALARM , 295
com.android.launcher.permission.READ_SETTINGS , 285
android.permission.MANAGE_ACCOUNTS , 247
com.motorola.launcher.permission.INSTALL_SHORTCUT , 215
com.lge.launcher.permission.INSTALL_SHORTCUT , 212
com.motorola.dlauncher.permission.INSTALL_SHORTCUT , 212
android.permission.ACCESS_LOCATION , 205
android.permission.WRITE_SMS , 203
android.permission.ACCESS_GPS , 192
com.htc.launcher.permission.READ_SETTINGS , 192
com.fede.launcher.permission.READ_SETTINGS , 188
org.adw.launcher.permission.READ_SETTINGS , 188
com.lge.launcher.permission.READ_SETTINGS , 187
com.google.android.gms.permission.ACTIVITY_RECOGNITION , 187
android.permission.PROCESS_OUTGOING_CALLS , 185
com.motorola.launcher.permission.READ_SETTINGS , 185
com.motorola.dlauncher.permission.READ_SETTINGS , 185
android.permission.ACCESS_CORSE_LOCATION , 182
android.permission.READ_OWNER_DATA , 160
android.permission.AUTHENTICATE_ACCOUNTS , 160
android.permission.NFC , 156
android.permission.WRITE_OWNER_DATA , 153
android.permission.BATTERY_STATS , 138
android.permission.INSTALL_PACKAGES , 132
android.permission.CLEAR_APP_CACHE , 132
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION , 123
android.permission.SET_ORIENTATION , 116
android.permission.ACCESS_ASSISTED_GPS , 115
com.android.launcher.permission.WRITE_SETTINGS , 105
android.permission.ACCESS_DOWNLOAD_MANAGER , 102
android.permission.WRITE_SYNC_SETTINGS , 101
android.permission.DEVICE_POWER , 99
android.permission.READ_SYNC_SETTINGS , 96
android.permission.DELETE_PACKAGES , 94
android.permission.SET_DEBUG_APP , 92
android.permission.READ_INTERNAL_STORAGE , 90
android.permission.EXPAND_STATUS_BAR , 89
com.htc.launcher.permission.WRITE_SETTINGS , 88
READ_PHONE_STATE , 86
com.fede.launcher.permission.WRITE_SETTINGS , 85
org.adw.launcher.permission.WRITE_SETTINGS , 85
com.lge.launcher.permission.WRITE_SETTINGS , 84
com.motorola.dlauncher.permission.WRITE_SETTINGS , 83
com.motorola.launcher.permission.WRITE_SETTINGS , 83
android.permission.STORAGE , 82
android.permission.READ_PROFILE , 77
com.anddoes.launcher.permission.READ_SETTINGS , 76
android.permissions.RECEIVE_BOOT_COMPLETED , 74
android.permission.INTERACT_ACROSS_USERS_FULL , 74
com.anddoes.launcher.permission.WRITE_SETTINGS , 74
com.teslacoilsw.launcher.permission.WRITE_SETTINGS , 72
android.permission.MODIFY_PHONE_STATE , 72
com.teslacoilsw.launcher.permission.READ_SETTINGS , 72
android.permission.RAISED_THREAD_PRIORITY , 63
com.goodbarber.v2.permission.MAPS_RECEIVE , 62
android.permission.CALL_PRIVILEGED , 62
com.Slacker.sdk.Broadcast.AddFavorite , 57
android.permission.RECEIVE_MMS , 52
com.example.gcm.permission.C2D_MESSAGE , 46
www.conduit.app.permission.C2D_MESSAGE , 44
android.permission.RECEIVE_USER_PRESENT , 43
android.permission.CONTROL_LOCATION_UPDATES , 42
android.permission.WRITE_SECURE_SETTINGS , 41
android.permission.REORDER_TASKS , 41
android.permission.READ_SYNC_STATS , 40
android.permission.ACCESS_COARSE_UPDATES , 38
android.permission.ACCESS_SURFACE_FLINGER , 37
android.permission.ACCOUNT_MANAGER , 35
android.permission.ACTION_TIME_CHANGED , 34
android.permission.ACTION_TIMEZONE_CHANGED , 34
android.permission.STATUS_BAR , 33
com.sonyericsson.extras.liveware.aef.EXTENSION_PERMISSION , 33
android.permission.BIND_WALLPAPER , 32
android.permission.READ_HISTORY_BOOKMARKS , 32
android.permission.READ_EXTERNAL_STORAGE_EXTERNAL_STORAGE , 31
android.permission.ACCESS_COURSE_LOCATION , 30
android.permission.MEDIA_CONTENT_CONTROL , 29
au.com.boogieroom.menu.permission.C2D_MESSAGE , 29
com.example.mapdemo.permission.MAPS_RECEIVE , 29
android.permission.UPDATE_DEVICE_STATS , 28
android.permission.INSTALL_SHORTCUT , 28
android.permission.READ_USER_DICTIONARY , 27
android.permission.WRITE_HISTORY_BOOKMARKS , 27
android.permission.WRITE_APN_SETTINGS , 27
android.permission.GET_RECEIVE_COMPLETED , 27
android.permission.REBOOT , 26
android.permission.ACCESS_SUPERUSER , 26
android.permission.GET_TOP_ACTIVITY_INFO , 26
android.permission.ACCESS_ALL_DOWNLOADS , 25
android.permission.UNINSTALL_SHORTCUT , 25
android.permission.RECEIVE_WAP_PUSH , 24
android.permission.HARDWARE_TEST , 24
android.permission.BIND_NOTIFICATION_LISTENER_SERVICE , 23
android.permission.MOUNT_FORMAT_FILESYSTEMS , 23
android.permission.LOCATION , 23
mobi.mgeek.TunnyBrowser.permission.READ_HISTORY_BOOKMARKS , 22
com.dolphin.browser.permission.ACCESS_PROVIDER , 22
android.permission.SYSTEM_OVERLAY_WINDOW , 22
mobi.mgeek.TunnyBrowser.permission.WRITE_HISTORY_BOOKMARKS , 22
org.mozilla.firefox.permissions.BROWSER_PROVIDER , 22
android.permission.SET_PREFERRED_APPLICATIONS , 21
android.permission.WRITE_USER_DICTIONARY , 21
android.hardware.camera.autofocus , 21
com.legion2app.biznes.s.permission.C2D_MESSAGE , 21
android.permission.ACCESS_COARSE , 20
android.permission.DELETE_CACHE_FILES , 20
android.permission.TRANSMIT_IR , 20
android.permission.ACCESS_CHECKIN_PROPERTIES , 20
.permission.C2D_MESSAGE , 19
android.permission.SET_WALLPAPER_HINT , 19
android.permission.CHANGE_COMPONENT_ENABLED_STATE , 18
com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY , 18
android.permission.USE_SIP , 18
android.permission.FINE_LOCATION , 18
android.permission.GET_PACKAGE_SIZE , 18
android.permission.CLEAR_APP_USER_DATA , 17
android.permission.ACCESS_NETWORK , 17
android.permission.READ_SOCIAL_STREAM , 17
android.permission.READ_FRAME_BUFFER , 17
com.android.email.permission.ACCESS_PROVIDER , 15
com.google.android.googleapps.permission.GOOGLE_AUTH , 15
android.permission.ACCESS_PROVIDER , 15
android.permission.PERSISTENT_ACTIVITY , 15
android.permission.MANAGE_DOCUMENTS , 15
android.permission.WRITE_MEDIA_STORAGE , 15
com.sec.android.permission.PERSONAL_MEDIA , 14
android.permission.WRITE_SOCIAL_STREAM , 14
android.permission.WRITE_PHONE_STATE , 14
android.permission.READ_ATTACHMENT , 14
android.permission.CHANGE_NETWORK , 14
android.permission.INTERNAL_SYSTEM_WINDOW , 14
com.google.android.apps.googlevoice.permission.SEND_SMS , 14
com.presspad.gcm.permission.C2D_MESSAGE , 13
com.blockbuster.app.permission.ACCESS_DOWNLOAD_MANAGER , 12
com.google.android.apps.googlevoice.permission.RECEIVE_SMS , 12
android.permission.NETWORK , 12
android.permission.FLAG_ACTIVITY_NEW_TASK , 12
com.msmobile.delivery.permission.C2D_MESSAGE , 12
com.amazon.permission.SET_FLAG_NOSOFTKEYS , 12
com.android.setting.permission.ALLSHARE_CAST_SERVICE , 11
com.google.android.googleapps.permission.GOOGLE_AUTH.youtube , 11
com.android.launcher.permission.WRITE_HISTORY_BOOKMARKS , 11
android.permission.BAIDU_LOCATION_SERVICE , 11
android.hardware.camera , 11
android.permission.PREVENT_POWER_KEY , 11
android.permission.WRITE , 10
android.permission.ACCESS_CELL_ID , 10
android.permission.SET_ALARM , 10
android.permission.SEND_MAIL , 10
android.permission.BIND_APPWIDGET , 10
com.google.android.c2dm.permission.SEND , 10
android.permission.C2D_MESSAGE , 10
com.google.android.gallery3d.permission.GALLERY_PROVIDER , 10
android.permission.SUBSCRIBED_FEEDS_WRITE , 9
com.shotformats.biscoot.permission.C2D_MESSAGE , 9
jp.app_mart.permissions.APPMART_BILLING , 9
android.permission.GET_ACCOUTNTS , 9
com.google.android.c2dm.permission.REGISTER , 9
android.permission.SET_TIME_ZONE , 9
android.permission.ACTION_HEADSET_PLUG , 9
android.permission.FACTORY_TEST , 8
android.permission.INJECT_EVENTS , 8
com.vogella.android.locationapi.maps.permission.MAPS_RECEIVE , 8
android.permission.WRITE_GSERVICES , 8
com.felicanetworks.mfc.permission.MFC_ACCESS , 8
android.permission.BILLING , 8
android.permission.ADD_SYSTEM_SERVICE , 8
com.sec.android.iap.permission.BILLING , 8
android.permission.ACCESS_BACKGROUND_SERVICE , 8
com.appmajik.permission.MAPS_RECEIVE , 7
android.permission.WIFI_SERVICE , 7
com.sec.android.provider.badge.permission.READ , 7
android.permission.ACCES_MOCK_LOCATION , 7
br.com.jalan.oasis2.permission.MAPS_RECEIVE , 7
com.example.permission.MAPS_RECEIVE , 7
android.permission.DIAL_PHONE , 7
android.permission.CONFIGURE_SIP , 7
com.sec.android.provider.badge.permission.WRITE , 7
android.hardware.sensor.accelerometer , 7
android.permission.BROADCAST_SMS , 7
android.permission.DELETE_EXTERNAL_STORAGE , 7
android.permission.BOOT_COMPLETED , 7
com.layar.permission.MAPS_RECEIVE , 7
com.adlocus.permission.SEND , 7
android.permission.BIND_ACCESSIBILITY_SERVICE , 7
com.nepalfmradio.permission.C2D_MESSAGE , 6
com.screenwavemedia.swmvideos.permission.C2D_MESSAGE , 6
com.google.android.gm.permission.READ_CONTENT_PROVIDER , 6
android.permission.WRITE_INTERAL_STORAGE , 6
android.permission.WRITE_GMAIL , 6
android.permission.CAPTURE_AUDIO_OUTPUT , 6
com.google.android.gm.permission.WRITE_GMAIL , 6
android.permission.ACCESS_LOCATION_EXTRA , 6
com.play.app.permission.C2D_MESSAGE , 6
android.permission.ACCESS_DRM , 6
android.permission.SET_PROCESS_LIMIT , 6
com.sony.remotecontrol.permission.API , 6
com.android.email.permission.READ_ATTACHMENT , 6
com.google.android.gm.permission.READ_GMAIL , 6
android.permission.STATUS_BAR_SERVICE , 6
android.permission.DUMP , 6
com.tmoney.vending.INBILLING , 6
com.im.fantastic.master.permission.MAPS_RECEIVE , 6
com.oceans_sushiv2.permission.MAPS_RECEIVE , 6
android.permission.BIND_INPUT_METHOD , 5
android.permission.NETWORK_STATE , 5
com.nokia.pushnotifications.permission.RECEIVE , 5
rs.wm.appbuilder.library.components.locationmap.permission.MAPS_RECEIVE , 5
com.sec.android.app.browser.permission.HOMEPAGE , 5
uk.co.pixelkicks.APPNAME.permission.C2D_MESSAGE , 5
$PACKAGE_NAME.permission.C2D_MESSAGE , 5
android.permission.PERMISSION_NAME , 5
com.facebook.permission.prod.FB_APP_COMMUNICATION , 5
com.aquamobile.apps.permission.MAPS_RECEIVE , 5
andorid.permission.CHANGE_CONFIGURATION , 5
com.webcraftbd.flickr.permission.C2D_MESSAGE , 5
android.permission.SET_ANIMATION_SCALE , 5
android.permission.WIFI_STATE , 5
preferExternal , 5
android.permission.LOCATION_HARDWARE , 5
com.example.androidmapsv2.permission.MAPS_RECEIVE , 5
com.applacarte.permission.MAPS_RECEIVE , 5
com.gameinsight.fzmobile.permission.GETFZUDID , 5
jp.co.toshiba.ome.android.tagprovider.permission.db , 5
android.permission.STOP_APP_SWITCHES , 5
com.appingo.permission.C2D_MESSAGE , 5
com.qihoo360.launcher.permission.READ_SETTINGS , 4
com.greatms.catalog.permission.MAPS_RECEIVE , 4
android.permission.UPDATE_DEVICE_STATE , 4
android.permission.MAPS_RECEIVE , 4
android.permission.COARSE_LOCATION , 4
au.com.peacockdigital.go2events.permission.MAPS_RECEIVE , 4
.permission.MAPS_RECEIVE , 4
android.permission.CHECK_LICENSE , 4
android.permission.ACCESS_PHONE_STATE , 4
com.celltick.lockscreen.permission.C2D_MESSAGE , 4
android.permission.BROADCAST_PACKAGE_REMOVED , 4
info.projectkyoto.mms.contentprovider.permission.NOT_OPEN , 4
android.net.conn.CONNECTIVITY_CHANGE , 4
com.ford.android.autoshow.permission.MAPS_RECEIVE , 4
com.huawei.android.launcher.permission.READ_SETTINGS , 4
jun.hair.permission.MAPS_RECEIVE , 4
android.permission.INSTALL_DRM , 4
com.rainbowapps.gpslogger.permission.MAPS_RECEIVE , 4
android.permission.READ_SETTINGS , 4
com.google.android.apps.photos.permission.GOOGLE_PHOTOS , 4
com.sonyericsson.home.permission.BROADCAST_BADGE , 4
android.permission.READ_GSERVICES , 4
android.permission_group.PHONE_CALLS , 3
android.permission.BIND_REMOTEVIEWS , 3
android.permisson.READ_EXTERNAL_STORAGE , 3
android.permission.DELETE , 3
android.permission.SEND , 3
android.permission.RECEIVE_PACKAGE_RESTARTED , 3
com.xcr.android.ticketscanada.permission.C2D_MESSAGE , 3
com.samsung.yosemite.permission.CONTENT_WRITE , 3
net.gree.sample.GreeHelloSample.permission.C2D_MESSAGE , 3
com.kth.baasio.startup.permission.C2D_MESSAGE , 3
android.permission.BRICK , 3
android.permisssion.ACCESS_COARSE_LOCATION , 3
com.google.android.tv.permission.READ_CHANNELS , 3
android.permission.BLUETOOTH_PRIVILEGED , 3
com.androidhive.pushnotifications.permission.C2D_MESSAGE , 3
adnroid.permission.CHANGE_WIFI_STATE , 3
com.dlto.fanship.permission.C2D_MESSAGE , 3
android.MOUNT_UNMOUNT_FILESYSTEMS , 3
com.magplus.svenbenny.whitelabelapplication.permission.C2D_MESSAGE , 3
com.tv24group.android.permission.C2D_MESSAGE , 3
com.humorjokes.dirtyjokes.C2D_MESSAGE , 3
android.permission. , 3
android.permission.USES_POLICY_FORCE_LOCK , 3
android.permission.WIFI_STATE_CHANGED , 3
