permission , count
SUM , 20203
android.permission.INTERNET , 19115
android.permission.ACCESS_NETWORK_STATE , 15649
android.permission.READ_EXTERNAL_STORAGE , 11224
android.permission.WRITE_EXTERNAL_STORAGE , 11189
android.permission.READ_PHONE_STATE , 7213
android.permission.ACCESS_FINE_LOCATION , 6906
android.permission.ACCESS_COARSE_LOCATION , 6037
android.permission.CAMERA , 4951
android.permission.VIBRATE , 4678
android.permission.WAKE_LOCK , 4561
android.permission.ACCESS_WIFI_STATE , 4118
com.google.android.c2dm.permission.RECEIVE , 3911
android.permission.GET_ACCOUNTS , 3849
android.permission.CALL_PHONE , 3110
android.permission.READ_CONTACTS , 2490
com.google.android.providers.gsf.permission.READ_GSERVICES , 2306
android.permission.RECEIVE_BOOT_COMPLETED , 1606
android.permission.GET_TASKS , 1414
android.permission.READ_CALL_LOG , 1283
android.permission.RECORD_AUDIO , 1190
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 1183
android.permission.RECEIVE_SMS , 988
android.permission.SEND_SMS , 985
android.permission.WRITE_CONTACTS , 706
android.permission.USE_CREDENTIALS , 684
com.android.vending.BILLING , 671
android.permission.ACCESS_MOCK_LOCATION , 659
android.permission.MODIFY_AUDIO_SETTINGS , 652
android.permission.BROADCAST_STICKY , 644
android.permission.CHANGE_WIFI_STATE , 627
android.permission.FLASHLIGHT , 471
com.android.launcher.permission.INSTALL_SHORTCUT , 450
android.permission.RESTART_PACKAGES , 449
com.android.vending.CHECK_LICENSE , 433
android.permission.WRITE_CALL_LOG , 425
android.permission.BLUETOOTH , 391
android.permission.CHANGE_NETWORK_STATE , 368
android.permission.READ_LOGS , 368
android.permission.READ_SMS , 362
android.permission.KILL_BACKGROUND_PROCESSES , 350
android.permission.WRITE_SETTINGS , 325
android.permission.NFC , 285
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 283
android.permission.SYSTEM_ALERT_WINDOW , 266
android.permission.BLUETOOTH_ADMIN , 254
android.permission.READ_CALENDAR , 252
android.permission.WRITE_CALENDAR , 248
android.permission.RECORD_VIDEO , 232
android.webkit.permission.PLUGIN , 231
android.permission.READ_PROFILE , 225
android.permission.DISABLE_KEYGUARD , 213
com.jackhenry.godough.core.permission.MAPS_RECEIVE , 210
com.jackhenry.godough.core.permission.ACTIVITY , 210
android.permission.WRITE_SMS , 199
android.permission.ACCESS_GPS , 184
android.permission.INSTALL_PACKAGES , 163
android.permission.CHANGE_CONFIGURATION , 160
android.permission.WRITE_INTERNAL_STORAGE , 149
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 134
com.android.launcher.permission.UNINSTALL_SHORTCUT , 132
android.permission.MANAGE_ACCOUNTS , 132
android.permission.DELETE_PACKAGES , 121
android.permission.ACCESS_LOCATION , 117
android.permission.AUTHENTICATE_ACCOUNTS , 96
android.permission.ADD_SYSTEM_SERVICE , 86
android.permission.ACCESS_ASSISTED_GPS , 83
com.amazon.device.messaging.permission.RECEIVE , 70
com.meafinancial.android.permission.MAPS_RECEIVE , 67
android.permission.WRITE_SYNC_SETTINGS , 64
android.permission.ACCESS_COURSE_LOCATION , 59
com.metova.cuae.permission.C2D_MESSAGE , 58
org.simalliance.openmobileapi.SMARTCARD , 58
com.metova.cuae.permission.MAPS_RECEIVE , 58
android.permission.SET_WALLPAPER , 54
android.permission.CHANGE_WIFI_MULTICAST_STATE , 54
android.permission.DEVICE_POWER , 53
com.android.launcher.permission.READ_SETTINGS , 52
android.permission.CONTROL_LOCATION_UPDATES , 49
android.permission.READ_SYNC_SETTINGS , 49
android.permission.CLEAR_APP_CACHE , 46
android.permission.BATTERY_STATS , 45
android.permission.INTERACT_ACROSS_USERS_FULL , 45
android.permission.READ_OWNER_DATA , 44
android.permission.CALL_PRIVILEGED , 43
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 43
android.permission.SMARTCARD , 40
android.permission.SET_DEBUG_APP , 39
com.android.alarm.permission.SET_ALARM , 39
com.google.android.c2dm.permission.REGISTER , 38
org.wescom.ibranch.permission.MAPS_RECEIVE , 38
com.android.launcher.action.INSTALL_SHORTCUT , 35
android.permission.NFC_TRANSACTION , 35
com.cmcflex.ftmobile.permission.MAPS_RECEIVE , 35
com.cmcflex.ftmobile.permission.C2D_MESSAGE , 35
android.permission.WRITE_OWNER_DATA , 34
android.permission.PROCESS_OUTGOING_CALLS , 33
android.permission.MODIFY_PHONE_STATE , 33
android.permission.UPDATE_DEVICE_STATS , 31
com.firstnational.fnbo.permission.MAPS_RECEIVE , 30
android.permission.READ_SYNC_STATS , 28
android.permission.REORDER_TASKS , 28
android.permission.WRITE_SECURE_SETTINGS , 27
android.permission.DELETE_CACHE_FILES , 27
nz.co.mcom.permission.MAPS_RECEIVE , 27
android.permission.READ_INTERNAL_STORAGE , 27
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION , 27
android.permission.RECEIVE_USER_PRESENT , 26
com.google.android.c2dm.permission.SEND , 26
.permission.MAPS_RECEIVE , 26
.C2D_MESSAGE , 26
com.smartonline.mobileapp.permission.MAPS_RECEIVE , 26
android.permission.ACCOUNT_MANAGER , 25
android.permission.BAIDU_LOCATION_SERVICE , 24
android.permission.ACCESS_COARSE_UPDATES , 24
android.permission.PERSISTENT_ACTIVITY , 23
android.permission.LOCATION , 23
nz.co.mcom.mobilebanking.permission.INTERNAL_ACCESS_ONLY , 21
com.android.email.permission.ACCESS_PROVIDER , 20
READ_PHONE_STATE , 20
com.gsma.services.nfc.permission.TRANSACTION_EVENT , 20
android.permission.SET_ORIENTATION , 20
android.permission.ACCESS_CORSE_LOCATION , 19
android.permission.ACCESS_DOWNLOAD_MANAGER , 18
com.example.mapdemo.permission.MAPS_RECEIVE , 16
com.sktelecom.smartcard.permission.SERVICE_ACCESS , 16
android.permission.BOOT_COMPLETED , 15
com.sonyericsson.extras.liveware.aef.EXTENSION_PERMISSION , 15
android.permission.EXPAND_STATUS_BAR , 14
com.sec.android.provider.badge.permission.READ , 14
android.permission.HARDWARE_TEST , 14
android.permission.INSTALL_LOCATION_PROVIDER , 14
com.sec.android.provider.badge.permission.WRITE , 14
android.permission.ACCES_MOCK_LOCATION , 13
android.permission.RECEIVE_MMS , 13
android.permission.ACCESS_CELL_ID , 12
android.permission.MANAGE_DOCUMENTS , 12
com.android.launcher.permission.WRITE_SETTINGS , 12
android.permissions.RECEIVE_BOOT_COMPLETED , 12
com.celltick.lockscreen.permission.C2D_MESSAGE , 12
android.permission.ACCESS_CHECKIN_PROPERTIES , 11
com.google.android.c2dm.intent.REGISTRATION , 11
android.permission.WRITE_APN_SETTINGS , 11
android.permission.BIND_INPUT_METHOD , 10
com.google.android.gms.permission.ACTIVITY_RECOGNITION , 10
com.example.gcm.permission.C2D_MESSAGE , 10
android.permission.MOUNT_FORMAT_FILESYSTEMS , 10
com.sonyericsson.home.permission.BROADCAST_BADGE , 10
android.permission.ACCESS_NETWORK , 10
