permission , count
SUM , 8814
android.permission.INTERNET , 8613
android.permission.ACCESS_NETWORK_STATE , 7908
android.permission.READ_EXTERNAL_STORAGE , 4513
android.permission.WRITE_EXTERNAL_STORAGE , 4490
android.permission.READ_PHONE_STATE , 3768
android.permission.ACCESS_WIFI_STATE , 3137
android.permission.WAKE_LOCK , 2797
android.permission.VIBRATE , 1788
com.android.vending.BILLING , 1774
android.permission.GET_ACCOUNTS , 1267
android.permission.ACCESS_COARSE_LOCATION , 1224
com.google.android.c2dm.permission.RECEIVE , 871
android.permission.GET_TASKS , 762
android.permission.ACCESS_FINE_LOCATION , 734
com.android.vending.CHECK_LICENSE , 621
android.permission.RECEIVE_BOOT_COMPLETED , 507
android.permission.SYSTEM_ALERT_WINDOW , 413
android.permission.BLUETOOTH , 293
android.permission.CAMERA , 166
android.permission.CHANGE_WIFI_STATE , 164
com.android.launcher.permission.INSTALL_SHORTCUT , 157
android.permission.RECORD_AUDIO , 156
android.permission.READ_CONTACTS , 130
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 125
android.permission.MODIFY_AUDIO_SETTINGS , 120
android.permission.DISABLE_KEYGUARD , 118
com.example.gcm.permission.C2D_MESSAGE , 116
android.permission.READ_LOGS , 108
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 107
android.permission.WRITE_SETTINGS , 91
android.permission.USE_CREDENTIALS , 85
android.permission.BROADCAST_STICKY , 83
android.permission.CHANGE_NETWORK_STATE , 78
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 77
android.permission.RECEIVE_SMS , 63
android.webkit.permission.PLUGIN , 61
android.permission.SEND_SMS , 56
com.sec.android.iap.permission.BILLING , 54
android.permission.BLUETOOTH_ADMIN , 52
com.android.launcher.permission.UNINSTALL_SHORTCUT , 44
android.permission.READ_CALL_LOG , 43
android.permission.SET_ORIENTATION , 37
android.permission.CALL_PHONE , 35
com.tmoney.vending.INBILLING , 32
org.onepf.openiab.permission.BILLING , 31
android.permission.READ_SMS , 30
android.permission.RESTART_PACKAGES , 27
com.android.launcher.permission.READ_SETTINGS , 27
android.permission.FLASHLIGHT , 26
android.permission.DEVICE_POWER , 26
com.google.android.gms.permission.ACTIVITY_RECOGNITION , 26
android.permission.KILL_BACKGROUND_PROCESSES , 24
com.freegamesstudio.skyblockislandsurvivalgames.permission.C2D_MESSAGE , 23
com.yandex.store.permission.BILLING , 22
android.permission.RECEIVE_USER_PRESENT , 20
com.google.android.providers.gsf.permission.READ_GSERVICES , 20
android.permission.BACKUP , 19
android.permission.SET_WALLPAPER , 18
android.permission.BATTERY_STATS , 18
android.permission.WRITE_INTERNAL_STORAGE , 17
android.permission.CLEAR_APP_CACHE , 17
android.permission.WRITE_SMS , 17
android.permission.WRITE_CONTACTS , 16
android.permission.MANAGE_ACCOUNTS , 16
android.permission.ACCESS_COARSE_UPDATES , 15
android.permission.START_BACKGROUND_SERVICE , 15
android.permission.BIND_NOTIFICATION_LISTENER_SERVICE , 15
android.permission.INTERACT_ACROSS_USERS_FULL , 13
glshare.permission.ACCESS_SHARED_DATA , 13
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION , 12
.permission.C2D_MESSAGE , 12
com.nokia.payment.BILLING , 12
android.permission.WRITE_APN_SETTINGS , 12
android.permission.ACCESS_MOCK_LOCATION , 11
android.permission.CHANGE_WIFI_MULTICAST_STATE , 11
android.permission.WRITE_CALENDAR , 11
com.android.alarm.permission.SET_ALARM , 10
android.permission.ACCESS_LOCATION , 10
android.permission.SET_PREFERRED_APPLICATIONS , 10
android.permission.ACCESS_GPS , 10
android.permission.CHANGE_COMPONENT_ENABLED_STATE , 10
com.amazon.device.messaging.permission.RECEIVE , 10
android.permission.ACCESS_ASSISTED_GPS , 10
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 9
android.permission.READ_OWNER_DATA , 9
android.permission.WRITE_OWNER_DATA , 9
android.permission.RECORD_VIDEO , 9
android.permission.READ_CALENDAR , 9
android.permission.CHANGE_CONFIGURATION , 9
android.permission.UPDATE_DEVICE_STATS , 9
android.permission.RAISED_THREAD_PRIORITY , 8
android.permission.NFC , 8
android.permission.READ_NETWORK_STATE , 8
android.permission.ACCESS_COARSE , 7
android.permission.ACCESS_COURSE_LOCATION , 7
android.permission.READ_PROFILE , 6
android.permission.INSTALL_PACKAGES , 5
android.permission.RESTART_PACKAGE , 5
android.permission.PROCESS_OUTGOING_CALLS , 5
android.permission.GET_TASK , 5
archos.permission.FULLSCREEN.FULL , 4
android.permission.READ_SYNC_STATS , 4
com.playhaven.unityexample.permission.C2D_MESSAGE , 4
android.permission.READ_INTERNAL_STORAGE , 4
com.motorola.dlauncher.permission.READ_SETTINGS , 4
android.permission.ACCOUNT_MANAGER , 4
android.permission.FINE_LOCATION , 4
android.permission.android.hardware.sensor.accelerometer , 4
com.htc.launcher.permission.READ_SETTINGS , 4
com.motorola.launcher.permission.READ_SETTINGS , 4
android.permission.WRITE_CALL_LOG , 4
com.slideme.sam.manager.inapp.permission.BILLING , 4
android.permission.DELETE_CACHE_FILES , 4
com.jazzysoft.floppygangnam.permission.C2D_MESSAGE , 4
android.permission.WRITE_SYNC_SETTINGS , 4
android.permission.SET_DEBUG_APP , 4
READ_PHONE_STATE , 4
android.permission.AUTHENTICATE_ACCOUNTS , 4
com.fede.launcher.permission.READ_SETTINGS , 4
org.adw.launcher.permission.READ_SETTINGS , 4
com.lge.launcher.permission.READ_SETTINGS , 4
android.permission.HARDWARE_TEST , 3
android.permission.WRITE_MEDIA_STORAGE , 3
com.lge.launcher.permission.INSTALL_SHORTCUT , 3
android.permission.STORAGE , 3
com.android.launcher.permission.WRITE_SETTINGS , 3
android.permission.READ_SYNC_SETTINGS , 3
android.permission.REORDER_TASKS , 3
com.motorola.dlauncher.permission.INSTALL_SHORTCUT , 3
com.your.domain.PAYMENT_BROADCAST_PERMISSION , 3
android.hardware.touchscreen.multitouch , 3
com.sonyericsson.extras.liveware.aef.EXTENSION_PERMISSION , 3
com.playphone.unity.permission.C2D_MESSAGE , 3
com.motorola.launcher.permission.INSTALL_SHORTCUT , 3
android.permission.FLAG_ACTIVITY_NEW_TASK , 2
com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY , 2
com.sigmateam.alienshootermobile.free.permission.C2D_MESSAGE , 2
android.permission.SET_WALLPAPER_HINTS , 2
android.permission.NETWORK , 2
com.lge.launcher.permission.WRITE_SETTINGS , 2
android.permission.BILLING , 2
com.JanRaacke.TheEndOfEarth.permission.C2D_MESSAGE , 2
com.htc.launcher.permission.WRITE_SETTINGS , 2
com.miniclip.angerofstick2.permission.C2D_MESSAGE , 2
com.fede.launcher.permission.WRITE_SETTINGS , 2
com.zc.panda.ninja.permission.JPUSH_MESSAGE , 2
air.com.spectaclegames.pocketstarships.permission.C2D_MESSAGE , 2
com.fourpixels.tdbeta.PERMISSION_READ_PREFS , 2
com.fourpixels.tdfull2.PERMISSION_READ_PREFS , 2
org.adw.launcher.permission.WRITE_SETTINGS , 2
com.facebook.orca.provider.ACCESS , 2
android.permission.READ_SOCIAL_STREAM , 2
com.fourpixels.td.PERMISSION_READ_PREFS , 2
com.motorola.launcher.permission.WRITE_SETTINGS , 2
android.permission.android.permission.WRITE_EXTERNAL_STORAGE , 2
com.anddoes.launcher.permission.READ_SETTINGS , 2
android.permission.WAKEDISABLE_KEYGUARD , 2
postprocessor.replaces.this.permission.C2D_MESSAGE , 2
com.motorola.dlauncher.permission.WRITE_SETTINGS , 2
com.gameinsight.fzmobile.permission.GETFZUDID , 2
android.permission.WRITE_EXTERNALS_STORAGE , 2
com.topfreegames.bikeracefreeworld.permission.C2D_MESSAGE , 2
android.permission.PREVENT_POWER_KEY , 2
com.admofi.admofiliban.permission.C2D_MESSAGE , 2
android.permission.READ_HISTORY_BOOKMARKS , 2
com.fusepowered.unitysample.permission.C2D_MESSAGE , 2
android.permission.WRITE_EXTERNAL_STORAG , 2
com.zirghammustafa.darkrevenge.permission.C2D_MESSAGE , 1
com.mobusi.deathland.permission.C2D_MESSAGE , 1
com.fiftycubes.SpacePiratesIII.permission.C2D_MESSAGE , 1
vn.sohagame.sdkdemo.permission.C2D_MESSAGE , 1
com.wNaughtyBottleSpinFree.permission.C2D_MESSAGE , 1
com.wLifeofaSoldier.permission.C2D_MESSAGE , 1
com.RedMeatGames.CubeSamuraiRUN.permission.C2D_MESSAGE , 1
air.timuzsolutions.triggerdownpro.permission.C2D_MESSAGE , 1
com.regneswari.shellstrike.permission.C2D_MESSAGE , 1
com.ubisoft.rayman.fiestarun.permission.C2D_MESSAGE , 1
android.permission.ACCESS_FILE_LOCATION , 1
com.iugome.lilknights.permission.C2D_MESSAGE , 1
mindnotix.ipl.permission.C2D_MESSAGE , 1
com.tribalwire.selfieshootout.permission.C2D_MESSAGE , 1
com.loadcomplete.AfreecaTV.DiscoPanda.New.permission.C2D_MESSAGE , 1
com.wTapCookieTap.permission.C2D_MESSAGE , 1
com.spacescourge.permission.C2D_MESSAGE , 1
air.com.nyay.CleverVillain.permission.C2D_MESSAGE , 1
com.matsuoakihide.monakimoi.permission.C2D_MESSAGE , 1
com.gameanax.cmthd.permission.C2D_MESSAGE , 1
com.mrgames.larvaheroesfree.permission.C2D_MESSAGE , 1
com.supp.app.stuggleofprincess.permission.C2D_MESSAGE , 1
jp.sepv.BalanceG.c2dm.permission.RECEIVE , 1
com.iterative.spacejump.permission.C2D_MESSAGE , 1
com.wSplatZombies.permission.C2D_MESSAGE , 1
com.freeplay.vn.game.sharkshunter.permission.C2D_MESSAGE , 1
jp.pachi_plus.GaroRunGame.permission.C2D_MESSAGE , 1
com.Ubisoft.GRNetwork.permission.C2D_MESSAGE , 1
com.happymage.google.kingdomdefense.permission.C2D_MESSAGE , 1
com.glu.deadroute.permission.C2D_MESSAGE , 1
com.wGunShootings.permission.C2D_MESSAGE , 1
com.paladin.GunStrike2.permission.C2D_MESSAGE , 1
android.permission.RECIEVE_SMS , 1
com.infinitgame.aloneatwar2.permission.C2D_MESSAGE , 1
com.aplenocio.CandyRain.permission.C2D_MESSAGE , 1
com.panda8.ghostghost.permission.C2D_MESSAGE , 1
com.gamersfree.gamesgalaxycrisis.permission.C2D_MESSAGE , 1
com.dpartnersgroup.Jungle.permission.C2D_MESSAGE , 1
com.adictiz.spacedogplus.permission.C2D_MESSAGE , 1
com.gravybaby.monstersmashermania.permission.C2D_MESSAGE , 1
com.captain.smash.tremor.permission.C2D_MESSAGE , 1
com.skyboard.google.hardestflightever.permission.C2D_MESSAGE , 1
com.OneOrEight.TekuTekuDash.permission.C2D_MESSAGE , 1
com.wLcucaracha.permission.C2D_MESSAGE , 1
games.war.battle.game.guide.permission.C2D_MESSAGE , 1
com.escapethefloppy.permission.C2D_MESSAGE , 1
com.pastagames.ro1mobile.permission.C2D_MESSAGE , 1
com.fde.avpevolution.permission.C2D_MESSAGE , 1
