permission , count
SUM , 4130
android.permission.INTERNET , 3996
android.permission.ACCESS_NETWORK_STATE , 3643
android.permission.READ_EXTERNAL_STORAGE , 2389
android.permission.WRITE_EXTERNAL_STORAGE , 2384
android.permission.READ_PHONE_STATE , 1952
android.permission.ACCESS_WIFI_STATE , 1615
android.permission.WAKE_LOCK , 1375
com.android.vending.BILLING , 1015
android.permission.VIBRATE , 775
android.permission.ACCESS_COARSE_LOCATION , 618
android.permission.GET_ACCOUNTS , 606
com.android.vending.CHECK_LICENSE , 495
com.google.android.c2dm.permission.RECEIVE , 425
android.permission.GET_TASKS , 366
android.permission.ACCESS_FINE_LOCATION , 315
android.permission.SYSTEM_ALERT_WINDOW , 190
android.permission.RECEIVE_BOOT_COMPLETED , 165
android.permission.MODIFY_AUDIO_SETTINGS , 119
android.permission.BLUETOOTH , 111
android.permission.CHANGE_WIFI_STATE , 97
com.android.launcher.permission.INSTALL_SHORTCUT , 83
android.permission.USE_CREDENTIALS , 78
android.permission.CAMERA , 72
android.permission.RECORD_AUDIO , 57
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 54
android.permission.DISABLE_KEYGUARD , 46
android.permission.READ_CONTACTS , 43
android.permission.READ_LOGS , 42
android.permission.MANAGE_ACCOUNTS , 41
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 40
com.example.gcm.permission.C2D_MESSAGE , 39
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 33
android.permission.WRITE_SETTINGS , 31
com.android.launcher.permission.UNINSTALL_SHORTCUT , 29
android.permission.CHANGE_NETWORK_STATE , 25
android.permission.CLEAR_APP_CACHE , 21
android.webkit.permission.PLUGIN , 19
android.permission.SET_ORIENTATION , 18
com.sec.android.iap.permission.BILLING , 18
android.permission.SET_WALLPAPER , 17
com.google.android.providers.gsf.permission.READ_GSERVICES , 14
android.permission.READ_CALL_LOG , 14
android.permission.KILL_BACKGROUND_PROCESSES , 13
android.permission.BATTERY_STATS , 13
android.permission.SEND_SMS , 12
android.permission.BLUETOOTH_ADMIN , 12
android.permission.RESTART_PACKAGES , 11
com.google.android.gms.permission.ACTIVITY_RECOGNITION , 11
android.permission.READ_SMS , 10
android.permission.DEVICE_POWER , 10
org.onepf.openiab.permission.BILLING , 10
android.permission.RECEIVE_SMS , 10
android.permission.BROADCAST_STICKY , 10
android.permission.FLASHLIGHT , 8
android.permission.WRITE_INTERNAL_STORAGE , 8
android.permission.ACCESS_COURSE_LOCATION , 8
com.unity3d.player.permission.C2D_MESSAGE , 7
android.permission.BILLING , 7
android.permission.CHANGE_WIFI_MULTICAST_STATE , 7
android.permission.ACCOUNT_MANAGER , 7
com.android.launcher.permission.READ_SETTINGS , 7
com.tmoney.vending.INBILLING , 7
android.permission.CALL_PHONE , 6
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION , 5
android.permission.WRITE_CONTACTS , 5
android.permission.READ_OWNER_DATA , 5
android.permission.READ_CALENDAR , 5
android.permission.CHANGE_CONFIGURATION , 5
android.permission.WRITE_CALENDAR , 5
android.permission.WRITE_SMS , 5
