permission , count
SUM , 27152
android.permission.INTERNET , 25204
android.permission.ACCESS_NETWORK_STATE , 21355
android.permission.WRITE_EXTERNAL_STORAGE , 12475
android.permission.READ_EXTERNAL_STORAGE , 12471
android.permission.READ_PHONE_STATE , 11007
android.permission.WAKE_LOCK , 7971
android.permission.ACCESS_WIFI_STATE , 6906
android.permission.VIBRATE , 6108
com.android.vending.BILLING , 4487
android.permission.ACCESS_COARSE_LOCATION , 2908
android.permission.GET_ACCOUNTS , 2565
android.permission.ACCESS_FINE_LOCATION , 1737
com.android.vending.CHECK_LICENSE , 1549
com.google.android.c2dm.permission.RECEIVE , 1483
android.permission.GET_TASKS , 1404
android.permission.RECEIVE_BOOT_COMPLETED , 836
android.permission.BLUETOOTH , 800
android.permission.CAMERA , 516
com.android.launcher.permission.INSTALL_SHORTCUT , 448
android.permission.DISABLE_KEYGUARD , 391
android.permission.SYSTEM_ALERT_WINDOW , 369
android.permission.MODIFY_AUDIO_SETTINGS , 359
android.permission.READ_CONTACTS , 352
android.permission.RECORD_AUDIO , 341
android.permission.CHANGE_WIFI_STATE , 293
android.permission.BLUETOOTH_ADMIN , 261
android.permission.BROADCAST_STICKY , 261
android.permission.READ_CALL_LOG , 224
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 224
com.example.gcm.permission.C2D_MESSAGE , 215
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 202
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 197
android.permission.USE_CREDENTIALS , 196
android.permission.READ_LOGS , 186
android.permission.SET_ORIENTATION , 175
android.permission.RECEIVE_SMS , 173
android.permission.CHANGE_NETWORK_STATE , 164
android.permission.SEND_SMS , 146
android.permission.WRITE_SETTINGS , 132
android.permission.CALL_PHONE , 118
android.permission.BATTERY_STATS , 112
com.android.launcher.permission.UNINSTALL_SHORTCUT , 111
android.permission.RESTART_PACKAGES , 107
com.android.launcher.permission.READ_SETTINGS , 100
android.permission.KILL_BACKGROUND_PROCESSES , 98
android.permission.DEVICE_POWER , 93
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 92
android.webkit.permission.PLUGIN , 83
com.fede.launcher.permission.READ_SETTINGS , 81
com.lge.launcher.permission.READ_SETTINGS , 81
com.motorola.dlauncher.permission.READ_SETTINGS , 81
com.htc.launcher.permission.READ_SETTINGS , 81
com.motorola.launcher.permission.READ_SETTINGS , 81
org.adw.launcher.permission.READ_SETTINGS , 81
android.permission.CHANGE_WIFI_MULTICAST_STATE , 80
com.sec.android.iap.permission.BILLING , 75
com.lge.launcher.permission.INSTALL_SHORTCUT , 68
com.motorola.launcher.permission.INSTALL_SHORTCUT , 68
com.motorola.dlauncher.permission.INSTALL_SHORTCUT , 68
com.tmoney.vending.INBILLING , 66
org.onepf.openiab.permission.BILLING , 60
