permission , count
SUM , 5528
android.permission.INTERNET , 5035
android.permission.ACCESS_NETWORK_STATE , 4390
android.permission.READ_EXTERNAL_STORAGE , 2550
android.permission.WRITE_EXTERNAL_STORAGE , 2540
android.permission.READ_PHONE_STATE , 2436
android.permission.ACCESS_WIFI_STATE , 1688
android.permission.WAKE_LOCK , 1489
android.permission.VIBRATE , 1292
com.android.vending.BILLING , 1153
android.permission.GET_ACCOUNTS , 640
android.permission.ACCESS_COARSE_LOCATION , 601
android.permission.ACCESS_FINE_LOCATION , 457
com.google.android.c2dm.permission.RECEIVE , 452
android.permission.GET_TASKS , 340
com.android.vending.CHECK_LICENSE , 300
android.permission.RECEIVE_BOOT_COMPLETED , 255
android.permission.CHANGE_WIFI_STATE , 207
com.android.launcher.permission.INSTALL_SHORTCUT , 198
android.permission.DISABLE_KEYGUARD , 160
android.permission.SYSTEM_ALERT_WINDOW , 151
android.permission.WRITE_SETTINGS , 150
android.permission.CAMERA , 146
android.permission.READ_CONTACTS , 143
android.permission.BLUETOOTH , 136
android.permission.READ_LOGS , 131
android.permission.BLUETOOTH_ADMIN , 125
android.permission.SEND_SMS , 123
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 119
android.permission.MODIFY_AUDIO_SETTINGS , 116
android.permission.CHANGE_NETWORK_STATE , 115
android.permission.RECEIVE_SMS , 110
android.permission.READ_CALL_LOG , 99
android.permission.RECORD_AUDIO , 81
android.permission.RESTART_PACKAGES , 81
android.permission.CALL_PHONE , 77
com.android.launcher.permission.UNINSTALL_SHORTCUT , 64
android.permission.USE_CREDENTIALS , 57
android.permission.BROADCAST_STICKY , 54
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 54
com.sec.android.iap.permission.BILLING , 49
android.permission.READ_SMS , 43
android.permission.WRITE_INTERNAL_STORAGE , 40
android.permission.CHANGE_CONFIGURATION , 37
android.permission.WRITE_APN_SETTINGS , 37
android.permission.KILL_BACKGROUND_PROCESSES , 29
