permission , count
SUM , 4584
android.permission.INTERNET , 4474
android.permission.ACCESS_NETWORK_STATE , 4182
android.permission.READ_EXTERNAL_STORAGE , 2699
android.permission.WRITE_EXTERNAL_STORAGE , 2696
android.permission.READ_PHONE_STATE , 2169
android.permission.WAKE_LOCK , 1758
android.permission.ACCESS_WIFI_STATE , 1720
com.android.vending.BILLING , 1095
android.permission.VIBRATE , 867
android.permission.ACCESS_COARSE_LOCATION , 708
android.permission.GET_ACCOUNTS , 674
com.google.android.c2dm.permission.RECEIVE , 378
android.permission.GET_TASKS , 372
android.permission.ACCESS_FINE_LOCATION , 360
com.android.vending.CHECK_LICENSE , 354
android.permission.RECEIVE_BOOT_COMPLETED , 228
android.permission.SYSTEM_ALERT_WINDOW , 202
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 109
android.permission.READ_CONTACTS , 103
com.android.launcher.permission.INSTALL_SHORTCUT , 84
com.example.gcm.permission.C2D_MESSAGE , 83
android.permission.CHANGE_WIFI_STATE , 80
android.permission.MODIFY_AUDIO_SETTINGS , 74
android.permission.SET_WALLPAPER , 72
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 69
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 65
android.permission.CAMERA , 64
android.permission.BLUETOOTH , 62
android.permission.WRITE_SETTINGS , 57
android.permission.RECORD_AUDIO , 53
android.permission.DISABLE_KEYGUARD , 51
android.permission.USE_CREDENTIALS , 48
android.permission.BROADCAST_STICKY , 45
android.permission.READ_LOGS , 41
android.permission.SET_WALLPAPER_HINTS , 39
android.permission.BLUETOOTH_ADMIN , 34
android.permission.READ_CALL_LOG , 34
com.android.launcher.permission.UNINSTALL_SHORTCUT , 33
android.permission.CHANGE_NETWORK_STATE , 30
com.android.launcher.permission.READ_SETTINGS , 27
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 26
android.permission.KILL_BACKGROUND_PROCESSES , 25
com.google.android.gms.permission.ACTIVITY_RECOGNITION , 24
android.permission.ACCESS_COURSE_LOCATION , 23
android.permission.SET_PREFERRED_APPLICATIONS , 22
android.permission.SEND_SMS , 22
android.permission.RECEIVE_SMS , 22
android.permission.CHANGE_COMPONENT_ENABLED_STATE , 22
android.permission.SET_ORIENTATION , 21
android.permission.CHANGE_WIFI_MULTICAST_STATE , 19
android.permission.WRITE_INTERNAL_STORAGE , 18
android.permission.FLASHLIGHT , 17
com.motorola.dlauncher.permission.READ_SETTINGS , 17
com.htc.launcher.permission.READ_SETTINGS , 17
com.motorola.launcher.permission.READ_SETTINGS , 17
android.permission.CHANGE_CONFIGURATION , 17
com.lge.launcher.permission.READ_SETTINGS , 17
com.fede.launcher.permission.READ_SETTINGS , 17
org.adw.launcher.permission.READ_SETTINGS , 17
com.lge.launcher.permission.INSTALL_SHORTCUT , 16
com.motorola.dlauncher.permission.INSTALL_SHORTCUT , 16
com.motorola.launcher.permission.INSTALL_SHORTCUT , 16
android.permission.READ_SMS , 16
android.permission.DEVICE_POWER , 15
android.permission.WRITE_CONTACTS , 15
android.permission.CLEAR_APP_CACHE , 15
android.permission.CALL_PHONE , 15
com.google.android.providers.gsf.permission.READ_GSERVICES , 14
android.permission.READ_INTERNAL_STORAGE , 14
android.permission.READ_NETWORK_STATE , 14
com.sec.android.iap.permission.BILLING , 13
android.permission.BATTERY_STATS , 13
android.permission.PROCESS_OUTGOING_CALLS , 12
android.permission.MANAGE_ACCOUNTS , 11
com.lge.launcher.permission.WRITE_SETTINGS , 9
com.htc.launcher.permission.WRITE_SETTINGS , 9
com.fede.launcher.permission.WRITE_SETTINGS , 9
com.android.launcher.permission.WRITE_SETTINGS , 9
org.adw.launcher.permission.WRITE_SETTINGS , 9
com.motorola.launcher.permission.WRITE_SETTINGS , 9
com.motorola.dlauncher.permission.WRITE_SETTINGS , 9
org.onepf.openiab.permission.BILLING , 8
android.permission.RECEIVE_USER_PRESENT , 8
android.permission.WRITE_CALL_LOG , 7
android.permission.RESTART_PACKAGES , 7
com.tmoney.vending.INBILLING , 7
android.permission.ACCESS_MOCK_LOCATION , 6
com.widdit.lockScreen.permission.C2D_MESSAGE , 6
READ_PHONE_STATE , 6
android.permission.WRITE_CALENDAR , 6
com.teslacoilsw.launcher.permission.READ_SETTINGS , 6
com.anddoes.launcher.permission.READ_SETTINGS , 6
com.anddoes.launcher.permission.WRITE_SETTINGS , 6
android.permission.READ_CALENDAR , 6
com.teslacoilsw.launcher.permission.WRITE_SETTINGS , 6
android.permission.ACCESS_COARSE_UPDATES , 5
android.permission.EXPAND_STATUS_BAR , 5
android.permission.REORDER_TASKS , 5
android.permission.READ_PROFILE , 5
com.google.android.c2dm.permission.SEND , 5
com.yandex.store.permission.BILLING , 5
android.permission.WAKEDISABLE_KEYGUARD , 5
android.permission.android.hardware.sensor.accelerometer , 4
android.permission.START_BACKGROUND_SERVICE , 4
android.permission.ACCESS_GPS , 4
com.uni_games.gravity_3d.permission.C2D_MESSAGE , 4
android.permission.RECORD_VIDEO , 4
android.permission.READ_WIFI_STATE , 4
