permission , count
SUM , 1596
android.permission.INTERNET , 1541
android.permission.ACCESS_NETWORK_STATE , 1404
android.permission.READ_EXTERNAL_STORAGE , 1063
android.permission.WRITE_EXTERNAL_STORAGE , 1063
android.permission.READ_PHONE_STATE , 875
android.permission.ACCESS_WIFI_STATE , 817
android.permission.WAKE_LOCK , 723
com.android.vending.BILLING , 720
android.permission.VIBRATE , 505
android.permission.GET_ACCOUNTS , 313
android.permission.ACCESS_COARSE_LOCATION , 309
com.android.vending.CHECK_LICENSE , 274
com.google.android.c2dm.permission.RECEIVE , 267
android.permission.GET_TASKS , 234
android.permission.ACCESS_FINE_LOCATION , 214
android.permission.CHANGE_WIFI_STATE , 163
android.permission.SYSTEM_ALERT_WINDOW , 135
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 132
android.permission.RECEIVE_BOOT_COMPLETED , 122
android.permission.READ_LOGS , 84
com.android.launcher.permission.INSTALL_SHORTCUT , 74
android.permission.USE_CREDENTIALS , 73
android.permission.RECORD_AUDIO , 69
android.permission.SEND_SMS , 65
android.permission.CHANGE_NETWORK_STATE , 55
android.permission.CAMERA , 51
android.permission.RECEIVE_SMS , 49
android.permission.RESTART_PACKAGES , 49
android.permission.WRITE_SETTINGS , 47
android.permission.DISABLE_KEYGUARD , 42
android.permission.READ_CONTACTS , 41
android.permission.MODIFY_AUDIO_SETTINGS , 31
android.permission.BLUETOOTH , 29
android.permission.READ_SMS , 29
android.permission.READ_CALL_LOG , 24
com.google.android.gms.permission.ACTIVITY_RECOGNITION , 23
com.android.launcher.permission.READ_SETTINGS , 23
com.android.launcher.permission.UNINSTALL_SHORTCUT , 22
android.permission.MANAGE_ACCOUNTS , 22
Android.permission.CHANGE_CONFIGURATION , 21
android.permission.WRITE_SMS , 20
android.permission.CALL_PHONE , 19
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 19
com.sec.android.iap.permission.BILLING , 17
android.permission.RECEIVE_USER_PRESENT , 16
android.permission.UPDATE_DEVICE_STATS , 15
android.permission.BLUETOOTH_ADMIN , 14
android.permission.BROADCAST_STICKY , 13
android.permission.KILL_BACKGROUND_PROCESSES , 12
android.permission.SET_ORIENTATION , 11
com.google.android.providers.gsf.permission.READ_GSERVICES , 10
rockchip.permission.FULL_SCREEN , 10
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 10
android.permission.WRITE_APN_SETTINGS , 10
android.permission.AUTHENTICATE_ACCOUNTS , 10
com.tmoney.vending.INBILLING , 10
android.permission.CHANGE_CONFIGURATION , 8
android.permission.INTERACT_ACROSS_USERS_FULL , 8
android.permission.SET_WALLPAPER , 8
android.permission.WRITE_INTERNAL_STORAGE , 8
android.permission.READ_HISTORY_BOOKMARKS , 8
android.permission.FLASHLIGHT , 7
android.permission.READ_CALENDAR , 7
org.onepf.openiab.permission.BILLING , 7
android.permission.WRITE_CALENDAR , 7
