permission , count
SUM , 2853
android.permission.INTERNET , 2769
android.permission.ACCESS_NETWORK_STATE , 2512
android.permission.READ_EXTERNAL_STORAGE , 1481
android.permission.WRITE_EXTERNAL_STORAGE , 1474
android.permission.READ_PHONE_STATE , 1218
android.permission.ACCESS_WIFI_STATE , 1046
android.permission.WAKE_LOCK , 1016
com.android.vending.BILLING , 703
android.permission.VIBRATE , 631
android.permission.ACCESS_COARSE_LOCATION , 398
android.permission.GET_ACCOUNTS , 373
com.google.android.c2dm.permission.RECEIVE , 355
android.permission.ACCESS_FINE_LOCATION , 288
android.permission.RECEIVE_BOOT_COMPLETED , 239
android.permission.GET_TASKS , 218
com.android.vending.CHECK_LICENSE , 212
android.permission.CAMERA , 107
android.permission.SYSTEM_ALERT_WINDOW , 105
android.permission.CHANGE_WIFI_STATE , 79
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 71
android.permission.RECORD_AUDIO , 64
android.permission.DISABLE_KEYGUARD , 59
android.permission.WRITE_SETTINGS , 48
android.permission.READ_CONTACTS , 45
android.permission.MODIFY_AUDIO_SETTINGS , 41
android.permission.CHANGE_NETWORK_STATE , 36
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 36
android.permission.READ_LOGS , 35
com.android.launcher.permission.INSTALL_SHORTCUT , 34
com.example.gcm.permission.C2D_MESSAGE , 32
android.permission.SET_WALLPAPER , 31
android.permission.BLUETOOTH , 27
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 26
android.permission.USE_CREDENTIALS , 24
android.permission.RECEIVE_SMS , 24
android.permission.BROADCAST_STICKY , 19
android.permission.RESTART_PACKAGES , 19
com.google.android.gms.permission.ACTIVITY_RECOGNITION , 18
android.permission.KILL_BACKGROUND_PROCESSES , 17
android.permission.MANAGE_ACCOUNTS , 15
com.sec.android.iap.permission.BILLING , 14
android.permission.SEND_SMS , 11
android.permission.BLUETOOTH_ADMIN , 11
android.permission.READ_CALL_LOG , 11
com.google.android.providers.gsf.permission.READ_GSERVICES , 9
android.permission.CHANGE_CONFIGURATION , 9
android.permission.FLASHLIGHT , 9
com.android.launcher.permission.UNINSTALL_SHORTCUT , 9
org.onepf.openiab.permission.BILLING , 9
android.permission.WRITE_CONTACTS , 9
com.tmoney.vending.INBILLING , 9
android.permission.SET_WALLPAPER_HINTS , 8
android.permission.WRITE_INTERNAL_STORAGE , 8
android.webkit.permission.PLUGIN , 6
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION , 6
android.permission.CALL_PHONE , 6
android.permission.BATTERY_STATS , 6
android.permission.CHANGE_WIFI_MULTICAST_STATE , 6
com.gameinsight.fzmobile.permission.GETFZUDID , 6
android.permission.SET_ORIENTATION , 6
com.android.launcher.permission.READ_SETTINGS , 6
android.permission.WRITE_CALL_LOG , 5
android.permission.PROCESS_OUTGOING_CALLS , 5
android.permission.BIND_NOTIFICATION_LISTENER_SERVICE , 4
com.htc.launcher.permission.READ_SETTINGS , 4
com.motorola.launcher.permission.READ_SETTINGS , 4
com.motorola.dlauncher.permission.READ_SETTINGS , 4
android.permission.DEVICE_POWER , 4
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 4
android.permission.REORDER_TASKS , 4
android.permission.READ_SMS , 4
com.fede.launcher.permission.READ_SETTINGS , 4
org.adw.launcher.permission.READ_SETTINGS , 4
com.lge.launcher.permission.READ_SETTINGS , 4
android.permission.RECORD_VIDEO , 3
android.permission.INTERACT_ACROSS_USERS_FULL , 3
android.permission.READ_CALENDAR , 3
com.skyjet.chaosarena.permission.C2D_MESSAGE , 3
android.permission.WRITE_CALENDAR , 3
android.permission.WRITE_OWNER_DATA , 3
android.permission.EXPAND_STATUS_BAR , 3
archos.permission.FULLSCREEN.FULL , 3
android.permission.CLEAR_APP_CACHE , 3
android.permission.READ_SYNC_STATS , 2
com.motorola.launcher.permission.WRITE_SETTINGS , 2
com.tapinator.tank.simulator.permission.C2D_MESSAGE , 2
com.motorola.launcher.permission.INSTALL_SHORTCUT , 2
air.com.air.fxsecltd.compsim.c.c.c.permission.C2D_MESSAGE , 2
com.motorola.dlauncher.permission.INSTALL_SHORTCUT , 2
android.permission.AUTHENTICATE_ACCOUNTS , 2
com.lge.launcher.permission.WRITE_SETTINGS , 2
android.permission.BILLING , 2
com.nokia.payment.BILLING , 2
android.permission.CAPTURE_AUDIO_OUTPUT , 2
com.htc.launcher.permission.WRITE_SETTINGS , 2
com.teslacoilsw.launcher.permission.WRITE_SETTINGS , 2
com.widdit.lockScreen.permission.C2D_MESSAGE , 2
jp.example.sample.permission.C2D_MESSAGE , 2
com.anddoes.launcher.permission.WRITE_SETTINGS , 2
com.motorola.dlauncher.permission.WRITE_SETTINGS , 2
com.lge.launcher.permission.INSTALL_SHORTCUT , 2
android.permission.WRITE_SYNC_SETTINGS , 2
android.permissions.CHANGE_WIFI_STATE , 2
android.permission.SET_DEBUG_APP , 2
com.fede.launcher.permission.WRITE_SETTINGS , 2
android.permission.ACCESS_LOCATION , 2
com.mageeks.android.militarytruck.permission.C2D_MESSAGE , 2
com.android.launcher.permission.WRITE_SETTINGS , 2
android.permission.READ_NETWORK_STATE , 2
android.permission.ACCESS_COARSE_UPDATES , 2
com.kddi.market.permission.USE_ALML , 2
android.permission.WRITE_SMS , 2
com.teslacoilsw.launcher.permission.READ_SETTINGS , 2
com.yandex.store.permission.BILLING , 2
android.permission.ACCESS_DOWNLOAD_MANAGER , 2
com.amazon.device.messaging.permission.RECEIVE , 2
android.permission.READ_SYNC_SETTINGS , 2
com.zeichenkraftwerk.vrbooster.permission.C2D_MESSAGE , 2
org.adw.launcher.permission.WRITE_SETTINGS , 2
com.anddoes.launcher.permission.READ_SETTINGS , 2
com.BIO.CarParkingAsphalt3D.permission.C2D_MESSAGE , 1
jp.arismile.a1a116.permission.C2D_MESSAGE , 1
android.permission.DUMP , 1
android.permission.READ_SOCIAL_STREAM , 1
com.episodeinteractive.android.realhollywood.permission.C2D_MESSAGE , 1
com.thegamecreators.agk_player.permission.C2D_MESSAGE , 1
jp.arismile.d6a123.permission.C2D_MESSAGE , 1
kr.co.archivefactory.neverlandteam.g.permission.C2D_MESSAGE , 1
com.wZombieBusters.permission.C2D_MESSAGE , 1
com.tapjoy.TAPJOY_VC_PERMISSION , 1
jp.co.cybird.appli.android.twoqs.permission.C2D_MESSAGE , 1
