permission , count
SUM , 5214
android.permission.INTERNET , 4907
android.permission.ACCESS_NETWORK_STATE , 4359
android.permission.READ_EXTERNAL_STORAGE , 2646
android.permission.WRITE_EXTERNAL_STORAGE , 2644
android.permission.READ_PHONE_STATE , 2234
android.permission.WAKE_LOCK , 1675
android.permission.ACCESS_WIFI_STATE , 1604
android.permission.VIBRATE , 1335
com.android.vending.BILLING , 1058
android.permission.ACCESS_COARSE_LOCATION , 811
android.permission.GET_ACCOUNTS , 784
com.google.android.c2dm.permission.RECEIVE , 595
android.permission.ACCESS_FINE_LOCATION , 569
android.permission.GET_TASKS , 376
com.android.vending.CHECK_LICENSE , 308
android.permission.RECEIVE_BOOT_COMPLETED , 301
android.permission.CAMERA , 181
android.permission.CHANGE_WIFI_STATE , 154
android.permission.READ_CONTACTS , 134
android.permission.SET_WALLPAPER , 133
android.permission.SYSTEM_ALERT_WINDOW , 123
android.permission.RECORD_AUDIO , 118
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 114
com.android.launcher.permission.INSTALL_SHORTCUT , 112
android.permission.MODIFY_AUDIO_SETTINGS , 105
android.permission.USE_CREDENTIALS , 89
android.permission.SET_WALLPAPER_HINTS , 87
android.permission.DISABLE_KEYGUARD , 83
android.permission.BLUETOOTH , 81
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 77
android.permission.READ_CALL_LOG , 77
android.permission.BROADCAST_STICKY , 74
android.permission.RECEIVE_SMS , 64
android.permission.SEND_SMS , 61
android.permission.CHANGE_NETWORK_STATE , 59
com.example.gcm.permission.C2D_MESSAGE , 50
android.permission.READ_LOGS , 49
android.permission.BLUETOOTH_ADMIN , 48
com.android.launcher.permission.UNINSTALL_SHORTCUT , 47
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 47
android.permission.KILL_BACKGROUND_PROCESSES , 43
android.permission.WRITE_SETTINGS , 41
android.permission.WRITE_CONTACTS , 38
android.permission.CALL_PHONE , 35
android.permission.SET_ORIENTATION , 34
android.permission.DEVICE_POWER , 30
com.android.launcher.permission.READ_SETTINGS , 29
android.permission.FLASHLIGHT , 27
com.google.android.providers.gsf.permission.READ_GSERVICES , 27
android.permission.WRITE_CALL_LOG , 26
com.sec.android.iap.permission.BILLING , 26
android.permission.WRITE_INTERNAL_STORAGE , 25
android.permission.MANAGE_ACCOUNTS , 24
android.permission.RESTART_PACKAGES , 23
android.permission.RECORD_VIDEO , 22
android.permission.BATTERY_STATS , 22
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 20
android.permission.UPDATE_DEVICE_STATS , 19
android.permission.ACCESS_MOCK_LOCATION , 17
org.onepf.openiab.permission.BILLING , 17
com.tmoney.vending.INBILLING , 17
com.fede.launcher.permission.READ_SETTINGS , 15
com.motorola.dlauncher.permission.READ_SETTINGS , 15
org.adw.launcher.permission.READ_SETTINGS , 15
android.permission.INSTALL_PACKAGES , 15
com.htc.launcher.permission.READ_SETTINGS , 15
com.motorola.launcher.permission.READ_SETTINGS , 15
android.permission.CHANGE_WIFI_MULTICAST_STATE , 15
com.google.android.gms.permission.ACTIVITY_RECOGNITION , 15
com.lge.launcher.permission.READ_SETTINGS , 15
com.motorola.dlauncher.permission.INSTALL_SHORTCUT , 12
com.lge.launcher.permission.INSTALL_SHORTCUT , 12
android.permission.READ_CALENDAR , 12
android.permission.ACCESS_COURSE_LOCATION , 12
com.motorola.launcher.permission.INSTALL_SHORTCUT , 12
android.permission.WRITE_CALENDAR , 12
android.permission.SYSTEM_OVERLAY_WINDOW , 11
com.yandex.store.permission.BILLING , 11
android.webkit.permission.PLUGIN , 10
android.permission.READ_OWNER_DATA , 9
android.permission.WRITE , 9
android.permission.READ_SMS , 8
com.bka.goteam.permission.C2D_MESSAGE , 8
android.permission.WRITE_SMS , 8
android.permission.PROCESS_OUTGOING_CALLS , 7
android.permission.WRITE_OWNER_DATA , 7
android.permission.SET_WALLPAPER_HINT , 7
android.permission.READ_INTERNAL_STORAGE , 6
android.permission.INTERACT_ACROSS_USERS_FULL , 6
android.permission.READ_NETWORK_STATE , 6
com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY , 5
android.permission.RECEIVE_MMS , 5
android.permission.ACCESS_COARSE_UPDATES , 5
android.permission.android.hardware.sensor.accelerometer , 5
android.permission.START_BACKGROUND_SERVICE , 5
com.nokia.payment.BILLING , 5
android.permission.CHANGE_CONFIGURATION , 5
android.permission.AUTHENTICATE_ACCOUNTS , 5
android.permission.REBOOT , 4
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION , 4
android.permission.READ_SYNC_SETTINGS , 4
android.permission.WRITE_SYNC_SETTINGS , 4
READ_PHONE_STATE , 4
com.lge.launcher.permission.WRITE_SETTINGS , 3
android.permission.ACCESS_GPS , 3
com.htc.launcher.permission.WRITE_SETTINGS , 3
android.permission.ACCOUNT_MANAGER , 3
com.fede.launcher.permission.WRITE_SETTINGS , 3
com.android.launcher.permission.WRITE_SETTINGS , 3
android.permission.RECEIVE_USER_PRESENT , 3
glshare.permission.ACCESS_SHARED_DATA , 3
org.adw.launcher.permission.WRITE_SETTINGS , 3
