permission , count
SUM , 2338
android.permission.INTERNET , 2221
android.permission.ACCESS_NETWORK_STATE , 1993
android.permission.READ_EXTERNAL_STORAGE , 1400
android.permission.WRITE_EXTERNAL_STORAGE , 1397
android.permission.READ_PHONE_STATE , 1127
android.permission.ACCESS_WIFI_STATE , 998
android.permission.WAKE_LOCK , 941
com.android.vending.BILLING , 811
android.permission.VIBRATE , 562
android.permission.GET_ACCOUNTS , 420
com.google.android.c2dm.permission.RECEIVE , 337
android.permission.ACCESS_COARSE_LOCATION , 308
com.android.vending.CHECK_LICENSE , 278
android.permission.GET_TASKS , 196
android.permission.ACCESS_FINE_LOCATION , 195
android.permission.RECEIVE_BOOT_COMPLETED , 117
android.permission.CHANGE_WIFI_STATE , 107
android.permission.SYSTEM_ALERT_WINDOW , 91
android.permission.MODIFY_AUDIO_SETTINGS , 77
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 71
com.android.launcher.permission.INSTALL_SHORTCUT , 70
android.permission.BLUETOOTH , 70
android.permission.READ_LOGS , 64
android.permission.DISABLE_KEYGUARD , 53
android.permission.USE_CREDENTIALS , 51
android.permission.READ_CONTACTS , 49
android.permission.CHANGE_NETWORK_STATE , 46
android.permission.RECORD_AUDIO , 40
android.permission.WRITE_SETTINGS , 36
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 36
android.permission.RESTART_PACKAGES , 35
android.permission.SET_ORIENTATION , 35
android.permission.BLUETOOTH_ADMIN , 34
android.permission.CAMERA , 32
android.permission.SEND_SMS , 31
com.android.launcher.permission.READ_SETTINGS , 31
android.permission.MANAGE_ACCOUNTS , 28
android.permission.DEVICE_POWER , 25
com.example.gcm.permission.C2D_MESSAGE , 24
android.permission.RECEIVE_SMS , 23
android.permission.READ_CALL_LOG , 23
android.permission.AUTHENTICATE_ACCOUNTS , 23
android.permission.BROADCAST_STICKY , 21
android.permission.BATTERY_STATS , 20
android.permission.WRITE_INTERNAL_STORAGE , 19
android.permission.WRITE_CONTACTS , 16
android.webkit.permission.PLUGIN , 15
android.permission.CHANGE_CONFIGURATION , 15
com.google.android.providers.gsf.permission.READ_GSERVICES , 12
com.sec.android.iap.permission.BILLING , 12
android.permission.KILL_BACKGROUND_PROCESSES , 11
android.permission.CALL_PHONE , 11
archos.permission.FULLSCREEN.FULL , 11
com.google.android.gms.permission.ACTIVITY_RECOGNITION , 11
com.android.launcher.permission.UNINSTALL_SHORTCUT , 10
android.permission.READ_SMS , 10
android.permission.WRITE_MEDIA_STORAGE , 9
android.permission.SET_WALLPAPER , 9
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 9
android.permission.FLASHLIGHT , 8
android.permission.RECEIVE_USER_PRESENT , 8
android.permission.WRITE_APN_SETTINGS , 8
android.permission.INTERACT_ACROSS_USERS_FULL , 7
android.permission.WRITE_SMS , 7
android.permission.CLEAR_APP_CACHE , 7
android.permission.CESS_COARSE_LOCATION , 6
android.permission.CHANGE_WIFI_MULTICAST_STATE , 6
android.permission.ACCESS_MOCK_LOCATION , 6
FULLSCREEN.FULL , 6
android.permission.INSTALL_PACKAGES , 6
android.permission.ACCESS_FIND_LOCATION , 5
android.permission.WRITE_CALL_LOG , 5
com.tmoney.vending.INBILLING , 5
android.permission.RECORD_VIDEO , 4
com.gameinsight.fzmobile.permission.GETFZUDID , 4
org.onepf.openiab.permission.BILLING , 4
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 4
android.permission.ACCESS_COARSE_UPDATES , 4
android.permission.ACCESS_DOWNLOAD_MANAGER , 4
com.android.vending.INSTALL_REFERRER , 4
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION , 3
android.permission.READ_SYNC_SETTINGS , 3
android.permission.READ_CALENDAR , 3
android.permission.WRITE_SYNC_SETTINGS , 3
android.permission.MODIFY_PHONE_STATE , 3
android.permission.PROCESS_OUTGOING_CALLS , 3
android.permission.UPDATE_DEVICE_STATS , 3
android.permission.WRITE_CALENDAR , 3
com.yandex.store.permission.BILLING , 3
android.permission.DELETE_CACHE_FILES , 3
android.permission.EXPAND_STATUS_BAR , 3
com.android.alarm.permission.SET_ALARM , 3
android.permission.AUDIO_SERVICE , 3
android.ACCESS_COARSE_LOCATION , 2
android.permission.ACCESS_GPS , 2
android.permission.WRITE_ExTERNAL_STORAGE , 2
air.com.sincetimes.german.roter.permission.C2D_MESSAGE , 2
com.your.domain.PAYMENT_BROADCAST_PERMISSION , 2
android.permission.NETWORK , 2
com.nokia.payment.BILLING , 2
android.permission.NFC , 2
android.permission.W , 2
android.permission.SYSTEM_OVERLAY_WINDOW , 2
android.Manifest.permission.ACCESS_COARSE_UPDATES , 2
android.permission.READ_OWNER_DATA , 2
android.permission.ACCOUNT_MANAGER , 2
android.permission.ACCESS_COURSE_LOCATION , 2
com.tap4fun.ge.permission.C2D_MESSAGE , 2
android.permission.PREVENT_POWER_KEY , 2
android.permission.READ_PROFILE , 2
glshare.permission.ACCESS_SHARED_DATA , 2
android.permission.C2D_MESSAGE , 2
com.amazon.device.messaging.permission.RECEIVE , 2
android.permission.android.hardware.sensor.accelerometer , 2
com.sonymobile.permission.SYSTEM_UI_VISIBILITY_EXTENSIONS , 2
com.panoramik.towerstorm.permission.C2D_MESSAGE , 2
android.permission.MODE_PRIVATE , 2
android.permission.GET_ACCOUNT , 2
com.msquaredapplications.fantasyvengeance.permission.C2D_MESSAGE , 2
com.kongregate.mobile.tyrant.google.permission.C2D_MESSAGE , 1
com.wlogic2048.permission.C2D_MESSAGE , 1
com.nival.pwdefenders.permission.C2D_MESSAGE , 1
com.freecorner.battlestrategy.permission.C2D_MESSAGE , 1
com.hitcents.battlepillars.permission.C2D_MESSAGE , 1
ri.Games.CastlesUnderSiege.free.permission.C2D_MESSAGE , 1
com.thirtysixyougames.google.runwayGirlWorldFootball.permission.C2D_MESSAGE , 1
com.digitalcloud.otw.tc.permission.C2D_MESSAGE , 1
com.inkling.adengine.permission.C2D_MESSAGE , 1
com.witchinghour.ravenmarkmercs.permission.C2D_MESSAGE , 1
com.ankama.callofcookie.permission.C2D_MESSAGE , 1
android.permission.RITE_SETTINGS , 1
com.perblue.greedforglory.wc.permission.C2D_MESSAGE , 1
Android.permission.CHANGE_NETWORK_STATE , 1
android.permission.HARDWARE_TEST , 1
android.permission.W_EXTERNAL_STORAGE , 1
com.flexymind.pclicker.permission.C2D_MESSAGE , 1
com.bistudio.at.permission.C2D_MESSAGE , 1
code.softgames.war.permission.C2D_MESSAGE , 1
com.gamezen.fashionqueenexmk.permission.C2D_MESSAGE , 1
air.com.innogames.enterprise.grepolis.debug.permission.C2D_MESSAGE , 1
com.disney.nemo.permission.C2D_MESSAGE , 1
com.mando.babelrising3d.permission.C2D_MESSAGE , 1
com.igg.clashoflords2_de.permission.C2D_MESSAGE , 1
com.unitedtoy.android.BattleShipsFree.permission.C2D_MESSAGE , 1
com.fatleg.trionix.permission.C2D_MESSAGE , 1
Android.permission.CHANGE_WIFI_STATE , 1
com.geekbeach.sandlords.permission.C2D_MESSAGE , 1
com.igg.clashoflords2.permission.C2D_MESSAGE , 1
com.wkapiralizmiki.permission.C2D_MESSAGE , 1
