permission , count
SUM , 3483
android.permission.INTERNET , 3415
android.permission.ACCESS_NETWORK_STATE , 3198
android.permission.READ_EXTERNAL_STORAGE , 1758
android.permission.WRITE_EXTERNAL_STORAGE , 1751
android.permission.READ_PHONE_STATE , 1362
android.permission.ACCESS_WIFI_STATE , 1260
com.android.vending.BILLING , 864
android.permission.VIBRATE , 838
android.permission.WAKE_LOCK , 819
android.permission.ACCESS_COARSE_LOCATION , 556
android.permission.GET_ACCOUNTS , 527
com.google.android.c2dm.permission.RECEIVE , 457
android.permission.ACCESS_FINE_LOCATION , 377
android.permission.RECEIVE_BOOT_COMPLETED , 266
android.permission.GET_TASKS , 261
com.android.vending.CHECK_LICENSE , 151
android.permission.READ_CONTACTS , 127
android.permission.SYSTEM_ALERT_WINDOW , 117
com.android.launcher.permission.INSTALL_SHORTCUT , 95
android.permission.MODIFY_AUDIO_SETTINGS , 90
android.permission.CHANGE_WIFI_STATE , 83
com.google.android.providers.gsf.permission.READ_GSERVICES , 76
android.permission.WRITE_SETTINGS , 66
android.permission.RECORD_AUDIO , 64
android.permission.CAMERA , 57
android.permission.DISABLE_KEYGUARD , 52
com.amazon.device.messaging.permission.RECEIVE , 50
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 49
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 48
com.google.android.c2dm.permission.REGISTER , 47
com.nq.ninequiz.permission.C2D_MESSAGE , 46
com.google.android.c2dm.permission.REGISTRATION , 46
android.permission.READ_LOGS , 45
android.permission.BROADCAST_STICKY , 35
android.permission.SET_WALLPAPER , 33
com.android.launcher.permission.UNINSTALL_SHORTCUT , 33
android.permission.USE_CREDENTIALS , 32
android.permission.BLUETOOTH , 32
android.permission.READ_CALL_LOG , 31
android.permission.WRITE_INTERNAL_STORAGE , 30
android.permission.RECEIVE_SMS , 27
android.permission.KILL_BACKGROUND_PROCESSES , 27
android.webkit.permission.PLUGIN , 23
android.permission.SEND_SMS , 22
com.google.android.gms.permission.ACTIVITY_RECOGNITION , 22
android.permission.MANAGE_ACCOUNTS , 19
android.permission.BLUETOOTH_ADMIN , 18
android.permission.CHANGE_NETWORK_STATE , 17
android.permission.CHANGE_CONFIGURATION , 17
android.permission.SET_WALLPAPER_HINTS , 16
android.permission.READ_INTERNAL_STORAGE , 16
android.permission.PROCESS_OUTGOING_CALLS , 16
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 14
android.permission.CALL_PHONE , 14
android.permission.WRITE_MEDIA_STORAGE , 13
android.permission.WRITE_CALENDAR , 13
android.permission.RESTART_PACKAGES , 13
android.permission.WRITE_CONTACTS , 12
com.example.gcm.permission.C2D_MESSAGE , 12
android.permission.READ_CALENDAR , 12
com.guilardi.eusei.permission.C2D_MESSAGE , 10
com.android.launcher.permission.READ_SETTINGS , 9
android.permission.WRITE_CALL_LOG , 7
android.permission.ACCESS_COARSE_UPDATES , 7
android.permission.RECORD_VIDEO , 7
com.creactive.quemquersermilionario.lib.twitter.MSTwitterService , 7
com.android.voicemail.permission.ADD_VOICEMAIL , 6
android.permission.SET_ORIENTATION , 6
android.permission.RECEIVE_USER_PRESENT , 6
android.permission.READ_SMS , 6
android.permission.DEVICE_POWER , 6
android.permission.BILLING , 5
android.permission.ACCESS_MOCK_LOCATION , 5
android.permission.FLASHLIGHT , 5
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 5
com.sec.android.iap.permission.BILLING , 5
android.permission.BATTERY_STATS , 5
android.permission.INTERACT_ACROSS_USERS_FULL , 4
android.permission.ACCESS_SUPERUSER , 4
com.walkme.trivial.share.MSTwitterService , 4
org.agoo.android.permission.MESSAGE , 4
android.permission.CHANGE_WIFI_MULTICAST_STATE , 4
android.permission.ACCESS_COURSE_LOCATION , 4
com.google.android.providers.gsf.permisson.READ_GSERVICES , 4
android.permission.AUTHENTICATE_ACCOUNTS , 4
android.permission.ACCESS_COARSE , 3
android.permission.BIND_NOTIFICATION_LISTENER_SERVICE , 3
android.hardware.sensor.accelerometer , 3
android.permission.READ_PROFILE , 3
android.permission.WRITE_USER_DICTIONARY , 3
android.permission.WRITE_APN_SETTINGS , 3
com.rsgames.games.permission.C2D_MESSAGE , 2
se.feomedia.quizkampen.no.permission.READ , 2
air.VampirevsZombie.permission.C2D_MESSAGE , 2
com.zed.android.bbc.permission.C2D_MESSAGE , 2
android.permission.ACCESS_PHONE_STATE , 2
com.javapapers.android.permission.C2D_MESSAGE , 2
com.motorola.dlauncher.permission.READ_SETTINGS , 2
com.sixwaves.emojipop.permission.C2D_MESSAGE , 2
com.lge.launcher.permission.INSTALL_SHORTCUT , 2
se.feomedia.quizkampen.us.permission.READ , 2
com.android.launcher.permission.WRITE_SETTINGS , 2
se.feomedia.quizkampen.dk.permission.READ , 2
android.permission.READ_HISTORY_BOOKMARKS , 2
com.librery.quiz.permission.C2D_MESSAGE , 2
wizq.horoSchool.permission.C2D_MESSAGE , 2
se.feomedia.quizkampen.nl.permission.READ , 2
se.feomedia.quizkampen.de.permission.READ , 2
android.permission.WRITE_OWNER_DATA , 2
se.feomedia.quizkampen.pl.permission.READ , 2
android.permission.INSTALL_PACKAGES , 2
com.unity3d.player.permissions.PAYMENT_BROADCAST , 2
android.permission.START_BACKGROUND_SERVICE , 2
com.sixwaves.imagepop.permission.C2D_MESSAGE , 2
android.permission.CLEAR_APP_CACHE , 2
com.motorola.dlauncher.permission.INSTALL_SHORTCUT , 2
se.feomedia.quizkampen.it.permission.READ , 2
com.june.guessthemovie.bollywood.permission.C2D_MESSAGE , 2
com.novagecko.boxpursuit.permission.C2D_MESSAGE , 2
com.htc.launcher.permission.READ_SETTINGS , 2
com.motorola.launcher.permission.READ_SETTINGS , 2
com.stormideas.whichcharacter.permission.C2D_MESSAGE , 2
android.permission.READ_USER_DICTIONARY , 2
com.android.vending.INTERACT_ACROSS_USERS_FULL , 2
se.feomedia.quizkampen.es.permission.READ , 2
android.permission.ACCESS_NETOWRK_STATE , 2
com.creactive.quemquersermilionario.it.permission.C2D_MESSAGE , 2
se.feomedia.quizkampen.fr.permission.READ , 2
com.motorola.launcher.permission.INSTALL_SHORTCUT , 2
se.feomedia.quizkampen.permission.READ , 2
com.fede.launcher.permission.READ_SETTINGS , 2
org.adw.launcher.permission.READ_SETTINGS , 2
com.lge.launcher.permission.READ_SETTINGS , 2
se.feomedia.quizkampen.uk.permission.READ , 2
com.rolltower.crvl.permission.C2D_MESSAGE , 1
games.tetris.googleservice.classic.permission.C2D_MESSAGE , 1
com.smallfortune.worldflags.permission.C2D_MESSAGE , 1
com.wQuiz11.permission.C2D_MESSAGE , 1
com.gerwinsoftware.superbuzzer.permission.C2D_MESSAGE , 1
com.sugarapps.scratchquizsd.permission.C2D_MESSAGE , 1
com.cib.com.cibplus.PAYMENT_BROADCAST_PERMISSION , 1
com.wLogoQuizAirlines.permission.C2D_MESSAGE , 1
com.randomlogicgames.guessthe60s.permission.C2D_MESSAGE , 1
com.sonypicturestelevision.JepHD.permission.C2D_MESSAGE , 1
com.wBestScratchQuizAirplanes.permission.C2D_MESSAGE , 1
nl.vara.psw.permission.C2D_MESSAGE , 1
com.zeichenkraftwerk.viam.permission.C2D_MESSAGE , 1
br.com.indianastudios.emotigame.permission.C2D_MESSAGE , 1
com.jellyvisiongames.YOUDONTKNOWJACK.permission.C2D_MESSAGE , 1
nl.ncrv.nnq.permission.C2D_MESSAGE , 1
android.permission.READ_CONTACT , 1
com.creativeworkline.picturequiz.permission.C2D_MESSAGE , 1
com.jang.QuizOXAll_an.permission.C2D_MESSAGE , 1
com.synchdroid.csp.permission.C2D_MESSAGE , 1
android.permission.CHECK_LICENSE , 1
com.playbei.my2048worldcup.permission.JPUSH_MESSAGE , 1
com.mobiljoy.retosnovelas.permission.C2D_MESSAGE , 1
com.tionnet.android.crosspuzzle.permission.C2D_MESSAGE , 1
com.datayeah.quizoo.permission.C2D_MESSAGE , 1
com.wBoladePreguntas.permission.C2D_MESSAGE , 1
com.quizup.core.permission.C2D_MESSAGE , 1
com.etermax.triviafans.fcb.lite.permission.C2D_MESSAGE , 1
com.quizbattle.client.android.permission.C2D_MESSAGE , 1
android.permission.SET_PREFERRED_APPLICATIONS , 1
com.talpa.whatdoiknow.sk.permission.C2D_MESSAGE , 1
com.playhaven.unityexample.permission.C2D_MESSAGE , 1
com.creactive.quemquersermilionario.de.permission.C2D_MESSAGE , 1
air.lxjl.com.Funymatch.permission.C2D_MESSAGE , 1
com.ninetyfour.seconds.app.permission.C2D_MESSAGE , 1
com.randomlogicgames.guessthe70s.permission.C2D_MESSAGE , 1
mobi.escapemobile.game.macamania.permission.C2D_MESSAGE , 1
mobi.escapemobile.game.egg_flakes.permission.C2D_MESSAGE , 1
com.fangtoothstudios.bluffwars.permission.C2D_MESSAGE , 1
com.firecrackersw.blasttrivia.permission.C2D_MESSAGE , 1
de.iww.goz.permission.C2D_MESSAGE , 1
com.randomlogicgames.infinitepics.permission.C2D_MESSAGE , 1
com.randomlogicgames.munchiemania.permission.C2D_MESSAGE , 1
com.lge.launcher.permission.WRITE_SETTINGS , 1
wizq.horoSchool.picQuizJP.permission.C2D_MESSAGE , 1
com.w86e4eb5ea36868e41056ed4b4736f20f.permission.C2D_MESSAGE , 1
com.quiztix.videogames.permission.C2D_MESSAGE , 1
com.wGuesstheGameName.permission.C2D_MESSAGE , 1
aul.irm.triviados.permission.C2D_MESSAGE , 1
mobi.escapemobile.game.pigletadventure.permission.C2D_MESSAGE , 1
com.qiiwi.quizmepics.permission.C2D_MESSAGE , 1
se.feomedia.quizkampen.es.premium.permission.C2D_MESSAGE , 1
fr.playsoft.moneydrop.permission.C2D_MESSAGE , 1
com.bbarze.indovinelli.permission.C2D_MESSAGE , 1
com.june.logoquiz.permission.C2D_MESSAGE , 1
com.game.millionaer.ru.permission.C2D_MESSAGE , 1
com.appagogo.guesswher.permission.C2D_MESSAGE , 1
com.htc.launcher.permission.WRITE_SETTINGS , 1
se.feomedia.quizkampen.no.lite.permission.C2D_MESSAGE , 1
jp.co.liica.mudball.permission.C2D_MESSAGE , 1
com.conduit.app_4d76952b030244e4aa1fd6811de396db.app.permission.C2D_MESSAGE , 1
com.wGuesstheGods.permission.C2D_MESSAGE , 1
com.sampigames.Cancionados.permission.C2D_MESSAGE , 1
com.cjenm.quizzle.permission.C2D_MESSAGE , 1
com.fangtoothstudios.bluffwarspaid.permission.C2D_MESSAGE , 1
com.etermax.triviafans.fcb.pro.permission.C2D_MESSAGE , 1
com.creactive.quemquersermilionario.millionaire.lite.permission.C2D_MESSAGE , 1
com.walkme.trivial.fr.lite.permission.C2D_MESSAGE , 1
com.jellyvisiongames.YOUDONTKNOWJACK.permission.RECEIVE_ADM_MESSAGE , 1
com.incrediapp.picaboo.guess.hundred.pictures.permission.C2D_MESSAGE , 1
com.sonypicturestelevision.sportsjeopardy.permission.C2D_MESSAGE , 1
se.feomedia.quizkampen.premium.permission.C2D_MESSAGE , 1
se.feomedia.quizkampen.pl.lite.permission.C2D_MESSAGE , 1
com.quizlyse.marcaquiz.permission.C2D_MESSAGE , 1
com.wGuesstheGameCharacterVillainsEdition.permission.C2D_MESSAGE , 1
com.wExoFanQuiz.permission.C2D_MESSAGE , 1
org.onepf.openiab.permission.BILLING , 1
com.gamexmmru.russsmil.permission.C2D_MESSAGE , 1
com.wGuessWhatAnimal.permission.C2D_MESSAGE , 1
com.triviame.permission.C2D_MESSAGE , 1
com.ninetyfour.degrees.app.permission.C2D_MESSAGE , 1
com.lunavalley.guess90quiz.permission.C2D_MESSAGE , 1
com.wTheVampsQuiz.permission.C2D_MESSAGE , 1
com.rolltower.trv8.permission.C2D_MESSAGE , 1
com.wFreeFoodQuiz.permission.C2D_MESSAGE , 1
intz.mcqa.permission.C2D_MESSAGE , 1
com.wCockneyQuiz.permission.C2D_MESSAGE , 1
com.layanglayangmobile.cepattepat.permission.C2D_MESSAGE , 1
com.ludia.FifthGrader.free.permission.C2D_MESSAGE , 1
android.permission.RECEIVE , 1
com.ucube.jellyoasis.eda.permission.C2D_MESSAGE , 1
com.ludia.millionairefree.permission.C2D_MESSAGE , 1
com.git.tagyou.permission.C2D_MESSAGE , 1
jp.co.liica.mimikaki2.permission.C2D_MESSAGE , 1
com.brainpool.schlagdenraab.permission.C2D_MESSAGE , 1
se.feomedia.quizkampen.de.lite.permission.C2D_MESSAGE , 1
com.teslacoilsw.launcher.permission.WRITE_SETTINGS , 1
com.whilecloud.animaladas.permission.C2D_MESSAGE , 1
air.lxjl.com.MakeDeliciousFood.permission.C2D_MESSAGE , 1
com.Happygamer.PunishAction.permission.C2D_MESSAGE , 1
com.highstakesproductions.hsp.permission.C2D_MESSAGE , 1
com.igames2go.t4f.permission.C2D_MESSAGE , 1
jp.co.liica.euglena.permission.C2D_MESSAGE , 1
com.inthepaprika.android.diagnosebloodtypeab.permission.C2D_MESSAGE , 1
com.planeto.quizbattle2.stern.permission.LOCAL , 1
com.lunavalley.guess90.permission.C2D_MESSAGE , 1
com.delphigames.roshambo.permission.C2D_MESSAGE , 1
jp.co.liica.mimikaki.permission.C2D_MESSAGE , 1
android.permission.STORAGE , 1
com.padmobslne.trivialgenericofree.permission.C2D_MESSAGE , 1
com.doublemw.geochamp.permission.C2D_MESSAGE , 1
mobi.escapemobile.game.lightsup.permission.C2D_MESSAGE , 1
com.wHowwelldoyouknowyourfavoriteYoutubers.permission.C2D_MESSAGE , 1
air.nwg.fgu.FussballQuiz.permission.C2D_MESSAGE , 1
se.feomedia.quizkampen.it.premium.permission.C2D_MESSAGE , 1
