permission , count
SUM , 2144
android.permission.INTERNET , 1615
android.permission.READ_EXTERNAL_STORAGE , 1240
android.permission.WRITE_EXTERNAL_STORAGE , 1228
android.permission.ACCESS_NETWORK_STATE , 1108
android.permission.READ_PHONE_STATE , 689
android.permission.WAKE_LOCK , 440
android.permission.ACCESS_WIFI_STATE , 439
android.permission.VIBRATE , 381
android.permission.ACCESS_FINE_LOCATION , 368
android.permission.CAMERA , 344
android.permission.ACCESS_COARSE_LOCATION , 317
android.permission.GET_ACCOUNTS , 247
com.google.android.c2dm.permission.RECEIVE , 180
android.permission.READ_CONTACTS , 148
android.permission.RECORD_AUDIO , 145
android.permission.SET_WALLPAPER , 121
android.permission.RECEIVE_BOOT_COMPLETED , 118
android.permission.CALL_PHONE , 116
android.permission.BLUETOOTH , 111
android.permission.READ_CALL_LOG , 105
android.permission.BLUETOOTH_ADMIN , 94
android.permission.NFC , 92
android.permission.WRITE_CONTACTS , 90
com.android.vending.CHECK_LICENSE , 87
android.permission.WRITE_SETTINGS , 86
android.permission.CHANGE_WIFI_STATE , 82
android.permission.GET_TASKS , 81
android.permission.MODIFY_AUDIO_SETTINGS , 67
android.permission.WRITE , 67
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 67
android.permission.FLASHLIGHT , 66
com.android.vending.BILLING , 65
android.permission.WRITE_CALL_LOG , 63
android.permission.SYSTEM_ALERT_WINDOW , 62
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 59
android.permission.BROADCAST_STICKY , 59
android.permission.SEND_SMS , 58
com.google.android.providers.gsf.permission.READ_GSERVICES , 57
android.permission.RECEIVE_SMS , 57
android.permission.USE_CREDENTIALS , 57
android.permission.READ_CALENDAR , 53
android.permission.WRITE_SECURE_SETTINGS , 49
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 48
android.permission.WRITE_CALENDAR , 48
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 43
android.permission.RESTART_PACKAGES , 43
android.permission.READ_SMS , 43
com.android.launcher.permission.INSTALL_SHORTCUT , 41
com.larryvgs.battery.permission.ADDON , 36
android.permission.DISABLE_KEYGUARD , 36
android.permission.READ_LOGS , 35
android.permission.MANAGE_ACCOUNTS , 35
android.permission.CHANGE_CONFIGURATION , 34
android.permission.AUTHENTICATE_ACCOUNTS , 34
android.permission.CHANGE_NETWORK_STATE , 32
android.permission.ACCESS_MOCK_LOCATION , 31
android.permission.WRITE_SYNC_SETTINGS , 31
android.permission.READ_SYNC_SETTINGS , 29
android.permission.WRITE_SMS , 28
com.android.launcher.permission.READ_SETTINGS , 25
android.permission.SET_ORIENTATION , 24
android.permission.READ_SYNC_STATS , 23
android.permission.KILL_BACKGROUND_PROCESSES , 23
android.permission.RECORD_VIDEO , 21
com.android.launcher.permission.WRITE_SETTINGS , 21
android.permission.sec.MDM_APP_MGMT , 19
android.permission.sec.MDM_HW_CONTROL , 19
android.permission.sec.MDM_RESTRICTION , 19
android.permission.sec.MDM_WIFI , 19
com.sec.android.provider.badge.permission.READ , 18
android.permission.BIND_APPWIDGET , 17
android.permission.ACCESS_ALL_DOWNLOADS , 17
com.sec.android.provider.badge.permission.WRITE , 17
android.permission.sec.ENTERPRISE_DEVICE_ADMIN , 17
android.permission.sec.MDM_DATE_TIME , 17
com.soreha.perrault.permission.RESPOND , 14
android.permission.INSTALL_PACKAGES , 14
android.permission.ACCESS_GPS , 13
android.permission.sec.MDM_LOCATION , 12
android.permission.sec.MDM_EXCHANGE , 11
android.permission.sec.MDM_ROAMING , 11
android.permission.sec.MDM_EMAIL , 11
android.permission.sec.MDM_VPN , 11
android.permission.sec.MDM_INVENTORY , 11
android.permission.sec.MDM_PHONE_RESTRICTION , 11
android.permission.sec.MDM_APN , 11
android.permission.PROCESS_OUTGOING_CALLS , 11
android.permission.sec.MDM_SECURITY , 11
android.permission.sec.MDM_BLUETOOTH , 11
com.amazon.device.messaging.permission.RECEIVE , 10
android.permission.ACCESS_LOCATION , 10
android.permission.sec.MDM_FIREWALL , 9
android.webkit.permission.PLUGIN , 9
android.permission.WRITE_INTERNAL_STORAGE , 9
android.permission.sec.MDM_CALLING , 9
android.permission.sec.MDM_ENTERPRISE_VPN , 9
android.permission.sec.MDM_BROWSER_SETTINGS , 9
android.permission.MODIFY_PHONE_STATE , 7
android.permission.sec.MDM_KIOSK_MODE , 7
android.permission.CHANGE_WIFI_MULTICAST_STATE , 7
android.permission.UPDATE_DEVICE_STATS , 7
android.permission.ACCESS_ASSISTED_GPS , 7
kr.ac.dima.lib.permission.C2D_MESSAGE , 7
android.permission.BATTERY_STATS , 7
android.permission.SET_WALLPAPER_HINTS , 6
com.android.launcher.permission.UNINSTALL_SHORTCUT , 6
android.permission.ACCESS_SURFACE_FLINGER , 6
android.permission.SET_DEBUG_APP , 5
android.permission.ACCESS_SUPERUSER , 5
android.permission.WRITE_OWNER_DATA , 5
com.android.broswer.permission.WRITE_HISTORY_BOOKMARKS , 4
android.permission.ACCESS_CORSE_LOCATION , 4
com.google.android.gm.permission.READ_GMAIL , 4
io.vov.vitamio.permission.WRITE_PROVIDERS , 4
android.permission.RECEIVE_MMS , 4
io.vov.vitamio.permission.RECEIVE_MESSAGES , 4
READ_PHONE_STATE , 4
com.soreha.lafontaine.permission.RESPOND , 4
android.permission.MANAGE_DOCUMENTS , 4
android.permission.DELETE_PACKAGES , 4
com.felicanetworks.mfc.permission.MFC_ACCESS , 4
android.permission.READ_OWNER_DATA , 4
com.sony.smallapp.permission.SMALLAPP , 4
android.permission.CONTROL_LOCATION_UPDATES , 4
android.permission.MOUNT_FORMAT_FILESYSTEMS , 4
android.permission.EXPAND_STATUS_BAR , 4
android.permission.BIND_INPUT_METHOD , 3
com.arabicgarage.a206.permission.C2D_MESSAGE , 3
android.permission.RUN_INSTRUMENTATION , 3
android.permission.SET_PREFERRED_APPLICATIONS , 3
android.permission.LOCATION , 3
android.permission.SYSTEM_OVERLAY_WINDOW , 3
com.android.alarm.permission.SET_ALARM , 3
android.permission.ADD_SYSTEM_SERVICE , 3
android.permission.READ_PROFILE , 3
android.permission.ACCOUNT_MANAGER , 3
android.permission.WRITE_USER_DICTIONARY , 3
android.permission.ACCESS_COARSE_UPDATES , 3
android.permission.BROADCAST_SMS , 3
android.permission.READ_USER_DICTIONARY , 3
android.permission.REORDER_TASKS , 3
android.permission.CLEAR_APP_CACHE , 3
android.permission.DUMP , 2
android.permission.HARDWARE_TEST , 2
com.google.android.providers.gmail.permission.READ_GMAIL , 2
android.permission.REBOOT , 2
android.permission.ACCESS_CELL_ID , 2
android.permission.BROADCAST_PACKAGE_REMOVED , 2
android.permission.NETWORK , 2
com.google.android.xmppService.permission.XMPP_SERVICE , 2
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION , 2
android.permission.BAIDU_LOCATION_SERVICE , 2
com.google.android.googleapps.permission.GOOGLE_AUTH , 2
android.permission.RECEIVE_WAP_PUSH , 2
android.permission.GET_PACKAGE_SIZE , 2
mobi.conduction.swipepad.android.permission.READ_SETTINGS , 2
android.permission.BLUETOOTH_PRIVILEGED , 2
android.permission.STATUS_BAR , 2
android.permission.DEVICE_POWER , 2
android.permission.WRITE_APN_SETTINGS , 2
android.permission.CALL_PRIVILEGED , 2
com.dasansogo.dabooke.permission.C2D_MESSAGE , 2
android.permission.SUBSCRIBED_FEEDS_READ , 2
android.permission.ACCESS_CHECKIN_PROPERTIES , 2
com.google.android.providers.talk.permission.READ_ONLY , 2
android.permission.ACCESS_FIND_LOCATION , 2
com.mdm.android.permissions.ACCESS_AGENT_SERVICE , 2
android.permission.SUBSCRIBED_FEEDS_WRITE , 2
android.permission.CHANGE_COMPONENT_ENABLED_STATE , 2
com.android.email.permission.READ_ATTACHMENT , 2
android.permission.DIAGNOSTIC , 2
com.google.android.gms.permission.ACTIVITY_RECOGNITION , 2
com.w394aa0a22311a004a718516078be944d.permission.C2D_MESSAGE , 1
net.ggapp2.sample01.permission.C2D_MESSAGE , 1
com.brnetcomm.libonesmart.geumcheon.permission.C2D_MESSAGE , 1
android.permission.READ_FRAME_BUFFER , 1
jp.softbank.mb.pma.permission.ACCESS_PRMS , 1
com.conduit.app_fac23362ad3c4d3b980bf5772ac5b4a6.app.permission.C2D_MESSAGE , 1
android.permission.android.permission.GET_TASKS , 1
android.hardware.camera.autofocus , 1
com.fsecure.ms.raiffeisen.sa.UNINSTALL , 1
kr.or.shcitylib.shlibrary.permission.C2D_MESSAGE , 1
com.apptec360.android.mdm.safe.permission.ApptecMDM , 1
com.mobeegen.kitchensink.permission.C2D_MESSAGE , 1
com.conduit.app_630596471fb847c5905c490d5b9a23f7.app.permission.C2D_MESSAGE , 1
com.wSubwayDietPlan.permission.C2D_MESSAGE , 1
biz.app4mobile.app_ba4241956d564abe9a9b705c849ab09a.app.permission.RECEIVE_ADM_MESSAGE , 1
com.imm.catalogo.permission.C2D_MESSAGE , 1
com.hybridforge.oppl.permission.C2D_MESSAGE , 1
kr.ac.youngdong.yulis.m.permission.C2D_MESSAGE , 1
com.dsi.ant.permission.ANTRADIO , 1
com.fsecure.ms.raiffeisen.sa.ACCESS_ALL_DOWNLOADS , 1
com.wOrganicChemistryClass.permission.C2D_MESSAGE , 1
com.hafizjunaidmalikgmailcom.intelappframework.permission.C2D_MESSAGE , 1
com.app_mynightout.layout.permission.C2D_MESSAGE , 1
android.permission. , 1
com.jaisaistudio.tipnasai.permission.C2D_MESSAGE , 1
hu.telekom.appland.permission.C2D_MESSAGE , 1
android.permission.SET_TIME , 1
com.wKURANULMECIDTURKCEMEALI.permission.C2D_MESSAGE , 1
kr.ac.hansei.lib.permission.C2D_MESSAGE , 1
android.permission.INJECT_EVENTS , 1
android.permission.BIND_DEVICE_ADMIN , 1
com.lightstreamer.demo.android.permission.C2D_MESSAGE , 1
com.nooresto.r167.permission.C2D_MESSAGE , 1
com.setting.wallpapercolor.permission.C2D_MESSAGE , 1
nl.sense_os.app.permission.C2D_MESSAGE , 1
