permission , count
SUM , 62574
android.permission.INTERNET , 59233
android.permission.ACCESS_NETWORK_STATE , 49991
android.permission.READ_EXTERNAL_STORAGE , 41301
android.permission.WRITE_EXTERNAL_STORAGE , 41105
android.permission.ACCESS_FINE_LOCATION , 26513
android.permission.READ_PHONE_STATE , 25870
android.permission.ACCESS_COARSE_LOCATION , 22740
android.permission.WAKE_LOCK , 21426
com.google.android.c2dm.permission.RECEIVE , 20070
android.permission.VIBRATE , 17919
android.permission.GET_ACCOUNTS , 16463
android.permission.CAMERA , 15348
android.permission.ACCESS_WIFI_STATE , 15147
android.permission.CALL_PHONE , 11723
android.permission.RECEIVE_BOOT_COMPLETED , 7317
android.permission.RECORD_AUDIO , 6911
com.google.android.providers.gsf.permission.READ_GSERVICES , 6568
android.permission.SEND_SMS , 5431
android.permission.READ_CONTACTS , 5028
android.permission.GET_TASKS , 4230
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 3443
android.permission.READ_CALL_LOG , 2921
android.permission.WRITE_CONTACTS , 2577
com.android.vending.BILLING , 2537
android.permission.SET_WALLPAPER , 2481
android.permission.CHANGE_WIFI_STATE , 2459
android.permission.USE_CREDENTIALS , 2260
android.permission.RECEIVE_SMS , 2183
android.permission.MODIFY_AUDIO_SETTINGS , 2098
android.permission.BLUETOOTH , 2063
android.permission.ACCESS_MOCK_LOCATION , 2058
android.permission.READ_CALENDAR , 1946
android.permission.WRITE_SETTINGS , 1946
android.permission.FLASHLIGHT , 1931
android.permission.WRITE_CALL_LOG , 1803
android.permission.BLUETOOTH_ADMIN , 1779
android.permission.WRITE_CALENDAR , 1734
android.permission.BROADCAST_STICKY , 1721
android.permission.SYSTEM_ALERT_WINDOW , 1687
android.permission.NFC , 1622
com.android.launcher.permission.INSTALL_SHORTCUT , 1428
android.permission.ACCESS_GPS , 1296
android.permission.DISABLE_KEYGUARD , 1287
com.android.vending.CHECK_LICENSE , 1282
android.permission.RESTART_PACKAGES , 1223
android.permission.READ_LOGS , 1126
android.permission.ACCESS_LOCATION , 1005
android.permission.CHANGE_NETWORK_STATE , 970
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 900
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 899
android.permission.RECORD_VIDEO , 896
android.permission.READ_SMS , 793
android.permission.ACCESS_ASSISTED_GPS , 687
com.amazon.device.messaging.permission.RECEIVE , 627
android.permission.WRITE_SMS , 620
android.permission.CHANGE_CONFIGURATION , 605
android.permission.MANAGE_ACCOUNTS , 571
android.webkit.permission.PLUGIN , 529
android.permission.KILL_BACKGROUND_PROCESSES , 494
android.permission.SET_WALLPAPER_HINTS , 478
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 349
com.android.launcher.permission.UNINSTALL_SHORTCUT , 340
android.permission.READ_OWNER_DATA , 334
android.permission.CHANGE_WIFI_MULTICAST_STATE , 317
android.permission.WRITE_INTERNAL_STORAGE , 309
android.permission.AUTHENTICATE_ACCOUNTS , 301
android.permission.PROCESS_OUTGOING_CALLS , 285
android.permission.CLEAR_APP_CACHE , 282
com.android.alarm.permission.SET_ALARM , 214
android.permission.INSTALL_PACKAGES , 206
android.permission.WRITE_OWNER_DATA , 199
android.permission.WRITE_SYNC_SETTINGS , 196
android.permission.READ_SYNC_SETTINGS , 187
android.permission.RECEIVE_MMS , 179
READ_PHONE_STATE , 169
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION , 167
android.permission.CALL_PRIVILEGED , 165
com.google.android.gms.permission.ACTIVITY_RECOGNITION , 158
android.permission.WRITE_SECURE_SETTINGS , 156
com.android.launcher.permission.READ_SETTINGS , 148
android.permission.ACCESS_CORSE_LOCATION , 144
