permission , count
SUM , 32722
android.permission.INTERNET , 30797
android.permission.ACCESS_NETWORK_STATE , 27522
android.permission.READ_EXTERNAL_STORAGE , 20473
android.permission.WRITE_EXTERNAL_STORAGE , 20294
android.permission.READ_PHONE_STATE , 18249
android.permission.WAKE_LOCK , 14133
android.permission.ACCESS_WIFI_STATE , 9946
android.permission.ACCESS_FINE_LOCATION , 6713
android.permission.VIBRATE , 6396
android.permission.ACCESS_COARSE_LOCATION , 5995
android.permission.GET_ACCOUNTS , 5022
com.google.android.c2dm.permission.RECEIVE , 4446
android.permission.WRITE_SETTINGS , 4446
android.permission.RECEIVE_BOOT_COMPLETED , 3887
android.permission.RECORD_AUDIO , 3874
android.permission.CALL_PHONE , 2565
android.permission.MODIFY_AUDIO_SETTINGS , 2430
android.permission.CAMERA , 2393
android.permission.READ_CONTACTS , 2110
android.permission.BROADCAST_STICKY , 2093
android.permission.WRITE_CONTACTS , 1904
com.android.vending.CHECK_LICENSE , 1566
com.android.vending.BILLING , 1482
android.permission.GET_TASKS , 1456
android.permission.SEND_SMS , 1267
com.google.android.providers.gsf.permission.READ_GSERVICES , 1200
android.permission.READ_CALL_LOG , 1178
android.permission.WRITE_CALL_LOG , 1068
android.permission.READ_CALENDAR , 952
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 865
android.permission.WRITE_CALENDAR , 815
android.permission.BLUETOOTH , 785
android.permission.SYSTEM_ALERT_WINDOW , 773
android.permission.CHANGE_WIFI_STATE , 731
android.permission.READ_LOGS , 727
android.permission.SET_WALLPAPER , 623
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 622
com.android.launcher.permission.INSTALL_SHORTCUT , 618
android.permission.RECEIVE_SMS , 435
android.permission.CHANGE_CONFIGURATION , 426
android.permission.BLUETOOTH_ADMIN , 424
android.permission.DISABLE_KEYGUARD , 412
android.permission.USE_CREDENTIALS , 410
android.permission.FLASHLIGHT , 405
com.amazon.device.messaging.permission.RECEIVE , 393
android.permission.ACCESS_MOCK_LOCATION , 365
android.permission.PROCESS_OUTGOING_CALLS , 359
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 300
android.permission.CHANGE_NETWORK_STATE , 297
android.webkit.permission.PLUGIN , 289
android.permission.CHANGE_WIFI_MULTICAST_STATE , 243
android.permission.RESTART_PACKAGES , 196
com.android.alarm.permission.SET_ALARM , 189
android.permission.RECORD_VIDEO , 183
android.permission.KILL_BACKGROUND_PROCESSES , 179
android.permission.WRITE_INTERNAL_STORAGE , 145
com.android.launcher.permission.READ_SETTINGS , 136
com.android.launcher.permission.UNINSTALL_SHORTCUT , 123
android.permission.AUTHENTICATE_ACCOUNTS , 113
android.permission.NFC , 109
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 105
android.permission.MANAGE_ACCOUNTS , 90
android.permission.DELETE_EXTERNAL_STORAGE , 86
android.permission.UPDATE_DEVICE_STATS , 80
android.permission.WRITE_OWNER_DATA , 68
android.permission.WRITE_SYNC_SETTINGS , 64
android.permission.ACCESS_ALL_DOWNLOADS , 61
android.permission.WRITE_SMS , 61
android.permission.RAISED_THREAD_PRIORITY , 57
android.permission.INSTALL_PACKAGES , 53
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION , 53
android.permission.STATUS_BAR , 52
android.permission.SET_WALLPAPER_HINTS , 52
android.permission.INTERNET.WRITE_SETTINGS , 51
android.permission.WRITE , 49
android.permissions.RECEIVE_BOOT_COMPLETED , 49
android.permission.CLEAR_APP_CACHE , 49
android.permission.READ_PROFILE , 48
android.permission.READ_SMS , 47
READ_PHONE_STATE , 47
android.permission.INTERACT_ACROSS_USERS_FULL , 45
android.permission.DELETE_PACKAGES , 44
android.permission.READ_SYNC_SETTINGS , 44
com.lge.launcher.permission.INSTALL_SHORTCUT , 43
com.motorola.launcher.permission.INSTALL_SHORTCUT , 43
com.motorola.dlauncher.permission.INSTALL_SHORTCUT , 43
android.permission.USE_SIP , 42
android.permission.ACCESS_LOCATION , 42
android.permission.STORAGE , 38
android.permission.READ_OWNER_DATA , 37
www.conduit.app.permission.C2D_MESSAGE , 36
com.htc.launcher.permission.READ_SETTINGS , 35
android.permission.DEVICE_POWER , 35
com.fede.launcher.permission.READ_SETTINGS , 35
com.motorola.launcher.permission.READ_SETTINGS , 35
com.motorola.dlauncher.permission.READ_SETTINGS , 35
com.lge.launcher.permission.READ_SETTINGS , 35
org.adw.launcher.permission.READ_SETTINGS , 35
android.permission.REORDER_TASKS , 33
com.google.android.gms.permission.ACTIVITY_RECOGNITION , 33
android.permission.BATTERY_STATS , 32
android.permission.ACCESS_GPS , 31
android.permission.READ_SYNC_STATS , 31
android.permisssion.CALL_PRIVILEGED , 31
android.permission.MOUNT_FORMAT_FILESYSTEMS , 31
com.mobilecartel.volume.permission.C2D_MESSAGE , 30
android.permission.MODIFY_PHONE_STATE , 30
android.permission.RECEIVE_MMS , 30
android.permission.EXPAND_STATUS_BAR , 30
com.google.android.googleapps.permission.GOOGLE_AUTH , 27
android.permission.ACTION_HEADSET_PLUG , 27
com.goodbarber.v2.permission.MAPS_RECEIVE , 27
com.sonyericsson.extras.liveware.aef.EXTENSION_PERMISSION , 26
android.permission.CALL_PRIVILEGED , 26
android.permission.ACCESS_DOWNLOAD_MANAGER , 26
