permission , count
SUM , 28711
android.permission.INTERNET , 28635
android.permission.ACCESS_NETWORK_STATE , 25674
android.permission.READ_EXTERNAL_STORAGE , 19734
android.permission.WRITE_EXTERNAL_STORAGE , 19680
android.permission.WAKE_LOCK , 12293
android.permission.READ_PHONE_STATE , 9465
com.google.android.c2dm.permission.RECEIVE , 9253
android.permission.GET_ACCOUNTS , 8353
android.permission.ACCESS_WIFI_STATE , 8311
android.permission.VIBRATE , 8004
android.permission.ACCESS_COARSE_LOCATION , 6813
android.permission.ACCESS_FINE_LOCATION , 6604
android.permission.RECEIVE_BOOT_COMPLETED , 4839
com.android.vending.BILLING , 4113
android.permission.CAMERA , 2587
android.permission.FLASHLIGHT , 1928
android.permission.GET_TASKS , 1864
com.google.android.providers.gsf.permission.READ_GSERVICES , 1626
android.permission.CALL_PHONE , 1621
android.permission.BROADCAST_STICKY , 1121
android.permission.READ_LOGS , 1115
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 1089
android.permission.RECORD_AUDIO , 1041
com.android.launcher.permission.INSTALL_SHORTCUT , 884
com.example.gcm.permission.C2D_MESSAGE , 766
android.permission.SYSTEM_ALERT_WINDOW , 733
android.permission.READ_CONTACTS , 659
android.permission.USE_CREDENTIALS , 655
android.permission.WRITE_SETTINGS , 648
android.webkit.permission.PLUGIN , 611
android.permission.MODIFY_AUDIO_SETTINGS , 576
android.permission.CHANGE_WIFI_STATE , 567
android.permission.WRITE_CONTACTS , 511
android.permission.SEND_SMS , 490
android.permission.READ_CALL_LOG , 438
android.permission.WRITE_CALL_LOG , 371
android.permission.DISABLE_KEYGUARD , 362
com.android.vending.CHECK_LICENSE , 354
android.permission.CHANGE_CONFIGURATION , 351
android.permission.SET_WALLPAPER , 349
com.amazon.device.messaging.permission.RECEIVE , 339
android.permission.WRITE_OWNER_DATA , 335
android.permission.RECEIVE_SMS , 318
android.permission.ACCESS_MOCK_LOCATION , 316
android.permission.READ_CALENDAR , 299
android.permission.WRITE_CALENDAR , 284
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 280
android.permission.BLUETOOTH , 275
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 260
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION , 254
com.doapps.android.mln.permission.C2D_MESSAGE , 245
android.permission.ACCESS_GPS , 239
android.permission.RESTART_PACKAGES , 234
android.permission.RECORD_VIDEO , 206
android.permission.WRITE_INTERNAL_STORAGE , 203
com.goodbarber.v2.permission.MAPS_RECEIVE , 186
android.permission.MANAGE_ACCOUNTS , 180
android.permission.CHANGE_NETWORK_STATE , 175
android.permission.BLUETOOTH_ADMIN , 166
android.permission.KILL_BACKGROUND_PROCESSES , 164
android.permission.AUTHENTICATE_ACCOUNTS , 142
android.permission.READ_OWNER_DATA , 141
android.permission.ACCESS_DOWNLOAD_MANAGER , 129
android.permission.ACCESS_LOCATION , 127
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 123
android.permission.WRITE_SYNC_SETTINGS , 105
android.permission.ACCESS_ASSISTED_GPS , 103
com.android.launcher.permission.UNINSTALL_SHORTCUT , 101
android.permission.READ_SYNC_SETTINGS , 90
android.permission.INSTALL_PACKAGES , 79
com.amazon.permission.SET_FLAG_NOSOFTKEYS , 76
com.visiolink.reader.permission.C2D_MESSAGE , 74
android.permission.BATTERY_STATS , 73
com.pmx.pmx_client.permission.C2D_MESSAGE , 73
javax.crypto.CryptoAllPermission , 73
android.permission.WRITE_SMS , 71
android.permission.CHANGE_WIFI_MULTICAST_STATE , 71
de.leserauskunft.titleapptemplate.permission.C2D_MESSAGE , 70
android.permission.NFC , 69
READ_PHONE_STATE , 65
android.permission.SET_ORIENTATION , 64
android.permission.CLEAR_APP_CACHE , 63
www.conduit.app.permission.C2D_MESSAGE , 53
android.permission.READ_SMS , 51
android.permission.DEVICE_POWER , 46
android.permission.READ_INTERNAL_STORAGE , 45
com.google.android.gms.permission.ACTIVITY_RECOGNITION , 45
android.permission.RECEIVE_USER_PRESENT , 43
android.permission.INTERACT_ACROSS_USERS_FULL , 42
com.android.launcher.permission.READ_SETTINGS , 42
android.permission.REORDER_TASKS , 41
com.threedflip.keosklib.PAYMENT , 40
com.magplus.svenbenny.whitelabelapplication.permission.C2D_MESSAGE , 37
android.permission.ACCESS_CORSE_LOCATION , 37
android.permission.SET_DEBUG_APP , 36
android.permission.READ_SYNC_STATS , 35
android.permission.DELETE_CACHE_FILES , 35
com.google.android.c2dm.permission.REGISTER , 35
com.celltick.lockscreen.permission.C2D_MESSAGE , 35
android.permission.EXPAND_STATUS_BAR , 35
android.permission.WRITE_APN_SETTINGS , 30
android.permission.STORAGE , 29
com.android.email.permission.ACCESS_PROVIDER , 27
com.briox.riversip.RIVERSIP_APPS_BROADCAST_PERMISSION , 27
ua.com.citysites.mariupol.permission.C2D_MESSAGE , 26
ua.com.citysites.mariupol.permission.MAPS_RECEIVE , 26
android.permission.DELETE_PACKAGES , 25
android.permission.ACCESS_COARSE_UPDATES , 24
com.android.email.permission.READ_ATTACHMENT , 24
com.lge.launcher.permission.INSTALL_SHORTCUT , 23
com.motorola.launcher.permission.INSTALL_SHORTCUT , 23
android.permission.BAIDU_LOCATION_SERVICE , 23
com.motorola.dlauncher.permission.INSTALL_SHORTCUT , 23
android.permissions.RECEIVE_BOOT_COMPLETED , 22
android.permission.READ_PROFILE , 22
com.android.launcher.permission.WRITE_SETTINGS , 22
android.permission.RAISED_THREAD_PRIORITY , 21
android.permission.SET_WALLPAPER_HINTS , 20
android.permission.WRITE , 19
com.vogella.android.locationapi.maps.permission.MAPS_RECEIVE , 19
android.permission.CALL_PRIVILEGED , 19
.permission.C2D_MESSAGE , 19
android.permission.ACCESS_COURSE_LOCATION , 18
android.permission.UPDATE_DEVICE_STATS , 18
android.permission.PROCESS_OUTGOING_CALLS , 18
com.android.alarm.permission.SET_ALARM , 17
com.example.mapdemo.permission.MAPS_RECEIVE , 17
android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS , 17
android.permission.ACCESS_SURFACE_FLINGER , 17
com.mecom.application.permission.C2D_MESSAGE , 16
android.permission.REBOOT , 16
com.genwi.instaapp.permission.C2D_MESSAGE , 16
com.hudee2.pns.permission.C2D_MESSAGE , 15
android.permission.CONTROL_LOCATION_UPDATES , 14
android.permission.NETWORK , 14
com.legion2app.biznes.s.permission.C2D_MESSAGE , 14
android.permission.ACCOUNT_MANAGER , 14
android.permission.WRITE_SECURE_SETTINGS , 13
android.permission.ACCESS_ALL_DOWNLOADS , 13
android.permission. , 13
android.permission.MOUNT_UNMOUT_FILESYSTEMS , 13
nl.peperzaken.ro.permission.MAPS_RECEIVE , 13
com.nokia.payment.BILLING , 12
com.google.android.c2dm.permission.SEND , 12
com.sonyericsson.extras.liveware.aef.EXTENSION_PERMISSION , 11
INSTALL_SHORTCUT , 11
android.permission.MODIFY_PHONE_STATE , 11
android.permission.LOCATION , 11
android.permission.GET_PACKAGE_SIZE , 11
android.permission.ACCES_MOCK_LOCATION , 10
android.permission.ACCESS_COARSE_LOCATIO , 10
android.permission.ACCESS_ALL_DOWNLOAD , 10
com.sec.android.provider.badge.permission.READ , 10
com.sec.android.provider.badge.permission.WRITE , 10
android.permission.DUMP , 10
com.google.android.c2dm.permission.REGISTRATION , 9
android.permission.STATUS_BAR , 9
android.permission.MANAGE_DOCUMENTS , 9
com.oohar.app.demo.gcm.permission.C2D_MESSAGE , 8
com.cream.people.permission.C2D_MESSAGE , 8
com.baker.abaker.permission.C2D_MESSAGE , 8
com.go.abclocal.news.permission.C2D_MESSAGE , 8
com.aquafadas.avecomics.testAVEinappbilling.permission.C2D_MESSAGE , 8
tv.tv9x9.player.permission.C2D_MESSAGE , 7
com.google.android.googleapps.permission.GOOGLE_AUTH , 7
com.layar.permission.MAPS_RECEIVE , 7
com.queryapps.hindtv.permission.C2D_MESSAGE , 7
com.centrefrance.municipales.permission.C2D_MESSAGE , 7
com.google.android.c2dm.intent.RECEIVE , 7
com.htc.launcher.permission.READ_SETTINGS , 7
android.net.conn.CONNECTIVITY_CHANGE , 7
org.onepf.openiab.permission.BILLING , 7
com.itourmedia.permission.C2D_MESSAGE , 7
com.neomit.market.permission.C2D_MESSAGE , 7
android.permission.BILLING , 6
ACCESS_NETWORK_STATE , 6
android.permission.MOUNT_FORMAT_FILESYSTEMS , 6
com.motorola.launcher.permission.READ_SETTINGS , 6
com.fiercemarkets.library.permission.C2D_MESSAGE , 6
android.permission.SET_ANIMATION_SCALE , 6
com.aquafadas.store.push.permission.C2D_MESSAGE , 6
com.fede.launcher.permission.READ_SETTINGS , 6
com.motorola.dlauncher.permission.READ_SETTINGS , 6
android.permission.CLEAR_APP_USER_DATA , 6
com.lge.launcher.permission.READ_SETTINGS , 6
android.permission.ADD_SYSTEM_SERVICE , 6
org.adw.launcher.permission.READ_SETTINGS , 6
com.htc.launcher.permission.WRITE_SETTINGS , 5
com.toi.reader.activities.permission.C2D_MESSAGE , 5
mediawire.printstand.mobile.presentation.permission.C2D_MESSAGE , 5
com.nokia.pushnotifications.permission.RECEIVE , 5
android.hardware.camera.autofocus , 5
android.permission.WRITE_HISTORY_BOOKMARKS , 5
android.permission.ACCESS_PHONE_STATE , 5
android.permission.WRITE_USER_DICTIONARY , 5
com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY , 5
android.permission.ACCESS_EXTERNAL_STORAGE , 5
com.giniem.gindpubs.permission.C2D_MESSAGE , 5
android.permission.READ_USER_DICTIONARY , 4
com.lge.launcher.permission.WRITE_SETTINGS , 4
com.intellex.ekapija.permission.C2D_MESSAGE , 4
android.permission.C2D_MESSAGE , 4
com.nurun.canoe.permission.C2D_MESSAGE , 4
com.pylba.news.permission.INTERNAL , 4
com.walkme.noticias.twitter.MSTwitterService , 4
com.androidhive.pushnotifications.permission.C2D_MESSAGE , 4
com.niveales.wind.permission.C2D_MESSAGE , 4
com.anddoes.launcher.permission.READ_SETTINGS , 4
android.permission.READ_HISTORY_BOOKMARKS , 4
android.permission.SET_ALARM , 4
com.teslacoilsw.launcher.permission.WRITE_SETTINGS , 4
com.google.android.c2dm.permission.GET_ACCOUNTS , 4
android.permission.CHECK_LICENSE , 4
android.permission.ACCESS_NETWORK , 4
android.permission.PERMISSION_NAME , 4
com.exellent.bulletin.permission.C2D_MESSAGE , 4
com.fede.launcher.permission.WRITE_SETTINGS , 4
com.yahoo.mobile.client.android.permissions.YAHOO_INTER_APP , 4
com.anddoes.launcher.permission.WRITE_SETTINGS , 4
com.mobdub.channel.permission.C2D_MESSAGE , 4
org.adw.launcher.permission.WRITE_SETTINGS , 4
android.permission.ACCESS_CHECKIN_PROPERTIES , 4
com.motorola.dlauncher.permission.WRITE_SETTINGS , 4
android.permission.HARDWARE_TEST , 4
android.permissions.READ_DATABASE , 4
com.startcapps.appseditor.permission.C2D_MESSAGE , 4
android.permission.VIBRATION , 4
android.permission.RUN_INSTRUMENTATION , 4
com.motorola.launcher.permission.WRITE_SETTINGS , 4
com.im.fantastic.master.permission.MAPS_RECEIVE , 4
com.teslacoilsw.launcher.permission.READ_SETTINGS , 4
android.permissioms.WRITE_DATABASE , 4
gov.whitehouse.permission.C2D_MESSAGE , 4
android.permission.READ_PERMISSION , 3
mobi.mgeek.TunnyBrowser.permission.READ_HISTORY_BOOKMARKS , 3
com.mippin.android.bw.m1216.permission.MAPS_RECEIVE , 3
com.mobishout.promos.permission.C2D_MESSAGE , 3
android.permission.MAPS_RECEIVE , 3
jp.co.nikkeibp.pc21.android.permission.C2D_MESSAGE , 3
android.permission.SET_PREFERRED_APPLICATIONS , 3
com.samsung.android.sdk.permission.SAMSUNG_CUP_SERVICE , 3
com.google.android.apps.googlevoice.permission.RECEIVE_SMS , 3
