permission , count
SUM , 11427
android.permission.INTERNET , 10165
android.permission.READ_EXTERNAL_STORAGE , 9998
android.permission.WRITE_EXTERNAL_STORAGE , 9951
android.permission.ACCESS_NETWORK_STATE , 9065
android.permission.CAMERA , 4771
android.permission.READ_PHONE_STATE , 3588
android.permission.ACCESS_WIFI_STATE , 3373
android.permission.WAKE_LOCK , 2371
android.permission.ACCESS_FINE_LOCATION , 2145
android.permission.ACCESS_COARSE_LOCATION , 1933
android.permission.VIBRATE , 1927
android.permission.SET_WALLPAPER , 1821
android.permission.GET_ACCOUNTS , 1718
com.google.android.c2dm.permission.RECEIVE , 1439
android.permission.GET_TASKS , 986
android.permission.RECORD_AUDIO , 863
com.android.vending.BILLING , 825
android.permission.RECEIVE_BOOT_COMPLETED , 821
android.permission.SYSTEM_ALERT_WINDOW , 689
com.android.vending.CHECK_LICENSE , 545
android.permission.READ_CONTACTS , 484
com.android.launcher.permission.INSTALL_SHORTCUT , 443
android.permission.SET_WALLPAPER_HINTS , 430
android.permission.FLASHLIGHT , 408
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 367
android.permission.WRITE_SETTINGS , 353
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 320
android.permission.CHANGE_WIFI_STATE , 318
com.google.android.providers.gsf.permission.READ_GSERVICES , 305
android.permission.READ_CALL_LOG , 303
android.permission.WRITE_INTERNAL_STORAGE , 245
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 227
android.permission.CALL_PHONE , 224
android.permission.USE_CREDENTIALS , 218
android.permission.READ_LOGS , 183
android.permission.MODIFY_AUDIO_SETTINGS , 160
android.permission.BLUETOOTH , 155
android.hardware.camera.autofocus , 153
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 143
com.android.launcher.permission.UNINSTALL_SHORTCUT , 142
android.permission.WRITE_CONTACTS , 133
android.permission.CHANGE_NETWORK_STATE , 131
android.permission.SEND_SMS , 131
android.permission.BLUETOOTH_ADMIN , 126
android.permission.RECORD_VIDEO , 121
android.permission.DISABLE_KEYGUARD , 119
com.android.launcher.permission.READ_SETTINGS , 117
android.permission.BROADCAST_STICKY , 112
android.permission.ACCESS_MOCK_LOCATION , 109
com.htc.launcher.permission.READ_SETTINGS , 107
com.lge.launcher.permission.READ_SETTINGS , 106
