permission , count
SUM , 29
android.permission.INTERNET , 27
android.permission.READ_EXTERNAL_STORAGE , 18
android.permission.WRITE_EXTERNAL_STORAGE , 18
android.permission.ACCESS_NETWORK_STATE , 16
android.permission.READ_PHONE_STATE , 12
android.permission.WAKE_LOCK , 7
android.permission.VIBRATE , 5
android.permission.CAMERA , 5
android.permission.ACCESS_WIFI_STATE , 5
android.permission.ACCESS_COARSE_LOCATION , 3
android.permission.ACCESS_FINE_LOCATION , 3
android.permission.GET_ACCOUNTS , 3
android.permission.WRITE_SETTINGS , 2
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 2
android.permission.SET_WALLPAPER_HINTS , 2
android.permission.SET_WALLPAPER , 2
android.permission.RECORD_AUDIO , 2
android.permission.RECEIVE_BOOT_COMPLETED , 1
android.permission.BROADCAST_STICKY , 1
com.android.vending.BILLING , 1
android.permission.GET_TASKS , 1
android.permission.SYSTEM_ALERT_WINDOW , 1
com.google.android.c2dm.permission.RECEIVE , 1
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 1
com.hillracing.fastspeed.rc3dracing.driftrevolution.permission.C2D_MESSAGE , 1
android.permission.READ_CONTACTS , 1
android.permission.MODIFY_AUDIO_SETTINGS , 1
android.permission.RECEIVE_SMS , 1
