permission , count
SUM , 25312
android.permission.INTERNET , 24178
android.permission.ACCESS_NETWORK_STATE , 20462
android.permission.READ_EXTERNAL_STORAGE , 16166
android.permission.WRITE_EXTERNAL_STORAGE , 16140
android.permission.WAKE_LOCK , 8960
android.permission.READ_PHONE_STATE , 8732
android.permission.ACCESS_FINE_LOCATION , 8726
com.google.android.c2dm.permission.RECEIVE , 7717
android.permission.ACCESS_COARSE_LOCATION , 7266
android.permission.VIBRATE , 7000
android.permission.GET_ACCOUNTS , 6457
android.permission.ACCESS_WIFI_STATE , 5852
android.permission.CAMERA , 4268
android.permission.RECEIVE_BOOT_COMPLETED , 2411
android.permission.CALL_PHONE , 2101
android.permission.RECORD_AUDIO , 1936
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 1698
com.google.android.providers.gsf.permission.READ_GSERVICES , 1690
com.android.vending.BILLING , 1448
android.permission.READ_CONTACTS , 1398
android.permission.GET_TASKS , 1104
android.permission.SEND_SMS , 1040
android.permission.WRITE_CALENDAR , 936
android.permission.READ_CALL_LOG , 929
android.permission.READ_CALENDAR , 903
com.android.vending.CHECK_LICENSE , 887
android.permission.SET_WALLPAPER , 760
android.permission.WRITE_CONTACTS , 757
android.permission.USE_CREDENTIALS , 720
android.permission.MODIFY_AUDIO_SETTINGS , 706
android.permission.BLUETOOTH , 699
android.permission.ACCESS_MOCK_LOCATION , 654
android.permission.BROADCAST_STICKY , 633
android.permission.BLUETOOTH_ADMIN , 622
android.permission.WRITE_CALL_LOG , 574
android.permission.FLASHLIGHT , 545
android.permission.WRITE_SETTINGS , 503
android.permission.RECEIVE_SMS , 418
android.permission.NFC , 417
com.amazon.device.messaging.permission.RECEIVE , 401
android.permission.RECORD_VIDEO , 394
com.android.launcher.permission.INSTALL_SHORTCUT , 369
android.permission.CHANGE_WIFI_STATE , 339
android.permission.SYSTEM_ALERT_WINDOW , 337
android.permission.READ_LOGS , 325
android.webkit.permission.PLUGIN , 275
android.permission.AUTHENTICATE_ACCOUNTS , 209
android.permission.DISABLE_KEYGUARD , 202
android.permission.ACCESS_GPS , 177
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 168
android.permission.MANAGE_ACCOUNTS , 165
android.permission.CHANGE_NETWORK_STATE , 155
android.permission.CLEAR_APP_CACHE , 150
android.permission.WRITE_INTERNAL_STORAGE , 143
android.permission.ACCOUNT_MANAGER , 141
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 132
android.permission.RESTART_PACKAGES , 126
android.permission.CHANGE_CONFIGURATION , 117
android.permission.ACCESS_LOCATION , 114
android.permission.WRITE_SYNC_SETTINGS , 99
android.permission.ACCESS_ASSISTED_GPS , 97
android.permission.INSTALL_PACKAGES , 77
android.permission.DELETE_PACKAGES , 75
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION , 71
android.permission.SET_WALLPAPER_HINTS , 70
com.webuildapps.amateurvoetbalapp.gcm.permission.C2D_MESSAGE , 66
android.permission.READ_OWNER_DATA , 66
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 65
android.permission.INTERACT_ACROSS_USERS_FULL , 62
android.permission.READ_SYNC_SETTINGS , 60
android.permission.KILL_BACKGROUND_PROCESSES , 60
android.permission.CHANGE_WIFI_MULTICAST_STATE , 60
com.google.android.googleapps.permission.GOOGLE_AUTH , 59
com.google.android.googleapps.permission.GOOGLE_AUTH.youtube , 57
com.goodbarber.v2.permission.MAPS_RECEIVE , 55
android.permission.ACCESS_CORSE_LOCATION , 55
android.permissions.RECEIVE_BOOT_COMPLETED , 50
android.permission.LOCATION , 50
com.android.alarm.permission.SET_ALARM , 47
com.android.launcher.permission.UNINSTALL_SHORTCUT , 46
ru.sports.permission.C2D_MESSAGE , 43
android.permission.DELETE_CACHE_FILES , 42
www.conduit.app.permission.C2D_MESSAGE , 40
android.permission.PROCESS_OUTGOING_CALLS , 39
com.lge.launcher.permission.INSTALL_SHORTCUT , 37
com.motorola.launcher.permission.INSTALL_SHORTCUT , 37
com.motorola.dlauncher.permission.INSTALL_SHORTCUT , 37
android.permission.WRITE_OWNER_DATA , 35
android.permission.READ_SMS , 35
com.google.android.gms.permission.ACTIVITY_RECOGNITION , 33
com.example.gcm.permission.C2D_MESSAGE , 32
android.permission.READ_SYNC_STATS , 31
android.permission.WRITE_SMS , 31
com.iteamz.poi.permission.C2D_MESSAGE , 30
android.permission.BATTERY_STATS , 29
android.permission.CALL , 29
com.celltick.lockscreen.permission.C2D_MESSAGE , 28
android.permission.SYSTEM_OVERLAY_WINDOW , 26
android.permission.CALL_PRIVILEGED , 26
android.permission.READ_INTERNAL_STORAGE , 25
com.briox.riversip.RIVERSIP_APPS_BROADCAST_PERMISSION , 25
android.permission.READ_PROFILE , 25
android.permissiom.BATTERY_STATS , 25
android.permission.NETWORK_STATE , 24
android.permission.ACCESS_BACKGROUND_SERVICE , 24
android.permission.publish_stream , 24
android.permission.ACCESS_NETWORK_PERMISSION , 23
android.permission.REORDER_TASKS , 23
android.permission.ACCESS_DOWNLOAD_MANAGER , 23
com.example.prova.permission.MAPS_RECEIVE , 22
android.permission.SET_DEBUG_APP , 22
android.permission.ACCESS_COARSE_SLOCATION , 22
READ_PHONE_STATE , 22
nl.knvbclubapp.permission.MAPS_RECEIVE , 21
com.telstra.android.afl.outware.companion.ACCESS_DATA , 19
com.android.launcher.permission.READ_SETTINGS , 19
android.permission.SET_ORIENTATION , 19
com.sonyericsson.extras.liveware.aef.EXTENSION_PERMISSION , 18
com.google.android.apps.googlevoice.permission.RECEIVE_SMS , 18
android.permission.ACCESS_COARSE_UPDATES , 18
com.google.android.apps.googlevoice.permission.SEND_SMS , 18
android.permission.WRITE_SECURE_SETTINGS , 16
com.leaguestat.lsmobileappbase.permission.C2D_MESSAGE , 16
com.htc.launcher.permission.READ_SETTINGS , 15
com.example.mapdemo.permission.MAPS_RECEIVE , 15
android.permission.STORAGE , 15
android.permission.CONTROL_LOCATION_UPDATES , 15
android.permission.ACCESS_COURSE_LOCATION , 14
com.motorola.launcher.permission.READ_SETTINGS , 14
com.dsi.ant.permission.ANT , 14
com.doapps.android.mln.permission.C2D_MESSAGE , 14
org.usacup.permission.C2D_MESSAGE , 14
com.dsi.ant.permission.ANT_ADMIN , 14
com.fede.launcher.permission.READ_SETTINGS , 14
com.motorola.dlauncher.permission.READ_SETTINGS , 14
.permission.C2D_MESSAGE , 14
com.lge.launcher.permission.READ_SETTINGS , 14
org.adw.launcher.permission.READ_SETTINGS , 14
android.permission.PERSISTENT_ACTIVITY , 12
android.permission.DEVICE_POWER , 12
com.google.android.c2dm.permission.SEND , 12
android.permission.STATUS_BAR , 11
android.permission.READ_GSERVICES , 11
android.permission.RECEIVE_USER_PRESENT , 10
android.permission.BILLING , 10
com.google.android.c2dm.permission.REGISTER , 10
com.google.android.gallery3d.permission.GALLERY_PROVIDER , 10
com.im.fantastic.master.permission.MAPS_RECEIVE , 9
android.permission.NETWORK , 9
android.permission.READ_USER_DICTIONARY , 8
android.permission.RAISED_THREAD_PRIORITY , 8
