permission , count
SUM , 13536
android.permission.INTERNET , 12886
android.permission.ACCESS_NETWORK_STATE , 10742
android.permission.ACCESS_FINE_LOCATION , 9033
android.permission.READ_EXTERNAL_STORAGE , 7898
android.permission.WRITE_EXTERNAL_STORAGE , 7883
android.permission.ACCESS_COARSE_LOCATION , 7277
android.permission.READ_PHONE_STATE , 4602
android.permission.VIBRATE , 3691
android.permission.WAKE_LOCK , 3663
com.google.android.providers.gsf.permission.READ_GSERVICES , 3124
android.permission.ACCESS_WIFI_STATE , 3049
android.permission.CALL_PHONE , 2705
android.permission.GET_ACCOUNTS , 2454
com.google.android.c2dm.permission.RECEIVE , 2298
android.permission.CAMERA , 1593
android.permission.RECEIVE_BOOT_COMPLETED , 1372
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 1130
android.permission.READ_CONTACTS , 1059
android.permission.GET_TASKS , 954
android.permission.ACCESS_MOCK_LOCATION , 936
android.permission.SEND_SMS , 880
android.permission.CHANGE_WIFI_STATE , 770
android.permission.RECORD_AUDIO , 726
android.permission.READ_CALL_LOG , 691
android.permission.RECEIVE_SMS , 603
com.android.vending.BILLING , 558
android.permission.BLUETOOTH , 512
android.permission.WRITE_SETTINGS , 490
android.permission.WRITE_CONTACTS , 442
com.android.vending.CHECK_LICENSE , 432
com.android.launcher.permission.INSTALL_SHORTCUT , 425
android.permission.MODIFY_AUDIO_SETTINGS , 424
android.permission.BLUETOOTH_ADMIN , 419
android.permission.READ_LOGS , 407
android.permission.WRITE_CALL_LOG , 361
android.permission.DISABLE_KEYGUARD , 355
android.permission.ACCESS_GPS , 354
android.permission.CHANGE_NETWORK_STATE , 313
android.permission.USE_CREDENTIALS , 305
android.permission.BROADCAST_STICKY , 293
android.permission.SYSTEM_ALERT_WINDOW , 284
android.permission.ACCESS_LOCATION , 245
android.permission.READ_CALENDAR , 235
android.permission.RESTART_PACKAGES , 229
android.permission.WRITE_CALENDAR , 221
android.permission.READ_SMS , 206
android.permission.FLASHLIGHT , 187
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 184
android.permission.NFC , 166
android.permission.WRITE_SMS , 162
android.permission.CHANGE_CONFIGURATION , 149
android.permission.RECORD_VIDEO , 142
