permission , count
SUM , 3752
android.permission.INTERNET , 3658
android.permission.ACCESS_NETWORK_STATE , 3036
android.permission.ACCESS_FINE_LOCATION , 1977
android.permission.READ_EXTERNAL_STORAGE , 1847
android.permission.WRITE_EXTERNAL_STORAGE , 1841
android.permission.ACCESS_COARSE_LOCATION , 1731
android.permission.WAKE_LOCK , 940
android.permission.READ_PHONE_STATE , 928
android.permission.VIBRATE , 895
android.permission.ACCESS_WIFI_STATE , 835
com.google.android.c2dm.permission.RECEIVE , 697
android.permission.RECEIVE_BOOT_COMPLETED , 692
com.google.android.providers.gsf.permission.READ_GSERVICES , 625
android.permission.GET_ACCOUNTS , 525
android.permission.GET_TASKS , 312
com.android.vending.BILLING , 258
com.android.vending.CHECK_LICENSE , 218
android.permission.CAMERA , 198
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 146
com.wsi.android.weather.permission.C2D_MESSAGE , 142
android.permission.ACCESS_MOCK_LOCATION , 101
com.android.launcher.permission.INSTALL_SHORTCUT , 92
android.permission.RECORD_AUDIO , 87
android.permission.CALL_PHONE , 81
android.permission.DISABLE_KEYGUARD , 80
android.permission.CHANGE_WIFI_STATE , 78
android.permission.READ_LOGS , 76
android.permission.WRITE_SETTINGS , 70
android.permission.READ_CONTACTS , 61
android.permission.SYSTEM_ALERT_WINDOW , 55
android.permission.BROADCAST_STICKY , 53
android.webkit.permission.PLUGIN , 52
android.permission.SET_WALLPAPER , 45
android.permission.BLUETOOTH , 45
android.permission.MODIFY_AUDIO_SETTINGS , 44
android.permission.ACCESS_GPS , 41
android.permission.READ_CALL_LOG , 38
android.permission.SEND_SMS , 35
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 35
android.permission.CHANGE_NETWORK_STATE , 33
android.permission.BLUETOOTH_ADMIN , 33
android.permission.USE_CREDENTIALS , 33
android.permission.ACCESS_LOCATION , 32
android.permission.WRITE_CONTACTS , 32
android.permission.FLASHLIGHT , 31
android.permission.RECEIVE_SMS , 31
