permission , count
SUM , 27073
android.permission.INTERNET , 25097
android.permission.ACCESS_NETWORK_STATE , 21561
android.permission.READ_EXTERNAL_STORAGE , 15575
android.permission.WRITE_EXTERNAL_STORAGE , 15534
android.permission.WAKE_LOCK , 8269
android.permission.ACCESS_WIFI_STATE , 6584
android.permission.READ_PHONE_STATE , 6546
android.permission.CHANGE_CONFIGURATION , 3896
android.permission.SYSTEM_ALERT_WINDOW , 3072
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 2794
android.permission.ACCESS_FINE_LOCATION , 2686
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 2657
android.permission.ACCESS_COARSE_LOCATION , 2535
com.android.vending.CHECK_LICENSE , 2515
com.android.vending.BILLING , 2470
android.permission.VIBRATE , 2075
com.google.android.c2dm.permission.RECEIVE , 2022
android.permission.GET_ACCOUNTS , 1915
android.permission.RECEIVE_BOOT_COMPLETED , 1449
android.permission.GET_TASKS , 1004
android.permission.CAMERA , 980
android.permission.WRITE_SETTINGS , 946
android.permission.SET_WALLPAPER , 907
android.permission.RECORD_AUDIO , 789
READ_PHONE_STATE , 694
com.android.launcher.permission.INSTALL_SHORTCUT , 615
android.permission.CALL_PHONE , 460
android.permission.READ_CONTACTS , 398
android.permission.CHANGE_WIFI_STATE , 380
android.permission.MODIFY_AUDIO_SETTINGS , 316
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 309
com.google.android.providers.gsf.permission.READ_GSERVICES , 307
android.permission.SEND_SMS , 287
android.permission.READ_LOGS , 269
com.android.launcher.permission.UNINSTALL_SHORTCUT , 258
android.permission.WRITE_CONTACTS , 256
android.permission.USE_CREDENTIALS , 254
android.permission.FLASHLIGHT , 235
android.permission.READ_CALL_LOG , 229
android.permission.BROADCAST_STICKY , 218
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 206
com.sony.smallapp.permission.SMALLAPP , 199
android.permission.READ_CALENDAR , 198
android.permission.WRITE_INTERNAL_STORAGE , 185
android.permission.WRITE_CALL_LOG , 179
android.webkit.permission.PLUGIN , 176
android.permission.WRITE_CALENDAR , 169
android.permission.KILL_BACKGROUND_PROCESSES , 149
android.permission.ACCESS_MOCK_LOCATION , 147
android.permission.CHANGE_NETWORK_STATE , 144
android.permission.BLUETOOTH , 137
android.permission.RESTART_PACKAGES , 134
android.permission.RECEIVE_SMS , 134
android.permission.DISABLE_KEYGUARD , 133
