permission , count
SUM , 14886
android.permission.INTERNET , 14154
android.permission.ACCESS_NETWORK_STATE , 11747
android.permission.READ_EXTERNAL_STORAGE , 10821
android.permission.WRITE_EXTERNAL_STORAGE , 10754
android.permission.ACCESS_FINE_LOCATION , 6218
android.permission.READ_PHONE_STATE , 6212
com.google.android.c2dm.permission.RECEIVE , 5537
android.permission.ACCESS_COARSE_LOCATION , 5395
android.permission.WAKE_LOCK , 5270
android.permission.VIBRATE , 5016
android.permission.CAMERA , 4878
android.permission.GET_ACCOUNTS , 4037
android.permission.ACCESS_WIFI_STATE , 3986
android.permission.CALL_PHONE , 3471
android.permission.RECORD_AUDIO , 2246
com.google.android.providers.gsf.permission.READ_GSERVICES , 1947
android.permission.READ_CONTACTS , 1928
android.permission.RECEIVE_BOOT_COMPLETED , 1916
android.permission.SEND_SMS , 1721
android.permission.USE_CREDENTIALS , 1217
android.permission.WRITE_CONTACTS , 1214
android.permission.GET_TASKS , 1169
android.permission.BLUETOOTH , 880
android.permission.READ_CALL_LOG , 874
android.permission.WRITE_CALENDAR , 827
android.permission.READ_CALENDAR , 789
android.permission.FLASHLIGHT , 786
com.android.vending.BILLING , 776
android.permission.MODIFY_AUDIO_SETTINGS , 766
android.permission.BLUETOOTH_ADMIN , 734
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 713
android.permission.CHANGE_WIFI_STATE , 664
android.permission.WRITE_CALL_LOG , 664
android.permission.RECEIVE_SMS , 552
android.permission.BROADCAST_STICKY , 547
android.permission.READ_LOGS , 495
android.permission.WRITE_SETTINGS , 493
android.permission.MANAGE_ACCOUNTS , 467
android.permission.ACCESS_MOCK_LOCATION , 449
com.android.vending.CHECK_LICENSE , 431
android.permission.AUTHENTICATE_ACCOUNTS , 355
com.android.launcher.permission.INSTALL_SHORTCUT , 349
android.permission.CHANGE_NETWORK_STATE , 323
android.permission.RECORD_VIDEO , 312
android.permission.READ_SMS , 269
android.permission.SYSTEM_ALERT_WINDOW , 262
com.amazon.device.messaging.permission.RECEIVE , 256
android.permission.NFC , 244
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 234
android.permission.DISABLE_KEYGUARD , 219
android.permission.WRITE_SYNC_SETTINGS , 212
android.permission.READ_SYNC_SETTINGS , 202
android.permission.ACCESS_GPS , 200
android.permission.RESTART_PACKAGES , 200
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 186
android.permission.KILL_BACKGROUND_PROCESSES , 182
android.permission.ACCESS_LOCATION , 175
android.permission.WRITE_SMS , 162
android.webkit.permission.PLUGIN , 153
android.permission.CHANGE_CONFIGURATION , 149
android.permission.PROCESS_OUTGOING_CALLS , 136
android.permission.WRITE_INTERNAL_STORAGE , 135
android.permission.READ_SYNC_STATS , 127
android.permission.INTERACT_ACROSS_USERS_FULL , 127
com.android.launcher.permission.UNINSTALL_SHORTCUT , 123
android.permission.ACCESS_ASSISTED_GPS , 117
android.permission.READ_OWNER_DATA , 104
android.permission.READ_PROFILE , 98
android.permission.SET_WALLPAPER , 85
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 84
android.permission.CHANGE_WIFI_MULTICAST_STATE , 84
android.permission.WRITE_OWNER_DATA , 83
android.permission.CLEAR_APP_CACHE , 80
android.permission.WRITE_SECURE_SETTINGS , 77
android.permission.INSTALL_PACKAGES , 74
android.permission.READ_INTERNAL_STORAGE , 70
android.permission.STORAGE , 62
com.exuroapps.main.permission.MAPS_RECEIVE , 62
android.permission.READ_FRAME_BUFFER , 62
android.permission.REORDER_TASKS , 61
android.permission.SET_DEBUG_APP , 60
android.permission.BATTERY_STATS , 59
com.android.launcher.permission.READ_SETTINGS , 57
android.permission.DELETE_PACKAGES , 55
com.android.email.permission.READ_ATTACHMENT , 54
android.permission.MODIFY_PHONE_STATE , 51
android.permission.DEVICE_POWER , 49
android.permission.MANAGE_DOCUMENTS , 47
com.google.android.c2dm.permission.SEND , 43
android.permission.WRITE_APN_SETTINGS , 42
android.permission.RECEIVE_MMS , 41
android.permission.ACCOUNT_MANAGER , 40
com.example.mapdemo.permission.MAPS_RECEIVE , 39
android.permission.EXPAND_STATUS_BAR , 38
com.android.email.permission.ACCESS_PROVIDER , 37
android.permission.INJECT_EVENTS , 35
android.permission.REBOOT , 35
android.permission.GET_PACKAGE_SIZE , 35
android.permission.CALL_PRIVILEGED , 34
.permission.C2D_MESSAGE , 34
android.permission.SET_TIME_ZONE , 32
com.android.alarm.permission.SET_ALARM , 32
com.gatherdigital.android.permission.C2D_MESSAGE , 31
android.permission.UPDATE_DEVICE_STATS , 30
com.google.android.gm.permission.READ_GMAIL , 30
com.google.android.gms.permission.ACTIVITY_RECOGNITION , 30
com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY , 30
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION , 29
android.permission.sec.MDM_APP_MGMT , 28
android.permission.sec.MDM_EXCHANGE , 28
android.permission.ACCESS_SURFACE_FLINGER , 28
android.permission.CLEAR_APP_USER_DATA , 27
android.permission.sec.MDM_SECURITY , 27
com.example.gcm.permission.C2D_MESSAGE , 26
android.permission.DELETE_CACHE_FILES , 26
com.google.android.c2dm.permission.REGISTER , 26
android.permission.ACCESS_COARSE_UPDATES , 26
android.permission.STATUS_BAR , 25
com.sonyericsson.extras.liveware.aef.EXTENSION_PERMISSION , 24
com.sec.android.provider.badge.permission.READ , 24
android.permission.SET_WALLPAPER_HINTS , 24
com.android.launcher.permission.WRITE_SETTINGS , 24
android.permission.SET_PREFERRED_APPLICATIONS , 23
com.google.android.providers.gmail.permission.READ_GMAIL , 23
android.permission.MOUNT_FORMAT_FILESYSTEMS , 23
android.permission.USE_SIP , 23
com.sec.android.provider.badge.permission.WRITE , 23
android.permission.sec.ENTERPRISE_DEVICE_ADMIN , 23
com.htc.launcher.permission.READ_SETTINGS , 22
android.permission.ACCESS_CORSE_LOCATION , 22
android.permission.NETWORK , 21
android.permission.ACCESS_DOWNLOAD_MANAGER , 21
android.permission.PERSISTENT_ACTIVITY , 21
android.permission.CONTROL_LOCATION_UPDATES , 21
android.permission.RECEIVE_WAP_PUSH , 20
android.permission.sec.MDM_HW_CONTROL , 20
android.permission.DIAL_PHONE , 20
android.permission.sec.MDM_WIFI , 20
android.permission.WRITE_MEDIA_STORAGE , 20
READ_PHONE_STATE , 20
android.permission.C2D_MESSAGE , 20
android.permission.LOCATION , 20
android.permission.sec.MDM_RESTRICTION , 19
android.permission.SET_ALWAYS_FINISH , 19
android.permission.DUMP , 19
android.permission.FORCE_STOP_PACKAGES , 19
android.permission.sec.MDM_APN , 19
android.permission.SET_ORIENTATION , 19
android.permission.WRITE_USER_DICTIONARY , 19
com.google.android.googleapps.permission.GOOGLE_AUTH , 18
android.permission.MIC , 18
com.conduit.app.permission.MAPS_RECEIVE , 18
android.permission.sec.MDM_EMAIL , 18
android.permission.BIND_DEVICE_ADMIN , 18
android.permission.VOICE_RECOGNITION , 18
android.permission.sec.MDM_BLUETOOTH , 18
android.permission.sec.MDM_VPN , 17
android.permission.sec.MDM_BROWSER_SETTINGS , 17
android.permission.sec.MDM_DATE_TIME , 17
com.google.android.apps.photos.permission.GOOGLE_PHOTOS , 17
android.permission.ACTION_HEADSET_PLUG , 17
android.permission.MASTER_CLEAR , 17
android.permission.sec.MDM_LOCATION , 17
android.permission.sec.MDM_ENTERPRISE_VPN , 17
android.permission.CHANGE_COMPONENT_ENABLED_STATE , 16
android.permission.WRITE_PROFILE , 16
com.applacarte.permission.MAPS_RECEIVE , 16
android.permission.READ_USER_DICTIONARY , 15
com.sonyericsson.home.permission.BROADCAST_BADGE , 15
org.onepf.openiab.permission.BILLING , 15
android.permission.sec.MDM_ROAMING , 15
android.permission.sec.MDM_PHONE_RESTRICTION , 14
android.permissions.RECEIVE_BOOT_COMPLETED , 14
android.permission.SET_ACTIVITY_WATCHER , 14
com.lge.launcher.permission.INSTALL_SHORTCUT , 13
android.permission.SET_TIME , 13
android.permission.ACCESS_COURSE_LOCATION , 13
com.mindspiker.mstwitter.MSTwitterService , 13
com.lge.launcher.permission.READ_SETTINGS , 13
android.permission.SIGNAL_PERSISTENT_PROCESSES , 13
