permission , count
SUM , 13
android.permission.INTERNET , 12
android.permission.ACCESS_NETWORK_STATE , 6
android.permission.READ_PHONE_STATE , 5
android.permission.VIBRATE , 4
android.permission.READ_EXTERNAL_STORAGE , 3
android.permission.WAKE_LOCK , 3
com.android.vending.CHECK_LICENSE , 3
android.permission.WRITE_EXTERNAL_STORAGE , 3
android.permission.ACCESS_COARSE_LOCATION , 2
android.permission.SET_ORIENTATION , 1
com.android.vending.BILLING , 1
android.permission.ACCESS_FINE_LOCATION , 1
android.permission.BATTERY_STATS , 1
android.permission.CAMERA , 1
android.permission.DEVICE_POWER , 1
android.permission.ACCESS_WIFI_STATE , 1
android.permission.MODIFY_AUDIO_SETTINGS , 1
android.permission.GET_ACCOUNTS , 1
