permission , count
SUM , 1316
android.permission.INTERNET , 1231
android.permission.ACCESS_NETWORK_STATE , 1093
android.permission.READ_EXTERNAL_STORAGE , 822
android.permission.WRITE_EXTERNAL_STORAGE , 820
android.permission.READ_PHONE_STATE , 419
android.permission.WAKE_LOCK , 361
android.permission.ACCESS_WIFI_STATE , 356
android.permission.VIBRATE , 230
com.google.android.c2dm.permission.RECEIVE , 180
android.permission.GET_ACCOUNTS , 172
com.android.vending.BILLING , 141
android.permission.RECEIVE_BOOT_COMPLETED , 127
android.permission.ACCESS_FINE_LOCATION , 120
android.permission.GET_TASKS , 115
android.permission.ACCESS_COARSE_LOCATION , 114
android.permission.SYSTEM_ALERT_WINDOW , 108
android.permission.SET_WALLPAPER , 96
android.permission.WRITE_SETTINGS , 86
com.android.vending.CHECK_LICENSE , 63
com.android.launcher.permission.INSTALL_SHORTCUT , 57
android.permission.RECORD_AUDIO , 47
android.permission.CAMERA , 40
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 31
com.android.alarm.permission.SET_ALARM , 31
android.permission.CHANGE_WIFI_STATE , 29
android.permission.SET_WALLPAPER_HINTS , 26
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 26
android.permission.ACCESS_LOCATION , 25
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 25
com.google.android.providers.gsf.permission.READ_GSERVICES , 24
android.permission.CHANGE_CONFIGURATION , 23
android.permission.BLUETOOTH , 23
android.permission.USE_CREDENTIALS , 22
android.permission.CALL_PHONE , 22
android.permission.DISABLE_KEYGUARD , 19
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 18
android.permission.FLASHLIGHT , 15
READ_PHONE_STATE , 15
android.permission.READ_CONTACTS , 14
android.permission.READ_LOGS , 14
com.android.launcher.permission.UNINSTALL_SHORTCUT , 12
android.permission.SEND_SMS , 12
android.permission.ACCESS_SUPERUSER , 12
android.permission.CHANGE_NETWORK_STATE , 11
android.permission.WRITE_CONTACTS , 11
android.permission.WRITE_CALL_LOG , 10
android.permission.RESTART_PACKAGES , 10
android.permission.READ_CALL_LOG , 10
android.permission.MODIFY_AUDIO_SETTINGS , 9
android.permission.BROADCAST_STICKY , 9
com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY , 8
android.permission.BIND_NOTIFICATION_LISTENER_SERVICE , 8
com.google.android.gallery3d.permission.GALLERY_PROVIDER , 8
me.narr8.android.permission.C2D_MESSAGE , 8
android.permission.RECEIVE_SMS , 8
com.amazon.device.messaging.permission.RECEIVE , 8
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION , 8
com.android.launcher.permission.READ_SETTINGS , 8
me.narr8.android.permission.RECEIVE_ADM_MESSAGE , 8
android.permission.MANAGE_ACCOUNTS , 7
android.permission.KILL_BACKGROUND_PROCESSES , 6
android.permission.BLUETOOTH_ADMIN , 6
com.wts.outlook.permission.C2D_MESSAGE , 6
android.permission.WRITE_INTERNAL_STORAGE , 5
android.permission.ACCESS_CORSE_LOCATION , 4
android.permission.INTERACT_ACROSS_USERS_FULL , 4
android.permission.READ_CALENDAR , 4
android.permission.CHANGE_WIFI_MULTICAST_STATE , 4
android.permission.ACCESS_DOWNLOAD_MANAGER , 4
android.permission.READ_OWNER_DATA , 3
android.permission.READ_INTERNAL_STORAGE , 3
com.android.launcher.permission.WRITE_SETTINGS , 3
android.permission.WRITE_CALENDAR , 3
android.permission.WRITE_OWNER_DATA , 3
android.permission.READ_SMS , 3
android.permission.ACCESS_GPS , 2
andorid.permission.CHANGE_CONFIGURATION , 2
android.permission.SET_WALLPAPER_HINT , 2
android.permission.ACCESS_MOCK_LOCATION , 2
android.permission.RECORD_VIDEO , 2
android.permission.UPDATE_DEVICE_STATS , 2
info.thana.knowledge.permission.MAPS_RECEIVE , 2
android.permission.PREVENT_POWER_KEY , 2
android.permission.RECEIVE_USER_PRESENT , 2
android.permission.PROCESS_OUTGOING_CALLS , 2
vn.truyentranhbo.ngocrong.permission.C2D_MESSAGE , 2
android.permission.CHANGE_COMPONENT_ENABLED_STATE , 2
android.permission.AUTHENTICATE_ACCOUNTS , 2
android.permission.WRITE_EXTERNAL_STORAG , 2
android.permission.BATTERY_STATS , 2
com.google.android.gms.permission.ACTIVITY_RECOGNITION , 2
com.labirynthes.mangaupdate.permission.C2D_MESSAGE , 1
org.orecom.orecomic.permission.C2D_MESSAGE , 1
com.dreamis.dreamis_01_25.permission.C2D_MESSAGE , 1
com.notabasement.mangarock.android.titan.permission.C2D_MESSAGE , 1
tw.comico.permission.C2D_MESSAGE , 1
oda.lateefey.urdulateefey.permission.C2D_MESSAGE , 1
net.daum.android.login.AUTHENTICATE , 1
appxygen.bigwore.howtodrawcartoon.permission.C2D_MESSAGE , 1
com.ojoylapiz.oxfamcomic.permission.C2D_MESSAGE , 1
com.pixelstory.hj_story.permission.C2D_MESSAGE , 1
com.madefire.reader.permission.UA_DATA , 1
com.nenuphardevelopment.quaidesbulles.permission.C2D_MESSAGE , 1
com.askmedia.bongkoch.permission.C2D_MESSAGE , 1
com.dccomics.comics.permission.C2D_MESSAGE , 1
com.ybsoft.turnfullwebtoon.permission.C2D_MESSAGE , 1
br.com.threeight.topcantada.permission.C2D_MESSAGE , 1
com.access_company.android.shmg_store.permission.C2D_MESSAGE , 1
kr.co.dwci.nodame.permission.C2D_MESSAGE , 1
com.growthpush.growthpushsample.permission.C2D_MESSAGE , 1
cat.bcnmultimedia.paraboles.permission.C2D_MESSAGE , 1
com.wBedtimeStories.permission.C2D_MESSAGE , 1
android.webkit.permission.PLUGIN , 1
com.NenupharDev.BdBuzz.permission.C2D_MESSAGE , 1
com.labdroids.bagu.permission.C2D_MESSAGE , 1
com.kcic.comixest2.permission.C2D_MESSAGE , 1
