permission , count
SUM , 8597
android.permission.INTERNET , 7271
android.permission.ACCESS_NETWORK_STATE , 6266
android.permission.READ_EXTERNAL_STORAGE , 4984
android.permission.WRITE_EXTERNAL_STORAGE , 4908
android.permission.READ_PHONE_STATE , 4320
android.permission.READ_CONTACTS , 3647
android.permission.WAKE_LOCK , 3303
android.permission.VIBRATE , 3094
android.permission.ACCESS_WIFI_STATE , 2831
android.permission.CALL_PHONE , 2470
android.permission.RECEIVE_BOOT_COMPLETED , 2431
android.permission.READ_CALL_LOG , 2238
android.permission.GET_ACCOUNTS , 2031
android.permission.RECORD_AUDIO , 1777
android.permission.WRITE_CONTACTS , 1699
android.permission.ACCESS_FINE_LOCATION , 1646
com.google.android.c2dm.permission.RECEIVE , 1618
android.permission.SEND_SMS , 1598
android.permission.RECEIVE_SMS , 1594
android.permission.MODIFY_AUDIO_SETTINGS , 1576
android.permission.ACCESS_COARSE_LOCATION , 1488
android.permission.READ_SMS , 1383
android.permission.BLUETOOTH , 1372
android.permission.PROCESS_OUTGOING_CALLS , 1306
android.permission.WRITE_CALL_LOG , 1279
android.permission.DISABLE_KEYGUARD , 1026
android.permission.CAMERA , 1026
android.permission.BROADCAST_STICKY , 1020
android.permission.WRITE_SETTINGS , 901
android.permission.GET_TASKS , 848
android.permission.WRITE_SMS , 826
android.permission.CHANGE_WIFI_STATE , 765
android.permission.BLUETOOTH_ADMIN , 673
android.permission.READ_PROFILE , 671
android.permission.READ_LOGS , 639
com.android.vending.BILLING , 542
com.android.launcher.permission.INSTALL_SHORTCUT , 513
android.permission.CHANGE_NETWORK_STATE , 503
android.permission.SYSTEM_ALERT_WINDOW , 501
com.google.android.providers.gsf.permission.READ_GSERVICES , 469
com.android.vending.CHECK_LICENSE , 416
android.permission.MANAGE_ACCOUNTS , 409
android.permission.USE_CREDENTIALS , 394
android.permission.USE_SIP , 361
android.permission.READ_SYNC_SETTINGS , 351
android.permission.AUTHENTICATE_ACCOUNTS , 347
android.permission.WRITE_SYNC_SETTINGS , 332
android.permission.CONFIGURE_SIP , 286
android.permission.RECEIVE_MMS , 269
android.permission.MODIFY_PHONE_STATE , 221
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 214
com.revesoft.itelmobiledialer.permission.C2D_MESSAGE , 195
com.android.launcher.permission.UNINSTALL_SHORTCUT , 160
android.permission.READ_CALENDAR , 158
android.permission.KILL_BACKGROUND_PROCESSES , 154
android.permission.CALL_PRIVILEGED , 150
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 139
android.permission.RESTART_PACKAGES , 137
android.permission.FLASHLIGHT , 131
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 125
android.permission.WRITE_CALENDAR , 124
android.permission.NFC , 122
android.permission.READ_SYNC_STATS , 92
android.permission.ACCESS_MOCK_LOCATION , 92
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 91
android.permission.INTERACT_ACROSS_USERS_FULL , 89
android.permission.SET_WALLPAPER , 88
android.permission.ACCESS_GPS , 74
android.permission.CHANGE_WIFI_MULTICAST_STATE , 74
android.permission.WRITE_INTERNAL_STORAGE , 73
android.permission.RAISED_THREAD_PRIORITY , 72
android.permission.CHANGE_CONFIGURATION , 68
android.permission.ACCESS_LOCATION , 65
android.permission.EXPAND_STATUS_BAR , 65
com.android.launcher.permission.READ_SETTINGS , 64
android.permission.RECEIVE_WAP_PUSH , 63
android.permission.WRITE_APN_SETTINGS , 61
android.permission.READ_OWNER_DATA , 59
com.sonyericsson.extras.liveware.aef.EXTENSION_PERMISSION , 58
android.permission.ACCESS_ASSISTED_GPS , 57
com.sec.android.provider.badge.permission.WRITE , 57
com.sec.android.provider.badge.permission.READ , 56
android.permission.RECORD_VIDEO , 49
android.permission.WRITE_OWNER_DATA , 45
android.permission.BATTERY_STATS , 42
com.android.alarm.permission.SET_ALARM , 41
android.permission.PERSISTENT_ACTIVITY , 40
android.permission.ACCOUNT_MANAGER , 39
android.permission.ACCESS_SUPERUSER , 39
android.permission.REORDER_TASKS , 38
com.sonyericsson.home.permission.BROADCAST_BADGE , 38
com.htc.launcher.permission.READ_SETTINGS , 37
android.permission.INSTALL_DRM , 36
android.permission.PROCESS_INCOMING_CALLS , 36
android.permission.WRITE_SECURE_SETTINGS , 36
com.android.launcher.permission.WRITE_SETTINGS , 35
com.google.android.apps.googlevoice.permission.RECEIVE_SMS , 35
android.permission.MANAGE_DOCUMENTS , 34
org.thialfihar.android.apg.permission.READ_KEY_DETAILS , 32
android.permission.ACCESS_COARSE_UPDATES , 32
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION , 31
android.permission.UPDATE_DEVICE_STATS , 29
android.permission.STORAGE , 28
android.permission.BROADCAST_SMS , 28
org.telegram.messenger.permission.C2D_MESSAGE , 27
android.permission.SET_DEBUG_APP , 27
org.telegram.messenger.permission.MAPS_RECEIVE , 27
android.permission.READ_INTERNAL_STORAGE , 27
com.htc.launcher.permission.UPDATE_SHORTCUT , 26
com.google.android.apps.googlevoice.permission.SEND_SMS , 26
com.amazon.device.messaging.permission.RECEIVE , 25
com.google.android.apps.photos.permission.GOOGLE_PHOTOS , 25
android.permission.CLEAR_APP_CACHE , 24
android.permission.DEVICE_POWER , 23
android.permission.WRITE_PROFILE , 23
android.permission.ACCESS_DOWNLOAD_MANAGER , 21
com.htc.launcher.permission.WRITE_SETTINGS , 19
android.permission.SYSTEM_OVERLAY_WINDOW , 19
android.permission.ACCESS_BACKGROUND_SERVICE , 19
android.permission.UPDATE_APP_OPS_STATS , 19
android.permission.BIND_ACCESSIBILITY_SERVICE , 18
android.permission.SET_WALLPAPER_HINTS , 17
com.google.android.c2dm.permission.SEND , 17
android.permission.GET_PACKAGE_SIZE , 17
com.fsck.k9.permission.READ_MESSAGES , 17
com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY , 15
com.google.android.gms.permission.ACTIVITY_RECOGNITION , 15
android.permission.READ_MMS , 14
com.google.android.gm.permission.READ_GMAIL , 14
android.webkit.permission.PLUGIN , 13
com.android.email.permission.READ_ATTACHMENT , 13
android.permission.WRITE_USER_DICTIONARY , 13
com.google.android.googleapps.permission.GOOGLE_AUTH , 12
com.google.android.gm.permission.READ_CONTENT_PROVIDER , 12
com.sec.android.provider.logsprovider.permission.WRITE_LOGS , 11
android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS , 11
android.permission.SET_PREFERRED_APPLICATIONS , 11
android.permission.READ_USER_DICTIONARY , 10
com.fede.launcher.permission.READ_SETTINGS , 10
android.permission.INSTALL_PACKAGES , 10
android.permission.BROADCAST_WAP_PUSH , 10
com.anddoes.launcher.permission.UPDATE_COUNT , 10
com.lge.launcher.permission.READ_SETTINGS , 10
com.android.voicemail.permission.ADD_VOICEMAIL , 10
tunnybrowser.permission.Extension , 10
com.sec.android.provider.logsprovider.permission.READ_LOGS , 10
com.sonyericsson.permission.CAMERA_EXTENDED , 9
com.fsck.k9.permission.DELETE_MESSAGES , 9
com.google.android.gallery3d.permission.GALLERY_PROVIDER , 9
android.permission.ACCESS_CORSE_LOCATION , 9
org.adw.launcher.permission.READ_SETTINGS , 9
com.google.android.providers.gmail.permission.READ_GMAIL , 8
com.android.email.permission.ACCESS_PROVIDER , 8
android.permission.RECEIVE_USER_PRESENT , 8
android.permission.WRITESETTINGS , 8
com.motorola.launcher.permission.INSTALL_SHORTCUT , 8
com.motorola.dlauncher.permission.READ_SETTINGS , 8
.permission.C2D_MESSAGE , 8
android.permission.CONTROL_LOCATION_UPDATES , 8
com.lge.launcher.permission.INSTALL_SHORTCUT , 7
android.permission.REBOOT , 7
android.permission.READ_SOCIAL_STREAM , 7
com.motorola.launcher.permission.READ_SETTINGS , 7
android.permission.READ_SETTINGS , 7
android.permission.READ_FRAME_BUFFER , 7
com.fsck.k9.permission.READ_ATTACHMENT , 7
android.permission.MMS_SEND_OUTBOX_MSG , 7
com.motorola.dlauncher.permission.INSTALL_SHORTCUT , 7
com.skt.aom.permission.AOM_RECEIVE , 7
net.dinglisch.android.tasker.PERMISSION_RUN_TASKS , 7
com.fede.launcher.permission.WRITE_SETTINGS , 6
android.permission.CHANGE_COMPONENT_ENABLED_STATE , 6
android.permission.ACCESS_SURFACE_FLINGER , 6
com.sonyericsson.extras.liveware.aef.HOSTAPP_PERMISSION , 6
android.permission.WRITE_MEDIA_STORAGE , 6
android.permission.SET_TIME_ZONE , 6
android.permission.SET_ORIENTATION , 6
com.fsck.k9.permission.REMOTE_CONTROL , 6
android.permission.INTERACT_ACROSS_USERS , 6
com.silentcom.silentvvm.permission.C2D_MESSAGE , 6
android.permission.PREVENT_POWER_KEY , 6
org.tint.permissions.services.ADDONS , 6
android.permission.WRITE_SOCIAL_STREAM , 6
com.example.gcm.permission.C2D_MESSAGE , 6
com.google.android.googleapps.permission.GOOGLE_AUTH.mail , 5
com.kaitenmail.permission.READ_MESSAGES , 5
com.nokia.pushnotifications.permission.RECEIVE , 5
android.permission.SUBSCRIBED_FEEDS_WRITE , 5
com.google.android.c2dm.permission.VIBRATE , 5
com.example.googlemaps.permission.MAPS_RECEIVE , 5
com.sec.android.iap.permission.BILLING , 5
org.adw.launcher.permission.WRITE_SETTINGS , 5
com.huawei.launcher3.permission.READ_SETTINGS , 5
com.google.android.providers.talk.permission.READ_ONLY , 5
android.permission.NEW_OUTGOING_CALL , 5
android.permission.ANSWER_PHONE , 5
android.permission.READ_INTRNAL_STORAGE , 5
com.google.android.gm.permission.WRITE_GMAIL , 5
com.android.launcher3.permission.WRITE_SETTINGS , 5
com.kaitenmail.adsupported.permission.READ_MESSAGES , 5
com.android.launcher3.permission.READ_SETTINGS , 5
com.opera.GET_BRANDING , 5
android.permission.BROADCAST_PACKAGE_REMOVED , 5
android.provider.Telephony.SMS_RECEIVED , 5
pl.mobileexperts.securephone.permission.SECURE_PHONE , 5
android.permission.SDCARD_WRITE , 5
android.permission.NETWORK , 4
mobi.mgeek.TunnyBrowser.permission.WRITE_HISTORY_BOOKMARK , 4
android.permission.ACCESS_COARES_LOCATION , 4
android.permission.GET_CLIPS , 4
net.sharewire.alphacomm.gcm.permission.C2D_MESSAGE , 4
com.pushbullet.android.permission.SEND_MESSAGES , 4
android.permission.BOOT_COMPLETED , 4
mobi.mgeek.TunnyBrowser.permission.READ_HISTORY_BOOKMARKS , 4
com.android.voicemail.permission.READ_WRITE_ALL_VOICEMAIL , 4
com.lge.launcher.permission.WRITE_SETTINGS , 4
com.devicescape.hotspot.permission.SERVICE , 4
android.permission.NETWORK_WIFI_STATE , 4
android.permission.BIND_NOTIFICATION_LISTENER_SERVICE , 4
android.permission.MOUNT_FORMAT_FILESYSTEMS , 4
android.permission.READ_CALL_STATE , 4
android.permission.PICK_CONTACT , 4
net.daum.android.login.AUTHENTICATE , 4
android.permission.INJECT_EVENTS , 4
android.permission.ACCESS_ALL_DOWNLOADS , 4
android.permission.LOCATION , 4
android.permission.READ_CLIPS , 4
com.motorola.dlauncher.permission.WRITE_SETTINGS , 4
android.permission.BIND_DEVICE_ADMIN , 4
android.permission.SUBSCRIBED_FEEDS_READ , 4
com.dolphin.browser.permission.ACCESS_PROVIDER , 4
android.permission.HARDWARE_TEST , 4
com.motorola.powermanager.permission.OVERRIDE , 4
android.permission.WRITE_CLIPS , 4
com.yahoo.mobile.client.android.permissions.YAHOO_INTER_APP , 4
android.permission.ACCESS_BLUETOOTH_SHARE , 4
android.permission.SET_ALWAYS_FINISH , 4
android.permission.READ_APN_SETTINGS , 3
android.permission.CLEAR_APP_USER_DATA , 3
com.sonelli.juicessh.api.v1.permission.READ_CONNECTIONS , 3
com.tencent.photos.permission.DATA , 3
com.tencent.permission.VIRUS_SCAN , 3
android.permission.VOICE_RECOGNITION , 3
android.permission.DUMP , 3
com.teslacoilsw.launcher.permission.WRITE_SETTINGS , 3
android.permission.MEDIA_CONTENT_CONTROL , 3
android.permission.DELETE_CACHE_FILES , 3
android.intent.category.APP_MARKET , 3
com.anddoes.launcher.permission.WRITE_SETTINGS , 3
android.permission.STATUS_BAR , 3
READ_PHONE_STATE , 3
android.permission.MIC , 3
android.alarm.permission.SET_ALARM , 3
android.permission.C2D_MESSAGE , 3
com.dolphin.browser.permission.Addon , 3
android.permission.FORCE_STOP_PACKAGES , 3
android.permission.SEND_RESPOND_VIA_MESSAGE , 3
com.teslacoilsw.launcher.permission.READ_SETTINGS , 3
com.mesanzapps.imagenesgraciosas.permission.C2D_MESSAGE , 3
com.motorola.launcher.permission.WRITE_SETTINGS , 3
com.sonelli.juicessh.api.v1.permission.OPEN_SESSIONS , 3
org.thoughtcrime.securesms.ACCESS_SECRETS , 3
android.permission.WRITE_GSERVICES , 3
android.intent.action.NEW_OUTGOING_CALL , 3
com.huawei.launcher3.permission.WRITE_SETTINGS , 3
com.tencent.msf.permission.ACCOUNT_NOTICE , 3
com.sonyericsson.homescreen.permission.WRITE_SETTINGS , 3
com.tencent.msg.permission.pushnotify , 3
com.sonyericsson.homescreen.permission.READ_SETTINGS , 3
android.permission.ACTION_HEADSET_PLUG , 3
android.permission.ACCESS_CHECKIN_PROPERTIES , 3
openproducts.opisettings.SETTINGS_PERMISSION , 3
com.oppo.launcher.permission.WRITE_SETTINGS , 3
com.anddoes.launcher.permission.READ_SETTINGS , 3
kr.apinc.app.chat.permission.C2D_MESSAGE , 3
com.huawei.android.launcher.permission.READ_SETTINGS , 3
com.wefi.wefi.permission.MAPS_RECEIVE , 3
com.pushbullet.android.permission.READ_MESSAGING_EXTENSION_DATA , 3
com.dolphin.browser.permission.MANAGE_TABS , 3
android.permission.PACKAGE_USAGE_STATS , 3
com.oppo.launcher.permission.READ_SETTINGS , 3
com.tencent.msf.permission.account.sync , 3
com.android.launcher.action.INSTALL_SHORTCUT , 2
com.xiaomi.market.sdk.UPDATE , 2
net.sgoliver.android.permission.C2D_MESSAGE , 2
telavox.permission.DATA , 2
android.permission.sec.MDM_REMOTE_CONTROL , 2
com.sec.android.app.twlauncher.READ_SETTINGS , 2
com.android.providers.voicemail.permission.READ_WRITE_OWN_VOICEMAIL , 2
com.nd.android.launcher.permission.WRITE_SETTINGS , 2
com.sonyericsson.permission.MUSICSERVICE , 2
android.permission.READ_HISTORY_BOOKMARKS , 2
android.permission.SET_PROCESS_LIMIT , 2
com.huawei.launcher.permission.WRITE_SETTINGS , 2
android.permission.BROADCAST_PACKAGE_REPLACED , 2
com.waluu.android.engine.permission.C2D_MESSAGE , 2
com.nttdocomo.android.accountauthenticator.DAASavePasswordActivity , 2
com.android.mylauncher.permission.WRITE_SETTINGS , 2
com.d6.club.permission.C2D_MESSAGE , 2
android.permission.INTERNAL_STORAGE , 2
thinkyeah.permission.READ_SMS , 2
android.permission.USB_PERMISSION , 2
com.nokia.payment.BILLING , 2
org.adwfreak.launcher.permission.WRITE_SETTINGS , 2
com.seebye.chatheads.PERMISSION , 2
jp.co.sharp.android.permission.LIMIT_START_ADDRESS , 2
com.bharatsync.communicator.permission.READ_ATTACHMENT , 2
org.kmtech.permissions.services.ADDONS , 2
android.permission.CHANGE_WIFI_AP_STATE , 2
android.permission.WRITE , 2
in.wptrafficanalyzer.locationroutemylocationv2.permission.MAPS_RECEIVE , 2
com.borqs.accountservice.permission.ACCESS_PROVIDER , 2
com.sec.spp.permission.PUSH_SERVICE_PROVIDER , 2
com.att.mobile.android.vvm.savedmessagescontentprovider.read , 2
android.permission.MANAGE_USB , 2
com.inteligeen.sendRDclearmissedcall , 2
com.gau.go.launcherex.permission.READ_SETTINGS , 2
com.android.gallery3d.filtershow.permission.READ , 2
com.modoohut.permission.ACCESS_PREFS , 2
com.mobilesecuritycard.openmobileapi.SMARTCARD , 2
WRITE_EXTERNAL_STORAGE , 2
net.exsul.callback2.ListenCallbackRequests , 2
com.android.broswer.permission.WRITE_HISTORY_BOOKMARKS , 2
adnroid.permission.ACCESS_CHECKIN_PROPERTTES , 2
com.alogblog.aaa.USE_PLUGIN , 2
com.google.android.c2dm.permission.REGISTER , 2
de.bulling.smstalkvc_online.PERMISSION.RECEIVE , 2
com.bharatsync.communicator.permission.READ_MESSAGES , 2
.permission.LOGIN , 2
com.android.mylauncher.permission.READ_SETTINGS , 2
thinkpanda.permission.CLEAR_MISSED_CALL , 2
com.flipdog.crypto.plugin.FLIPDOG_APPLICATION , 2
android.permission.MMS_PUSH , 2
org.kman.AquaMail.datax.GET_ACCOUNTS , 2
com.huawei.android.launcher.permission.WRITE_SETTINGS , 2
org.onepf.openiab.permission.BILLING , 2
com.yandex.courier.permission.RECEIVE , 2
android.permission.GPS , 2
de.match2blue.mobilverlieben.permission.C2D_MESSAGE , 2
com.nd.android.launcher.permission.READ_SETTINGS , 2
org.linphone.permission.C2D_MESSAGE , 2
info.guardianproject.otr.app.providers.imps.permission.READ_ONLY , 2
com.appdupe.flamer.permission.C2D_MESSAGE , 2
android.permission.FINE_LOCATION , 2
com.mx.launcher.permission.WRITE_SETTINGS , 2
android.permission.INSTALL_LOCATION_PROVIDER , 2
com.dragonwork.alpha.permission.C2D_MESSAGE , 2
android.permission.BAIDU_LOCATION_SERVICE , 2
com.onegravity.k10.permission.READ_MESSAGES , 2
com.sonelli.juicessh.api.v1.permission.READ_PLUGIN_LOG , 2
info.guardianproject.otr.app.im.permission.IM_SERVICE , 2
android.permission.ACTION_SHUTDOWN , 2
android.permission.BLUETOOTH_PRIVILEGED , 2
android.permission.CHANGE_BACKGROUND_DATA_SETTING , 2
com.mysms.android.sms.plugin.location.LOCATION_PERMISSION , 2
android.permission.CLEAR_CACHE , 2
com.sec.chaton.provider.READ_PERMISSION , 2
android.permission.UPDATE_DEVICE_STATE , 2
com.mozillaonline.permission.SEND_DOWNLOAD_COMPLETED_INTENTS , 2
com.mx.launcher.permission.READ_SETTINGS , 2
com.ushahidi.android.app.permission.MAPS_RECEIVE , 2
com.bsapps.randomchat.permission.C2D_MESSAGE , 2
android.permission.LOCATION_HARDWARE , 2
com.android.gallery3d.permission.GALLERY_PROVIDER , 2
com.silentcircle.keymngr.permission.WRITE_SC_KEY , 2
com.opera.browser.permission.GET_PREINSTALL_DATA , 2
com.jomegasoft.permission.EXPORT_PAID , 2
android.permission.WRITE_SYNC_STATS , 2
pioneer.permission.appradio.ADVANCED_APPMODE , 2
android.permission.ACCESS_PROVIDER , 2
com.mozillaonline.permission.ACCESS_DOWNLOAD_MANAGER_ADVANCED , 2
com.google.android.providers.gms , 2
com.kaitenmail.adsupported.permission.DELETE_MESSAGES , 2
android.permission.OUTGOING_CALLS , 2
android.permission.READ_PRIVILEGED_PHONE_STATE , 2
com.google.android.gm.permission.AUTO_SEND , 2
android.permission.SMARTCARD , 2
com.bharatsync.communicator.permission.REMOTE_CONTROL , 2
android.permission.GET_TOP_ACTIVITY_INFO , 2
com.sec.android.app.twlauncher.WRITE_SETTINGS , 2
android.permission.WRITE_LOGS , 2
com.kaitenmail.permission.DELETE_MESSAGES , 2
org.adwfreak.launcher.permission.READ_SETTINGS , 2
com.jomegasoft.permission.EXPORT , 2
com.uphyca.robota.permission.RECEIVE_MESSAGE_CREATED , 2
android.permission.RECEIVE_EMERGENCY_BROADCAST , 2
com.gau.go.launcherex.permission.WRITE_SETTINGS , 2
andriod.permission.MODIFY_AUDIO_SETTINGS , 2
android.permission.BODY_SENSORS , 2
android.ACCESS_COARSE_LOCATION , 2
org.thoughtcrime.securesms.permission.C2D_MESSAGE , 2
com.MrA630.CallTimer630.permission.C2D_MESSAGE , 2
com.silentcircle.silentcontacts.permission.READ , 2
com.yandex.permission.READ_CREDENTIALS , 2
android.permission.WRITE_MMS , 2
org.digimead.digi.ctrl , 2
com.htc.permission.APP_SHARED , 2
com.mozillaonline.permission.ACCESS_DOWNLOAD_MANAGER , 2
com.seebye.whatsapp.scheduler.PERMISSION , 2
com.yahoo.snp.android.permission.ACCESS_PUSHAGENT , 2
com.timeclickr.permission.C2D_MESSAGE , 2
android.permission.SIM_STATE_READY , 2
android.permission.INTENT , 2
uk.gov.lookinglocal.hfa.permission.C2D_MESSAGE , 2
android.permission.STOP_APP_SWITCHES , 2
android.permission.TELEPHONY_SERVICE , 2
com.bharatsync.communicator.permission.DELETE_MESSAGES , 2
org.mozilla.firefox_sync.permission.PER_ACCOUNT_TYPE , 2
android.permission.ACTION_SEND , 2
android.permission.GLOBAL_SEARCH , 2
com.silentcircle.silentcontacts.permission.WRITE , 2
com.goodbarber.v2.permission.MAPS_RECEIVE , 2
android.permission.MODIFY_NETWORK_STATE , 2
com.huawei.launcher.permission.READ_SETTINGS , 2
android.permission.ADD_SYSTEM_SERVICE , 2
org.kman.AquaMail.datax.READ_MESSAGES , 2
thinkyeah.permission.WRITE_SMS , 2
com.rt.srs2.PERMISSION , 2
de.bulling.smstalklanguage.PERMISSION.RECOGNIZE , 2
com.jomegasoft.permission.EXPORT_ADS , 2
com.orange.myorange.permission.MAPS_RECEIVE , 2
com.ds6.lib.permission.C2D_MESSAGE , 2
android.permission.READ_CONTACT , 2
de.bulling.smstalkvc_offline.PERMISSION.RECEIVE , 2
com.lastpass.lpandroid.FILL , 2
com.example.mapdemo.permission.MAPS_RECEIVE , 2
android.permission.CHANGE_WIMAX_STATE , 2
android.permission.BIND_APPWIDGET , 2
com.voicegenesis.roid1.permission.READ_ATTACHMENT , 2
android.permission.MANAGE_USERS , 2
pl.mobileexperts.securemail.permission.READ_FILES , 2
android.permission.CONTROL_INCALL_EXPERIENCE , 2
android.permission.SEND_MMS , 2
screenshare.permission.SCREENSHARE_GROUP , 2
info.guardianproject.otr.app.providers.imps.permission.WRITE_ONLY , 2
com.yandex.permission.AM_COMMUNICATION , 2
au.com.aldi.android.permission.MAPS_RECEIVE , 1
com.nulana.android.remotix_lite.permission.C2D_MESSAGE , 1
com.vowcorp.talkrxreach.permission.C2D_MESSAGE , 1
com.tiscali.indoona.permission.C2D_MESSAGE , 1
com.seven.integral.Z7.permission.ACCESS_EVENTS , 1
ironroad.kti.permission.BCSR , 1
