permission , count
SUM , 1892
android.permission.INTERNET , 1789
android.permission.ACCESS_NETWORK_STATE , 1645
android.permission.READ_EXTERNAL_STORAGE , 922
android.permission.WRITE_EXTERNAL_STORAGE , 906
android.permission.ACCESS_WIFI_STATE , 657
android.permission.READ_PHONE_STATE , 605
android.permission.WAKE_LOCK , 517
com.android.vending.BILLING , 403
android.permission.VIBRATE , 362
android.permission.GET_ACCOUNTS , 229
com.google.android.c2dm.permission.RECEIVE , 223
android.permission.ACCESS_COARSE_LOCATION , 193
android.permission.ACCESS_FINE_LOCATION , 133
android.permission.GET_TASKS , 117
com.android.vending.CHECK_LICENSE , 117
android.permission.RECEIVE_BOOT_COMPLETED , 87
android.permission.SYSTEM_ALERT_WINDOW , 78
android.permission.BLUETOOTH , 52
android.permission.CHANGE_WIFI_STATE , 51
android.permission.USE_CREDENTIALS , 50
android.permission.DISABLE_KEYGUARD , 45
android.permission.BLUETOOTH_ADMIN , 44
android.permission.MODIFY_AUDIO_SETTINGS , 42
com.android.launcher.permission.INSTALL_SHORTCUT , 41
android.permission.READ_CONTACTS , 39
android.permission.RECORD_AUDIO , 39
android.permission.CAMERA , 37
android.permission.WRITE_SETTINGS , 35
android.permission.RESTART_PACKAGES , 25
android.permission.CHANGE_NETWORK_STATE , 24
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 24
android.permission.SEND_SMS , 21
android.permission.RECEIVE_SMS , 19
android.permission.KILL_BACKGROUND_PROCESSES , 17
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 17
android.permission.READ_LOGS , 14
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 12
android.permission.READ_SMS , 12
com.google.android.providers.gsf.permission.READ_GSERVICES , 11
android.permission.CHANGE_CONFIGURATION , 11
com.android.launcher.permission.UNINSTALL_SHORTCUT , 10
android.permission.WRITE_HISTORY_BOOKMARKS , 9
com.example.gcm.permission.C2D_MESSAGE , 9
android.permission.UNINSTALL_SHORTCUT , 9
android.permission.BROADCAST_STICKY , 9
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 9
android.permission.INSTALL_SHORTCUT , 9
org.onepf.openiab.permission.BILLING , 9
com.sec.android.iap.permission.BILLING , 9
android.permission.READ_HISTORY_BOOKMARKS , 9
android.permission.GET_TOP_ACTIVITY_INFO , 9
android.permission.CALL_PHONE , 8
android.permission.READ_CALL_LOG , 8
android.permission.MANAGE_ACCOUNTS , 7
android.permission.READ_CALENDAR , 7
android.permission.CHANGE_WIFI_MULTICAST_STATE , 7
android.permission.WRITE_CALENDAR , 7
android.permission.WRITE_SMS , 7
com.android.launcher.permission.READ_SETTINGS , 7
android.permission.BATTERY_STATS , 7
android.permission.FLASHLIGHT , 6
android.webkit.permission.PLUGIN , 6
com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY , 6
android.permission.MODIFY_PHONE_STATE , 6
android.permission.WRITE_APN_SETTINGS , 6
com.google.android.gms.permission.ACTIVITY_RECOGNITION , 6
com.sonyericsson.extras.liveware.aef.EXTENSION_PERMISSION , 5
android.permission.ACCESS_COARSE_UPDATES , 5
android.permission.DEVICE_POWER , 4
android.permission.SET_ORIENTATION , 4
android.permission.WRITE_INTERNAL_STORAGE , 4
android.permission.CALL_PRIVILEGED , 4
android.permission.GET_TASK , 4
com.tmoney.vending.INBILLING , 4
com.nokia.payment.BILLING , 3
android.permission.ACCESS_LOCATION , 3
android.permission.UPDATE_DEVICE_STATE , 3
android.permission.ACCESS_DOWNLOAD_MANAGER , 3
android.permission.READ_SYNC_SETTINGS , 3
android.permission.REORDER_TASKS , 3
android.permission.BILLING , 2
com.ohkioki.sutda.google.ver00.permission.C2D_MESSAGE , 2
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION , 2
com.slideme.sam.manager.inapp.permission.BILLING , 2
android.permission.ACCESS_MOCK_LOCATION , 2
android.permission.SET_WALLPAPER , 2
android.permission.GET_PACKAGE_SIZE , 2
android.permission.WRITE_SYNC_SETTINGS , 2
android.permission.WRITE_CONTACTS , 2
com.yandex.store.permission.BILLING , 2
android.permission.AUTHENTICATE_ACCOUNTS , 2
com.android.alarm.permission.SET_ALARM , 2
com.gms.permission.ACTIVITY_RECOGNITIO.google.androidN , 2
com.binteraktive.madnlive.permission.C2D_MESSAGE , 1
com.ama.gcmsampleapp.permission.C2D_MESSAGE , 1
com.com2us.enjoyyut.kakao.freefull.google.global.android.common.permission.C2D_MESSAGE , 1
air.com.joygame.maxitavla.permission.C2D_MESSAGE , 1
com.exozet.game.carcassonne.permission.C2D_MESSAGE , 1
com.jagplay.client.android.app.jagchess.permission.C2D_MESSAGE , 1
.permission.C2D_MESSAGE , 1
com.moventer.OctopusLink.permission.C2D_MESSAGE , 1
vn.gviet.cothu.permission.C2D_MESSAGE , 1
com.starlight.BingoVegas.permission.C2D_MESSAGE , 1
com.goodsashkipro.app.permission.C2D_MESSAGE , 1
android.permission.WIFI_STATE , 1
com.g5e.mahjonga2.permission.C2D_MESSAGE , 1
com.giu.diceme.permission.C2D_MESSAGE , 1
com.monomob.baduk.permission.C2D_MESSAGE , 1
com.ggee.vividruntime.game_ticket_413.permission.C2D_MESSAGE , 1
android.permission.WRITE_EXTERNALS_STORAGE , 1
com.MangoSoft.Domino.permission.C2D_MESSAGE , 1
com.yoambulante.utils.ne.gcm.permission.C2D_MESSAGE , 1
com.mynet.canakokey.android.permission.C2D_MESSAGE , 1
com.wSolveMe.permission.C2D_MESSAGE , 1
android.permission.ACCESS_CORSE_LOCATION , 1
in.spicelabs.animalparadisetest.permission.C2D_MESSAGE , 1
com.dg.puzzlebrothers.mahjong.fantasyland.permission.C2D_MESSAGE , 1
com.blakgeek.games.sixation.permission.C2D_MESSAGE , 1
com.heliceum.vs.permission.C2D_MESSAGE , 1
jp.co.transcosmos.minesuiiker.permission.C2D_MESSAGE , 1
com.YahtzeeDeluxePro.permission.C2D_MESSAGE , 1
com.widowgames.teg.permission.C2D_MESSAGE , 1
com.playhaven.unityexample.permission.C2D_MESSAGE , 1
android.permission.SET_WALLPAPER_HINTS , 1
dk.jespermansa.numfeud13.permission.C2D_MESSAGE , 1
com.uplayonline.angrynumbers.permission.C2D_MESSAGE , 1
com.sec.android.provider.badge.permission.WRITE , 1
com.sd.google.helloKittyCafe.permission.C2D_MESSAGE , 1
com.cybet.th , 1
android.permission.ACCES_FINE_LOCATION , 1
android.permission.FACTURATION , 1
com.monomob.omok.permission.C2D_MESSAGE , 1
com.youdagames.stratego.permission.C2D_MESSAGE , 1
com.ggee.vividruntime.game_ticket_177.permission.C2D_MESSAGE , 1
net.lazybeez.tictactoe.permission.C2D_MESSAGE , 1
android.permission.Read_EXTERNAL_STORAGE , 1
biz.mobileone.khmertrois.permission.C2D_MESSAGE , 1
com.ea.monopolymillionaire_row.permission.C2D_MESSAGE , 1
com.kb.mob.permission.C2D_MESSAGE , 1
com.baidu.permission.ACCESS_DOWNLOAD_MANAGER , 1
com.jagplay.client.android.app.backgammon.permission.C2D_MESSAGE , 1
com.g5e.mahjonga.permission.C2D_MESSAGE , 1
air.com.lagutin.nice.alarm.clock.permission.C2D_MESSAGE , 1
air.jp.co.marietta.mbaas.permission.C2D_MESSAGE , 1
com.YahtzeeDeluxeandPiramidejeweled.permission.C2D_MESSAGE , 1
com.rjs.carogame.permission.C2D_MESSAGE , 1
com.stop.stop.permission.C2D_MESSAGE , 1
com.dordokawebs.sudoku.permission.C2D_MESSAGE , 1
com.withbuddies.dice.permission.C2D_MESSAGE , 1
jp.picology.android.mjsrj.permission.C2D_MESSAGE , 1
com.jagplay.client.android.app.jagcheckers.permission.C2D_MESSAGE , 1
android.permission.FULLSCREEN , 1
com.jocly.android.app18_vc_as.permission.C2D_MESSAGE , 1
android.permission.NFC , 1
com.zgames.redweed.permission.C2D_MESSAGE , 1
com.dg.puzzlebrothers.mahjong.lostprincess.permission.C2D_MESSAGE , 1
net.yura.domination.permission.C2D_MESSAGE , 1
com.dobsware.penguinjim.permission.C2D_MESSAGE , 1
android.permission.READ_INTERNAL_STORAGE , 1
com.dordokawebs.numbers.permission.C2D_MESSAGE , 1
