permission , count
SUM , 1761
android.permission.INTERNET , 1700
android.permission.ACCESS_NETWORK_STATE , 1612
android.permission.READ_EXTERNAL_STORAGE , 1297
android.permission.WRITE_EXTERNAL_STORAGE , 1286
android.permission.READ_PHONE_STATE , 1199
android.permission.ACCESS_WIFI_STATE , 1156
com.android.vending.BILLING , 887
android.permission.WAKE_LOCK , 717
android.permission.GET_ACCOUNTS , 536
android.permission.VIBRATE , 516
com.google.android.c2dm.permission.RECEIVE , 382
android.permission.ACCESS_COARSE_LOCATION , 277
android.permission.GET_TASKS , 255
android.permission.RECEIVE_BOOT_COMPLETED , 193
android.permission.ACCESS_FINE_LOCATION , 173
android.permission.USE_CREDENTIALS , 160
com.android.launcher.permission.INSTALL_SHORTCUT , 122
android.permission.CHANGE_WIFI_STATE , 102
android.permission.SYSTEM_ALERT_WINDOW , 93
com.android.vending.CHECK_LICENSE , 90
android.permission.READ_CONTACTS , 84
android.permission.CHANGE_NETWORK_STATE , 62
android.permission.READ_LOGS , 61
android.permission.SEND_SMS , 57
android.permission.DISABLE_KEYGUARD , 54
android.permission.CAMERA , 51
android.permission.MODIFY_AUDIO_SETTINGS , 50
android.permission.WRITE_SETTINGS , 49
android.permission.RECEIVE_SMS , 49
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 45
android.permission.READ_CALL_LOG , 44
android.permission.CALL_PHONE , 26
android.permission.RECORD_AUDIO , 26
android.permission.WRITE_SMS , 22
android.permission.RESTART_PACKAGES , 22
com.google.android.providers.gsf.permission.READ_GSERVICES , 21
android.permission.READ_SMS , 20
android.permission.MANAGE_ACCOUNTS , 19
com.android.launcher.permission.UNINSTALL_SHORTCUT , 15
android.permission.ACCESS_WIMAX_STATE , 15
android.permission.KILL_BACKGROUND_PROCESSES , 15
android.permission.CHANGE_CONFIGURATION , 15
com.android.launcher.permission.READ_SETTINGS , 15
android.permission.BROADCAST_STICKY , 13
com.sec.android.iap.permission.BILLING , 13
android.permission.WRITE_INTERNAL_STORAGE , 13
com.amazon.device.messaging.permission.RECEIVE , 12
android.permission.BATTERY_STATS , 12
android.permission.SET_ORIENTATION , 11
org.onepf.openiab.permission.BILLING , 11
android.permission.SET_DEBUG_APP , 11
com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY , 10
android.permission.DEVICE_POWER , 10
com.slideme.sam.manager.inapp.permission.BILLING , 9
android.permission.RECEIVE_USER_PRESENT , 8
com.example.gcm.permission.C2D_MESSAGE , 8
com.android.alarm.permission.SET_ALARM , 8
com.playhaven.unityexample.permission.C2D_MESSAGE , 7
com.android.launcher.permission.WRITE_SETTINGS , 7
com.qiyofun.android.game.blackjack.permission.C2D_MESSAGE , 6
com.nokia.payment.BILLING , 6
com.sec.android.provider.badge.permission.READ , 6
com.sec.android.provider.badge.permission.WRITE , 6
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 6
android.permission.BLUETOOTH , 6
android.permission.WRITE_OWNER_DATA , 5
android.permission.NFC , 5
android.permission.CHANGE_WIFI_MULTICAST_STATE , 5
