permission , count
SUM , 5795
android.permission.INTERNET , 5519
android.permission.ACCESS_NETWORK_STATE , 4796
android.permission.READ_EXTERNAL_STORAGE , 2853
android.permission.WRITE_EXTERNAL_STORAGE , 2844
android.permission.READ_PHONE_STATE , 1734
android.permission.ACCESS_WIFI_STATE , 1662
android.permission.WAKE_LOCK , 1374
com.android.vending.BILLING , 1253
android.permission.VIBRATE , 798
android.permission.GET_ACCOUNTS , 439
com.google.android.c2dm.permission.RECEIVE , 433
android.permission.ACCESS_COARSE_LOCATION , 420
com.android.vending.CHECK_LICENSE , 393
android.permission.GET_TASKS , 299
android.permission.ACCESS_FINE_LOCATION , 290
android.permission.RECORD_AUDIO , 239
android.permission.RECEIVE_BOOT_COMPLETED , 220
android.permission.CAMERA , 190
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 188
android.permission.DISABLE_KEYGUARD , 134
android.permission.MODIFY_AUDIO_SETTINGS , 134
android.permission.BLUETOOTH , 107
android.permission.BIND_NOTIFICATION_LISTENER_SERVICE , 94
android.permission.WRITE_INTERNAL_STORAGE , 77
android.permission.SYSTEM_ALERT_WINDOW , 77
com.android.launcher.permission.INSTALL_SHORTCUT , 70
android.permission.SET_WALLPAPER , 57
android.permission.CHANGE_CONFIGURATION , 43
android.permission.CHANGE_WIFI_STATE , 41
com.google.android.gms.permission.ACTIVITY_RECOGNITION , 39
android.permission.WRITE_SETTINGS , 34
com.sec.android.iap.permission.BILLING , 33
android.permission.READ_CONTACTS , 32
android.permission.BROADCAST_STICKY , 30
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 30
android.permission.SET_ORIENTATION , 27
com.google.android.providers.gsf.permission.READ_GSERVICES , 25
android.permission.READ_LOGS , 24
android.permission.USE_CREDENTIALS , 23
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 23
com.example.gcm.permission.C2D_MESSAGE , 21
android.permission.CHANGE_NETWORK_STATE , 20
android.permission.READ_CALL_LOG , 20
android.permission.BATTERY_STATS , 17
com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY , 16
android.permission.READ_INTERNAL_STORAGE , 16
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 16
android.permission.DEVICE_POWER , 15
com.android.launcher.permission.UNINSTALL_SHORTCUT , 15
android.permission.INTERACT_ACROSS_USERS_FULL , 12
android.permission.WRITE_CONTACTS , 12
com.forkids.fishing.permission.C2D_MESSAGE , 12
android.permission.RECORD_VIDEO , 12
com.android.launcher.permission.READ_SETTINGS , 12
android.permission.bluetooth , 11
android.permission.READ_CALENDAR , 11
android.permission.SEND_SMS , 10
android.permission.WRITE_CALL_LOG , 10
org.onepf.openiab.permission.BILLING , 10
android.permission.BLUETOOTH_ADMIN , 8
android.permission.ACCOUNT_MANAGER , 8
com.nokia.payment.BILLING , 8
android.permission.WRITE_CALENDAR , 8
android.permission.MANAGE_ACCOUNTS , 8
com.playphone.psgn.permission.C2D_MESSAGE , 7
android.permission.ACCESS_MOCK_LOCATION , 7
android.permission.READ_OWNER_DATA , 6
android.permission.RECEIVE_SMS , 6
android.permission.EXPAND_STATUS_BAR , 6
android.permission.START_BACKGROUND_SERVICE , 6
android.webkit.permission.PLUGIN , 6
com.slideme.sam.manager.inapp.permission.BILLING , 6
android.permission.FLASHLIGHT , 5
android.permission.ACCESS_COARSE , 5
android.permission.WRITE_OWNER_DATA , 5
android.permission.CALL_PHONE , 5
android.permission.KILL_BACKGROUND_PROCESSES , 5
com.amazon.device.messaging.permission.RECEIVE , 5
android.permission.SET_WALLPAPER_HINTS , 4
com.javapapers.android.permission.C2D_MESSAGE , 4
air.android.CatShopping.permission.C2D_MESSAGE , 4
com.android.vending.ACCESS_WIFI_STATE , 4
android.permission.HARDWARE_TEST , 4
android.permission.FINE_LOCATION , 4
android.permission.READ_PROFILE , 4
com.android.vending.WRITE_EXTERNAL_STORAGE , 4
android.permission.ACCESS_CACHE_FILESYSTEM , 3
android.permission.SET_PREFERRED_APPLICATIONS , 3
android.permission.PERMISSION_NAME , 3
com.mangoreader.permission.C2D_MESSAGE , 3
com.karopass.gkgujarati.permission.C2D_MESSAGE , 3
android.permission.CLEAR_APP_CACHE , 3
android.permission.ACCESS_CORSE_LOCATION , 3
android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS , 3
android.permission.SET_DEBUG_APP , 3
android.permission.WRITE_USER_DICTIONARY , 3
android.permission.READ_INPUT_STATE , 3
android.permission.RESTART_PACKAGES , 3
android.permission.NETWORK , 2
android.permission.ACTION_HEADSET_PLUG , 2
android.permission.ACCESS_GPS , 2
com.webgames.skazbuka.permission.C2D_MESSAGE , 2
android.permission.WRITE_SECURE_SETTINGS , 2
android.permission.MANAGE_DOCUMENTS , 2
com.fortumo.nook.demo.permissions.PAYMENT_INFO_BROADCAST_PERMISSION , 2
android.permission.NFC , 2
READ_EXTERNAL_STORAGE , 2
com.appsgeyser.multiTabApp.permission.C2D_MESSAGE , 2
android.permission.ACCESS_COURSE_LOCATION , 2
android.permission.CHANGE_COMPONENT_ENABLED_STATE , 2
READ_PHONE_STATE , 2
com.yandex.store.permission.BILLING , 2
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION , 2
com.strawberryapps.learnenglishspellings.permission.C2D_MESSAGE , 2
com.android.alarm.permission.SET_ALARM , 2
com.tmoney.vending.INBILLING , 2
air.com.secretbuilders.permissions.PAYMENT_KUR_BROADCAST_PERMISSION , 2
com.kidsfoodinc.android_make_milkshakekf.permission.C2D_MESSAGE , 1
com.frozennetworkinc.android_boysxmasmakeover.permission.C2D_MESSAGE , 1
con.raimediacenter.puzzleanakpintar.permission.C2D_MESSAGE , 1
com.xcellent.girlpuzzle.permission.C2D_MESSAGE , 1
en.biblequiz.pro.permission.C2D_MESSAGE , 1
com.divineaps.se.miniclub.lite.permission.C2D_MESSAGE , 1
com.wCOLORBOOKFORINTELLIGENT.permission.C2D_MESSAGE , 1
com.libiitech.oceandoctor.permission.C2D_MESSAGE , 1
com.divineaps.pl.miniclub.only_coloring.permission.C2D_MESSAGE , 1
de.goethe.lerndeutsch.permission.C2D_MESSAGE , 1
com.pmb.pomibo.permission.C2D_MESSAGE , 1
com.kidsfoodinc.android_make_snowcones.permission.C2D_MESSAGE , 1
air.com.playpowerlabs.mathplanetapp.permission.C2D_MESSAGE , 1
com.cupcakekidsinc.android_lollipop.permission.C2D_MESSAGE , 1
com.appypie.appypiee6054e5d2657.permission.MAPS_RECEIVE , 1
com.kidsfoodinc.android_make_frybreadkf.permission.C2D_MESSAGE , 1
com.verdictq.preschoollearning.permission.C2D_MESSAGE , 1
com.kidsfoodinc.android_make_coffeemaker.permission.C2D_MESSAGE , 1
com.x4enjoy.abc.permission.C2D_MESSAGE , 1
de.fovea.kaeferkunde.permission.MAPS_RECEIVE , 1
com.divineaps.dk.miniclub.lite.permission.C2D_MESSAGE , 1
com.playnlearnapps.unicornkidgames.permission.C2D_MESSAGE , 1
com.cupcakekidsinc.android_bbq_maker.permission.C2D_MESSAGE , 1
mcs.FreakingSign.permission.C2D_MESSAGE , 1
com.pinkygirl.princess.permission.C2D_MESSAGE , 1
it.tinytap.attsa.supershapes.permission.C2D_MESSAGE , 1
com.partykidsmobile.android_pettruck.permission.C2D_MESSAGE , 1
com.animalgame.baby.free.sounds.educational.care.kidszoo.RECEIVE , 1
com.whafizazekaoyunu.permission.C2D_MESSAGE , 1
com.quantum.coolgamesforboys.permission.C2D_MESSAGE , 1
com.kidsfoodinc.android_make_gummycandykf.permission.C2D_MESSAGE , 1
io.gonative.android.yenxo.permission.C2D_MESSAGE , 1
com.wIgradlyadeteyobuchenietsifram.permission.C2D_MESSAGE , 1
com.digimechanics.kidsspacegamefree.permission.C2D_MESSAGE , 1
com.shimantech.funtastic.permission.C2D_MESSAGE , 1
com.minipetmedia.android_babypoliceman.permission.C2D_MESSAGE , 1
com.ubl.spellmaster.permission.C2D_MESSAGE , 1
com.partykidsmobile.android_princessschooladventure.permission.C2D_MESSAGE , 1
com.partykidsmobile.android_babyschooladventure.permission.C2D_MESSAGE , 1
com.divineaps.nl.miniclub.only_coloring.permission.C2D_MESSAGE , 1
com.digimechanics.kidszoogamefree.permission.C2D_MESSAGE , 1
com.creativekids.vehiclescoloring.permission.C2D_MESSAGE , 1
com.slimcricket.ecole.permission.C2D_MESSAGE , 1
air.bftv.larryABCs.permission.C2D_MESSAGE , 1
brilliant.sari.full.permission.C2D_MESSAGE , 1
com.divineaps.en.miniclub.full.permission.C2D_MESSAGE , 1
com.mageeks.android.alphabet.permission.C2D_MESSAGE , 1
com.InAppStore.Fortumo.permissions.PAYMENT_BROADCAST , 1
com.mobincube.android.sc_XHGEI.permission.C2D_MESSAGE , 1
com.hugsnhearts.android_cupcake_party.permission.C2D_MESSAGE , 1
com.appypie.appypiebb1df7bea927.permission.C2D_MESSAGE , 1
com.velocitysoftware21gmail.com.think.permission.C2D_MESSAGE , 1
com.nithra.fourwordsfourpics.permission.C2D_MESSAGE , 1
com.happygirlmedia.android_dress_littlemaskedball.permission.C2D_MESSAGE , 1
com.partykidsmobile.android_babypetsplayhouseparty.permission.C2D_MESSAGE , 1
com.wJAMBTUTORIALPREMIUM.permission.C2D_MESSAGE , 1
com.pinkygirl.yangin.permission.C2D_MESSAGE , 1
com.kidsfoodinc.android_make_cookiedoughkf.permission.C2D_MESSAGE , 1
android.permission.ACCESS_PROVIDER , 1
com.divineaps.pl.miniclub.full.permission.C2D_MESSAGE , 1
android.permissions.PAYMENT_BROADCAST , 1
com.wknowledgeIslamquiz.permission.C2D_MESSAGE , 1
guruapp.guruquiz_gcse_physics.permission.C2D_MESSAGE , 1
guruapp.guruquiz_gcse_chemistry.permission.C2D_MESSAGE , 1
com.fendaril.caterpillars.permission.C2D_MESSAGE , 1
com.emeraldgames.cargames.permission.C2D_MESSAGE , 1
com.skycastleapps.android_kidskindergarten2.permission.C2D_MESSAGE , 1
com.tnp.daulem3_tnp.permission.C2D_MESSAGE , 1
com.playnlearnapps.emergencyvehiclesounds.permission.C2D_MESSAGE , 1
air.com.playpowerlabs.mathpopgr2.permission.C2D_MESSAGE , 1
com.chicagotribune.tribunetrivia.permission.C2D_MESSAGE , 1
com.wWildPlanetQuizPro.permission.C2D_MESSAGE , 1
com.aapbd.guruquiz.permission.C2D_MESSAGE , 1
com.emeraldgames.traingames.permission.C2D_MESSAGE , 1
guruapp.guruquiz_PMR_sejarah.permission.C2D_MESSAGE , 1
com.crazycatsmedia.android_bacon.permission.C2D_MESSAGE , 1
com.wFruitMatchFun.permission.C2D_MESSAGE , 1
com.playnlearnapps.com.balletgame.permission.C2D_MESSAGE , 1
android.permission.PERSISTENT_ACTIVITY , 1
br.com.tapps.mybooalbum.permission.C2D_MESSAGE , 1
air.com.vistabusiness.clairesalon2.permission.C2D_MESSAGE , 1
com.ecovidrio.mriglu.permission.C2D_MESSAGE , 1
com.emeraldgames.truckgames.permission.C2D_MESSAGE , 1
com.forkids.boomballoons.permission.C2D_MESSAGE , 1
com.ptm.pruebademanejoteorica.permission.MAPS_RECEIVE , 1
com.bateinteractive.sirensandhorns.permission.C2D_MESSAGE , 1
net.inovidea.mphunter.permission.C2D_MESSAGE , 1
com.princessmobileentertainment.android_beardressup.permission.C2D_MESSAGE , 1
com.bearhugmedia.android_celebrityeardoctor.permission.C2D_MESSAGE , 1
com.wProminentIslamicFiguresQuiz.permission.C2D_MESSAGE , 1
com.xcellent.cartoon2.permission.C2D_MESSAGE , 1
com.wObuchenieslojeniyuivyichitaniyu1uroven.permission.C2D_MESSAGE , 1
com.emeraldgames.birdsgamesfree.permission.C2D_MESSAGE , 1
com.playnlearnapps.constructiontoddlergamessoundsfree.permission.C2D_MESSAGE , 1
com.playnlearnapps.firetruckgamesforkids.permission.C2D_MESSAGE , 1
com.divineaps.nl.miniclub.only_english.permission.C2D_MESSAGE , 1
com.whisperarts.kids.journal.permission.C2D_MESSAGE , 1
air.com.go.CareBabyQiaohu.permission.C2D_MESSAGE , 1
air.ean3133092212246.com.nathan.tchoupitelephone.permission.C2D_MESSAGE , 1
com.appsministry.fixikirepair.permission.C2D_MESSAGE , 1
pl.rosmedia.puzzlegold.permission.C2D_MESSAGE , 1
com.app.spellbee.permission.C2D_MESSAGE , 1
com.partykidsmobile.android_animalfirerescue.permission.C2D_MESSAGE , 1
com.appgeneration.ld.objects.permission.C2D_MESSAGE , 1
com.parse.starter.permission.C2D_MESSAGE , 1
com.lge.launcher.permission.INSTALL_SHORTCUT , 1
com.hugsnhearts.android_littletrain.permission.C2D_MESSAGE , 1
com.emeraldgames.firetruck.permission.C2D_MESSAGE , 1
com.slimcricket.noel.permission.RECEIVE_ADM_MESSAGE , 1
com.wNIGERIAJAMBTUTORIAL.permission.C2D_MESSAGE , 1
air.com.kendalinvestmentsltd.smartypreschools.permission.C2D_MESSAGE , 1
com.vmgmedia.tc2t2.permission.C2D_MESSAGE , 1
com.cupcakekidsinc.android_donuts_bites_maker.permission.C2D_MESSAGE , 1
com.slimcricket.lescontraires.permission.RECEIVE_ADM_MESSAGE , 1
com.cnkdigital.smartletternames.permission.C2D_MESSAGE , 1
com.cgs.zouapp.permission.C2D_MESSAGE , 1
com.playnlearnapps.toddlernumbergamesspace.permission.C2D_MESSAGE , 1
com.partykidsmobile.android_animalnewbaby.permission.C2D_MESSAGE , 1
com.ezeducation.doodlemaths.ks2.permission.C2D_MESSAGE , 1
it.tinytap.attsa.WheelsOnThebus.permission.C2D_MESSAGE , 1
com.babycortex.google.ompairmeup.permission.C2D_MESSAGE , 1
com.slimcricket.pingouinfrileuxlite.permission.RECEIVE_ADM_MESSAGE , 1
com.beiz.lolaispylite.permission.C2D_MESSAGE , 1
com.babycortex.google.mathRun.permission.C2D_MESSAGE , 1
com.google.android.providers.gsf.permisson.READ_GSERVICES , 1
android.permission.WRITE_EXTERNAL_S , 1
com.divineaps.no.miniclub.only_coloring.permission.C2D_MESSAGE , 1
com.cupcakekidsinc.android_pasta_maker.permission.C2D_MESSAGE , 1
com.happygirlmedia.android_crazyhairsalon.permission.C2D_MESSAGE , 1
com.CuteAnimalsMemoryRescue.permission.C2D_MESSAGE , 1
com.hugsnhearts.android_crazykidssalon.permission.C2D_MESSAGE , 1
com.lunagames.dancebooth.permission.C2D_MESSAGE , 1
com.beiz.lolasmath2free.permission.C2D_MESSAGE , 1
com.applimobile.quest.grade6vocab.permission.C2D_MESSAGE , 1
nl.robertloeberdevelopment.GeographyGame.locationapi.maps.permission.MAPS_RECEIVE , 1
com.quantumwebapps.offlinegames.permission.C2D_MESSAGE , 1
com.wCOLORTHEELSA.permission.C2D_MESSAGE , 1
com.kidsfoodinc.android_make_stickfoodkf.permission.C2D_MESSAGE , 1
com.cupcakekidsinc.android_birthday_cake.permission.C2D_MESSAGE , 1
com.serialscreener.sgg_wb.permission.C2D_MESSAGE , 1
com.cupcakekidsinc.android_mexican_food.permission.C2D_MESSAGE , 1
com.chaulkytownapps.airlinegamesfree.permission.C2D_MESSAGE , 1
com.beiz.lolaabclite.permission.C2D_MESSAGE , 1
com.yogome.ScienceHeroes1.permission.C2D_MESSAGE , 1
com.divineaps.dk.miniclub.full.permission.C2D_MESSAGE , 1
com.launchers.spellbee.permission.C2D_MESSAGE , 1
com.happygirlmedia.android_reindeersxmas.permission.C2D_MESSAGE , 1
com.gkpoolkids.permission.C2D_MESSAGE , 1
com.cupcakekidsinc.android_slushy_mania.permission.C2D_MESSAGE , 1
com.playnlearnapps.catgamefortoddlers.permission.C2D_MESSAGE , 1
it.tinytap.attsa.deepsub.permission.C2D_MESSAGE , 1
it.tinytap.attsa.learningNumbers1to5.permission.C2D_MESSAGE , 1
com.templatemagician.monstercoloringbook.permission.C2D_MESSAGE , 1
com.cnkdigital.smartnumberslite.permission.C2D_MESSAGE , 1
org.celstec.arlearn2.android.permission.C2D_MESSAGE , 1
com.acotel.kidsterenglish.permission.C2D_MESSAGE , 1
com.aheadsolutions.hangman.permission.C2D_MESSAGE , 1
com.playnlearnapps.traintoddlergame.permission.C2D_MESSAGE , 1
com.appypie.appypiebb1df7bea927.permission.MAPS_RECEIVE , 1
com.playnlearnapps.firetruckgamesforkidsadfree.permission.C2D_MESSAGE , 1
com.funlearninggames.farm.hay.animals.permission.C2D_MESSAGE , 1
com.playnlearnapps.princesspuzzleskids.permission.C2D_MESSAGE , 1
com.playnlearnapps.planegamesforkids.permission.C2D_MESSAGE , 1
