permission , count
SUM , 3407
android.permission.INTERNET , 3301
android.permission.ACCESS_NETWORK_STATE , 3164
android.permission.READ_EXTERNAL_STORAGE , 2371
android.permission.WRITE_EXTERNAL_STORAGE , 2369
android.permission.READ_PHONE_STATE , 1629
android.permission.ACCESS_WIFI_STATE , 1591
android.permission.WAKE_LOCK , 1027
com.android.vending.BILLING , 1003
android.permission.ACCESS_COARSE_LOCATION , 529
android.permission.VIBRATE , 496
android.permission.GET_ACCOUNTS , 427
com.google.android.c2dm.permission.RECEIVE , 421
android.permission.GET_TASKS , 408
android.permission.ACCESS_FINE_LOCATION , 297
com.android.vending.CHECK_LICENSE , 212
android.permission.CAMERA , 203
android.permission.RECEIVE_BOOT_COMPLETED , 178
android.permission.SYSTEM_ALERT_WINDOW , 178
android.permission.RECORD_AUDIO , 161
com.android.launcher.permission.INSTALL_SHORTCUT , 149
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 135
android.permission.MODIFY_AUDIO_SETTINGS , 83
android.permission.CHANGE_CONFIGURATION , 78
android.permission.SET_WALLPAPER , 78
android.permission.DISABLE_KEYGUARD , 72
android.permission.BIND_NOTIFICATION_LISTENER_SERVICE , 65
com.google.android.gms.permission.ACTIVITY_RECOGNITION , 58
android.permission.WRITE_INTERAL_STORAGE , 57
android.permission.RESTART_PACKAGES , 36
android.permission.BLUETOOTH , 30
android.permission.WRITE_SETTINGS , 28
android.permission.SET_ORIENTATION , 25
android.permission.CHANGE_WIFI_STATE , 24
com.example.gcm.permission.C2D_MESSAGE , 24
android.permission.READ_CONTACTS , 23
android.permission.READ_LOGS , 22
android.permission.DEVICE_POWER , 21
android.permission.USE_CREDENTIALS , 18
com.amazon.device.messaging.permission.RECEIVE , 17
android.permission.WRITE_INTERNAL_STORAGE , 15
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 15
android.permission.BATTERY_STATS , 15
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 14
com.sec.android.iap.permission.BILLING , 13
android.permission.KILL_BACKGROUND_PROCESSES , 11
com.android.launcher.permission.UNINSTALL_SHORTCUT , 11
android.permission.SEND_SMS , 9
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 9
org.onepf.openiab.permission.BILLING , 9
android.permission.CHANGE_NETWORK_STATE , 8
com.nokia.payment.BILLING , 8
android.permission.CALL_PHONE , 8
android.permission.BLUETOOTH_ADMIN , 7
com.slideme.sam.manager.inapp.permission.BILLING , 7
android.permission.BROADCAST_STICKY , 7
com.android.alarm.permission.SET_ALARM , 7
