permission , count
SUM , 555
android.permission.INTERNET , 530
android.permission.ACCESS_NETWORK_STATE , 503
android.permission.READ_EXTERNAL_STORAGE , 326
android.permission.WRITE_EXTERNAL_STORAGE , 320
android.permission.ACCESS_WIFI_STATE , 194
android.permission.READ_PHONE_STATE , 187
android.permission.WAKE_LOCK , 170
android.permission.VIBRATE , 154
com.android.vending.BILLING , 136
android.permission.GET_ACCOUNTS , 61
com.google.android.c2dm.permission.RECEIVE , 57
com.android.vending.CHECK_LICENSE , 56
android.permission.ACCESS_COARSE_LOCATION , 55
android.permission.RECORD_AUDIO , 43
android.permission.ACCESS_FINE_LOCATION , 37
android.permission.GET_TASKS , 28
android.permission.RECEIVE_BOOT_COMPLETED , 28
android.permission.MODIFY_AUDIO_SETTINGS , 27
android.permission.SYSTEM_ALERT_WINDOW , 20
android.permission.CAMERA , 19
com.android.launcher.permission.INSTALL_SHORTCUT , 16
com.google.android.providers.gsf.permission.READ_GSERVICES , 15
android.permission.WRITE_SETTINGS , 14
android.permission.USE_CREDENTIALS , 13
android.permission.DISABLE_KEYGUARD , 12
android.permission.BLUETOOTH , 11
android.permission.CHANGE_WIFI_STATE , 9
android.permission.WRITE_INTERNAL_STORAGE , 8
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 7
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 7
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 7
com.example.gcm.permission.C2D_MESSAGE , 6
android.permission.READ_CONTACTS , 6
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 6
android.permission.BLUETOOTH_ADMIN , 6
android.permission.KILL_BACKGROUND_PROCESSES , 5
android.permission.SET_WALLPAPER , 5
com.android.launcher.permission.READ_SETTINGS , 4
android.permission.READ_LOGS , 4
android.permission.RESTART_PACKAGES , 4
com.android.launcher.permission.UNINSTALL_SHORTCUT , 4
android.permission.CHANGE_CONFIGURATION , 3
android.permission.HARDWARE_TEST , 3
android.permission.ACCESS_CACHE_FILESYSTEM , 3
android.permission.SET_ORIENTATION , 3
org.onepf.openiab.permission.BILLING , 3
com.sec.android.iap.permission.BILLING , 3
android.permission.RECEIVE_SMS , 3
com.motorola.dlauncher.permission.INSTALL_SHORTCUT , 2
com.lge.launcher.permission.INSTALL_SHORTCUT , 2
android.permission.WRITE_SYNC_SETTINGS , 2
com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY , 2
android.permission.PROCESS_OUTGOING_CALLS , 2
android.permission.SET_WALLPAPER_HINTS , 2
com.htc.launcher.permission.READ_SETTINGS , 2
com.motorola.launcher.permission.READ_SETTINGS , 2
android.permission.BATTERY_STATS , 2
READ_PHONE_STATE , 2
android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS , 2
android.permission.WRITE_CONTACTS , 2
com.android.vending.ACCESS_WIFI_STATE , 2
com.motorola.launcher.permission.INSTALL_SHORTCUT , 2
com.amazon.device.messaging.permission.RECEIVE , 2
android.permission.CHANGE_NETWORK_STATE , 2
android.permission.READ_SYNC_SETTINGS , 2
com.motorola.dlauncher.permission.READ_SETTINGS , 2
android.permission.GET_PACKAGE_SIZE , 2
com.android.alarm.permission.SET_ALARM , 2
android.permission.BROADCAST_STICKY , 2
com.google.android.gms.permission.ACTIVITY_RECOGNITION , 2
com.fede.launcher.permission.READ_SETTINGS , 2
org.adw.launcher.permission.READ_SETTINGS , 2
com.lge.launcher.permission.READ_SETTINGS , 2
com.android.vending.WRITE_EXTERNAL_STORAGE , 2
com.cncroductions.games.Violetta.permission.C2D_MESSAGE , 1
com.actionmobile.ocarinaoftime.permission.C2D_MESSAGE , 1
com.bandainamcogames.aktmvm.permission.C2D_MESSAGE , 1
com.skyboard.google.guitarpick.permission.C2D_MESSAGE , 1
com.cherry.pianokakao.permission.C2D_MESSAGE , 1
com.cybermind.google.famecelebritystory.permission.C2D_MESSAGE , 1
jp.gr.java.conf.createapps.musicline.permission.C2D_MESSAGE , 1
air.com.lalila.tapthenote.permission.C2D_MESSAGE , 1
com.stargirlapps.google.tiffany.permission.C2D_MESSAGE , 1
com.ubisoft.dance.JustDance.permission.C2D_MESSAGE , 1
android.permission.CHANGE_WIFI_MULTICAST_STATE , 1
com.dooub.gotnshake.permission.C2D_MESSAGE , 1
com.ttnet.hangisarki.push.RECEIVER , 1
android.permission.WRITE_SECURE_SETTINGS , 1
air.com.freshplanet.games.WaM.permission.C2D_MESSAGE , 1
com.xmg.fsd.permission.RECEIVE_ADM_MESSAGE , 1
com.frimastudio.CosmoMusic.permission.C2D_MESSAGE , 1
com.neowizinternet.game.technikaq_g_a.permission.C2D_MESSAGE , 1
com.sonyericsson.extras.liveware.aef.EXTENSION_PERMISSION , 1
com.dunkapps.android.baby.game.juego.bebe.jogo.jeu.care.mommy.permission.C2D_MESSAGE , 1
com.slideme.sam.manager.inapp.permission.BILLING , 1
CHANGE_WIFI_STATE , 1
net.nine0eight.songrocks.permission.C2D_MESSAGE , 1
com.car.rattle.toy.baby.tractorwash.coche.game.color.koste.android.C2D_MESSAGE , 1
jp.co.happyhoppyhappy.thatsong.android.permission.C2D_MESSAGE , 1
com.linecorp.LGSTAGE.permission.C2D_MESSAGE , 1
com.sonyericsson.permission.CAMERA_EXTENDED , 1
com.mobage.ww.a1909.Robot_Android.permission.RECEIVE_ADM_MESSAGE , 1
sleepsong.lullaby.babysleep.angelmusic.time.RECEIVE , 1
android.permission.NORMAL , 1
com.nokia.payment.BILLING , 1
com.webprancer.google.gdseason.permission.C2D_MESSAGE , 1
android.permission.RECORD_VIDEO , 1
android.permission.ACCESS_COARSE_UPDATES , 1
com.bandainamcogames.onepiecedancebattle.permission.C2D_MESSAGE , 1
com.car.rattle.toy.baby.tractorwash.coche.game.color.koste.android.RECEIVE , 1
klb.android.lovelive.permission.C2D_MESSAGE , 1
com.xmg.fsd.permission.C2D_MESSAGE , 1
com.wGuessthesongRockandHeavyMetal.permission.C2D_MESSAGE , 1
android.permission.SEND_SMS , 1
android.permission.INTERACT_ACROSS_USERS_FULL , 1
id.bdevelopment.kuistebaklagu.permission.C2D_MESSAGE , 1
android.permission.RECEIVE_USER_PRESENT , 1
sleepsong.lullaby.babysleep.angelmusic.time.permission.C2D_MESSAGE , 1
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION , 1
com.android.email.permission.ACCESS_PROVIDER , 1
android.permission.CALL_PHONE , 1
com.talktalk.singsomething.permission.C2D_MESSAGE , 1
id.ponnysounds.littlelullabymyponnybabysleep.RECEIVE , 1
com.halfbrick.bandstars.permission.C2D_MESSAGE , 1
id.ponnysounds.littlelullabymyponnybabysleep.permission.C2D_MESSAGE , 1
jp.akb48game.aol.permission.C2D_MESSAGE , 1
pl.rosmedia.music.permission.C2D_MESSAGE , 1
ACCESS_WIFI_STATE , 1
com.ttnet.hangisarki.permission.C2D_MESSAGE , 1
com.vtc.intecom.demolib.permission.C2D_MESSAGE , 1
com.cherry.pianist.permission.C2D_MESSAGE , 1
pl.rosmedia.animalband.permission.C2D_MESSAGE , 1
android.webkit.permission.PLUGIN , 1
com.animoca.google.starGirlChristmas.permission.C2D_MESSAGE , 1
biz.mobileone.songquiz.permission.C2D_MESSAGE , 1
com.android.email.permission.READ_ATTACHMENT , 1
com2.singbox.abba.permission.C2D_MESSAGE , 1
air.com.freshplanet.games.SongPopPremium.permission.C2D_MESSAGE , 1
android.permission.ACTION_HEADSET_PLUG , 1
android.permission.DEVICE_POWER , 1
com.starlitt.guitarsounds.permission.C2D_MESSAGE , 1
it.redbitgames.qbeat.permission.C2D_MESSAGE , 1
com.mobage.ww.a1909.Robot_Android.permission.C2D_MESSAGE , 1
jp.konami.gitadora.permission.C2D_MESSAGE , 1
klb.android.lovelive_en.permission.C2D_MESSAGE , 1
com.dialog.rocknrollknowitall.permission.C2D_MESSAGE , 1
jp.veincarry.showbyrock2.permission.C2D_MESSAGE , 1
pl.rosmedia.musicfull.permission.C2D_MESSAGE , 1
kr.co.dalcomsoft.superstar.a.permission.C2D_MESSAGE , 1
com.wejaam.jam.permission.C2D_MESSAGE , 1
jp.co.taito.idolchronicle.permission.C2D_MESSAGE , 1
com.dooub.shake.dream5shake.permission.C2D_MESSAGE , 1
