permission , count
SUM , 22575
android.permission.INTERNET , 21099
android.permission.ACCESS_NETWORK_STATE , 18921
android.permission.READ_EXTERNAL_STORAGE , 10708
android.permission.WRITE_EXTERNAL_STORAGE , 10646
android.permission.READ_PHONE_STATE , 8161
android.permission.ACCESS_WIFI_STATE , 6410
android.permission.WAKE_LOCK , 4975
android.permission.VIBRATE , 4184
com.android.vending.BILLING , 3704
android.permission.ACCESS_COARSE_LOCATION , 2002
android.permission.GET_ACCOUNTS , 1821
android.permission.ACCESS_FINE_LOCATION , 1469
com.google.android.c2dm.permission.RECEIVE , 1368
com.android.vending.CHECK_LICENSE , 1189
android.permission.GET_TASKS , 1049
android.permission.RECEIVE_BOOT_COMPLETED , 871
android.permission.SET_WALLPAPER , 435
android.permission.SYSTEM_ALERT_WINDOW , 412
android.permission.DISABLE_KEYGUARD , 372
com.android.launcher.permission.INSTALL_SHORTCUT , 369
android.permission.MODIFY_AUDIO_SETTINGS , 361
android.permission.CAMERA , 360
android.permission.RECORD_AUDIO , 347
android.permission.READ_CONTACTS , 276
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 189
android.permission.USE_CREDENTIALS , 182
android.permission.WRITE_SETTINGS , 181
android.permission.CHANGE_WIFI_STATE , 174
android.permission.BLUETOOTH , 172
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 159
android.permission.READ_LOGS , 156
android.permission.READ_CALL_LOG , 146
android.permission.SET_WALLPAPER_HINTS , 143
com.android.launcher.permission.UNINSTALL_SHORTCUT , 135
android.permission.BROADCAST_STICKY , 129
android.permission.SET_ORIENTATION , 126
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 111
com.example.gcm.permission.C2D_MESSAGE , 106
android.permission.CALL_PHONE , 103
android.permission.WRITE_INTERNAL_STORAGE , 100
android.permission.BLUETOOTH_ADMIN , 99
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 97
android.permission.CHANGE_NETWORK_STATE , 95
android.permission.RESTART_PACKAGES , 93
android.permission.BATTERY_STATS , 91
android.permission.DEVICE_POWER , 88
android.permission.RECEIVE_SMS , 81
com.google.android.providers.gsf.permission.READ_GSERVICES , 71
com.google.android.gms.permission.ACTIVITY_RECOGNITION , 71
android.permission.SEND_SMS , 71
android.permission.WRITE_CONTACTS , 66
com.android.launcher.permission.READ_SETTINGS , 66
com.sec.android.iap.permission.BILLING , 59
android.permission.KILL_BACKGROUND_PROCESSES , 50
org.onepf.openiab.permission.BILLING , 50
com.lge.launcher.permission.INSTALL_SHORTCUT , 49
com.motorola.dlauncher.permission.INSTALL_SHORTCUT , 49
com.htc.launcher.permission.READ_SETTINGS , 49
com.motorola.launcher.permission.READ_SETTINGS , 49
com.motorola.dlauncher.permission.READ_SETTINGS , 48
com.motorola.launcher.permission.INSTALL_SHORTCUT , 48
com.fede.launcher.permission.READ_SETTINGS , 48
com.lge.launcher.permission.READ_SETTINGS , 48
android.permission.ACCESS_MOCK_LOCATION , 48
org.adw.launcher.permission.READ_SETTINGS , 48
com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY , 47
android.permission.CHANGE_WIFI_MULTICAST_STATE , 44
android.permission.WRITE_OWNER_DATA , 42
android.permission.MANAGE_ACCOUNTS , 42
android.permission.READ_OWNER_DATA , 40
android.permission.WRITE_CALL_LOG , 35
com.android.launcher.permission.WRITE_SETTINGS , 34
com.htc.launcher.permission.WRITE_SETTINGS , 32
com.teslacoilsw.launcher.permission.READ_SETTINGS , 32
com.fede.launcher.permission.WRITE_SETTINGS , 32
com.teslacoilsw.launcher.permission.WRITE_SETTINGS , 32
com.anddoes.launcher.permission.WRITE_SETTINGS , 32
com.motorola.dlauncher.permission.WRITE_SETTINGS , 32
com.lge.launcher.permission.WRITE_SETTINGS , 32
org.adw.launcher.permission.WRITE_SETTINGS , 32
com.motorola.launcher.permission.WRITE_SETTINGS , 32
com.anddoes.launcher.permission.READ_SETTINGS , 32
android.permisstion.READ_PHONE_STATE , 32
android.permission.FLASHLIGHT , 31
android.permission.READ_CALENDAR , 30
android.permission.WRITE_CALENDAR , 29
com.nokia.payment.BILLING , 28
android.permission.ACCESS_COARSE_UPDATES , 27
android.permission.CLEAR_APP_CACHE , 27
android.permission.ACCESS_COURSE_LOCATION , 22
com.slideme.sam.manager.inapp.permission.BILLING , 21
android.webkit.permission.PLUGIN , 21
android.permission.RECORD_VIDEO , 21
com.android.vending.ACCESS_NETWORK_STATE , 21
android.permission.GET_TOP_ACTIVITY_INFO , 20
com.android.alarm.permission.SET_ALARM , 20
