permission , count
SUM , 3911
android.permission.INTERNET , 3573
android.permission.ACCESS_NETWORK_STATE , 2983
android.permission.READ_EXTERNAL_STORAGE , 2298
android.permission.WRITE_EXTERNAL_STORAGE , 2281
android.permission.READ_PHONE_STATE , 1127
android.permission.WAKE_LOCK , 890
android.permission.ACCESS_WIFI_STATE , 834
android.permission.VIBRATE , 788
com.google.android.c2dm.permission.RECEIVE , 674
android.permission.ACCESS_FINE_LOCATION , 667
android.permission.GET_ACCOUNTS , 616
android.permission.ACCESS_COARSE_LOCATION , 587
android.permission.CAMERA , 459
com.android.vending.BILLING , 425
android.permission.RECEIVE_BOOT_COMPLETED , 371
android.permission.CALL_PHONE , 358
com.android.vending.CHECK_LICENSE , 305
android.permission.RECORD_AUDIO , 225
android.permission.READ_CONTACTS , 189
com.google.android.providers.gsf.permission.READ_GSERVICES , 189
android.permission.GET_TASKS , 127
android.permission.WRITE_CONTACTS , 123
android.permission.USE_CREDENTIALS , 121
android.permission.MODIFY_AUDIO_SETTINGS , 114
android.permission.READ_CALENDAR , 107
android.permission.SEND_SMS , 106
android.permission.WRITE_CALENDAR , 104
android.permission.READ_CALL_LOG , 102
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 97
android.permission.WRITE_CALL_LOG , 80
android.permission.BROADCAST_STICKY , 75
android.permission.CHANGE_WIFI_STATE , 69
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 61
android.permission.WRITE_SETTINGS , 58
android.permission.SYSTEM_ALERT_WINDOW , 58
android.permission.BLUETOOTH , 58
android.permission.RECEIVE_SMS , 55
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 53
com.android.launcher.permission.INSTALL_SHORTCUT , 50
android.permission.RECORD_VIDEO , 49
android.permission.FLASHLIGHT , 46
android.permission.DISABLE_KEYGUARD , 46
android.permission.CHANGE_NETWORK_STATE , 44
android.permission.BLUETOOTH_ADMIN , 43
android.permission.ACCESS_MOCK_LOCATION , 40
android.permission.WRITE_INTERNAL_STORAGE , 40
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 39
android.permission.READ_LOGS , 38
com.sec.android.iap.permission.BILLING , 35
android.permission.CHANGE_CONFIGURATION , 35
android.permission.MANAGE_ACCOUNTS , 33
android.permission.AUTHENTICATE_ACCOUNTS , 28
android.webkit.permission.PLUGIN , 25
com.sony.smallapp.permission.SMALLAPP , 24
com.amazon.device.messaging.permission.RECEIVE , 21
android.permission.SET_WALLPAPER , 20
com.android.launcher.permission.UNINSTALL_SHORTCUT , 19
android.permission.WRITE_SYNC_SETTINGS , 19
android.permission.ACCESS_LOCATION , 18
android.permission.ACCESS_GPS , 17
android.permission.READ_PROFILE , 17
android.permission.READ_SYNC_SETTINGS , 16
android.permission.NFC , 15
android.permission.KILL_BACKGROUND_PROCESSES , 14
com.android.alarm.permission.SET_ALARM , 14
android.permission.READ_INTERNAL_STORAGE , 13
com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY , 12
android.permission.WRITE_HISTORY_BOOKMARKS , 12
android.permission.READ_HISTORY_BOOKMARKS , 12
android.permission.GET_TOP_ACTIVITY_INFO , 12
android.permission.UNINSTALL_SHORTCUT , 12
android.permission.INSTALL_SHORTCUT , 12
android.permission.STATUS_BAR , 11
android.permission.SET_ORIENTATION , 9
