permission , count
SUM , 24815
android.permission.INTERNET , 18682
android.permission.ACCESS_NETWORK_STATE , 17549
android.permission.READ_EXTERNAL_STORAGE , 13217
android.permission.WRITE_EXTERNAL_STORAGE , 12743
android.permission.READ_PHONE_STATE , 8712
android.permission.ACCESS_WIFI_STATE , 7053
android.permission.SET_WALLPAPER , 6928
android.permission.WAKE_LOCK , 4711
android.permission.VIBRATE , 4379
android.permission.RECEIVE_BOOT_COMPLETED , 3608
android.permission.GET_ACCOUNTS , 2304
android.permission.ACCESS_COARSE_LOCATION , 2302
android.permission.SET_WALLPAPER_HINTS , 2272
android.permission.ACCESS_FINE_LOCATION , 1971
com.android.launcher.permission.INSTALL_SHORTCUT , 1900
com.android.vending.CHECK_LICENSE , 1837
android.permission.GET_TASKS , 1743
android.permission.WRITE_SETTINGS , 1671
com.google.android.c2dm.permission.RECEIVE , 1547
android.permission.SYSTEM_ALERT_WINDOW , 1423
android.permission.READ_CONTACTS , 1054
android.permission.CHANGE_COMPONENT_ENABLED_STATE , 1047
com.android.vending.BILLING , 901
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 784
android.permission.READ_CALL_LOG , 692
android.permission.DISABLE_KEYGUARD , 681
android.permission.CALL_PHONE , 638
android.permission.READ_LOGS , 632
android.permission.CAMERA , 544
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 543
android.permission.CHANGE_WIFI_STATE , 495
android.permission.READ_USER_DICTIONARY , 470
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 435
android.permission.READ_SMS , 431
android.permission.EXPAND_STATUS_BAR , 430
android.permission.BLUETOOTH , 403
android.permission.WRITE_CONTACTS , 398
android.permission.RECORD_AUDIO , 386
android.permission.BLUETOOTH_ADMIN , 285
android.permission.RECEIVE_SMS , 273
com.google.android.permission.PROVIDE_BACKGROUND , 253
android.permission.MODIFY_AUDIO_SETTINGS , 245
android.permission.CHANGE_NETWORK_STATE , 236
android.permission.BIND_APPWIDGET , 212
android.permission.WRITE_CALL_LOG , 205
android.permission.BROADCAST_STICKY , 203
android.permission.READ_CALENDAR , 195
com.android.launcher.permission.READ_SETTINGS , 192
android.permission.FLASHLIGHT , 187
android.permission.KILL_BACKGROUND_PROCESSES , 178
com.android.alarm.permission.SET_ALARM , 169
android.permission.BIND_WALLPAPER , 150
com.android.launcher.permission.UNINSTALL_SHORTCUT , 145
com.google.android.providers.gsf.permission.READ_GSERVICES , 143
android.permission.CHANGE_CONFIGURATION , 142
android.permission.SEND_SMS , 138
android.permission.BATTERY_STATS , 125
android.permission.READ_SETTINGS , 120
android.permission.RESTART_PACKAGES , 105
android.permission.WRITE_OWNER_DATA , 102
android.permission.ACCESS_MOCK_LOCATION , 100
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 99
android.permission.PROCESS_OUTGOING_CALLS , 98
android.permission.WRITE_SMS , 97
android.permission.WRITE_INTERNAL_STORAGE , 92
android.permission.WRITE_SYNC_SETTINGS , 84
android.permission.READ_SYNC_SETTINGS , 80
android.permission.REORDER_TASKS , 76
com.android.launcher.permission.WRITE_SETTINGS , 75
android.permission.USE_CREDENTIALS , 74
org.adw.launcher.permission.READ_SETTINGS , 73
com.google.android.gms.permission.ACTIVITY_RECOGNITION , 71
android.permission.READ_INTERNAL_STORAGE , 69
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION , 68
android.permission.WRITE_CALENDAR , 68
com.google.android.gm.permission.READ_CONTENT_PROVIDER , 67
com.htc.launcher.permission.READ_SETTINGS , 67
android.permission.FLAG_ACTIVITY_NEW_TASK , 65
com.fede.launcher.permission.READ_SETTINGS , 63
android.permission.MODIFY_PHONE_STATE , 61
android.permission.ACCESS_DOWNLOAD_MANAGER , 55
com.lge.launcher.permission.READ_SETTINGS , 55
com.sonyericsson.extras.liveware.aef.EXTENSION_PERMISSION , 52
android.permission.PERSISTENT_ACTIVITY , 51
android.permission.READ_PROFILE , 46
com.motorola.launcher.permission.INSTALL_SHORTCUT , 43
com.motorola.launcher.permission.READ_SETTINGS , 43
com.motorola.dlauncher.permission.READ_SETTINGS , 43
android.permission.ACCESS_SUPERUSER , 43
com.aswidget.android.themewidget.permission , 42
com.motorola.dlauncher.permission.INSTALL_SHORTCUT , 42
android.permission.WRITE_USER_DICTIONARY , 42
com.lge.launcher.permission.INSTALL_SHORTCUT , 41
android.permission.MANAGE_DOCUMENTS , 41
android.permission.DEVICE_POWER , 40
com.jb.gokeyboard.theme.tmekbdcolor.permission.C2D_MESSAGE , 37
android.permission.MANAGE_ACCOUNTS , 37
android.permission.WRITE_SECURE_SETTINGS , 36
com.teslacoilsw.launcher.permission.READ_SETTINGS , 36
com.anddoes.launcher.permission.READ_SETTINGS , 36
android.permission.STATUS_BAR , 34
android.permission.RECEIVE_MMS , 32
com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY , 32
android.permission.SET_PREFERRED_APPLICATIONS , 30
android.permission.SET_WALLPAPER_HINT , 29
.permission.C2D_MESSAGE , 28
sg.ruqqq.XThemeEngine.permission.SYSTEM_THEME , 26
android.permission.INTERACT_ACROSS_USERS_FULL , 26
android.permission.SET_WALLPAPER_COMPONENT , 26
android.permission.ACCESS_CORSE_LOCATION , 26
com.sec.android.provider.badge.permission.READ , 25
android.permission.GET_PACKAGE_SIZE , 25
android.permission.SYSTEM_OVERLAY_WINDOW , 23
android.permission.BIND_ACCESSIBILITY_SERVICE , 23
com.vlife.wallpaper.permission.IPC , 22
android.permission.INSTALL_PACKAGES , 21
livewallpaper , 21
android.permission.CLEAR_APP_CACHE , 21
READ_PHONE_STATE , 20
android.webkit.permission.PLUGIN , 20
android.permission.AUTHENTICATE_ACCOUNTS , 20
android.permission.NFC , 19
android.permission.STORAGE , 19
android.permission.ACCESS_WEATHERCLOCK_PROVIDER , 18
com.teslacoilsw.launcher.permission.WRITE_SETTINGS , 17
com.fsck.k9.permission.READ_MESSAGES , 17
com.android.launcher3.permission.READ_SETTINGS , 17
