permission , count
SUM , 33716
android.permission.INTERNET , 25900
android.permission.ACCESS_NETWORK_STATE , 22150
android.permission.READ_EXTERNAL_STORAGE , 16317
android.permission.WRITE_EXTERNAL_STORAGE , 15856
android.permission.READ_PHONE_STATE , 9589
android.permission.ACCESS_WIFI_STATE , 8081
android.permission.VIBRATE , 7299
android.permission.WAKE_LOCK , 7221
android.permission.RECEIVE_BOOT_COMPLETED , 6353
android.permission.ACCESS_FINE_LOCATION , 5373
android.permission.ACCESS_COARSE_LOCATION , 4575
android.permission.CAMERA , 4473
android.permission.READ_CONTACTS , 3277
android.permission.GET_TASKS , 3077
android.permission.CHANGE_WIFI_STATE , 3034
android.permission.WRITE_SETTINGS , 2872
android.permission.GET_ACCOUNTS , 2745
android.permission.CALL_PHONE , 2229
android.permission.BLUETOOTH , 2209
android.permission.SYSTEM_ALERT_WINDOW , 2204
android.permission.READ_CALL_LOG , 2060
android.permission.BLUETOOTH_ADMIN , 1844
com.android.vending.BILLING , 1839
android.permission.RECORD_AUDIO , 1802
com.android.vending.CHECK_LICENSE , 1768
com.google.android.c2dm.permission.RECEIVE , 1666
android.permission.CHANGE_NETWORK_STATE , 1583
android.permission.RECEIVE_SMS , 1477
android.permission.FLASHLIGHT , 1432
android.permission.DISABLE_KEYGUARD , 1429
android.permission.READ_SMS , 1415
android.permission.SEND_SMS , 1403
android.permission.KILL_BACKGROUND_PROCESSES , 1390
android.permission.MODIFY_AUDIO_SETTINGS , 1233
android.permission.WRITE_CONTACTS , 1204
com.android.launcher.permission.INSTALL_SHORTCUT , 1153
com.google.android.providers.gsf.permission.READ_GSERVICES , 1039
android.permission.READ_LOGS , 994
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 926
android.permission.WRITE_SMS , 925
android.permission.WRITE_CALL_LOG , 892
android.permission.RESTART_PACKAGES , 862
android.permission.PROCESS_OUTGOING_CALLS , 798
android.permission.WRITE_SYNC_SETTINGS , 675
android.permission.CLEAR_APP_CACHE , 670
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 668
android.permission.GET_PACKAGE_SIZE , 660
android.permission.ACCESS_SUPERUSER , 627
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 627
android.permission.USE_CREDENTIALS , 591
android.permission.READ_SYNC_SETTINGS , 586
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 544
android.permission.BATTERY_STATS , 486
android.permission.READ_CALENDAR , 475
android.permission.ACCESS_MOCK_LOCATION , 460
android.permission.CHANGE_CONFIGURATION , 454
android.permission.MODIFY_PHONE_STATE , 451
android.permission.BROADCAST_STICKY , 437
android.permission.SET_WALLPAPER , 434
android.permission.NFC , 417
android.permission.MANAGE_ACCOUNTS , 413
android.permission.CHANGE_WIFI_MULTICAST_STATE , 366
android.permission.WRITE_CALENDAR , 361
android.permission.EXPAND_STATUS_BAR , 331
android.permission.WRITE_SECURE_SETTINGS , 327
com.android.launcher.permission.UNINSTALL_SHORTCUT , 286
com.android.launcher.permission.READ_SETTINGS , 252
android.permission.DEVICE_POWER , 238
android.permission.AUTHENTICATE_ACCOUNTS , 238
android.permission.RECEIVE_MMS , 235
android.permission.REORDER_TASKS , 214
android.permission.READ_USER_DICTIONARY , 198
android.permission.UPDATE_DEVICE_STATS , 186
android.permission.WRITE_APN_SETTINGS , 185
android.permission.WRITE_USER_DICTIONARY , 178
android.permission.WRITE_INTERNAL_STORAGE , 171
com.android.alarm.permission.SET_ALARM , 169
com.sonyericsson.extras.liveware.aef.EXTENSION_PERMISSION , 149
