hitid	hittypeid	workerid	packageName	permission	purpose	Q2category	correct_category	comfortScore
20I11K274J7906TLXCE4DUXFTNZDFH	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A1KF05U5IO9AFG	com.rovio.angrybirds	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	Arcade & Action	Arcade & Action	-2
20I11K274J7906TLXCE4DUXFTNZDFH	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A2U5UM9LTB91R6	com.rovio.angrybirds	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	Arcade & Action	Arcade & Action	2
20I11K274J7906TLXCE4DUXFTNZDFH	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A1DDQ8U2YRB25X	com.rovio.angrybirds	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	Arcade & Action	Arcade & Action	-1
20I11K274J7906TLXCE4DUXFTNZDFH	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	APROFW08F7Z34	com.rovio.angrybirds	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	Arcade & Action	Arcade & Action	-1
20I11K274J7906TLXCE4DUXFTNZDFH	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A1VS2PFZRWWPO3	com.rovio.angrybirds	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	Arcade & Action	Arcade & Action	2
20I11K274J7906TLXCE4DUXFTNZDFH	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	AAXYYH9MI3PJM	com.rovio.angrybirds	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	Arcade & Action	Arcade & Action	-2
20I11K274J7906TLXCE4DUXFTNZDFH	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A1MLC8HETIE13W	com.rovio.angrybirds	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	Arcade & Action	Arcade & Action	-1
20I11K274J7906TLXCE4DUXFTNZDFH	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A32CMQGGTSUK6Z	com.rovio.angrybirds	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	Arcade & Action	Arcade & Action	2
20I11K274J7906TLXCE4DUXFTNZDFH	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A1JRV4XD6CG12W	com.rovio.angrybirds	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	Arcade & Action	Arcade & Action	2
20I11K274J7906TLXCE4DUXFTNZDFH	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A3C7SA7ADVLG3W	com.rovio.angrybirds	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	Arcade & Action	Arcade & Action	2
20I11K274J7906TLXCE4DUXFTNZDFH	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A1U43ACI9M84MZ	com.rovio.angrybirds	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	Arcade & Action	Arcade & Action	1
20I11K274J7906TLXCE4DUXFTNZDFH	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A18TXM6GMU1411	com.rovio.angrybirds	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	Arcade & Action	Arcade & Action	-1
20I11K274J7906TLXCE4DUXFTNZDFH	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A6IVYRP8FAIS	com.rovio.angrybirds	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	Arcade & Action	Arcade & Action	1
