	permission	purpose	packageName	count
183	READ_PHONE_STATE	INTERNAL	com.v1_4.BBA3CFAB607CAEDBB1025D6C.com	30
114	READ_PHONE_STATE	INTERNAL	com.bighand.android	30
103	READ_PHONE_STATE	INTERNAL	br.bovespa	29
356	RECORD_AUDIO	INTERNAL	fingercms.tw.com.deeplet	29
1	ACCESS_COARSE_LOCATION	TARGETED_ADS	meansoft.colorbook.musical.view	29
177	READ_PHONE_STATE	INTERNAL	com.thomson.pediatrics	29
352	RECORD_AUDIO	INTERNAL	com.bighand.android	29
16	ACCESS_FINE_LOCATION	INTERNAL	de.hyperworx.spreewald	29
39	ACCESS_FINE_LOCATION	TARGETED_ADS	ch.xot.droid_catcher	29
341	READ_PHONE_STATE	TARGETED_ADS	meansoft.colorbook.musical.view	28
165	READ_PHONE_STATE	INTERNAL	com.playtales.en.hanselygretel	28
131	READ_PHONE_STATE	INTERNAL	com.eliteextra.driver	28
11	ACCESS_FINE_LOCATION	INTERNAL	com.mobispectra.android.apps.car2enjoy	28
309	READ_PHONE_STATE	TARGETED_ADS	com.repsis.android.tapdroid	28
67	ACCESS_FINE_LOCATION	TARGETED_ADS	meansoft.colorbook.musical.view	28
316	READ_PHONE_STATE	TARGETED_ADS	com.softetic.plp.bam.demo	28
53	ACCESS_FINE_LOCATION	TARGETED_ADS	com.mobispectra.android.apps.car2enjoy	27
6	ACCESS_FINE_LOCATION	INTERNAL	com.clinkybot.geodroid0	27
15	ACCESS_FINE_LOCATION	INTERNAL	de.eos.uptrade.android.fahrinfo.salzburg	26
60	ACCESS_FINE_LOCATION	TARGETED_ADS	com.swagbuckstvmobile.views	26
7	ACCESS_FINE_LOCATION	INTERNAL	com.eliteextra.driver	26
358	RECORD_AUDIO	INTERNAL	nl.tetrakis.instantvoice2mail	25
10	ACCESS_FINE_LOCATION	INTERNAL	com.jointhearmy	25
3	ACCESS_FINE_LOCATION	INTERNAL	br.findmycarfree	25
17	ACCESS_FINE_LOCATION	INTERNAL	de.prog.frog.mekka_ad	24
21	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	com.buzztime.android.mobileplaymaker	20
147	READ_PHONE_STATE	INTERNAL	com.gridmob.android.funnycall	20
164	READ_PHONE_STATE	INTERNAL	com.pigeon.happybdaycakelite	20
163	READ_PHONE_STATE	INTERNAL	com.paladin.GunStrike	20
161	READ_PHONE_STATE	INTERNAL	com.outfit7.talkingpierrefree	20
160	READ_PHONE_STATE	INTERNAL	com.outfit7.talkinggina	20
158	READ_PHONE_STATE	INTERNAL	com.ms.coupleobserver	20
155	READ_PHONE_STATE	INTERNAL	com.mobage.ww.a692.Bahamut_Android	20
154	READ_PHONE_STATE	INTERNAL	com.mobage.ww.a448.TouchHockey_android	20
153	READ_PHONE_STATE	INTERNAL	com.menueph.entertainment.russianroulette	20
150	READ_PHONE_STATE	INTERNAL	com.jackdoit.lockbotfree	20
149	READ_PHONE_STATE	INTERNAL	com.ielfgame.ironRusher	20
146	READ_PHONE_STATE	INTERNAL	com.google.android.ytremote	20
166	READ_PHONE_STATE	INTERNAL	com.rixment.game.rocketcraze	20
145	READ_PHONE_STATE	INTERNAL	com.gamevil.cartoonwars.two.global	20
