hitid	hittypeid	workerid	packageName	permission	purpose	comfortScore
37NXA7GVST60RWD0ZA967HV9H8SVLR	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	A29VL3MZE7YPBZ	com.facebook.katana	READ_PHONE_STATE	UTILITY	-2
37NXA7GVST60RWD0ZA967HV9H8SVLR	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	A3G00Q5JV2BE5G	com.facebook.katana	READ_PHONE_STATE	UTILITY	2
37NXA7GVST60RWD0ZA967HV9H8SVLR	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	A36VA1TSX3RYED	com.facebook.katana	READ_PHONE_STATE	UTILITY	1
37NXA7GVST60RWD0ZA967HV9H8SVLR	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	A18TXM6GMU1411	com.facebook.katana	READ_PHONE_STATE	UTILITY	2
37NXA7GVST60RWD0ZA967HV9H8SVLR	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	A27PVIL93ZMY46	com.facebook.katana	READ_PHONE_STATE	UTILITY	1
37NXA7GVST60RWD0ZA967HV9H8SVLR	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	A2TF8IP4PM7KAO	com.facebook.katana	READ_PHONE_STATE	UTILITY	2
37NXA7GVST60RWD0ZA967HV9H8SVLR	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	A21753FQKCM5DQ	com.facebook.katana	READ_PHONE_STATE	UTILITY	-1
37NXA7GVST60RWD0ZA967HV9H8SVLR	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	A3G0T5Y7OSC76S	com.facebook.katana	READ_PHONE_STATE	UTILITY	-2
37NXA7GVST60RWD0ZA967HV9H8SVLR	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	A2KCG73A6QCNCW	com.facebook.katana	READ_PHONE_STATE	UTILITY	2
37NXA7GVST60RWD0ZA967HV9H8SVLR	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	A341LHR7178BUY	com.facebook.katana	READ_PHONE_STATE	UTILITY	1
37NXA7GVST60RWD0ZA967HV9H8SVLR	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	A1JTOUQAD12LQR	com.facebook.katana	READ_PHONE_STATE	UTILITY	2
37NXA7GVST60RWD0ZA967HV9H8SVLR	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	A1F63RK1PMJS5Y	com.facebook.katana	READ_PHONE_STATE	UTILITY	1
