permission	purpose	packageName	count
SEND_SMS	UTILITY	smm.refill	20
GET_ACCOUNTS	INTERNAL	com.viber.voip	20
GET_ACCOUNTS	INTERNAL	com.google.android.maps.mytracks	20
GET_ACCOUNTS	INTERNAL	com.google.android.talk	20
GET_ACCOUNTS	INTERNAL	com.halfbrick.fruitninjafree	20
GET_ACCOUNTS	INTERNAL	com.halfbrick.jetpackjoyride	20
GET_ACCOUNTS	INTERNAL	com.igg.castleclash	20
GET_ACCOUNTS	INTERNAL	com.kakao.talk	20
GET_ACCOUNTS	INTERNAL	com.popularapp.periodcalendar	20
GET_ACCOUNTS	INTERNAL	com.sgiggle.production	20
GET_ACCOUNTS	INTERNAL	com.twitter.android	20
GET_ACCOUNTS	INTERNAL	com.whatsapp	20
GET_ACCOUNTS	INTERNAL	com.google.android.apps.translate	20
GET_ACCOUNTS	INTERNAL	com.wooga.diamonddash	20
GET_ACCOUNTS	INTERNAL	com.yahoo.mobile.client.android.mail	20
GET_ACCOUNTS	INTERNAL	com.zynga.words	20
GET_ACCOUNTS	INTERNAL	org.mozilla.firefox	20
GET_ACCOUNTS	SECONDARY_MARKET	com.creativemobile.DragRacing	20
GET_ACCOUNTS	SECONDARY_MARKET	com.gau.go.launcherex.gowidget.weatherwidget	20
GET_ACCOUNTS	SECONDARY_MARKET	com.miniclip.eightballpool	20
GET_ACCOUNTS	SECONDARY_MARKET	com.teamlava.restaurantstory	20
GET_ACCOUNTS	SECONDARY_MARKET	com.zeptolab.ctr.ads	20
GET_ACCOUNTS	INTERNAL	com.google.android.googlequicksearchbox	20
GET_ACCOUNTS	INTERNAL	com.google.android.apps.plus	20
READ_PHONE_STATE	INTERNAL	com.antivirus	20
CAMERA	INTERNAL	com.whatsapp	20
CAMERA	INTERNAL	com.bbm	20
CAMERA	INTERNAL	com.ebay.mobile	20
CAMERA	INTERNAL	com.evernote	20
CAMERA	INTERNAL	com.google.android.apps.docs	20
CAMERA	INTERNAL	com.google.android.apps.translate	20
CAMERA	INTERNAL	com.google.android.talk	20
CAMERA	INTERNAL	com.qihoo.security	20
CAMERA	INTERNAL	com.tencent.mm	20
CAMERA	INTERNAL	com.vkontakte.android	20
CAMERA	INTERNAL	org.mozilla.firefox	20
GET_ACCOUNTS	INTERNAL	com.facebook.orca	20
CAMERA	SOCIAL_GAMING	com.aidigame.xcity	20
CAMERA	SOCIAL_GAMING	com.loloworks.llzbs	20
GET_ACCOUNTS	INTERNAL	com.antivirus	20
GET_ACCOUNTS	INTERNAL	com.avast.android.mobilesecurity	20
GET_ACCOUNTS	INTERNAL	com.badoo.mobile	20
GET_ACCOUNTS	INTERNAL	com.bbm	20
GET_ACCOUNTS	INTERNAL	com.dianxinos.dxbs	20
GET_ACCOUNTS	INTERNAL	com.evernote	20
