hitid	hittypeid	packageName	permission	purpose	comfortScore
3TD33TP5DL24MZOQX2TGXRLRP8SBAB	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	bubbleshooter.android	ACCESS_FINE_LOCATION	SOCIAL_GAMING	-0.95
3XBYQ44Z6P41PYLAYTGTFAO4NYPWTR	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	cn.otlive.games.android.CashOut	SEND_SMS	GAME_ENGINE	-1.2
3TY2U1TEB7AL5BP6F0JAOE7NN0PJJE	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	cn.otlive.games.android.CashOut_Pad	SEND_SMS	GAME_ENGINE	-1.3
3O71U79SRBP45MEH5R5GW7QRND3MS7	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.GnarlyGames.GnarBikeTrials	ACCESS_COARSE_LOCATION	PAYMENT	-0.8947368421052632
3Y7LTZE0YTMKJ6549LQAJA4OJPHZUA	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.NextFloor.DragonFlightKakao	READ_PHONE_STATE	INTERNAL	-0.65
3LAZVA75NIRZ0QIVOS5NXT2SKJK2O0	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.SnowfallLiveWallpapers	ACCESS_FINE_LOCATION	SOCIAL_GAMING	-0.8947368421052632
30U1YOGZGAW11S84SY6DDH3XAAMSDO	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.UCMobile.intl	CAMERA	INTERNAL	1.25
39HYCOOPKOLY3XVZ81AR184RH9XDM1	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.UCMobile.intl	ACCESS_COARSE_LOCATION	SNS	0.4
3P7QK0GJ3TLBZUW2Q1G4DR9W0YY2ZV	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.UCMobile.intl	ACCESS_FINE_LOCATION	INTERNAL	-0.25
3SCKNODZ0XGO46FPTPM5EVJV0O3N7H	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.UCMobile.intl	READ_PHONE_STATE	SNS	0.25
3VCK0Q0PO5EAMVF58Q1WZG98TM60NS	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.UCMobile.intl	READ_PHONE_STATE	INTERNAL	-0.3
3VGZ74AYTGGO6VTZX2HL4X2C0N9GCW	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.UCMobile.intl	ACCESS_FINE_LOCATION	SNS	0.45
3VW0145YLYCB6JVRIXW246Z4N51MJK	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.UCMobile.intl	RECORD_AUDIO	INTERNAL	1.05
3W0KKJIARR9RWEZ56HMV03YMIPD8KI	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.UCMobile.intl	ACCESS_COARSE_LOCATION	INTERNAL	0.15
309D674SHZLSFELOHGP73MBFPBDBCD	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.acmdvp.myconverter	ACCESS_FINE_LOCATION	SECONDARY_MARKET	-0.65
3BFF0DJK8XC8IH41EO6SILLJHLTTS9	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.aidigame.xcity	RECORD_AUDIO	SOCIAL_GAMING	0.3
3LAZVA75NIRZ0QIVOS5NXT2SKJDO2F	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.aidigame.xcity	CAMERA	SOCIAL_GAMING	0.0
3LEG2HW4UFN5UD52PPMXAZTESITF2R	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.aidigame.xcity	ACCESS_FINE_LOCATION	SOCIAL_GAMING	-0.4
302OLP89DZ7NW4GWB2PB8BR97TNCAE	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.amazon.kindle	AUTHENTICATE_ACCOUNTS	UTILITY	0.4375
3ZTE0JGGCESCY8AXLLUT96BEWAXCOJ	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.amazon.kindle	MANAGE_ACCOUNTS	UTILITY	0.6428571428571429
3A3KKYU7P3HXC3VQPWFHTWTCTQUMWH	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.amazon.mp3	AUTHENTICATE_ACCOUNTS	UTILITY	0.26666666666666666
3D1UCPY6GG9L0GRYLBUWJHHK73R837	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.android.chrome	ACCESS_FINE_LOCATION	INTERNAL	-0.2
3L55D8AUFAXOSMEZR83RBX9G6V7CYN	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.android.chrome	MANAGE_ACCOUNTS	INTERNAL	1.3
3K8CQCU3KE13ULGQ1XUH6BICYG3WNQ	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.animocacollective.google.superstarFashionGirl	CAMERA	GAME_ENGINE	0.5263157894736842
32204AGAABCFN34FJUVMFOZSERLHG2	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.antivirus	BLUETOOTH	INTERNAL	0.75
3R5OYNIC2C9B5PO9M72YNGG8QC3PTO	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.antivirus	ACCESS_FINE_LOCATION	INTERNAL	0.95
3S4TINXCC0NTO3IR7LYYYM5WA07BO3	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.antivirus	SEND_SMS	INTERNAL	-0.8
3S829FDFT219X9U3M8C0CPKPPPODXH	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.antivirus	ACCESS_COARSE_LOCATION	INTERNAL	0.9
3UEDKCTP9VQNW0UMWCUPM32R756K76	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.antivirus	READ_CONTACTS	INTERNAL	0.2
3VADEH0UHCXAQPBUX7X8DBKMOTPPSZ	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.antivirus	CAMERA	INTERNAL	1.6
3W0KKJIARR9RWEZ56HMV03YMIPCK8T	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.antivirus	GET_ACCOUNTS	INTERNAL	0.95
3X52SWXE0X5K3HJZC7L3Q0O0VN7CWO	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.antivirus	READ_PHONE_STATE	INTERNAL	0.35
373L46LKP76GGVVOXLJMPT702PPJKD	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.aurum.google.aliceOfHeart	BLUETOOTH	GAME_ENGINE	1.15
3G4VVJO6PZGC26YMSYO6MPTC7ZDKPE	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.avast.android.mobilesecurity	READ_PHONE_STATE	INTERNAL	0.0
3GS542CVJVNOS0XC4MO3YAAF55Z95M	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.avast.android.mobilesecurity	READ_CONTACTS	INTERNAL	1.0
3JUDR1D0D6R2L2VB35XRMYXSVVCQ2O	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.avast.android.mobilesecurity	GET_ACCOUNTS	INTERNAL	0.5
3RIHDBQ1NEYFFD01UXTHSTJPADXHMA	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.avast.android.mobilesecurity	SEND_SMS	INTERNAL	0.25
3S8APUMBJXJZIQ5Y8IF8BSWII7YBFF	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.avast.android.mobilesecurity	READ_CONTACTS	UTILITY	-0.25
33CLA8O0MIBMYXMN4F1YB71M0LKFRZ	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.badoo.mobile	SEND_SMS	INTERNAL	-0.1
33IXYHIZB5IDOZ56UE2RSH8ECSOE20	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.badoo.mobile	ACCESS_FINE_LOCATION	INTERNAL	0.25
33K3E8REWWVXGEYC501KQX6OE69X8T	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.badoo.mobile	READ_PHONE_STATE	PAYMENT	0.25
34O39PNDK68WLGA7ZDF2SHA1LNRBRC	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.badoo.mobile	READ_CONTACTS	INTERNAL	-0.35
3DW3BNF1GHI5CPTH5L022C93YNJ8V3	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.badoo.mobile	GET_ACCOUNTS	INTERNAL	0.85
3HFWPF5AK9J3J067Z90108HLJXXS3Q	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.badoo.mobile	READ_PHONE_STATE	INTERNAL	-0.05
3O0M2G5VC626WHTCQH5TTI415HN49B	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.badoo.mobile	READ_PHONE_STATE	MOBILE_ANALYTICS	-0.5
3P6ENY9P79WTJUAA9IVP00C8TCWHIT	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.badoo.mobile	SEND_SMS	PAYMENT	0.0
3UAU495MIIS8K2RX7CFT3CXKZTWOUV	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.badoo.mobile	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	-0.15
3UL5XDRDNCJOEVE2ZUIPYEF4LZI85X	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.badoo.mobile	CAMERA	INTERNAL	1.05
3XQ4XW3OD9CEYIAOV9MWHYCTDJXS2F	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.badoo.mobile	ACCESS_COARSE_LOCATION	INTERNAL	0.5
3HRWUH63QU29H2165W78GB5ZAUH5NI	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.bbm	ACCESS_FINE_LOCATION	INTERNAL	0.4
3OCZWXS7ZO7JT2YLTJRT3J1A5ZH5LG	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.bbm	RECORD_AUDIO	INTERNAL	1.25
3SBX2M1TKDNCOGAY7JGFFDUQF98Q4K	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.bbm	READ_CONTACTS	INTERNAL	0.85
3UUSLRKAUL3FIUOC4V82IQ71NWAD7N	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.bbm	CAMERA	INTERNAL	1.5
3ZG552ORAM4UQARSP4R1SLW0CNS2VV	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.bbm	AUTHENTICATE_ACCOUNTS	INTERNAL	0.6
3ZUE82NE0A1GGS7R56VYKQ6HATW8FG	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.bbm	GET_ACCOUNTS	INTERNAL	1.0
3MZ3TAMYTLN68OOD5N7JE4EEGLTRIZ	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.bestcoolfungames.antsmasher	RECORD_AUDIO	TARGETED_ADS	-1.35
3WYZV0QBFJDGICWJ8CLUHZWPMCUXBS	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.bestcoolfungames.antsmasher	ACCESS_FINE_LOCATION	TARGETED_ADS	-0.8
3KI0JD2ZU1IGXL9XU80OCKX9AZ676Q	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.c4mprod.ezcodescanner	CAMERA	GAME_ENGINE	0.8
32204AGAABCFN34FJUVMFOZSIG5HG4	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.catstudio.zuma1	RECORD_AUDIO	GAME_ENGINE	-0.3
3G4VVJO6PZGC26YMSYO6MPTCBOWPKK	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.cento.gates.main	ACCESS_FINE_LOCATION	SOCIAL_GAMING	-0.45
3SCKNODZ0XGO46FPTPM5EVJV10C7NZ	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.cleanmaster.mguard	READ_PHONE_STATE	INTERNAL	-0.4
33KGGVH24UHF5EER6FS5BNJGZGDX1E	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.creativemobile.DragRacing	GET_ACCOUNTS	SECONDARY_MARKET	-0.65
341YLJU21IZP447SQXSIDW6639O2I1	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.creativemobile.DragRacing	READ_PHONE_STATE	PAYMENT	-0.45
39XCQ6V3KY41AHVE6FLRE0JDESK56B	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.creativemobile.DragRacing	READ_PHONE_STATE	MOBILE_ANALYTICS	-0.8
3GL25Y6843UC130GZ1B3VF7JXR8MXB	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.creativemobile.DragRacing	READ_PHONE_STATE	SECONDARY_MARKET	-0.45
3IKMEYR0LWVGAZXGQ0DUQCLJWPKK2Q	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.creativemobile.DragRacing	READ_PHONE_STATE	INTERNAL	-0.45
3K8CQCU3KE13ULGQ1XUH6BICTFBWNR	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.creativemobile.DragRacing	READ_PHONE_STATE	TARGETED_ADS	-0.85
3R5OYNIC2C9B5PO9M72YNGG8U1MTPT	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.creativemobile.dragracingbe	READ_PHONE_STATE	PAYMENT	0.0
3URJ6VVYUPN934XIS6OBQ8ZQ4X9O4B	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.ddmap.android.privilege	MANAGE_ACCOUNTS	SNS	-0.65
338431Z1FLFG4AZG3IKOY1A0SMAROW	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.devuni.flashlight	CAMERA	INTERNAL	1.7894736842105263
34R0BODSP1Z5NWOTCX4PQOBQW2G5ET	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.dianxinos.dxbs	GET_ACCOUNTS	INTERNAL	-0.4
3I7SHAD35MWIMOUPHO751GUVWA1M7D	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.dianxinos.dxbs	BLUETOOTH	INTERNAL	0.4
3PEG1BH7AERAYCXC9T65R5ONQVXKBS	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.dianxinos.dxbs	READ_PHONE_STATE	INTERNAL	0.65
366FYU4PTGP85F9WJK8VSDU8XHUKEU	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.digitalchocolate.androiddistrictpa	READ_CONTACTS	SNS	-0.55
31SIZS5W59FJPMCWIVCSN6506BKRQ7	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.dragonplay.liveholdempro	READ_PHONE_STATE	TARGETED_ADS	-0.6
37ZQELHEQ0Y7P9MCXVOUXDGLWXOMNM	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.easy.battery.saver	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	-0.9
3CZH926SICENRDKTYSLFLW5CW6KE4W	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.easy.battery.saver	BLUETOOTH	INTERNAL	0.25
3OJX0UFJ0Z75DFNR5NWB6M2V4UAU9N	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.easy.battery.saver	READ_PHONE_STATE	MOBILE_ANALYTICS	-0.55
3XUSYT70IT110JOSJWNT3BXEFI40DA	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.easy.battery.saver	READ_PHONE_STATE	INTERNAL	-0.15
32W3UF2EZOL8UF0F21FKV859BU7C41	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.ebay.mobile	ACCESS_FINE_LOCATION	INTERNAL	0.3
37ZQELHEQ0Y7P9MCXVOUXDGLWP7NMQ	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.ebay.mobile	CAMERA	INTERNAL	1.2
3ZQA3IO31BRSB50Z5O59SASNSDZO1Y	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.electricsheep.edj	ACCESS_COARSE_LOCATION	SOCIAL_GAMING	-0.35
3Z33IC0JC0M5QUCRAD6G284EMIL9VV	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.elijahsh.birthdayreminder	AUTHENTICATE_ACCOUNTS	SNS	-0.4
32PT7WK7DMFXHBNP2J5C59VLIUOD3I	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.evernote	CAMERA	INTERNAL	1.3
33K3E8REWWVXGEYC501KQX6OEYR8X6	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.evernote	MANAGE_ACCOUNTS	INTERNAL	0.85
356TQKY9XFX31ZSLNNXMWYT0C5D87C	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.evernote	GET_ACCOUNTS	INTERNAL	0.95
37S0QRNUFBG71DX4XSPSAYPVNPJ88Z	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.evernote	AUTHENTICATE_ACCOUNTS	INTERNAL	0.6
3DGDV62G7O9HLQUW3SI2MT7IQZR2PA	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.evernote	READ_PHONE_STATE	INTERNAL	-0.2
3KL228NDMVM6PT5NPFYJSGFK68PKG9	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.evernote	RECORD_AUDIO	INTERNAL	1.15
3P4ZBJFX2V3R6T3939B4Y693S0ZFW2	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.evernote	READ_CONTACTS	INTERNAL	0.1
3QI9WAYOGQB2GJTPIBYZ7BT5TOZS6W	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.evernote	ACCESS_FINE_LOCATION	INTERNAL	0.25
34F34TZU7WZLZFRY8FDIPXL6H0N2JC	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.facebook.katana	MANAGE_ACCOUNTS	INTERNAL	1.15
37NXA7GVST60RWD0ZA967HV9H8SVLR	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.facebook.katana	READ_PHONE_STATE	UTILITY	0.65
3E9ZFLPWOYSQ5KAPEMDB3M02HUZIXR	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.facebook.katana	AUTHENTICATE_ACCOUNTS	INTERNAL	0.85
3NKW03WTLM7OXITIHPMYA5DHZ2AQW9	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.facebook.katana	GET_ACCOUNTS	INTERNAL	1.2
3Q9SPIIRWJMWA2M1STPCK5YCVKOAWM	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.facebook.katana	READ_CONTACTS	INTERNAL	0.85
3S4TINXCC0NTO3IR7LYYYM5WA0AOBJ	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.facebook.katana	ACCESS_FINE_LOCATION	INTERNAL	0.65
3VAOOVPI3ZSXVR16L670K8X7RPJLLM	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.facebook.katana	READ_PHONE_STATE	INTERNAL	0.2
33QQ60S6ASINHLZE5RDIDB120390UZ	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.facebook.orca	READ_PHONE_STATE	UTILITY	0.8421052631578947
3BS6ERDL937WEUA7LL3ACC75SLP6DG	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.facebook.orca	RECORD_AUDIO	INTERNAL	1.1
3G57RS03HH5DSGCDJD9OON21ZZQ52R	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.facebook.orca	CAMERA	INTERNAL	1.3157894736842106
3L1EFR8WWT5GUXQ1AY1CKM1SUZEF9C	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.facebook.orca	READ_PHONE_STATE	INTERNAL	-0.05263157894736842
3ULIZ0H1VA563VUH099AJ4SW7TC51A	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.facebook.orca	READ_CONTACTS	INTERNAL	0.5
3W0KKJIARR9RWEZ56HMV03YMIPC8KH	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.facebook.orca	ACCESS_FINE_LOCATION	INTERNAL	0.05
3YD0MU1NC21HKNL0KLH0SPZV2TDA7I	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.facebook.orca	GET_ACCOUNTS	INTERNAL	0.95
3WRBLBQ2GR84C3YJLMO19W0BRYAG01	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.fingersoft.hillclimb	READ_PHONE_STATE	MOBILE_ANALYTICS	-0.8
3OND0WXMHWFH3P8ODZ5YFLEG50QHEN	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.fitbit.FitbitMobile	BLUETOOTH	MOBILE_ANALYTICS	0.95
3B9J25CZ25DRW02QS2B2TBLFPAASCO	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.forshared	READ_PHONE_STATE	INTERNAL	-0.5
3TKXBROM5TAPA050XIYACDSN5K9IJ3	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.forshared	READ_PHONE_STATE	TARGETED_ADS	-0.9411764705882353
359AP8GAGGK5D2IY4ZDRYKPJ6LHC7N	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.fruit.shooter.blast	READ_CONTACTS	SECONDARY_MARKET	-1.3
3KTCJ4SCVG14B2FNS8QW063IXDL1MX	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.fruit.shooter.legend	READ_CONTACTS	SECONDARY_MARKET	-1.3
3XDSWAMB22SFJKND0YMXYB6EBBFCQR	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.gamebasics.osm	SEND_SMS	PAYMENT	-0.5
3VLL1PIENQOP61L7DZE1K4CZ0O2ZOB	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.gameloft.android.ANMP.GloftDMHM	READ_PHONE_STATE	TARGETED_ADS	-0.8
3XT3KXP24ZYDM5QTDZ4L39NIKQX6II	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.gameloft.android.ANMP.GloftDMHM	READ_PHONE_STATE	INTERNAL	-0.6
3CIS7GGG65JM8BE8DYCXY036VJ8UEZ	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.gameloft.android.ANMP.GloftIAHM	READ_PHONE_STATE	INTERNAL	-0.3157894736842105
3TX9T2ZCB91XBAU94L5B1YPL3TKZWC	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.gameloft.android.ANMP.GloftIAHM	READ_PHONE_STATE	MOBILE_ANALYTICS	-0.75
3ZFRE2BDQ9EC0AZZEQ1X3H3SCVQZX5	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.gameloft.android.ANMP.GloftIAHM	READ_PHONE_STATE	TARGETED_ADS	-0.7
366FYU4PTGP85F9WJK8VSDU8XHUEKO	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.gamestop.powerup	READ_CONTACTS	DEVELOPMENT_AID	-1.2941176470588236
37VHPF5VYC39DGNHE45XCKLEH5NC8A	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.gamestop.powerup	CAMERA	DEVELOPMENT_AID	0.9444444444444444
3QGTX7BCHP23YRFP8KI2BYC8OX7Z5T	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.gamestop.powerup	ACCESS_FINE_LOCATION	DEVELOPMENT_AID	0.9375
309D674SHZLSFELOHGP73MBFLMOBC6	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.gau.go.launcherex	READ_CONTACTS	INTERNAL	0.4
31J7RYECZLQK5KX2SWPH0TOTX8V1LV	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.gau.go.launcherex.gowidget.weatherwidget	GET_ACCOUNTS	SECONDARY_MARKET	-0.6
35F6NGNVM8JMZJK9QL8HNUPNU7N7T7	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.gau.go.launcherex.gowidget.weatherwidget	READ_PHONE_STATE	SECONDARY_MARKET	-0.7368421052631579
3566S7OX5DJLQZ80O2O7HO6S2OQ71S	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.genina.android.blackjack.view	READ_PHONE_STATE	GAME_ENGINE	-1.05
3XJOUITW8URW51POMKHNNL6IZX8TQK	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.glu.android.ck	READ_PHONE_STATE	PAYMENT	-0.15
3IZPORCT1F96CTDTZ5PYESDZG0WHRY	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.google.android.apps.books	GET_ACCOUNTS	INTERNAL	0.9285714285714286
37ZQELHEQ0Y7P9MCXVOUXDGLWP6MNO	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.google.android.apps.docs	GET_ACCOUNTS	INTERNAL	1.4210526315789473
391JB9X4ZY86H3190IWE5LZH2U1MKJ	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.google.android.apps.docs	CAMERA	INTERNAL	1.25
3M7OI89LVYOM924TLP8ZS6PN7LDC6M	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.google.android.apps.docs	READ_CONTACTS	INTERNAL	0.4
3JHB4BPSFK9DLMGAOEC6WL5611NQ9H	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.google.android.apps.googlevoice	READ_CONTACTS	INTERNAL	1.3157894736842106
3OID399FXG7SXN3IME6E6IKILKTDFR	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.google.android.apps.googlevoice	READ_PHONE_STATE	INTERNAL	1.05
3UYRNV2KITZS4KK83UEBSVFQCKI8NN	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.google.android.apps.googlevoice	SEND_SMS	INTERNAL	1.7
3ZLW647WALVAE1P95ULV9Q4HL3Z32Z	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.google.android.apps.googlevoice	GET_ACCOUNTS	INTERNAL	1.105263157894737
3FI30CQHVKJ3ZXCN7PC4HMJ5P0DB6E	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.google.android.apps.maps	GET_ACCOUNTS	INTERNAL	1.1578947368421053
3K1H3NEY7LZYBNZDXYCWO3KUMZSDGP	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.google.android.apps.maps	READ_CONTACTS	INTERNAL	0.3157894736842105
3NSCTNUR2ZN2XJ7HWS23U5LZBNIA53	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.google.android.apps.maps	ACCESS_FINE_LOCATION	INTERNAL	1.263157894736842
3W3RSPVVGSR0EHO0UKZ1BVTQ4G9LUD	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.google.android.apps.maps	MANAGE_ACCOUNTS	INTERNAL	1.2105263157894737
3B623HUYJ4QPKXCDBQVXRPPWZJPS8I	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.google.android.apps.plus	READ_PHONE_STATE	INTERNAL	0.5
3TZDZ3Y0JS6P4IWT3ZMRVKXYTPU914	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.google.android.apps.plus	ACCESS_FINE_LOCATION	INTERNAL	0.25
