hitid	hittypeid	packageName	permission	purpose	comfortScore
24XSVGULF3958C32C56SANYN0LTAOY	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	air.couk.hamzagames.ultimatesmasher	READ_PHONE_STATE	TARGETED_ADS	-0.05263157894736842
20ZSTLB3L0FBZPF37N5JYEVEM1LJVQ	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	amep.games.af_final	READ_PHONE_STATE	TARGETED_ADS	-0.21052631578947367
2TEYB49F9SSSXDYGFSES05H5WIFRVQ	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	amep.games.af_final	READ_PHONE_STATE	INTERNAL	0.95
2J1ENLVWJ5OPRGVAC3ZYTWB7VZ61TP	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	ar.com.ps3argentina.trophies	GET_ACCOUNTS	INTERNAL	1.6428571428571428
27IONNVRH1KH4PBVNFY6UV9L163XOQ	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	atticlab.ScaryMazedGame	READ_PHONE_STATE	TARGETED_ADS	0.5
2ADOK5UFJ51YN6B3VJPQZ1CSAWL7A7	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	atticlab.whip	READ_PHONE_STATE	TARGETED_ADS	-0.3
2CZVKCJ011K2NKGM5OHWD18NK0V8A2	2LBXKO2L92HESC7LT7POJCF0CVLFEJ	au.com.nab.mobile	ACCESS_FINE_LOCATION	INTERNAL	-0.1
2IJK274J79KQCMYNJ8XU4FCDKZXFH0	2LBXKO2L92HESC7LT7POJCF0CVLFEJ	au.com.nab.mobile	READ_PHONE_STATE	INTERNAL	-0.5789473684210527
2Y9RLFQ0ONNV7XYZDS0ENRB7NXSSJV	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	bnw.project.wallpaper.buddycons	READ_PHONE_STATE	INTERNAL	0.3
241KM05BMJTUXETHCXG9YA7SLQWJE1	2LBXKO2L92HESC7LT7POJCF0CVLFEJ	br.bovespa	READ_PHONE_STATE	INTERNAL	-0.034482758620689655
2TFKNQY2RCJKMJWAA78R7KUIR05S3I	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	br.com.jera.vikings	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	-0.3
2TYJ2D21O3W5DXXYLTJI9KYE6VP8EQ	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	br.com.jera.vikings	READ_PHONE_STATE	TARGETED_ADS	0.0
2VUWA6X3YOCCVG941OOP0INIZ7TOPS	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	br.com.jera.vikings	READ_PHONE_STATE	INTERNAL	0.6
2HY5R98D8J3VUNT7OXEYJG3MSEJVFH	2LBXKO2L92HESC7LT7POJCF0CVLFEJ	br.findmycarfree	ACCESS_FINE_LOCATION	INTERNAL	1.4
3TD33TP5DL24MZOQX2TGXRLRP8SBAB	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	bubbleshooter.android	ACCESS_FINE_LOCATION	SOCIAL_GAMING	-0.95
28J4IXKO2L92XU9B6AO35OCCWA8DC7	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	by.istin.android.kinobaza	READ_PHONE_STATE	INTERNAL	0.3
2IANQQ7Q6705H6HRJVS20QC1DGRVBZ	2LBXKO2L92HESC7LT7POJCF0CVLFEJ	ch.xot.droid_catcher	ACCESS_FINE_LOCATION	TARGETED_ADS	-0.6896551724137931
3XBYQ44Z6P41PYLAYTGTFAO4NYPWTR	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	cn.otlive.games.android.CashOut	SEND_SMS	GAME_ENGINE	-1.2
3TY2U1TEB7AL5BP6F0JAOE7NN0PJJE	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	cn.otlive.games.android.CashOut_Pad	SEND_SMS	GAME_ENGINE	-1.3
215QY2RCJK63FBBIDVRK1IAQQTGU5P	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.Ama.PanicFlightFree	READ_PHONE_STATE	MOBILE_ANALYTICS	-0.125
27D66RLPHIT3XBTPRO969NJQJB48G7	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.Ama.PanicFlightFree	ACCESS_FINE_LOCATION	SOCIAL_GAMING	0.21052631578947367
2F8S1CSTMOFX7TPJEGSE5DNX0PHORK	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.Ama.PanicFlightFree	READ_PHONE_STATE	INTERNAL	0.4117647058823529
2VACWY2AOO2G22BVKS7QZCM6ZK7332	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.Ama.PanicFlightFree	READ_PHONE_STATE	TARGETED_ADS	0.23529411764705882
2VYDHDM25L8IP3WB2L5ZDOE4763PF8	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.Ama.PanicFlightFree	GET_ACCOUNTS	INTERNAL	0.47058823529411764
2YDWAVKI62NJ6IYMY309XH6B1V7RJ4	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.Ama.PanicFlightFree	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	-0.05
2DKGTP9RA7S5C2YL52JOM70J3RGWR4	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.Conquer3.Kingdoms.game.good.haha	READ_PHONE_STATE	TARGETED_ADS	-0.4
2OMJ79KQW6183K39TJ3DB5XCV3JJL7	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.Conquer3.Kingdoms.game.good.haha	GET_ACCOUNTS	INTERNAL	0.5
2P0UB2YU98JH89IQZPRFIJ9I5LFMAW	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.Conquer3.Kingdoms.game.good.haha	READ_PHONE_STATE	INTERNAL	0.3333333333333333
3O71U79SRBP45MEH5R5GW7QRND3MS7	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.GnarlyGames.GnarBikeTrials	ACCESS_COARSE_LOCATION	PAYMENT	-0.8947368421052632
2LW6AUBXHWSHNVIO5Z2Z3DRLEF63ZZ	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.HBO	READ_PHONE_STATE	INTERNAL	1.15
3Y7LTZE0YTMKJ6549LQAJA4OJPHZUA	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.NextFloor.DragonFlightKakao	READ_PHONE_STATE	INTERNAL	-0.65
3LAZVA75NIRZ0QIVOS5NXT2SKJK2O0	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.SnowfallLiveWallpapers	ACCESS_FINE_LOCATION	SOCIAL_GAMING	-0.8947368421052632
30U1YOGZGAW11S84SY6DDH3XAAMSDO	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.UCMobile.intl	CAMERA	INTERNAL	1.25
39HYCOOPKOLY3XVZ81AR184RH9XDM1	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.UCMobile.intl	ACCESS_COARSE_LOCATION	SNS	0.4
3P7QK0GJ3TLBZUW2Q1G4DR9W0YY2ZV	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.UCMobile.intl	ACCESS_FINE_LOCATION	INTERNAL	-0.25
3SCKNODZ0XGO46FPTPM5EVJV0O3N7H	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.UCMobile.intl	READ_PHONE_STATE	SNS	0.25
3VCK0Q0PO5EAMVF58Q1WZG98TM60NS	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.UCMobile.intl	READ_PHONE_STATE	INTERNAL	-0.3
3VGZ74AYTGGO6VTZX2HL4X2C0N9GCW	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.UCMobile.intl	ACCESS_FINE_LOCATION	SNS	0.45
3VW0145YLYCB6JVRIXW246Z4N51MJK	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.UCMobile.intl	RECORD_AUDIO	INTERNAL	1.05
3W0KKJIARR9RWEZ56HMV03YMIPD8KI	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.UCMobile.intl	ACCESS_COARSE_LOCATION	INTERNAL	0.15
309D674SHZLSFELOHGP73MBFPBDBCD	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.acmdvp.myconverter	ACCESS_FINE_LOCATION	SECONDARY_MARKET	-0.65
3BFF0DJK8XC8IH41EO6SILLJHLTTS9	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.aidigame.xcity	RECORD_AUDIO	SOCIAL_GAMING	0.3
3LAZVA75NIRZ0QIVOS5NXT2SKJDO2F	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.aidigame.xcity	CAMERA	SOCIAL_GAMING	0.0
3LEG2HW4UFN5UD52PPMXAZTESITF2R	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.aidigame.xcity	ACCESS_FINE_LOCATION	SOCIAL_GAMING	-0.4
