permission	purpose	packageName	count
READ_PHONE_STATE	INTERNAL	com.bighand.android	30
RECORD_AUDIO	INTERNAL	fingercms.tw.com.deeplet	29
RECORD_AUDIO	INTERNAL	com.bighand.android	29
READ_PHONE_STATE	INTERNAL	br.bovespa	29
ACCESS_FINE_LOCATION	TARGETED_ADS	ch.xot.droid_catcher	29
ACCESS_COARSE_LOCATION	TARGETED_ADS	meansoft.colorbook.musical.view	29
READ_PHONE_STATE	INTERNAL	com.thomson.pediatrics	29
ACCESS_FINE_LOCATION	INTERNAL	de.hyperworx.spreewald	29
READ_PHONE_STATE	TARGETED_ADS	meansoft.colorbook.musical.view	28
ACCESS_FINE_LOCATION	INTERNAL	com.mobispectra.android.apps.car2enjoy	28
ACCESS_FINE_LOCATION	TARGETED_ADS	meansoft.colorbook.musical.view	28
READ_PHONE_STATE	INTERNAL	com.playtales.en.hanselygretel	28
READ_PHONE_STATE	TARGETED_ADS	com.repsis.android.tapdroid	28
ACCESS_FINE_LOCATION	TARGETED_ADS	com.mobispectra.android.apps.car2enjoy	27
ACCESS_FINE_LOCATION	INTERNAL	com.clinkybot.geodroid0	27
ACCESS_FINE_LOCATION	TARGETED_ADS	com.swagbuckstvmobile.views	26
ACCESS_FINE_LOCATION	INTERNAL	de.eos.uptrade.android.fahrinfo.salzburg	26
ACCESS_FINE_LOCATION	INTERNAL	br.findmycarfree	25
RECORD_AUDIO	INTERNAL	nl.tetrakis.instantvoice2mail	25
ACCESS_FINE_LOCATION	INTERNAL	com.jointhearmy	25
ACCESS_FINE_LOCATION	INTERNAL	de.prog.frog.mekka_ad	24
ACCESS_FINE_LOCATION	INTERNAL	com.eliteextra.driver	23
READ_PHONE_STATE	INTERNAL	com.eliteextra.driver	21
READ_PHONE_STATE	GAME_ENGINE	com.outfit7.mytalkingtomfree	20
READ_PHONE_STATE	INTERNAL	bnw.project.wallpaper.buddycons	20
READ_PHONE_STATE	INTERNAL	amep.games.af_final	20
READ_PHONE_STATE	INTERNAL	com.creativemobile.DragRacing	20
READ_PHONE_STATE	INTERNAL	com.cleanmaster.mguard	20
READ_PHONE_STATE	GAME_ENGINE	com.kiloo.subwaysurf	20
READ_PHONE_STATE	INTERNAL	com.badoo.mobile	20
READ_CONTACTS	UTILITY	com.avast.android.mobilesecurity	20
READ_PHONE_STATE	GAME_ENGINE	com.imangi.templerun2	20
READ_PHONE_STATE	INTERNAL	com.avast.android.mobilesecurity	20
