packageName	permission	purpose	comfortScore
air.couk.hamzagames.ultimatesmasher	READ_PHONE_STATE	TARGETED_ADS	-0.05263157894736842
amep.games.af_final	READ_PHONE_STATE	INTERNAL	0.95
amep.games.af_final	READ_PHONE_STATE	TARGETED_ADS	-0.21052631578947367
ar.com.ps3argentina.trophies	ACCOUNTS	INTERNAL	1.2105263157894737
atticlab.ScaryMazedGame	READ_PHONE_STATE	TARGETED_ADS	-0.25
atticlab.whip	READ_PHONE_STATE	TARGETED_ADS	-0.3
au.com.nab.mobile	ACCESS_FINE_LOCATION	INTERNAL	-0.1
au.com.nab.mobile	READ_PHONE_STATE	INTERNAL	-0.5789473684210527
bnw.project.wallpaper.buddycons	READ_PHONE_STATE	INTERNAL	0.3
br.bovespa	READ_PHONE_STATE	INTERNAL	-0.034482758620689655
br.com.jera.vikings	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	-0.3
br.com.jera.vikings	READ_PHONE_STATE	INTERNAL	0.6
br.com.jera.vikings	READ_PHONE_STATE	TARGETED_ADS	0.0
br.findmycarfree	ACCESS_FINE_LOCATION	INTERNAL	1.4
bubbleshooter.android	ACCESS_FINE_LOCATION	SOCIAL_GAMING	-0.95
by.istin.android.kinobaza	READ_PHONE_STATE	INTERNAL	0.3
ch.xot.droid_catcher	ACCESS_FINE_LOCATION	TARGETED_ADS	-0.6896551724137931
cn.otlive.games.android.CashOut	SEND_SMS	GAME_ENGINE	-1.2
cn.otlive.games.android.CashOut_Pad	SEND_SMS	GAME_ENGINE	-1.3
com.Ama.PanicFlightFree	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	-0.05
com.Ama.PanicFlightFree	ACCESS_FINE_LOCATION	SOCIAL_GAMING	0.21052631578947367
com.Ama.PanicFlightFree	ACCOUNTS	INTERNAL	0.47058823529411764
com.Ama.PanicFlightFree	READ_PHONE_STATE	INTERNAL	0.4117647058823529
com.Ama.PanicFlightFree	READ_PHONE_STATE	MOBILE_ANALYTICS	-0.125
com.Ama.PanicFlightFree	READ_PHONE_STATE	TARGETED_ADS	0.23529411764705882
com.Conquer3.Kingdoms.game.good.haha	ACCOUNTS	INTERNAL	0.5
com.Conquer3.Kingdoms.game.good.haha	READ_PHONE_STATE	INTERNAL	0.3333333333333333
com.Conquer3.Kingdoms.game.good.haha	READ_PHONE_STATE	TARGETED_ADS	-0.4
com.GnarlyGames.GnarBikeTrials	ACCESS_COARSE_LOCATION	PAYMENT	-0.8947368421052632
com.HBO	READ_PHONE_STATE	INTERNAL	1.15
com.NextFloor.DragonFlightKakao	READ_PHONE_STATE	INTERNAL	-0.65
com.SnowfallLiveWallpapers	ACCESS_FINE_LOCATION	SOCIAL_GAMING	-0.8947368421052632
com.UCMobile.intl	ACCESS_COARSE_LOCATION	INTERNAL	0.15
com.UCMobile.intl	ACCESS_COARSE_LOCATION	SNS	0.4
com.UCMobile.intl	ACCESS_FINE_LOCATION	INTERNAL	-0.25
com.UCMobile.intl	ACCESS_FINE_LOCATION	SNS	0.45
com.UCMobile.intl	CAMERA	INTERNAL	1.25
com.UCMobile.intl	READ_PHONE_STATE	INTERNAL	-0.3
com.UCMobile.intl	READ_PHONE_STATE	SNS	0.25
com.UCMobile.intl	RECORD_AUDIO	INTERNAL	1.05
com.acmdvp.myconverter	ACCESS_FINE_LOCATION	SECONDARY_MARKET	-0.65
com.aidigame.xcity	ACCESS_FINE_LOCATION	SOCIAL_GAMING	-0.4
com.aidigame.xcity	CAMERA	SOCIAL_GAMING	0.0
com.aidigame.xcity	RECORD_AUDIO	SOCIAL_GAMING	0.3
com.alaskajim.whosingsit1990s	READ_PHONE_STATE	TARGETED_ADS	-0.7647058823529411
com.allocine.androidapp	ACCESS_FINE_LOCATION	INTERNAL	1.0
com.allocine.androidapp	READ_PHONE_STATE	INTERNAL	0.7
com.alpha_aps.naked_scanner	ACCESS_FINE_LOCATION	TARGETED_ADS	-0.9
com.alpha_aps.naked_scanner	READ_PHONE_STATE	TARGETED_ADS	-0.35
com.amazon.kindle	ACCOUNTS	UTILITY	0.825
com.amazon.mp3	ACCOUNTS	UTILITY	0.4
com.androcheck.facedet	CAMERA	INTERNAL	0.5882352941176471
com.android.chrome	ACCESS_FINE_LOCATION	INTERNAL	-0.2
com.android.chrome	ACCOUNTS	INTERNAL	1.3
com.androp.cube.dolphin	READ_PHONE_STATE	TARGETED_ADS	0.0
com.animoca.prettyPetSalonSeasons	READ_PHONE_STATE	INTERNAL	0.47368421052631576
com.animoca.prettyPetSalonSeasons	READ_PHONE_STATE	TARGETED_ADS	-0.3157894736842105
com.animocacollective.google.superstarFashionGirl	CAMERA	GAME_ENGINE	0.5263157894736842
com.antivirus	ACCESS_COARSE_LOCATION	INTERNAL	0.9
com.antivirus	ACCESS_FINE_LOCATION	INTERNAL	0.95
com.antivirus	ACCOUNTS	INTERNAL	0.95
com.antivirus	BLUETOOTH	INTERNAL	0.75
com.antivirus	CAMERA	INTERNAL	1.6
com.antivirus	READ_CONTACTS	INTERNAL	0.2
com.antivirus	READ_PHONE_STATE	INTERNAL	0.35
com.antivirus	SEND_SMS	INTERNAL	-0.8
com.appmania.ironwars.hd	READ_PHONE_STATE	TARGETED_ADS	-0.1
com.appmox.jgirl	READ_PHONE_STATE	TARGETED_ADS	-1.3
com.appson.blobbyvolley	ACCOUNTS	INTERNAL	0.3
com.artofbytes.gravedefence.hd.free	READ_PHONE_STATE	TARGETED_ADS	-0.5
com.asobimo.celes_gp_en	ACCOUNTS	INTERNAL	0.6842105263157895
com.asobimo.celes_gp_en	READ_PHONE_STATE	INTERNAL	0.75
com.aurum.google.aliceOfHeart	BLUETOOTH	GAME_ENGINE	1.15
com.avast.android.mobilesecurity	ACCOUNTS	INTERNAL	0.5
com.avast.android.mobilesecurity	READ_CONTACTS	INTERNAL	1.0
com.avast.android.mobilesecurity	READ_CONTACTS	UTILITY	-0.25
com.avast.android.mobilesecurity	READ_PHONE_STATE	INTERNAL	0.0
com.avast.android.mobilesecurity	SEND_SMS	INTERNAL	0.25
com.badoo.mobile	ACCESS_COARSE_LOCATION	INTERNAL	0.5
com.badoo.mobile	ACCESS_FINE_LOCATION	INTERNAL	0.25
com.badoo.mobile	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	-0.15
com.badoo.mobile	ACCOUNTS	INTERNAL	0.85
com.badoo.mobile	CAMERA	INTERNAL	1.05
com.badoo.mobile	READ_CONTACTS	INTERNAL	-0.35
com.badoo.mobile	READ_PHONE_STATE	INTERNAL	-0.05
com.badoo.mobile	READ_PHONE_STATE	MOBILE_ANALYTICS	-0.5
com.badoo.mobile	READ_PHONE_STATE	PAYMENT	0.25
com.badoo.mobile	SEND_SMS	INTERNAL	-0.1
com.badoo.mobile	SEND_SMS	PAYMENT	0.0
com.bbm	ACCESS_FINE_LOCATION	INTERNAL	0.4
com.bbm	ACCOUNTS	INTERNAL	0.8
com.bbm	CAMERA	INTERNAL	1.5
com.bbm	READ_CONTACTS	INTERNAL	0.85
com.bbm	RECORD_AUDIO	INTERNAL	1.25
com.berobo.android.scanner	ACCESS_FINE_LOCATION	TARGETED_ADS	-0.2631578947368421
com.berobo.android.scanner	READ_PHONE_STATE	INTERNAL	0.7
com.berobo.android.scanner	READ_PHONE_STATE	TARGETED_ADS	-0.45
com.bestcoolfungames.antsmasher	ACCESS_FINE_LOCATION	TARGETED_ADS	-0.8
com.bestcoolfungames.antsmasher	RECORD_AUDIO	TARGETED_ADS	-1.35
com.bigbluebubble.fatfree	READ_PHONE_STATE	INTERNAL	0.8666666666666667
com.bigbluebubble.fatfree	READ_PHONE_STATE	MOBILE_ANALYTICS	-0.1875
com.bigbluebubble.fatfree	READ_PHONE_STATE	TARGETED_ADS	-0.1875
com.bighand.android	READ_PHONE_STATE	INTERNAL	0.2
com.bighand.android	RECORD_AUDIO	INTERNAL	1.6551724137931034
com.binomed.showtime	ACCESS_FINE_LOCATION	INTERNAL	1.0
com.blue.fox.scannerradio	READ_PHONE_STATE	INTERNAL	0.8
com.bobgame.chickenrun2	READ_PHONE_STATE	MOBILE_ANALYTICS	-0.25
com.bodyfitness.health.bnht	READ_PHONE_STATE	TARGETED_ADS	-0.15
com.breakapps.breakdotcom	ACCESS_FINE_LOCATION	TARGETED_ADS	-0.3157894736842105
com.bruellaffe	READ_PHONE_STATE	INTERNAL	-0.5
com.burrotech.scan2pdf	CAMERA	INTERNAL	1.25
com.buzztime.android.mobileplaymaker	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	0.2
com.c4mprod.ezcodescanner	CAMERA	GAME_ENGINE	0.8
com.catstudio.zuma1	RECORD_AUDIO	GAME_ENGINE	-0.3
com.cento.gates.main	ACCESS_FINE_LOCATION	SOCIAL_GAMING	-0.45
com.cipsoft.tibiame	READ_PHONE_STATE	INTERNAL	0.7368421052631579
com.cisco.anyconnect.vpn.android.rooted	READ_PHONE_STATE	INTERNAL	0.125
com.cleanmaster.mguard	READ_PHONE_STATE	INTERNAL	-0.4
com.clinkybot.geodroid0	ACCESS_FINE_LOCATION	INTERNAL	1.6666666666666667
com.codemonkey.titanturret	READ_PHONE_STATE	INTERNAL	0.1
com.codemonkey.titanturret	READ_PHONE_STATE	TARGETED_ADS	-0.1
com.codingcaveman.SoloTrial	READ_PHONE_STATE	TARGETED_ADS	-0.11764705882352941
com.com2us.caligofree	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	0.0
com.com2us.caligofree	READ_PHONE_STATE	INTERNAL	0.8
com.com2us.imo.normal.freefull.google.global.android.common	READ_PHONE_STATE	INTERNAL	0.5555555555555556
com.com2us.imo.normal.freefull.google.global.android.common	READ_PHONE_STATE	TARGETED_ADS	-0.1875
com.com2us.inotia3.normal.freefull.google.global.android.common	READ_PHONE_STATE	INTERNAL	0.3157894736842105
com.com2us.inotia3.normal.freefull.google.global.android.common	READ_PHONE_STATE	TARGETED_ADS	-0.05263157894736842
com.com2us.minigameparadise.normal.freefull.google.global.android.common	READ_PHONE_STATE	INTERNAL	0.6842105263157895
com.com2us.minigameparadise.normal.freefull.google.global.android.common	READ_PHONE_STATE	TARGETED_ADS	-0.16666666666666666
com.com2us.ovenbreak.normal.freefull.google.global.android.common	READ_PHONE_STATE	INTERNAL	0.7368421052631579
com.com2us.ovenbreak.normal.freefull.google.global.android.common	READ_PHONE_STATE	TARGETED_ADS	-0.2631578947368421
com.cracked.android.lite	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	-0.17647058823529413
com.cracked.android.lite	ACCESS_FINE_LOCATION	TARGETED_ADS	-0.23529411764705882
com.creativemobile.DragRacing	ACCOUNTS	SECONDARY_MARKET	-0.65
com.creativemobile.DragRacing	READ_PHONE_STATE	INTERNAL	-0.45
com.creativemobile.DragRacing	READ_PHONE_STATE	MOBILE_ANALYTICS	-0.8
com.creativemobile.DragRacing	READ_PHONE_STATE	PAYMENT	-0.45
com.creativemobile.DragRacing	READ_PHONE_STATE	SECONDARY_MARKET	-0.45
com.creativemobile.DragRacing	READ_PHONE_STATE	TARGETED_ADS	-0.85
com.creativemobile.dragracingbe	READ_PHONE_STATE	PAYMENT	0.0
com.darksummoner	READ_PHONE_STATE	INTERNAL	0.4
com.darksummoner	READ_PHONE_STATE	TARGETED_ADS	-0.47368421052631576
com.ddmap.android.privilege	ACCOUNTS	SNS	-0.65
com.dedalord.runningfred	READ_PHONE_STATE	TARGETED_ADS	-0.3157894736842105
com.devuni.flashlight	CAMERA	INTERNAL	1.7894736842105263
com.dianxinos.dxbs	ACCOUNTS	INTERNAL	-0.4
com.dianxinos.dxbs	BLUETOOTH	INTERNAL	0.4
com.dianxinos.dxbs	READ_PHONE_STATE	INTERNAL	0.65
com.digitalchocolate.androiddistrictpa	READ_CONTACTS	SNS	-0.55
com.directv.dvrscheduler	READ_PHONE_STATE	INTERNAL	1.4736842105263157
com.dogsbestlivewallpaper.dogs	ACCESS_FINE_LOCATION	TARGETED_ADS	-0.55
com.dogsbestlivewallpaper.dogs	READ_PHONE_STATE	TARGETED_ADS	-0.4
com.dooub.shake.bbshake	READ_PHONE_STATE	INTERNAL	-0.058823529411764705
com.dooub.shake.bbshake	READ_PHONE_STATE	MOBILE_ANALYTICS	-0.45
com.dooub.shake.sjshake	READ_PHONE_STATE	INTERNAL	0.16666666666666666
com.dooub.shake.sjshake	READ_PHONE_STATE	MOBILE_ANALYTICS	-0.15789473684210525
com.dragonplay.liveholdempro	READ_PHONE_STATE	TARGETED_ADS	-0.6
com.dreamcortex.talkingPet_android	READ_PHONE_STATE	TARGETED_ADS	-0.55
com.dreamfabpapaya.savingyello	READ_PHONE_STATE	TARGETED_ADS	-0.05
com.droidhen.game.fishpredator	READ_PHONE_STATE	INTERNAL	0.55
com.droidhen.game.speedhiker	READ_PHONE_STATE	INTERNAL	0.2631578947368421
com.droidhen.game.speedhiker	READ_PHONE_STATE	MOBILE_ANALYTICS	-0.375
com.droidhen.game.speedhiker	READ_PHONE_STATE	TARGETED_ADS	-0.5789473684210527
com.duckygo.shoottheducks	ACCESS_FINE_LOCATION	TARGETED_ADS	-0.5789473684210527
com.easy.battery.saver	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	-0.9
com.easy.battery.saver	BLUETOOTH	INTERNAL	0.25
com.easy.battery.saver	READ_PHONE_STATE	INTERNAL	-0.15
com.easy.battery.saver	READ_PHONE_STATE	MOBILE_ANALYTICS	-0.55
com.ebay.mobile	ACCESS_FINE_LOCATION	INTERNAL	0.3
com.ebay.mobile	CAMERA	INTERNAL	1.2
com.electricsheep.edj	ACCESS_COARSE_LOCATION	SOCIAL_GAMING	-0.35
com.elijahsh.birthdayreminder	ACCOUNTS	SNS	-0.4
com.eliteextra.driver	ACCESS_FINE_LOCATION	INTERNAL	1.2692307692307692
com.eliteextra.driver	READ_PHONE_STATE	INTERNAL	0.14285714285714285
com.emrosswar	READ_PHONE_STATE	TARGETED_ADS	0.05
