workerid	packageName	permission	purpose	label	READ_PHONE_STATE	ACCESS_FINE_LOCATION	GET_ACCOUNTS	CAMERA	READ_CONTACTS	RECORD_AUDIO	SEND_SMS	ACCESS_COARSE_LOCATION	BLUETOOTH	MANAGE_ACCOUNTS	AUTHENTICATE_ACCOUNTS	userID	appID	permissionID
A32CMQGGTSUK6Z	com.yobonja.blastmonkeysfree	READ_PHONE_STATE	TARGETED_ADS	1	1.0	1.0	1.0	1.0	1.0	1.0	-1.0	1.0	1.0	1.0	1.0	1.96153846154	-0.294117647059	-0.0950006560819
AST33WVZ5QC05	com.yobonja.blastmonkeysfree	READ_PHONE_STATE	TARGETED_ADS	0	-1.0	-0.2	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.25	-0.294117647059	-0.0950006560819
AZYL4DXPS3AK4	com.yobonja.blastmonkeysfree	READ_PHONE_STATE	TARGETED_ADS	0	-1.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.9	-0.294117647059	-0.0950006560819
A4SKTCPDTV550	com.yobonja.blastmonkeysfree	READ_PHONE_STATE	TARGETED_ADS	0	0.626865671642	0.724137931034	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.775280898876	-0.294117647059	-0.0950006560819
AVAQ4AJU45K1U	com.yobonja.blastmonkeysfree	READ_PHONE_STATE	TARGETED_ADS	1	0.333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.333333333333	-0.294117647059	-0.0950006560819
AAXYYH9MI3PJM	com.yobonja.blastmonkeysfree	READ_PHONE_STATE	TARGETED_ADS	0	-0.24347826087	-0.914893617021	0.777777777778	0.6	0.0	-1.0	1.0	-1.0	0.0	0.0	0.0	-0.418831168831	-0.294117647059	-0.0950006560819
A3FSI6EIB1M6YR	com.yobonja.blastmonkeysfree	READ_PHONE_STATE	TARGETED_ADS	1	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.328125	-0.294117647059	-0.0950006560819
A20WD8YXVUQCQX	com.yobonja.blastmonkeysfree	READ_PHONE_STATE	TARGETED_ADS	0	-0.625	-0.333333333333	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.5	-0.294117647059	-0.0950006560819
A3JJXEVEPU8V9J	com.yobonja.blastmonkeysfree	READ_PHONE_STATE	TARGETED_ADS	0	-0.231707317073	-0.828571428571	0.846153846154	-0.6	-1.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.283105022831	-0.294117647059	-0.0950006560819
A3GM27YVNOYZIW	com.yobonja.blastmonkeysfree	READ_PHONE_STATE	TARGETED_ADS	1	-0.272727272727	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.416666666667	-0.294117647059	-0.0950006560819
