workerid	READ_PHONE_STATE	ACCESS_FINE_LOCATION	GET_ACCOUNTS	CAMERA	READ_CONTACTS	RECORD_AUDIO	SEND_SMS	ACCESS_COARSE_LOCATION	BLUETOOTH	MANAGE_ACCOUNTS	AUTHENTICATE_ACCOUNTS
A2VD9X4Q51UGFK	-0.777777777778	0.466666666667	0.0	1.0	0.0	1.0	0.0	-1.0	0.0	0.0	0.0
A2WGW5Y3ZFBDEC	-0.615384615385	-0.176470588235	-1.0	1.0	-1.0	-0.666666666667	0.555555555556	0.0	1.0	0.75	0.333333333333
ATGF05HW5Q63J	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A1DDQ8U2YRB25X	-0.929411764706	-0.733333333333	-0.666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A3PPCEDYR2EB22	-0.75	-0.714285714286	-1.0	0.0	-1.0	-1.0	-1.0	1.0	0.0	1.0	0.0
AXYKTP0YCYJB9	-1.0	-0.333333333333	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
A2VSG0OWY55DGW	-0.911111111111	0.0	-1.0	1.0	-1.0	0.0	0.0	-1.0	0.0	0.0	0.0
A2D8ZM1E0USP73	0.2	0.125	1.0	1.0	0.0	1.0	0.0	-1.0	0.0	0.0	0.0
A2TMSM19YCEXLE	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A2GPPM7A4B5CAB	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A34HTHVJNYR1O0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
AHKOZVL0KZKAB	-1.0	-1.0	0.0	0.0	0.0	0.0	-1.0	0.0	1.0	-1.0	0.0
A1SR4LSPEN7ZT7	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A264NN7JBX4UDQ	1.0	0.5	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
A1EV66QWCULDE5	-0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A3S8UNGS9Z0P0X	0.846153846154	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A2VH4HK8WDR5ZN	0.0	-1.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0
A7F14VFA3N7SD	0.333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AK7LGB1QOGA1P	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A4SKTCPDTV550	0.626865671642	0.724137931034	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
A2C73Y1COWCA51	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A2AH0QIM25B0AG	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADU4116NTU2Z7	-1.0	-1.0	0.0	-0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AZLBLEDRP6UYM	0.333333333333	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A2OW2CIT4H7364	0.428571428571	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A19RUEYADULHZN	0.0	-1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AFVQI58RRXP7Z	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A7NZ814Q5MX2R	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A18TCR555RWUZV	-1.0	0.333333333333	0.0	1.0	-1.0	0.0	0.0	-1.0	1.0	0.0	0.0
A2SWJ2C2YOUGRF	0.333333333333	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A2HWEJ5KJE5ZO6	0.888888888889	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AD0F6ADE4GL00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AP0A2XBW34SZJ	-0.894736842105	-0.428571428571	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A1NQWTNVPGU1ZV	1.0	-1.0	0.0	0.0	1.0	-1.0	-1.0	-1.0	0.0	0.0	0.0
A167HNWLG22UFD	-0.243243243243	-0.173913043478	-0.755102040816	0.666666666667	-0.487179487179	0.310344827586	0.4	0.285714285714	0.142857142857	0.157894736842	-0.368421052632
A359HMOD4EINQ2	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AJZ9HV5VBD7CA	-0.818181818182	-1.0	-1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A2OXXHGAM7B0Y	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0
A771BLWJLMWYY	-0.92	0.0	-1.0	0.6	0.0	0.0	0.0	-1.0	0.0	0.0	0.0
A39YBLQYIUBR76	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A130X6CF795CQ5	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0
A2ZHN45QR1Y8E4	-0.25	0.2	1.0	1.0	0.6	1.0	-1.0	0.0	0.0	1.0	1.0
A31X1FW485DON4	0.0	0.5	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
A042274229VCDRN12COMF	-0.333333333333	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A166A2M31CW2C7	0.80487804878	0.130434782609	1.0	0.384615384615	-0.333333333333	0.636363636364	-0.428571428571	0.6	0.333333333333	1.0	1.0
A68PQP2VAVN8D	-1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A15YL2MKU0RY98	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A20ALQT1HIVSAH	-1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
ADT8XTB3NGLTF	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
A12H2RTXSAQPRH	1.0	-0.142857142857	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0
A1HJLW84GIDPKD	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A7TP8TTJ88Y0R	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A175ZTL2OZO9YU	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A1WXGV56U8S8OG	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
