workerid	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	c1	c2	c3	c4	c5
A2VD9X4Q51UGFK	-1.2	-1.875			2.0	-1.2	2.0		2.0							-2.0																																																						0	0	2	0	2
A2WGW5Y3ZFBDEC	-1.0	0.25		-1.7	-1.0	-0.33333333333299997	1.0		1.0	-2.0	1.0			1.0		-1.5	-1.5	1.0	0.2	-1.0		1.0	-1.0	0.0	1.5	2.0	2.0	-1.0	-2.0	-0.25	-2.0	-1.0	-1.33333333333		-1.0	1.0		-1.0	1.5	2.0	1.0		1.0	-0.5	2.0		-2.0				1.0		-2.0			-2.0									1.0	1.0				0	0	2	0	4
ATGF05HW5Q63J					1.0																																																																	0	0	2	0	2
A1DDQ8U2YRB25X	-0.942857142857	-0.9069767441859999	-0.6	-1.0	-1.0	-0.75				-0.6									-1.0																																																		-1.0	0	0	2	0	2
A3PPCEDYR2EB22		-1.0		-1.0		-2.0				-2.0	1.0			1.0		1.0		-2.0	-1.0	-2.0			-1.0	-2.0				1.5		0.0	-2.0		-1.0																										1.0					-2.0						0	0	2	0	2
AXYKTP0YCYJB9		-1.0		-1.0		-1.5										0.5								1.0							1.0																											2.0	-1.0											0	0	2	0	2
A2VSG0OWY55DGW	-0.8181818181820001	-1.0	-1.0	-1.25	2.0	-0.833333333333	2.0									-2.0			-2.0																																												-2.0							0	0	2	0	2
A2D8ZM1E0USP73	1.7142857142899999	-1.8	2.0	1.0	1.5	-2.0	2.0		1.75	-0.33333333333299997						-1.0																																																						0	0	2	0	2
A2TMSM19YCEXLE						-2.0																																																																0	0	2	0	2
A2GPPM7A4B5CAB		1.0																																																																				0	0	2	0	2
A34HTHVJNYR1O0									2.0																																																													0	0	2	0	2
AHKOZVL0KZKAB											-1.0								-2.0				-1.0							-1.0			-0.5														-2.0																		1.0					0	0	2	0	2
A1SR4LSPEN7ZT7					1.0																																																																	0	0	2	0	2
A264NN7JBX4UDQ	1.33333333333	1.5			0.0	1.5			1.0																																																													0	0	2	0	2
A1EV66QWCULDE5		-1.0		0.666666666667																		-1.0																																																0	0	2	0	2
A3S8UNGS9Z0P0X	1.6	1.0	1.0			1.0	2.0			1.0																																																												0	0	2	0	2
A2VH4HK8WDR5ZN					-1.0				-1.0																																																													0	0	2	0	2
A7F14VFA3N7SD		0.666666666667																																																																				0	0	2	0	2
AK7LGB1QOGA1P		1.0																																																																				0	0	2	0	2
A4SKTCPDTV550	0.779661016949	0.6935483870970001	1.0	0.692307692308		0.5	1.0			1.33333333333									1.0																																												1.0						1.0	0	0	2	0	2
A2C73Y1COWCA51				-1.0																																																																		0	0	2	0	2
A2AH0QIM25B0AG					2.0																																																																	0	0	2	0	2
ADU4116NTU2Z7		-1.8			-1.0	-1.0	-0.5																																																															0	0	2	0	2
AZLBLEDRP6UYM	1.0	-1.0		1.0		-1.0				-2.0																																																												0	0	2	0	2
A2OW2CIT4H7364	0.0	0.6								1.0																																																												0	0	2	0	2
A19RUEYADULHZN					-1.0		2.0																																																															0	0	2	0	2
AFVQI58RRXP7Z		-2.0																																																																				0	0	2	0	2
A7NZ814Q5MX2R		-1.0																																																																				0	0	2	0	2
A18TCR555RWUZV		-1.0												-2.0			-2.0							-1.0		1.0	1.0													-2.0						1.0		2.0						-2.0																0	0	2	0	2
A2SWJ2C2YOUGRF	2.0	0.5								-2.0																																																												0	0	2	0	2
A2HWEJ5KJE5ZO6	1.14285714286	1.4	2.0	-1.0		1.5																																																															1.0	0	0	2	0	2
AD0F6ADE4GL00	1.0	-1.0																																																																				0	0	2	0	2
AP0A2XBW34SZJ	-0.9	-1.7142857142899999	1.0	-1.0	1.0	-0.8	2.0			-1.0																																																												0	0	2	0	2
A1NQWTNVPGU1ZV		1.0		1.0		-1.0				-1.0						-1.0		-1.0				1.0							-2.0		2.0																														1.0									0	0	2	0	2
A167HNWLG22UFD	-0.769230769231		-1.0		-1.7142857142899999		0.625	-0.8709677419349999	0.047619047619		-0.06666666666669999	-0.928571428571	-0.8	1.0	-0.8		1.0	1.0	1.0	1.0	-1.33333333333		1.0	1.0	1.0	1.0	1.0	1.0		1.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0			1.0					1.0	1.0		1.0		0	1	1	3	3
A359HMOD4EINQ2		1.0																																																																				0	0	2	0	2
AJZ9HV5VBD7CA	-0.75	-2.0	-1.0	-2.0		-2.0	1.0																																																															0	0	2	0	2
A2OXXHGAM7B0Y		-1.0		-2.0												-1.0	-1.0					-1.5																																																0	0	2	0	2
A771BLWJLMWYY	-1.2666666666700002	-1.42857142857	-1.0	-1.0	0.5	-1.0	0.8		0.5							-1.0																																																						0	0	2	0	2
A39YBLQYIUBR76				1.0																																																																		0	0	2	0	2
A130X6CF795CQ5									-2.0																																																													0	0	2	0	2
A2ZHN45QR1Y8E4	0.0		1.9166666666699999		0.4		1.8333333333300001	1.2	1.6666666666699999		2.0	2.0	0.5		-2.0						0.5																																																	0	0	2	0	2
A31X1FW485DON4	1.0	-2.0			0.5				1.0																																																													0	0	2	0	2
A042274229VCDRN12COMF	1.0	-1.0		-2.0		2.0				2.0																																																												0	0	2	0	2
A166A2M31CW2C7	1.32	2.0	1.61111111111	2.0	0.222222222222	0.0	1.22222222222	-0.35	0.9	0.0	2.0	2.0	0.666666666667	2.0	-0.666666666667	1.0		1.0		1.0	0.0	1.5			-1.0	2.0	0.0		-1.0		-1.0																														2.0							1.0		0	0	2	0	2
A68PQP2VAVN8D	-2.0	-2.0				1.0																																																																0	0	2	0	2
A15YL2MKU0RY98					-1.0																																																																	0	0	2	0	2
A20ALQT1HIVSAH												1.0		-1.0					1.0					1.0			2.0	1.0								-2.0				2.0																	1.0													0	0	2	0	2
ADT8XTB3NGLTF		1.0							1.0																																																													0	0	2	0	2
A12H2RTXSAQPRH		1.0			0.6	-2.0										-2.0																																																						0	0	2	0	2
A1HJLW84GIDPKD		-2.0																																																																				0	0	2	0	2
A7TP8TTJ88Y0R		1.0																																																																				0	0	2	0	2
A175ZTL2OZO9YU		1.0																																																																				0	0	2	0	2
A1WXGV56U8S8OG																								1.0																																														0	0	2	0	2
A1MO07YOP3THQ2	0.125	-0.08333333333330001	1.5	0.666666666667	1.0	-0.8571428571430001			1.0	1.0						-2.0			2.0																																																			0	0	2	0	2
A23O7BIKKPOZ2L														-2.0												-2.0		-2.0							-2.0					-2.0									-2.0																					0	0	2	0	2
A2RMJNF6IPI42F	1.0	-1.0	0.533333333333	-0.33333333333299997	0.928571428571		-0.666666666667	-1.375	-0.916666666667		1.0	0.6	0.5		-1.0	-1.0	-1.0				0.5	1.0																																																0	0	2	0	2
A14IF6TCJEUQCS	1.5	-1.0								1.0																																																												0	0	2	0	2
A3I9LB2O58MKV1	1.0	-2.0			2.0				2.0																																																													0	0	2	0	2
A9JHTV37LSE5F		-1.0	1.0	-1.0							1.0	-2.0		1.55555555556		1.0	0.0	-1.8333333333300001	0.0	-2.0			-0.5	-1.0	1.0	-0.6	1.0	-1.0		-1.25		0.0	-1.33333333333	-1.0	2.0	-1.5	1.0	-2.0	0.0	-1.0	1.0	1.0	0.0	1.0	1.5	1.5	-0.5	1.5	-2.0	-2.0	-2.0	-1.0	-2.0	-1.5	-2.0	-2.0	-2.0			1.0				1.0	1.0	-1.0		-1.0		0	0	0	1	1
A3G2NBQKB9DX7E	1.0	-1.0				-2.0	2.0																																																															0	0	2	0	2
A1YRVRV46ZOVMP	1.5	-0.75				-2.0																																																																0	0	2	0	2
A1P861SBXSP7D2	-0.5																																																																					0	0	2	0	2
A3JX5WINGY8PEM		1.0								2.0																																																												0	0	2	0	2
A3B2H4HGSP6JCF														0.0						-1.0						1.5	2.0					-1.0		1.0	-2.0			-1.0								2.0						-1.0			-1.0															0	0	2	0	2
AIQU5HARE60W1	0.666666666667		1.0	-1.0						1.0																																																												0	0	2	0	2
A3GSCVUHX7DM8T	-1.5	-2.0			1.0	-2.0			1.0																																																													0	0	2	0	2
ASXIEBMMWW1NE		0.5					2.0																																																															0	0	2	0	2
A2O4Q2BDGWN73Q		-1.0			1.0	-2.0	1.0		2.0							-1.0																																																						0	0	2	0	2
A2F738CHD66KOW	0.666666666667	-1.0	1.0			1.0			1.5																																																													0	0	2	0	2
A1PI3EYSKGK1L6				-2.0																				1.0																																														0	0	2	0	2
AZM3UDQWDBICM				2.0																				1.0																																														0	0	2	0	2
A1T2VMIY43RTHI				2.0																											2.0																																							0	0	2	0	2
A3IPMQ11MHNRUU		2.0		2.0		2.0																																																																0	0	2	0	2
A14SXXOGFMEFM6		1.0		1.0		1.0																																																																0	0	2	0	2
A33SPADKX7VM2H	1.0	-1.0			1.0																																																																	0	0	2	0	2
ATHQ4TSWIGQAP	-0.33333333333299997	-1.6666666666699999			2.0	-1.25			1.6666666666699999							-1.0																																																						0	0	2	0	2
A2XXU0C8CY5N7M		1.0																																																																				0	0	2	0	2
A3PN5FA5Z10N83	-1.0	-0.666666666667		-1.0																																																																		0	0	2	0	2
A3UN57EC5AXY1Z							2.0			1.0																																																												0	0	2	0	2
ARHR8DJQSKQOA	2.0																																																																					0	0	2	0	2
A298ZDGYSPP6YR											1.33333333333			-1.0			-1.0	1.25	0.5				0.666666666667	-2.0	1.0	-1.0	2.0	-1.0		-2.0		-1.0	-0.5	-2.0			-2.0		1.0					1.0	2.0		2.0	-1.0		-1.0	-2.0	-2.0		-1.0	-2.0										2.0					0	0	2	0	2
A2OARIBH4WXJTP	2.0																																																																					0	0	2	0	2
ABHQC7XW26J5P		-1.2		-1.14285714286		-1.5				-1.0				-1.0		-1.0						-1.0	1.0	2.0				2.0	0.0		1.0																																	-1.0						0	0	2	0	2
AJ2MVQ01570X9					1.0																																																																	0	0	2	0	2
AIMMBX6OPFIF9		1.0																																																																				0	0	2	0	2
AYXIDCIGUA037					1.0																																																																	0	0	2	0	2
A1XP77IRAJCX5B	-0.8181818181820001	-1.0	2.0	-2.0	1.6666666666699999	-0.666666666667	1.5		2.0										2.0																																																			0	0	2	0	2
A3FRUN0DPOA0BN					1.0																																																																	0	0	2	0	2
A1DY4DM16TBFPL	1.0			1.0																																																																		0	0	2	0	2
A1OBWGLS5LRLT3		-1.33333333333		-1.0												2.0		-2.0													2.0																																							0	0	2	0	2
A1JTOUQAD12LQR		1.0		0.0												-1.0	-1.0					1.6666666666699999																																																0	0	2	0	2
A646R8SV0S04Y	-0.877551020408	-1.0	0.875	-0.8571428571430001	0.8095238095239999	-1.25	1.2272727272700001	0.8518518518520001	0.8421052631579999	-1.0	1.4	1.0714285714299998	1.1818181818200002		0.9	1.75	-1.0				1.33333333333		-1.0					1.0	-0.33333333333299997		-2.0																											1.0	1.0											0	0	2	0	2
A2I64UK6DJ8ZLO	1.0	1.75		2.0		1.0				2.0																																																												0	0	2	0	2
A66PALOM1DVOQ									2.0																																																													0	0	2	0	2
A3B0WAEPUCALDC							1.0																																																															0	0	2	0	2
A15A09BRS1Q8W0	1.92857142857	0.583333333333	2.0	0.5	1.0	0.6	1.6666666666699999			1.0																																																				1.0							1.0	0	0	2	0	2
A2H5FQFR4C014A		-2.0				-2.0																																																																0	0	2	0	2
A2XGY1STVP6FVK		-1.0																																																																				0	0	2	0	2
A2N701P8CHDKTT	0.166666666667		-1.11111111111		-0.5		0.666666666667	0.25	1.6666666666699999		-1.0	1.0			-1.0						1.0																																																	0	0	2	0	2
A3QSJY1FFN0N6V														1.0											2.0		2.0																		1.0																									0	0	2	0	2
A13V36GAF69NYE	-1.5	-2.0			0.25	-0.666666666667			1.33333333333							-1.0																																																						0	0	2	0	2
A19XMRUYE6ILIR	1.0									2.0																																																												0	0	2	0	2
A1A7O3TW2O0TPM					-2.0																																																																	0	0	2	0	2
A30ZBG4SIBCC2A				-1.0																																																																		0	0	2	0	2
AVAQ4AJU45K1U	-1.0	1.0																																																																				0	0	2	0	2
A3LXRZZ3GV0LRD	2.0	2.0	2.0	1.0		2.0	2.0			1.0																																																												0	0	2	0	2
A3JG1P42AS7WKH	1.0		1.0								1.6666666666699999			-1.0			-1.0	-1.0	-1.0	-0.6			-1.0	0.33333333333299997	0.6	-0.25	0.5	1.0				-1.0		-1.33333333333	-1.0	1.6666666666699999	-1.0	-1.0	2.0	-1.0	0.0	1.5	-1.0		2.0	1.0	-0.5	-1.0	-1.5	-1.0	-1.5	-1.0	-2.0	-1.0	-1.5	1.0	-1.0			1.0					1.0			-1.0		0	0	2	0	2
A136IH5CB0OH6W	1.5				1.0	1.0																																																																0	0	2	0	2
A8OM015SBLWA2		1.0																																																																				0	0	2	0	2
A2YGGVU3OVARQ4												2.0		-1.0						-2.0					2.0	0.0	2.0	-1.0						-2.0	-2.0					-1.0	1.0				1.0	1.0		1.0	-1.0			2.0	-1.0		-1.0	1.0														0	0	2	0	2
A2LT6KC1X51FVW											2.0			-1.0			-2.0	-2.0	-2.0				-2.0		-1.0	2.0				-2.0				-2.0				-2.0				-2.0		-2.0											-2.0					1.0					1.0	2.0		2.0		0	0	2	0	2
A2PF17SV72U84G	1.5	0.33333333333299997				1.0				2.0																																																												0	0	2	0	2
