name,purpose,website
samsoft,CONTENT_PROVIDER,http://samsoftin.blogspot.com/
scribe,CONTENT_PROVIDER,http://scribecontent.com/
mobiledatagroup,CONTENT_PROVIDER,http://www.mobiledatagroup.com/
badlogic,GAME_ENGINE,http://www.badlogicgames.com/wordpress/
cocos2dx,GAME_ENGINE,http://www.cocos2d-x.org/
gamesalad,GAME_ENGINE,http://gamesalad.com/
openfeint,GAME_ENGINE,http://support.openfeint.com/dev/ofx-introduction/
openintents,GAME_ENGINE,http://support.openfeint.com/dev/ofx-introduction/
comscore,MOBILE_ANALYTICS,http://www.comscore.com/
flurry,MOBILE_ANALYTICS,http://www.flurry.com/
ignitevision,MOBILE_ANALYTICS,http://www.ignitevision.com/
mobclick,MOBILE_ANALYTICS,http://www.umeng.com/analytics_overview
omniture,MOBILE_ANALYTICS,http://www.adobe.com/solutions/digital-marketing.html
rosaloves,UTILITY,http://code.google.com/p/bitlyj/
spreada,MOBILE_ANALYTICS,http://www.appdata.com/
adknowledge,TARGETED_ADS,http://www.adknowledge.com/
zemariamm,NOT EXTERNAL,https://play.google.com/store/apps/developer?id=zemariamm
thoughtworks,NOT EXTERNAL,http://www.thoughtworks.com/
altarsoft,NOT EXTERNAL,N/A
anttek,NOT EXTERNAL,N/A
bookandroid,NOT EXTERNAL,N/A
cisco,NOT EXTERNAL,N/A
cityjams,NOT EXTERNAL,N/A
dalvik,NOT EXTERNAL,N/A
database,NOT EXTERNAL,N/A
davidkbd,NOT EXTERNAL,N/A
dipoletech,NOT EXTERNAL,N/A
dmf,NOT EXTERNAL,N/A
doapps,NOT EXTERNAL,N/A
DownloadQueue,NOT EXTERNAL,N/A
dragusoft,NOT EXTERNAL,N/A
droidgram,NOT EXTERNAL,N/A
elf,NOT EXTERNAL,N/A
eliteextra,NOT EXTERNAL,N/A
elky,NOT EXTERNAL,N/A
eutopia,NOT EXTERNAL,N/A
everydayhealth,NOT EXTERNAL,N/A
example,NOT EXTERNAL,N/A
fear,NOT EXTERNAL,N/A
feedback,NOT EXTERNAL,N/A
fiffigt,NOT EXTERNAL,N/A
fingerblur,NOT EXTERNAL,N/A
gameazsoft,NOT EXTERNAL,N/A
glamourfone,NOT EXTERNAL,N/A
graphicly,NOT EXTERNAL,N/A
greengar,NOT EXTERNAL,N/A
handmark,NOT EXTERNAL,N/A
InfiniMusic1_3,NOT EXTERNAL,N/A
infomarvel,NOT EXTERNAL,N/A
invoice2go,NOT EXTERNAL,N/A
ipthing,NOT EXTERNAL,N/A
items,NOT EXTERNAL,N/A
jjfitue,NOT EXTERNAL,N/A
justbnutz,NOT EXTERNAL,N/A
kartjuba,NOT EXTERNAL,http://www.kartjuba.com/
kbgsoft,NOT EXTERNAL,N/A
kerebus,NOT EXTERNAL,N/A
kontain,NOT EXTERNAL,N/A
kuse,NOT EXTERNAL,N/A
leafdigital,NOT EXTERNAL,N/A
libcs,NOT EXTERNAL,N/A
lisbonlabs,NOT EXTERNAL,N/A
magzter,NOT EXTERNAL,N/A
markupartist,NOT EXTERNAL,N/A
maxelus,NOT EXTERNAL,N/A
minus,NOT EXTERNAL,N/A
mobileroadie,NOT EXTERNAL,N/A
movinapp,NOT EXTERNAL,http://www.movinapp.com/
mrmarsman,NOT EXTERNAL,N/A
newssynergy,NOT EXTERNAL,N/A
nix,NOT EXTERNAL,http://nixsolutions.com
nixsolutions,NOT EXTERNAL,http://nixsolutions.com
olegapps,NOT EXTERNAL,N/A
pedrocorp,NOT EXTERNAL,N/A
Player,NOT EXTERNAL,N/A
popcannibal,NOT EXTERNAL,N/A
processing,NOT EXTERNAL,N/A
qbiki,DEVELOPMENT_AID,http://mobiblocks.com/
raix,NOT EXTERNAL,N/A
rasoft,NOT EXTERNAL,N/A
readingbee,NOT EXTERNAL,N/A
robb,NOT EXTERNAL,N/A
RunnerGames,NOT EXTERNAL,N/A
sample,NOT EXTERNAL,N/A
shoutem,NOT EXTERNAL,N/A
signals23,NOT EXTERNAL,N/A
sirocco,NOT EXTERNAL,N/A
SmartAdapter,NOT EXTERNAL,N/A
