Lcrittercism 5
crittercism 8197
apsalar 3178
adobe 23241
umeng 14667
baidu 6131
inmobi 39710
getjar 879
xtify 939
titanium 12300
Leadbolt 1456
tencent 7964
scribe 5497
mopub 19159
gfan 99
appbrain 14400
phonegap 19406
sponsorpay 1787
unwire 8
mobclick 2122
openintents 146
oneriot 38
urbanairship 15781
ideaworks3d 969
swarmconnect 1258
appcelerator 11301
burstly 850
appMobi 818
papaya 947
tapjoy 10517
wqmobile 207
appmk 8024
wiyun 2034
zestadz 2241
brightcove 1572
socialize 1877
biznessapps 19166
flurry 73640
appmakr 0
facebook 175551
applovin 11135
ansca 12559
amazonaws 4003
wooboo 456
guohead 122
admarvel 3024
sonicnotify 592
admob 418949
airpush 2936
livestream 846
anywheresoftware 5539
Total apps with multiple purpose libs 622291
