permission	purpose	packageName	count
READ_PHONE_STATE	INTERNAL	com.bighand.android	30
READ_PHONE_STATE	INTERNAL	com.v1_4.BBA3CFAB607CAEDBB1025D6C.com	30
READ_PHONE_STATE	INTERNAL	com.thomson.pediatrics	29
ACCESS_FINE_LOCATION	INTERNAL	de.hyperworx.spreewald	29
RECORD_AUDIO	INTERNAL	com.bighand.android	29
READ_PHONE_STATE	INTERNAL	br.bovespa	29
ACCESS_COARSE_LOCATION	TARGETED_ADS	meansoft.colorbook.musical.view	29
ACCESS_FINE_LOCATION	TARGETED_ADS	ch.xot.droid_catcher	29
RECORD_AUDIO	INTERNAL	fingercms.tw.com.deeplet	29
READ_PHONE_STATE	TARGETED_ADS	com.repsis.android.tapdroid	28
READ_PHONE_STATE	INTERNAL	com.eliteextra.driver	28
READ_PHONE_STATE	INTERNAL	com.playtales.en.hanselygretel	28
READ_PHONE_STATE	TARGETED_ADS	com.softetic.plp.bam.demo	28
ACCESS_FINE_LOCATION	TARGETED_ADS	meansoft.colorbook.musical.view	28
READ_PHONE_STATE	TARGETED_ADS	meansoft.colorbook.musical.view	28
ACCESS_FINE_LOCATION	INTERNAL	com.mobispectra.android.apps.car2enjoy	28
ACCESS_FINE_LOCATION	INTERNAL	com.clinkybot.geodroid0	27
ACCESS_FINE_LOCATION	TARGETED_ADS	com.mobispectra.android.apps.car2enjoy	27
ACCESS_FINE_LOCATION	INTERNAL	de.eos.uptrade.android.fahrinfo.salzburg	26
ACCESS_FINE_LOCATION	INTERNAL	com.eliteextra.driver	26
ACCESS_FINE_LOCATION	TARGETED_ADS	com.swagbuckstvmobile.views	26
ACCESS_FINE_LOCATION	INTERNAL	com.jointhearmy	25
RECORD_AUDIO	INTERNAL	nl.tetrakis.instantvoice2mail	25
ACCESS_FINE_LOCATION	INTERNAL	br.findmycarfree	25
ACCESS_FINE_LOCATION	INTERNAL	de.prog.frog.mekka_ad	24
READ_CONTACTS	DEVELOPMENT_AID	com.zc.android	20
MANAGE_ACCOUNTS	SNS	com.ddmap.android.privilege	20
MANAGE_ACCOUNTS	INTERNAL	com.yahoo.mobile.client.android.im	20
MANAGE_ACCOUNTS	INTERNAL	com.yahoo.mobile.client.android.mail	20
READ_CONTACTS	INTERNAL	com.antivirus	20
READ_CONTACTS	INTERNAL	com.avast.android.mobilesecurity	20
READ_CONTACTS	INTERNAL	com.badoo.mobile	20
MANAGE_ACCOUNTS	UTILITY	com.amazon.kindle	20
MANAGE_ACCOUNTS	INTERNAL	com.yahoo.mobile.client.android.weather	20
SEND_SMS	UTILITY	smm.refill	20
READ_CONTACTS	INTERNAL	com.google.android.apps.docs	20
READ_CONTACTS	INTERNAL	com.bbm	20
READ_CONTACTS	INTERNAL	com.evernote	20
READ_CONTACTS	SECONDARY_MARKET	com.fruit.shooter.legend	20
READ_CONTACTS	SECONDARY_MARKET	com.fruit.shooter.blast	20
READ_CONTACTS	INTERNAL	com.yahoo.mobile.client.android.mail	20
READ_CONTACTS	INTERNAL	com.whatsapp	20
READ_CONTACTS	INTERNAL	com.vkontakte.android	20
READ_CONTACTS	INTERNAL	com.viber.voip	20
READ_CONTACTS	INTERNAL	com.twitter.android	20
READ_CONTACTS	INTERNAL	com.tencent.mm	20
READ_CONTACTS	INTERNAL	com.qihoo.security	20
READ_CONTACTS	INTERNAL	com.jb.gosms	20
READ_CONTACTS	INTERNAL	com.google.android.talk	20
READ_CONTACTS	INTERNAL	com.google.android.maps.mytracks	20
READ_CONTACTS	INTERNAL	com.google.android.gm	20
READ_CONTACTS	INTERNAL	com.google.android.apps.plus	20
READ_CONTACTS	INTERNAL	com.gau.go.launcherex	20
READ_CONTACTS	INTERNAL	com.facebook.orca	20
READ_CONTACTS	INTERNAL	com.facebook.katana	20
MANAGE_ACCOUNTS	INTERNAL	com.tumblr	20
GET_ACCOUNTS	TARGETED_ADS	com.mobage.ww.a448.TouchHockey_android	20
MANAGE_ACCOUNTS	INTERNAL	com.nimbuzz	20
MANAGE_ACCOUNTS	INTERNAL	com.lookout	20
