testSize		index	learning_rate	max_depth	n_estimators	subsample
3	count	270.0	270.0	270.0	270.0	270.0
3	mean	0.0	0.6096296296296293	4.796296296296297	197.59259259259258	0.48888888888888765
3	std	0.0	0.2905894724486835	3.371538591939577	167.59766819257376	0.3935666037957207
3	min	0.0	0.1	1.0	50.0	0.1
3	25%	0.0	0.5	1.5	50.0	0.1
3	50%	0.0	0.5	5.0	100.0	0.5
3	75%	0.0	1.0	10.0	200.0	1.0
3	max	0.0	1.0	10.0	500.0	1.0
4	count	960.0	960.0	960.0	960.0	960.0
4	mean	0.0	0.5711458333333346	4.696875	212.60416666666666	0.5115625000000048
4	std	0.0	0.2997578786307034	3.2716417681690584	176.96458581676328	0.3904245653655371
4	min	0.0	0.1	1.0	50.0	0.1
4	25%	0.0	0.5	3.0	50.0	0.1
4	50%	0.0	0.5	5.0	100.0	0.5
4	75%	0.0	1.0	5.0	500.0	1.0
4	max	0.0	1.0	10.0	500.0	1.0
5	count	300.0	300.0	300.0	300.0	300.0
5	mean	0.0	0.5149999999999996	4.6466666666666665	208.83333333333334	0.5253333333333312
5	std	0.0	0.2925067532022068	3.21916640296659	172.37366724479784	0.4120568630868176
5	min	0.0	0.1	1.0	50.0	0.1
5	25%	0.0	0.5	3.0	100.0	0.1
5	50%	0.0	0.5	3.0	100.0	0.5
5	75%	0.0	0.5	5.0	200.0	1.0
5	max	0.0	1.0	10.0	500.0	1.0
6	count	180.0	180.0	180.0	180.0	180.0
6	mean	0.0	0.4355555555555556	4.072222222222222	204.72222222222223	0.2927777777777785
6	std	0.0	0.2864972865846375	3.0361519227185316	170.41661259919098	0.32870671846797384
6	min	0.0	0.1	1.0	50.0	0.1
6	25%	0.0	0.1	1.0	50.0	0.1
6	50%	0.0	0.5	3.0	150.0	0.1
6	75%	0.0	0.5	5.0	200.0	0.5
6	max	0.0	1.0	10.0	500.0	1.0
7	count	360.0	360.0	360.0	360.0	360.0
7	mean	0.0	0.24361111111111036	4.891666666666667	177.36111111111111	0.4988888888888872
7	std	0.0	0.24131317597940907	3.285307462833302	159.32476822625458	0.3884099274510072
7	min	0.0	0.1	1.0	50.0	0.1
7	25%	0.0	0.1	3.0	50.0	0.1
7	50%	0.0	0.1	5.0	100.0	0.5
7	75%	0.0	0.5	10.0	200.0	1.0
7	max	0.0	1.0	10.0	500.0	1.0
8	count	30.0	30.0	30.0	30.0	30.0
8	mean	0.0	0.23666666666666664	6.033333333333333	171.66666666666666	0.5099999999999999
8	std	0.0	0.22966742571984733	3.7183916928706147	143.04769721376474	0.40798072976804806
8	min	0.0	0.1	1.0	50.0	0.1
8	25%	0.0	0.1	3.0	100.0	0.1
8	50%	0.0	0.1	5.0	100.0	0.5
8	75%	0.0	0.5	10.0	200.0	1.0
8	max	0.0	1.0	10.0	500.0	1.0
9	count	90.0	90.0	90.0	90.0	90.0
9	mean	0.0	0.23555555555555566	5.3	187.77777777777777	0.4355555555555558
9	std	0.0	0.21531847909712473	3.484959658335333	165.9685754591816	0.39157162764369263
9	min	0.0	0.1	1.0	50.0	0.1
9	25%	0.0	0.1	3.0	50.0	0.1
9	50%	0.0	0.1	5.0	100.0	0.1
9	75%	0.0	0.5	10.0	200.0	1.0
9	max	0.0	1.0	10.0	500.0	1.0
10	count	180.0	180.0	180.0	180.0	180.0
10	mean	0.0	0.2744444444444449	4.655555555555556	220.27777777777777	0.6688888888888889
10	std	0.0	0.2543745143373884	3.299436590167903	170.8258957367179	0.38042741162843635
10	min	0.0	0.1	1.0	50.0	0.1
10	25%	0.0	0.1	1.0	100.0	0.5
10	50%	0.0	0.1	5.0	200.0	1.0
10	75%	0.0	0.5	5.0	275.0	1.0
10	max	0.0	1.0	10.0	500.0	1.0
11	count	30.0	30.0	30.0	30.0	30.0
