	index	learning_rate	loss	max_depth	max_features	n_estimators	subsample	testSize
0	0	0.1	ls	5	log2	50	0.5	13
1	0	1.0	quantile	1	sqrt	100	1.0	4
2	0	0.5	huber	1	sqrt	200	0.5	3
3	0	0.5	quantile	3	auto	100	1.0	5
4	0	0.1	lad	10	sqrt	100	0.1	7
5	0	0.1	lad	3	log2	50	0.1	8
6	0	0.1	huber	5	log2	50	0.1	10
7	0	0.1	quantile	10	sqrt	500	0.5	13
8	0	0.5	huber	3	sqrt	500	0.1	3
9	0	0.5	lad	10	auto	200	0.5	3
10	0	0.1	huber	3	auto	200	0.1	5
11	0	0.5	quantile	5	auto	500	1.0	7
12	0	0.1	ls	10	sqrt	50	0.1	7
13	0	0.1	quantile	5	auto	200	0.1	13
14	0	0.1	huber	5	auto	50	0.1	10
15	0	0.5	lad	10	sqrt	100	0.5	3
16	0	0.5	quantile	3	auto	50	0.5	3
17	0	0.1	lad	1	log2	100	0.5	7
18	0	0.1	huber	3	log2	200	0.5	5
19	0	0.1	lad	5	log2	100	0.1	7
20	0	0.1	quantile	5	auto	50	0.1	7
21	0	0.5	ls	5	log2	50	1.0	9
22	0	0.5	ls	3	auto	200	0.1	3
23	0	0.1	quantile	3	log2	200	0.5	12
24	0	0.5	lad	5	log2	500	1.0	3
25	0	0.5	lad	3	log2	500	1.0	5
26	0	0.5	quantile	5	sqrt	50	1.0	7
27	0	0.1	lad	10	log2	500	1.0	7
28	0	1.0	ls	3	log2	200	1.0	3
29	0	0.1	ls	1	log2	200	0.5	3
30	0	0.1	huber	1	log2	200	0.1	8
31	0	0.1	quantile	10	sqrt	100	0.1	9
32	0	0.5	huber	5	log2	100	1.0	4
33	0	0.1	quantile	1	sqrt	200	0.1	12
34	0	0.5	ls	5	log2	100	1.0	4
35	0	0.1	lad	3	log2	100	0.5	7
36	0	1.0	lad	5	auto	50	1.0	3
37	0	0.1	lad	10	log2	100	0.5	7
38	0	0.1	huber	10	log2	500	1.0	5
39	0	0.5	lad	1	log2	200	1.0	3
40	0	0.5	ls	3	auto	500	1.0	9
41	0	0.1	lad	1	log2	100	0.1	13
42	0	0.5	huber	5	log2	500	1.0	3
43	0	0.5	ls	5	sqrt	50	0.5	3
44	0	0.1	quantile	10	log2	50	0.1	7
45	0	0.1	lad	1	sqrt	200	1.0	5
46	0	0.1	lad	5	sqrt	50	1.0	7
47	0	0.5	lad	10	auto	100	0.1	3
48	0	0.1	quantile	5	log2	200	0.1	10
49	0	0.5	huber	3	auto	50	0.1	3
50	0	1.0	lad	1	sqrt	500	0.1	3
51	0	0.1	quantile	3	log2	200	1.0	13
52	0	0.5	ls	1	sqrt	100	1.0	5
53	0	1.0	quantile	3	log2	50	1.0	7
54	0	0.1	quantile	3	log2	200	1.0	7
55	0	0.5	lad	1	log2	500	1.0	5
56	0	0.5	huber	3	auto	500	0.1	3
57	0	0.5	quantile	10	sqrt	200	1.0	10
58	0	1.0	quantile	3	sqrt	500	0.1	4
59	0	0.5	ls	3	auto	50	0.5	4
60	0	0.1	huber	1	log2	500	0.1	7
61	0	0.1	lad	10	sqrt	50	1.0	7
62	0	0.1	ls	3	log2	100	1.0	13
63	0	0.5	ls	1	log2	100	1.0	3
64	0	0.5	huber	5	log2	50	0.5	5
65	0	1.0	lad	5	auto	100	1.0	3
66	0	0.1	ls	10	log2	100	0.1	9
67	0	0.5	ls	3	sqrt	100	1.0	5
68	0	0.1	quantile	1	log2	500	1.0	7
69	0	0.1	lad	3	sqrt	50	1.0	8
70	0	0.5	lad	10	log2	50	0.1	3
71	0	0.1	ls	10	sqrt	50	0.1	12
72	0	1.0	lad	3	log2	100	1.0	3
73	0	0.5	quantile	3	auto	50	1.0	5
74	0	0.5	ls	1	log2	50	0.5	9
75	0	1.0	huber	3	log2	200	1.0	5
76	0	0.1	huber	10	log2	200	0.1	7
77	0	0.5	quantile	3	log2	500	0.1	3
78	0	1.0	ls	5	sqrt	50	1.0	7
79	0	0.5	ls	1	auto	50	0.5	3
80	0	0.5	quantile	3	sqrt	200	0.5	4
81	0	0.5	quantile	10	log2	500	1.0	12
82	0	0.1	lad	10	sqrt	100	0.5	9
83	0	1.0	ls	10	sqrt	200	0.1	3
84	0	0.5	quantile	5	log2	50	0.5	5
85	0	0.1	ls	5	log2	500	1.0	7
86	0	0.1	ls	1	log2	100	1.0	3
87	0	0.1	huber	3	sqrt	100	0.5	7
88	0	1.0	ls	5	sqrt	200	0.1	5
89	0	1.0	quantile	1	sqrt	50	0.1	3
90	0	0.1	lad	5	log2	50	0.1	13
91	0	0.1	lad	3	sqrt	100	0.5	7
92	0	0.1	lad	5	sqrt	100	0.1	10
93	0	0.5	ls	10	auto	500	1.0	4
94	0	0.1	lad	1	log2	200	0.1	7
95	0	0.5	lad	3	log2	200	1.0	5
96	0	0.5	quantile	3	log2	200	1.0	10
97	0	1.0	ls	1	log2	500	0.1	3
98	0	0.5	lad	3	auto	100	1.0	3
99	0	0.1	lad	5	sqrt	200	0.1	13
100	0	0.1	lad	1	sqrt	200	0.1	7
101	0	0.5	quantile	5	sqrt	100	1.0	7
102	0	0.1	ls	1	sqrt	100	0.1	9
103	0	0.5	ls	3	log2	500	1.0	5
104	0	0.5	huber	3	log2	100	1.0	3
105	0	0.5	quantile	1	log2	100	0.1	3
106	0	0.1	lad	1	log2	500	0.1	9
107	0	0.1	ls	1	sqrt	500	0.1	8
108	0	0.5	quantile	5	sqrt	200	0.5	7
109	0	0.1	lad	10	auto	500	0.5	13
110	0	1.0	lad	1	auto	500	0.1	4
111	0	0.5	huber	1	sqrt	200	1.0	3
112	0	0.1	lad	3	log2	500	0.5	9
113	0	1.0	lad	10	auto	100	0.1	3
114	0	0.5	ls	5	log2	50	1.0	7
115	0	0.1	lad	1	auto	500	0.1	10
116	0	0.1	lad	10	log2	200	0.1	7
117	0	1.0	quantile	1	sqrt	100	1.0	3
118	0	0.5	huber	5	sqrt	500	1.0	5
119	0	0.1	quantile	5	log2	500	1.0	12
120	0	1.0	lad	5	log2	500	0.1	3
121	0	0.1	quantile	1	auto	100	0.1	10
122	0	0.5	lad	5	log2	100	0.5	3
123	0	0.5	lad	10	sqrt	200	1.0	7
124	0	0.1	huber	5	log2	500	1.0	5
125	0	0.1	lad	10	log2	200	1.0	7
126	0	0.5	lad	1	sqrt	500	0.1	4
127	0	0.5	lad	3	log2	50	0.5	9
128	0	0.1	lad	1	log2	100	0.5	12
